LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
0000000133-0001-1,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,4917 S BROADWAY,LOS ANGELES,90037-3211,4917 BROADWAY 90037-3211,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000,"Educational services (including schools, colleges, & universities)",9,01/01/1991,,"(33.9981, -118.2783)",23668,13,737,655,7,
0000000228-0001-9,DOLLIE B ROGERS,,5420 COMPTON AVENUE,LOS ANGELES,90011-4940,5420 COMPTON 90011-4940,10033 S ST ANDREWS PLACE,LOS ANGELES,90047-4164,531100,Lessors of real estate (including mini warehouses & self-storage units),9,04/01/1971,,"(33.9934, -118.2477)",22727,13,721,983,7,51
0000000238-0001-2,FRIENDS OF EXPO CENTER,,3980 MENLO AVENUE,LOS ANGELES,90037-1212,3980 MENLO 90037-1212,POST OFFICE BOX #6097,LOS ANGELES,90189-0001,541600,"Management, scientific, & technical consulting services",9,01/01/1999,,"(34.0121, -118.2901)",23668,13,729,977,7,32
0000000274-0001-9,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,835 E 41ST STREET,LOS ANGELES,90011-2730,835 41ST 90011-2730,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000,"Educational services (including schools, colleges, & universities)",9,01/01/1991,,"(34.0092, -118.261)",22727,13,713,664,7,
0000000303-0001-7,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,4418 S HOOVER STREET,LOS ANGELES,90037-3006,4418 HOOVER 90037-3006,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000,"Educational services (including schools, colleges, & universities)",9,01/01/1991,,"(34.0035, -118.2871)",23668,13,739,896,7,2
0000000304-0001-1,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,241 E FLORENCE AVENUE,LOS ANGELES,90003-2119,241 FLORENCE 90003-2119,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000,"Educational services (including schools, colleges, & universities)",9,01/01/1991,,"(33.9747, -118.2708)",22352,13,792,998,7,46
0000000320-0045-2,PUBLIC STORAGE INC,PUBLIC STORAGE #23029,3625 S GRAND AVENUE,LOS ANGELES,90007-4356,3625 GRAND 90007-4356,701 WESTERN AVENUE,GLENDALE,91201-2349,531100,Lessors of real estate (including mini warehouses & self-storage units),9,05/12/2010,,"(34.0159, -118.2788)",22724,13,727,975,7,6
0000000336-0001-1,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,3326 S CENTRAL AVENUE,LOS ANGELES,90011-2518,3326 CENTRAL 90011-2518,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000,"Educational services (including schools, colleges, & universities)",9,01/01/1991,,"(34.0133, -118.2565)",22727,13,710,892,7,6
0000000374-0001-7,A A OFICINA CENTRAL HISPANA DE LOS ANGELES /C,,5526 HOOPER AVENUE,LOS ANGELES,90011-4839,5526 HOOPER 90011,2607 VAN BUREN PLACE,LOS ANGELES,90007-2129,611000,"Educational services (including schools, colleges, & universities)",9,01/01/1991,,"(33.9923, -118.2521)",22727,13,722,629,7,51
0000000550-0001-8,NEW CITY LIFE FOUNDATION /C,,3651 S VERMONT AVENUE,LOS ANGELES,90007-3946,3651 VERMONT 90007-3946,3533 W 58TH PLACE,LOS ANGELES,90043-3003,561500,Travel arrangement & reservation services,9,03/01/2000,,"(34.022, -118.2915)",24341,13,692,1265,7,32
0000000638-0001-5,THE SABRIYA IHSAN BAKEWELL CASTLE OF FUN FOUNDATION,,200 E SLAUSON AVENUE,LOS ANGELES,90011-5347,200 SLAUSON 90011,,,,561500,Travel arrangement & reservation services,9,05/17/1993,,"(33.9892, -118.2717)",22727,13,786,858,7,46
0000000710-0001-0,LOS ANGELES BROTHERHOOD CRUSADE,,200 E SLAUSON AVENUE,LOS ANGELES,90011-5347,200 SLAUSON 90011-5347,,,,561500,Travel arrangement & reservation services,9,01/01/2000,,"(33.9892, -118.2717)",22727,13,786,858,7,46
0000000825-0001-4,ATLANTIC RECOVERY SERVICE,,1037 E 34TH STREET,LOS ANGELES,90011-2526,1037 34TH 90011-2526,944 PACIFIC AVENUE,LONG BEACH,90813-4228,621400,Outpatient  care centers,9,07/16/1999,,"(34.0127, -118.2574)",22727,13,712,892,7,6
0000000943-0002-9,ABILITYFIRST,,3812 S GRAND AVENUE,LOS ANGELES,90037-1336,3812 GRAND 90037-1336,1300 E GREEN STREET,PASADENA,91106-2606,624100,Individual & family services,9,08/09/1943,,"(34.0149, -118.2794)",23668,13,727,975,7,6
0000001019-0001-1,LOS ANGELES COUNTY OFFICE OF EDUCATION,,8222 S SAN PEDRO STREET,LOS ANGELES,90003-3030,8222 SAN PEDRO 90003-3030,,,,611000,"Educational services (including schools, colleges, & universities)",9,01/01/1999,,"(33.9643, -118.2695)",22352,13,797,1001,7,46
0000001036-0004-9,SPECIAL SERVICE FOR GROUPS INC,,5849   CROCKER STREET   UNIT #L,LOS ANGELES,90003-1311,5849 CROCKER 90003-1311,905 E 8TH STREET,LOS ANGELES,90021-1848,812990,All other personal services,9,05/05/2012,,"(33.9884, -118.2688)",22352,13,786,858,7,46
0000001036-0005-7,SPECIAL SERVICE FOR GROUPS INC,,5849   CROCKER STREET   UNIT #X,LOS ANGELES,90003-1311,5849 CROCKER 90003-1311,905 E 8TH STREET,LOS ANGELES,90021-1848,621399,Offices of all other miscellaneous health practitioners,9,10/15/2013,,"(33.9886, -118.2688)",22352,13,786,858,7,46
0000001036-0009-0,SPECIAL SERVICE FOR GROUPS INC,,4601 S BROADWAY,LOS ANGELES,90037-2729,4601 BROADWAY 90037-2729,905 E 8TH STREET,LOS ANGELES,90021-1848,621399,Offices of all other miscellaneous health practitioners,9,04/04/2017,,"(34.0018, -118.2787)",23668,13,737,655,7,
0000001076-0001-9,SPECIAL SERVICE FOR GROUPS,HURTING & HUNGRY PROJECT,1369 E VERNON AVENUE,LOS ANGELES,90011-3712,1369 VERNON 90011-3712,905 E 8TH STREET,LOS ANGELES,90021-1848,624100,Individual & family services,9,09/29/1993,,"(34.0038, -118.2506)",22727,13,719,982,7,51
