LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
0000000935-0001-6,KEY MECHANICAL SERVICE CO /C,,10905 LAUREL AVENUE,SANTA FE SPRINGS,90670-4513,10905 LAUREL 90670-4513,,,,233220,Multifamily Housing Construction (1997 NAICS),0,11/01/1949,,"(33.933, -118.0488)",25725,,1496,,,
0000001360-0001-2,SAN FERNANDO VALLEY COMMUNITY MENTAL HEALTH CENTER INC,FAMILY LINKS,11565 LAUREL CANYON BLVD #100 3,SAN FERNANDO,91340-4168,11565 LAUREL CANYON 91340-4168,6931 VAN NUYS BLVD #3 FL,VAN NUYS,91405-3937,621400,Outpatient  care centers,0,07/01/2000,,,,,,,,
0000001468-0001-7,L'CANON CLUB APARTMENTS CORP,,9700 LAUREL CANYON BLVD,ARLETA,91331-4128,9700 LAUREL CANYON 91331-4128,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),7,01/01/2007,,"(34.2459, -118.4185)",18907,1,36,413,,11
0000002087-0001-4,THE ECLECTIC COMPANY THEATRE,,5312 LAUREL CANYON BLVD,N HOLLYWOOD,91607-2712,5312 LAUREL CANYON 91607-2712,,,,512100,Motion picture & video industries (except video rental),2,03/01/1994,,"(34.1668, -118.3965)",8890,5,205,1329,17,39
0000002978-0001-9,THE BEST PIZZA INC,QUICKIE'S PIZZA,4362 LAUREL CANYON BLVD,STUDIO CITY,91604-1709,4362 LAUREL CANYON 91604-1709,,,,722110,Full-service restaurants,4,12/01/1999,,"(34.1496, -118.3964)",8492,5,347,390,,84
0000003559-0001-1,MEHRDAD FARZINPOUR ET AL,COLLEGE TUITION LLC,5345 LAUREL CANYON BLVD,N HOLLYWOOD,91607-2711,5345 LAUREL CANYON 91607-2711,12304 SANTA MONICA BLVD SUITE #219,LOS ANGELES,90025-2587,531100,Lessors of real estate (including mini warehouses & self-storage units),2,07/27/1999,,"(34.1674, -118.3965)",8890,5,,1329,17,39
0000004559-0001-8,JAMES NGUYEN / PHUONG T HUYNH,KC NAIL SALON,4741 LAUREL CANYON BLVD #100,VALLEY VILLAGE,91607-5926,4741 LAUREL CANYON 91607-5926,,,,812111,Barber shops,2,05/02/2001,,"(34.1564, -118.3964)",8890,5,344,1336,17,39
0000008103-0047-7,99 CENTS ONLY STORES LLC,,6639 LAUREL CANYON BLVD,NORTH HOLLYWOOD,91606-1522,6639 LAUREL CANYON 91606-1522,4000 UNION PACIFIC AVENUE,COMMERCE,90023-3202,452000,General merchandise stores,2,09/16/2010,,"(34.1909, -118.3965)",8889,5,175,495,,13
0000008103-0051-5,99 CENTS ONLY STORES LLC,"99 CENTS ONLY STORES, LLC",8429 LAUREL CANYON BLVD,SUN VALLEY,91352-3817,8429 LAUREL CANYON 91352-3817,4000 UNION PACIFIC AVENUE,COMMERCE,90023-3202,452000,General merchandise stores,6,06/19/2014,,"(34.2241, -118.3964)",19335,3,152,448,,21
0000010116-0001-4,J M MISSION AUTO SALES INC,,11580 LAUREL CANYON BLVD,SAN FERNANDO,91340-4167,11580 LAUREL CANYON 91340-4167,,,,441120,Used car dealers,7,03/06/1992,,"(34.2808, -118.4555)",18910,1,58,1405,,47
0000010593-0001-2,NANCY LY SUON / HENRY SUON,CHRISTY'S DONUTS,11430 LAUREL CANYON BLVD #B,SAN FERNANDO,91340-4194,11430 LAUREL CANYON 91340-4194,,,,,,7,01/01/1992,,"(34.2776, -118.4521)",18910,1,71,1405,,4
0000011646-0007-2,SALLY BEAUTY SUPPLY LLC,SALLY BEAUTY SUPPLY # 1852,8357 LAUREL CANYON BLVD,SUN VALLEY,91352-3809,8357 LAUREL CANYON 91352-3809,POST OFFICE BOX #90220,DENTON,76202-5220,423800,"Machinery, equipment, & supplies",6,02/13/1995,,"(34.222, -118.3964)",19335,3,152,264,,21
0000013129-0001-3,MISSION CITY COMMUNITY NETWORK/ C,,9919 LAUREL CANYON BLVD,PACOIMA,91331-3940,9919 LAUREL CANYON 91331-3940,10200 SEPULVEDA BLVD #300,MISSION HILLS,91345-3321,621399,Offices of all other miscellaneous health practitioners,7,04/08/2003,,"(34.2503, -118.4231)",18907,1,28,960,,11
0000016754-0009-8,MODERN PARKING INC,,6400 LAUREL CANYON BLVD,NORTH HOLLYWOOD,91606-1571,6400 LAUREL CANYON 91606-1571,303 S UNION AVENUE   FLOOR #1ST,LOS ANGELES,90017-1111,812930,Parking lots & garages,2,08/01/2006,,"(34.1866, -118.3964)",8889,5,189,546,,13
0000017607-0001-7,SALONI INC,SUPER 8 MOTEL,7541   LAUREL CANYON BLVD,NORTH HOLLYWOOD,91605-3149,7541 LAUREL CANYON 91605-3149,17918   PIONEER BLVD   SUITE #212,ARTESIA,90701-4445,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",2,05/30/2003,,"(34.2077, -118.3971)",8888,5,178,1273,,14
0000018102-0001-1,RICHARD KRAY,JOHNNY SKUNK.JOHNNY SKUNK PRODS,1632 N LAUREL AVENUE #105,LOS ANGELES,90046-2538,1632 LAUREL 90046-2538,,,,711410,"Agents & managers for artists, athletes, entertainers, & other public figures",5,01/12/1986,,,,,,,,
0000018988-0001-2,SYMONDS FOUNDATION /C,RCS PROPERTIES,6329 LAUREL CANYON BLVD,N HOLLYWOOD,91606-3212,6329 LAUREL CANYON 91606-3212,,,,531100,Lessors of real estate (including mini warehouses & self-storage units),2,07/16/1991,,"(34.1853, -118.3966)",8889,5,189,495,,13
0000019849-0001-1,ARTHUR D SCHONFELD INC,,6350 LAUREL CANYON BLVD #257,N HOLLYWOOD,91606-3221,6350 LAUREL CANYON 91606-3221,,,,541100,Legal services,2,12/31/2003,,"(34.1858, -118.3964)",8889,5,189,546,,13
0000021830-0001-5,DAVID EMANUEL ESTRADA,DSJ ELECTRIC,7913 LAUREL CANYON BLVD,N HOLLYWOOD,91605-2425,7913 LAUREL CANYON 91605-2425,,,,235310,Electrical Contractors (1997 NAICS),6,05/16/2000,,"(34.2142, -118.3965)",8888,3,160,473,,14
0000026454-0001-4,BROKERS CHOICE INC,REMAX PRODUCTIONS,6260 LAUREL CANYON BLVD #101,N HOLLYWOOD,91606-3259,6260 LAUREL CANYON 91606-3259,,,,531210,Offices of real estate agents & brokers,2,07/14/1992,,"(34.1841, -118.3964)",8889,5,189,546,,13
0000026670-0030-3,C G INVESTMENTS INC,SUBWAY #23959,4802 LAUREL CANYON BLVD,VALLEY VILLAGE,91607-3717,4802 LAUREL CANYON 91607-3717,7755 HASKELL AVENUE,VAN NUYS,91406-1906,,,2,07/18/2006,,"(34.1576, -118.3964)",8890,5,344,1336,17,39
0000029669-0003-5,MNRO HOLDINGS LLC,,6550 LAUREL CANYON BLVD,N HOLLYWOOD,91606-1521,6550 LAUREL CANYON 91606-1521,200 HOLLEDER PARKWAYS,ROCHESTER,14615-3808,423100,Motor vehicle & motor vehicle parts & supplies,2,10/01/1994,,"(34.1896, -118.3965)",8889,5,189,495,,13
