Date of event,Workshop,Start Time,End Time,Site Name,Location,Organization,Contact,Language,Free
09/17/2020,Drop-in event to provide information on the pathway to Citizenship. Guests will receive take-home materials and a free tote bag. This is a walk-in (in-person) event. *Masks and temperature checks are required* Space is limited.,8:30AM,4:00PM,Catholic Charities of Los Angeles,"1530 James M Wood Blvd
Los Angeles, CA 90015
(34.050534, -118.272477)",Catholic Charities of Los Angeles,"For more information, please call (213) 251-3411.",English,Free
09/02/2020,Virtual Citizenship information session. You will have an opportunity to ask questions and register for a free phone consultation.,2:00PM,3:00PM,Online: Click here to register,,Catholic Charities of Los Angeles,,English,Free
09/02/2020,Virtual Public Charge information session. You will have an opportunity to ask questions and register for a free phone consultation.,10:00AM,11:00AM,Online: Click here to register,,Catholic Charities of Los Angeles,,English,Free
09/02/2020,Virtual Public Charge information session. You will have an opportunity to ask questions and register for a free phone consultation.,4:00PM,5:00PM,Online: Click here to register,,Catholic Charities of Los Angeles,,Spanish,Free
03/21/2020,"Citizenship Workshop, resgistration is mandatory.",9:00AM,5:00PM,Our Lady of the Holy Rosary School's Auditorium,"7802 Vineland Ave Sun Valley
CA 91352",International Rescue Committee (IRC),"To register, please call (888) 839-8682 or email marylin.tomas@rescue.org.",English,Free
02/29/2020,"Citizenship Workshop, RSVP recommended.",9:00AM,12:00PM,Teamsters Local 630,"750 Stanford Ave
Los Angeles, CA 90021
(34.037851, -118.245618)",NALEO Educational Fund,"To register, please call (888) 839-8682.",English & Spanish,Free
02/29/2020,"Citizenship Workshop, appointment recommended.",10:00AM,3:00PM,Our Lady of Grace Church,"5011 White Oak Avenue
Encino, CA 91316
(34.160417, -118.518573)",Catholic Charities of Los Angeles,"To register, please call (213) 251-3484 or email GCebrero@ccharities.org.",English; Spanish; Arabic; Farsi; Armenian,Free
02/27/2020,Citizenship information session. Find out if you quality for citizenship. Registration is mandatory.,5:30PM,8:30PM,Our Lady of the Holy Rosary School's Auditorium,"7802 Vineland Ave Sun Valley
CA 91352",International Rescue Committee (IRC),"To register, please call (888) 839-8682 or email marylin.tomas@rescue.org.",English,Free
02/22/2020,"DACA Workshop, appointment recommended.",9:00AM,3:00PM,Resurrection Church,"3324 East Opal Street
Los Angeles, CA 90023
(34.022949, -118.205644)",Catholic Charities of Los Angeles,"To register, please call (213) 251-3484 or email GCebrero@ccharities.org.",English & Spanish,Free
02/01/2020,"Citizenship Workshop, appointment recommended.",10:00AM,2:00PM,Pasadena Library,"285 E Walnut Street
Pasadena, CA 91101
(34.149519, -118.144339)",Catholic Charities of Los Angeles,"To register, please call (213) 318-5713 or email SYaghazarian@ccharities.org.",English; Spanish; Arabic; Farsi; Armenian,Free
02/01/2020,"Citizenship Workshop, by appointment only.",9:00AM,1:00PM,CARECEN-LA,"2845 W 7th St
Los Angeles, CA 90005
(34.059792, -118.285411)",CARECEN-LA and Mayor's Office of Immigrant Affairs,"To register, please call (213) 814-5248.",English & Spanish,Free
01/29/2020,"Citizenship Classes, Wednesdays, 1/29-3/18; Students must have a green card - Pre-registration required.",5:00PM,7:00PM,West Valley Regional Library,"19036 Vanowen St
Reseda, CA 91335
(34.193858, -118.548247)",International Rescue Committee (IRC)/Los Angeles Public Library,"To register, please call or email: 1(888) 839-8682, CFCP-LA@Rescue.org.",Spanish,Free
01/29/2020,"Citizenship Classes to prepare for the U.S. Citizenship Exam. Classes for Lawful Permanent Residents, Wednesdays, 1/29-3/18.",5:00PM,7:00PM,West Valley Regional Branch Library,"19036 Vanowen St
Reseda, CA 91335
(34.193858, -118.548247)",Los Angeles Public Library,"To register, please call (888) 839-8682. For ADA accommodations, please call (213) 228-7430 at least 72 hours prior to the event.",Spanish Only (English Exempt Class),Free
01/28/2020,"Citizenship Classes, Tue. & Wed., 1/28-3/25; Students must have a green card - Pre-registration required.",5:30PM,7:30PM,Chinatown Branch Library,"639 N Hill St
Los Angeles, CA 90012
(34.060176, -118.240947)",International Rescue Committee (IRC)/Los Angeles Public Library,"To register, please call or email: 1(888) 839-8682, CFCP-LA@Rescue.org.",English,Free
01/28/2020,"Citizenship Classes to prepare for the U.S. Citizenship Exam. Classes for Lawful Permanent Residents, Tues. & Wed., 1/28-3/25.",5:30PM,7:30PM,Chinatown Branch Library,"639 N Hill St
Los Angeles, CA 90012
(34.060176, -118.240947)",Los Angeles Public Library,"To register, please call (888) 839-8682. For ADA accommodations, please call (213) 228-7430 at least 72 hours prior to the event.",English,Free
01/27/2020,"Citizenship Classes to prepare for the U.S. Citizenship Exam. Classes for Lawful Permanent Residents, Mondays, 1/27-3/23.",5:30PM,7:30PM,Alma Reaves Woods-Watts Branch Library,"10205 Compton Ave
Los Angeles, CA 90002
(33.943967, -118.246226)",Los Angeles Public Library,"To register, please call (888) 839-8682. For ADA accommodations, please call (213) 228-7430 at least 72 hours prior to the event.",English,Free
01/27/2020,"Citizenship Classes, Mondays, 1/27-3/23; Students must have a green card - Pre-registration required.",5:30PM,7:30PM,Alma Reaves-Watts Branch Library,"10205 Compton Ave
Los Angeles, CA 90002
(33.943967, -118.246226)",International Rescue Committee (IRC)/Los Angeles Public Library,"To register, please call or email: 1(888) 839-8682, CFCP-LA@Rescue.org.",English,Free
01/25/2020,"Citizenship Classes, for those taking the test in English, Saturdays, 1/25-5/2.",9:00AM,12:00PM,Glendale Central Library - TechSpace,"222 E Harvard St
Glendale, CA 91205
(34.14443, -118.253506)",Catholic Charities of Los Angeles,"To register, please call (213) 251-3484 or email nmiceli@ccharities.org.",English; Armenian; Farsi; Arabic,Free
01/24/2020,"Citizenship Classes for those taking the test in English, Fridays, 1/24 - 4/10.",8:00AM,12:00PM,BPACE,"4640 Maine Ave
Baldwin Park, CA 91706
(34.096708, -117.960501)",Catholic Charities of Los Angeles,"To register, please call (213) 251-3484 or email nmiceli@ccharities.",English & Spanish,Free
01/22/2020,"Citizenship Classes for those taking the test in English, Wednesdays, 1/22-4/8.",12:30PM,3:30PM,Catholic Charities of Los Angeles,"1530 James M Wood Blvd
Los Angeles, CA 90015
(34.050534, -118.272477)",Catholic Charities of Los Angeles,"To register, please call (213) 251-3484 or email nmiceli@ccharities.org.",English; Spanish; Mandarin,Free
01/22/2020,"Citizenship Classes for those taking the test in English, Wednesdays, 1/22 - 3/25.",7:00PM,9:00PM,Temple Judea,"5429 Lindley Ave
Tarzana, CA 91356
(34.168826, -118.527276)",Catholic Charities of Los Angeles,"To register, please call (213) 700-9363 or email nmiceli@ccharities.org.",English,Free
01/21/2020,"Citizenship Classes for those taking the test in English, Tuesdays, 1/21 - 2/25.",5:00PM,8:00PM,Mi Casa es Puebla,"328 S Indiana St
Los Angeles, CA 90063
(34.032504, -118.192375)",Catholic Charities of Los Angeles,"To register, please call (213) 251-3484 or email nmiceli@ccharities.org.",English & Spanish,Free
01/16/2020,"Citizenship Classes, Thursdays, 1/16-3/19; Students must have a green card - Pre-registration required.",5:00PM,7:30PM,El Sereno Branch Library,"5226 Huntington Dr
Los Angeles, CA 90032
(34.089494, -118.16855)",International Rescue Committee (IRC)/Los Angeles Public Library,"To register, please call or email: 1(888) 839-8682, CFCP-LA@Rescue.org.",English,Free
