LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
0000268193-0001-1,HOOSHANG TAFAZOLI,WOODLAND HILLS TACO BELL,23275 MULHOLLAND DRIVE,WOODLAND HILLS,91364-2732,23275 MULHOLLAND 91364-2732,POST OFFICE BOX #4842,THOUSAND OAKS,91359-1842,722110,Full-service restaurants,3,08/23/1995,,"(34.1553, -118.6336)",19346,4,310,650,,49
0000285139-0001-7,TACOS 2000 INC,TACO BELL #3074,7545 FALLBROOK AVENUE,CANOGA PARK,91307-1504,7545 FALLBROOK 91307-1504,14431 VENTURA BLVD #263,SHERMAN OAKS,91423-2606,722110,Full-service restaurants,12,11/01/1999,,"(34.2074, -118.6234)",4283,2,283,266,,44
0000285168-0001-3,TACOS 2000 INC,TACO BELL #86,5958 LANKERSHIM BLVD,N HOLLYWOOD,91601-1007,5958 LANKERSHIM 91601-1007,14431 VENTURA BLVD #263,SHERMAN OAKS,91423-2606,722110,Full-service restaurants,2,01/01/2000,,"(34.1787, -118.383)",8488,5,192,520,,13
0000459527-0001-8,CENTURY TACO INC,TACO BELL #18454,14115 VENTURA BLVD,SHERMAN OAKS,91423-2712,14115 VENTURA 91423-2712,14431 VENTURA BLVD #263,SHERMAN OAKS,91423-2606,722110,Full-service restaurants,4,05/01/1997,,"(34.1495, -118.4404)",19736,7,334,682,6,83
0000621788-0001-4,"MILLENNIUM TACOS, INC.",MILLENNIUM TACOS INC | TACO BELL #3570,11101 WOODLEY AVENUE,GRANADA HILLS,91344-3801,11101 WOODLEY 91344-3801,POST OFFICE BOX #8370,VAN NUYS,91409-8370,722110,Full-service restaurants,12,12/04/1987,,"(34.2719, -118.4847)",19329,2,69,388,39,78
0000833257-0001-0,PACIFIC COAST TACO INC,TACO BELL # 4634,4050 MARLTON AVENUE,LOS ANGELES,90008-2504,4050 MARLTON 90008-2504,14431 VENTURA BLVD,SHERMAN OAKS,91423-2606,722110,Full-service restaurants,8,01/01/1998,,"(34.011, -118.339)",22725,14,761,1025,7,54
0000833257-0002-8,PACIFIC COAST TACO INC,TACO BELL #5130,3562 S LA CIENEGA BLVD,LOS ANGELES,90016-4450,3562 LA CIENEGA 90016-4450,14431   VENTURA BLVD,SHERMAN OAKS,91423-2606,722211,Limited-service eating places,10,01/01/1998,,"(34.0225, -118.3718)",23077,12,669,1514,,17
0000833257-0004-4,PACIFIC COAST TACO INC,TACO BELL #24278,10937   WEYBURN AVENUE,LOS ANGELES,90024-2808,10937 WEYBURN 90024-2808,14431 VENTURA BLVD SUITE #263,SHERMAN OAKS,91423-2606,722211,Limited-service eating places,5,12/29/2008,,"(34.063, -118.4468)",23442,6,847,1254,9,72
0000926415-0001-3,TACOS 2000 INC,TACO BELL 17131,7856 FOOTHILL BLVD,SUNLAND,91040-2960,7856 FOOTHILL 91040-2960,14431 VENTURA BLVD #263,SHERMAN OAKS,91423-2606,722110,Full-service restaurants,7,01/01/2000,,"(34.2596, -118.3044)",3221,1,15,260,18,7
0002027294-0001-9,TACO MANAGEMENT SOLUTIONS INC,TACO BELL #1020,6303 PLATT AVENUE,WOODLAND HILLS,91367-1342,6303 PLATT 91367-1342,12111 LA CASA LANE,LOS ANGELES,90049-1529,,,3,04/01/2004,,"(34.1856, -118.6428)",19347,4,301,1479,,49
0002516025-0001-5,COTTI FOODS CORPORATION,TACO BELL #26839 | TACO BELL 26839,3029 W 8TH STREET,LOS ANGELES,90005-1813,3029 8TH 90005-1813,29801 SANTA MARGARITA PARKWAYS,RANCHO SANTA MARGARITA,92688-3609,311400,Fruit & vegetable preserving & speciality food mfg.,10,08/04/2010,,"(34.0577, -118.2925)",22722,12,605,1246,,89
0002516025-0002-3,COTTI FOODS CORPORATION,TACO BELL #26840 | TACO BELL 26840,12011 VENICE BLVD,LOS ANGELES,90066-3809,12011 VENICE 90066-3809,29801   SANTA MARGARITA PARKWAYS,RANCHO SANTA MARGARITA,92688-3609,311400,Fruit & vegetable preserving & speciality food mfg.,11,08/04/2010,,"(34.0062, -118.429)",24031,10,899,860,10,27
0002516025-0004-0,COTTI FOODS CORPORATION,TACO BELL #26843 | TACO BELL 26843,12800 S FIGUEROA STREET,LOS ANGELES,90061-1133,12800 FIGUEROA 90061-1133,29801 SANTA MARGARITA PARKWAYS,RCHO STA MARG,92688-3609,311400,Fruit & vegetable preserving & speciality food mfg.,15,08/04/2010,,"(33.9164, -118.2827)",24355,15,939,1243,7,53
0002637069-0001-3,ALVARADO RESTAURANT GROUP LLC,TACO BELL # 003108,204 N GAFFEY STREET,SAN PEDRO,90731-1922,204 GAFFEY 90731-1922,5654 GREENWOOD PLAZA BLVD,GREENWOOD VILLAGE,80111-2310,722211,Limited-service eating places,15,10/03/2012,,"(33.7442, -118.2923)",3342,15,975,1205,,36
0002637069-0002-1,ALVARADO RESTAURANT GROUP LLC,TACO BELL #28516,1031 S GAFFEY STREET,SAN PEDRO,90731-4033,1031 GAFFEY 90731-4033,5654 GREENWOOD PLAZA BLVD,GREENWOOD VILLAGE,80111-2310,722211,Limited-service eating places,15,10/03/2012,,"(33.7348, -118.2923)",3342,15,977,1206,,36
