LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
0000000320-0041-0,PUBLIC STORAGE INC,PUBLIC STORAGE # 23048,7880 SAN FERNANDO ROAD,SUN VALLEY,91352-4355,7880 SAN FERNANDO 91352-4355,POST OFFICE BOX #25025,GLENDALE,91221-5025,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),2,06/30/2010,,"(34.2144, -118.3614)",19335,5,167,1374,,21
0000000320-0042-8,PUBLIC STORAGE INC,,15145 ROSCOE BLVD,PANORAMA CITY,91402-4527,15145 ROSCOE 91402-4527,701 WESTERN AVENUE,GLENDALE,91201-2349,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),6,03/31/2010,,"(34.2214, -118.462)",19730,3,141,424,,59
0000000320-0050-9,PUBLIC STORAGE INC,PUBLIC STORAGE #29208,1459 W 190TH STREET,GARDENA,90248-4307,1459 190TH 90248-4307,701 WESTERN AVENUE,GLENDALE,91201-2349,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),15,07/01/2011,,"(33.8583, -118.3046)",25715,15,944,798,,55
0000003866-0001-5,"CORNERSTONE PRIVATE LEDGERS, INC",NATIONWIDE EQUIPMENT TRANSPORT,1420 ALAMEDA STREET,WILMINGTON,90744-2241,1420 ALAMEDA 90744-2241,POST OFFICE BOX #2157,WILMINGTON,90748-2157,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),15,01/01/1999,,"(33.7938, -118.2399)",3350,15,2329,626,,15
0000008103-0049-3,99 CENTS ONLY STORES LLC,,3050 E WASHINGTON BLVD,LOS ANGELES,90023-4220,3050 WASHINGTON 90023-4220,4000 UNION PACIFIC AVENUE,COMMERCE,90023-3202,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),14,01/09/2013,,"(34.0157, -118.2124)",23441,9,530,961,,38
0000015814-0002-7,"VALLEY PAINTING SERVICE, INC",,14623 BESSEMER STREET,VAN NUYS,91411-2840,14623 Bessemer 91411-2840,,,,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),6,01/01/2021,,"(34.181, -118.4517)",19735,3,240,1339,,18
0000017816-0001-2,DEPENDABLE HIGHWAY EXPRESS INC,,2555 E OLYMPIC BLVD,LOS ANGELES,90023-2605,2555 OLYMPIC 90023-2605,POST OFFICE BOX #58047,LOS ANGELES,90058-0047,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),14,01/01/1974,,"(34.0254, -118.2227)",23441,9,535,961,,38
0000028801-0001-0,"GARDENA MINI PARTNERS, A CALIFORNIA LP",US STORAGE CENTERS-GARDENA,620 W 184TH STREET,GARDENA,90248-4203,620 184TH 90248-4203,2201 DUPONT DRIVE SUITE #700,IRVINE,92612-7521,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),15,05/01/1992,,"(33.8699, -118.2822)",24685,15,943,779,,55
0000032996-0001-6,PASHA STEVEDORING & TERMINALS LP,RIO DOCE PASHA TERMINAL LP,802 S FRIES AVENUE,WILMINGTON,90744-6415,802 FRIES 90744-6415,,,,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),15,08/01/1992,,"(33.7668, -118.264)",3350,15,2342,429,,15
0000034691-0001-3,CONGLOBAL INDUSTRIES LLC,,1711 ALAMEDA STREET,WILMINGTON,90744-1700,1711 ALAMEDA 90744-1700,8205   CASS AVENUE   SUITE #115,DARIEN,60561-5319,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),15,06/01/1975,,"(33.7972, -118.2386)",3350,15,2329,430,,15
0000041035-0001-5,"FILE KEEPERS, LLC",,6277 E SLAUSON AVENUE,COMMERCE,90040-3011,6277 SLAUSON 90040-3011,5300 MELROSE AVENUE,LOS ANGELES,90038-5111,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),0,10/01/1975,,"(33.9845, -118.1496)",23671,,1568,,,
0000049178-0005-2,STEP UP ON SECOND STREET INC,,7160 W SUNSET BLVD,LOS ANGELES,90046-4416,7160 SUNSET 90046-4416,1328 2ND STREET,SANTA MONICA,90401-1122,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),13,11/05/2010,,"(34.0979, -118.3461)",23677,7,410,863,,82
0000049607-0001-1,CAROLINA TORRES,QVETZAL EXPRESS/EXPRESO INTERNACIONAL,1119 N WESTERN AVENUE #F,LOS ANGELES,90029-1070,1119 WESTERN 90029-1070,,,,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),13,,,"(34.0911, -118.3091)",23447,8,429,412,,57
0000061890-0001-2,PD22 LLC,,784 W CHANNEL STREET,SAN PEDRO,90731-1412,784 CHANNEL 90731-1412,18   LA VISTA VERDE DRIVE,RANCHO PALOS VERDES,90275-6345,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),15,09/01/1990,,"(33.7537, -118.294)",3342,15,971,381,,25
0000067302-0001-1,DOWNTOWN CENTER STUDIOS LLC,,1201 W 5TH STREET SUITE #T-100,LOS ANGELES,90017-2080,1201 5TH 90017-2080,,,,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),1,01/01/1999,,"(34.0541, -118.2594)",23078,11,567,847,54,76
0000069745-0001-7,STANDARD SOUTHERN CORPORATION,LOS ANGELES COLD STORAGE CO,715 E 4TH STREET,LOS ANGELES,90013-1727,715 4TH 90013-1727,400 S CENTRAL AVENUE,LOS ANGELES,90013-1712,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),14,02/04/1985,,"(34.0436, -118.2394)",23074,9,537,1018,,76
0000069745-0002-5,STANDARD SOUTHERN CORPORATION,LOS ANGELEES COLD STORAGE COMPANY,440 S CENTRAL AVENUE,LOS ANGELES,90013-1712,440 CENTRAL 90013-1712,400 S CENTRAL AVENUE,LOS ANGELES,90013-1712,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),14,11/20/1985,,"(34.0415, -118.2398)",23074,9,537,1018,,76
0000091066-0001-2,WESTPORT - NML VENTURES LLC,U.S. STORAGE CENTERS - MISSION HILLS,15237 BRAND BLVD,MISSION HILLS,91345-1437,15237 BRAND 91345-1437,2201 DUPONT DRIVE SUITE #700,IRVINE,92612-7521,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),7,07/01/2003,,"(34.2699, -118.4656)",19330,1,67,302,,4
