"document_name","title","release_date","due_date","published_package_url","direct_download_url"
"RFB-PH555-20164","Vinyl Window Installation for Lead and Healthy Homes Porgram","2020-11-04T00:00:00.000","2020-11-19T00:00:00.000","https://opendata.ramseycounty.us/d/cvq6-p9c9","https://opendata.ramseycounty.us/download/cvq6-p9c9/application%2Fpdf"
"RFB COMGR2960","2021 Official Proceedings Notifications","2020-11-04T00:00:00.000","2020-11-26T14:00:00.000","https://opendata.ramseycounty.us/d/7586-sa45","https://opendata.ramseycounty.us/download/7586-sa45/application%2Fpdf"
"RFQ PRRTF 1670","735 Margaret Insulation","2020-11-17T00:00:00.000","2020-11-20T14:00:00.000","https://opendata.ramseycounty.us/d/fcb7-9ay7","https://opendata.ramseycounty.us/download/fcb7-9ay7/application%2Fpdf"
"RFB COMGR2960 Attachment A","RFB COMGR2960 Attachment A","2020-11-02T00:00:00.000","2020-11-26T14:00:00.000","https://opendata.ramseycounty.us/d/5kva-8xiv","https://opendata.ramseycounty.us/download/5kva-8xiv/application%2Fpdf"
"RFB-PRMG-22953","Metro Square Curtainwall Project","2020-11-04T00:00:00.000","2020-12-17T14:00:00.000","https://opendata.ramseycounty.us/d/svp5-tufx","https://opendata.ramseycounty.us/download/svp5-tufx/application%2Fpdf"
"RFQ-RRA-1824R","State Lobbying Services for Great River Rail Commission","2020-11-23T00:00:00.000","2020-12-07T14:00:00.000","https://opendata.ramseycounty.us/d/4cdx-rvhk","https://opendata.ramseycounty.us/download/4cdx-rvhk/application%2Fpdf"
"RFQ PRRTF1678","735 Margaret - Electrical Services","2020-11-30T00:00:00.000","2020-12-15T14:00:00.000","https://opendata.ramseycounty.us/d/kvuy-26jy","https://opendata.ramseycounty.us/download/kvuy-26jy/application%2Fpdf"
"RFQ-SHRF-16506","Veterinary Services","2020-11-18T00:00:00.000","2020-12-04T14:00:00.000","https://opendata.ramseycounty.us/d/kpv4-7zdx","https://opendata.ramseycounty.us/download/kpv4-7zdx/application%2Fpdf"
"RFQ PRRTF1678 Addendum One","735 Margaret - Electrical Services Addendum One","2020-12-10T00:00:00.000","2020-12-15T14:00:00.000","https://opendata.ramseycounty.us/d/22hm-z9gd","https://opendata.ramseycounty.us/download/22hm-z9gd/application%2Fpdf"
"RFB-PRMG-22953 Addendum Two","Metro Square Curtainwall Project Addendum Two","2020-11-04T00:00:00.000","2020-12-17T14:00:00.000","https://opendata.ramseycounty.us/d/7qqr-vced","https://opendata.ramseycounty.us/download/7qqr-vced/application%2Fpdf"
