"site","date","interaction_type","interaction_type_2","service_requested_1","service_requested_2","hispanic_ethnicity","gender","langage","time_spent","age","week","week_ending"
"Maplewood","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) Cash Assistance",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) Cash Assistance",,,,"English","16-30 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms","Navigator consultation ","(FAS) SNAP/EA Assistance ",,,,"English","16-30 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","16-30 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","16-30 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"computer",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"computer",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"Other","16-30 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Use of Service Center tools/self-service","Basic question and/or help with forms","(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Subject matter expert consultation",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Subject matter expert consultation",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Subject matter expert consultation",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Subject matter expert consultation",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) Cash Assistance","(FAS) SNAP/EA Assistance ",,,"English","6-15 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Subject matter expert consultation",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Basic question and/or help with forms","Navigator consultation ","Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Downtown (Saint Paul)","2020-10-05T00:00:00.000","Basic question and/or help with forms",,"(FAS) SNAP/EA Assistance ",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
"Shoreview","2020-10-05T00:00:00.000","Use of Service Center tools/self-service",,"Elections",,,,"English","0-5 minutes",,"week 40","2020-10-05T00:00:00.000"
