"eeo_4_category","race","gender","total_employees","hew_hires","promotions","separations","year"
"Administrative Support","America Indian","Male","0","0","0","0","2016"
"Administrative Support","Hispanic","Male","1","0","0","2","2016"
"Administrative Support","Not Speficied","Male","0","0","0","0","2016"
"Administrative Support","Hispanic","Female","18","0","2","0","2016"
"Administrative Support","Not Speficied","Female","0","0","0","0","2016"
"No EEO-4","America Indian","Male","0","0","0","0","2016"
"No EEO-4","Asian","Male","0","0","0","0","2016"
"No EEO-4","Black","Male","1","0","0","0","2016"
"No EEO-4","Hispanic","Male","0","0","0","0","2016"
"No EEO-4","Not Speficied","Male","0","0","0","0","2016"
"No EEO-4","White","Male","3","0","0","0","2016"
"No EEO-4","America Indian","Female","0","0","0","0","2016"
"No EEO-4","Asian","Female","0","0","0","0","2016"
"No EEO-4","Black","Female","0","0","0","0","2016"
"No EEO-4","Hispanic","Female","0","0","0","0","2016"
"No EEO-4","Not Speficied","Female","0","0","0","0","2016"
"Officials & Administrators","America Indian","Male","0","0","0","0","2016"
"Officials & Administrators","Asian","Male","2","0","0","0","2016"
"Officials & Administrators","Hispanic","Male","1","0","0","0","2016"
"Officials & Administrators","Not Speficied","Male","0","0","0","0","2016"
"Officials & Administrators","America Indian","Female","0","0","0","0","2016"
"Officials & Administrators","Black","Female","7","0","2","0","2016"
"Officials & Administrators","Hispanic","Female","0","0","0","0","2016"
"Officials & Administrators","Not Speficied","Female","0","0","0","0","2016"
"Para-Professionals","America Indian","Male","0","0","0","1","2016"
"Para-Professionals","Hispanic","Male","6","0","1","0","2016"
"Professionals","America Indian","Male","2","0","0","1","2016"
"Professionals","Hispanic","Female","17","0","0","3","2016"
"Professionals","Not Speficied","Female","0","0","0","0","2016"
"Protective Service","America Indian","Male","2","0","0","0","2016"
"Protective Service","Hispanic","Male","12","0","0","0","2016"
"Protective Service","Not Speficied","Male","0","0","0","0","2016"
"Protective Service","America Indian","Female","4","0","1","0","2016"
"Protective Service","Not Speficied","Female","0","0","0","0","2016"
"Service & Maintenance","America Indian","Male","2","0","0","1","2016"
"Service & Maintenance","Not Speficied","Male","0","0","0","0","2016"
"Service & Maintenance","America Indian","Female","2","0","0","0","2016"
"Skill Craft","America Indian","Male","2","0","0","0","2016"
"Skill Craft","Asian","Male","1","0","1","0","2016"
"Skill Craft","Black","Male","4","0","1","0","2016"
"Skill Craft","Not Speficied","Male","0","0","0","0","2016"
"Skill Craft","America Indian","Female","0","0","0","0","2016"
