"date","week","month","interaction_type","dropbox_location","of_items","department","week_ending","iso_week_number"
"2020-03-23T00:00:00.000","13","March","Walk In","Government Center East","148","Financial Assistance Services","2020-03-29T00:00:00.000","13"
"2020-03-23T00:00:00.000","13","March","Walk In","Government Center East","28","Financial Assistance Services","2020-03-29T00:00:00.000","13"
"2020-03-23T00:00:00.000","13","March","Walk In","Plato Building","5","Document Recording","2020-03-29T00:00:00.000","13"
"2020-03-23T00:00:00.000","13","March","Walk In","Plato Building","2","Passports","2020-03-29T00:00:00.000","13"
"2020-03-23T00:00:00.000","13","March","Walk In","Plato Building","1","Public Health","2020-03-29T00:00:00.000","13"
"2020-03-23T00:00:00.000","13","March","Walk In","Plato Building","4","Tax Payment","2020-03-29T00:00:00.000","13"
"2020-03-23T00:00:00.000","13","March","Walk In","Plato Building","1","Tax Petition","2020-03-29T00:00:00.000","13"
"2020-03-23T00:00:00.000","13","March","Walk In","Saint Paul City Hall – Ramsey County Courthouse","1","Covid Benefits","2020-03-29T00:00:00.000","13"
"2020-03-23T00:00:00.000","13","March","Walk In","Saint Paul City Hall – Ramsey County Courthouse","1","Internal Staff","2020-03-29T00:00:00.000","13"
"2020-03-23T00:00:00.000","13","March","Walk In","Saint Paul City Hall – Ramsey County Courthouse","1","Meeting With Staff","2020-03-29T00:00:00.000","13"
"2020-03-24T00:00:00.000","13","March","Walk In","Government Center East","114","Financial Assistance Services","2020-03-29T00:00:00.000","13"
"2020-03-24T00:00:00.000","13","March","Walk In","Government Center East","17","Financial Assistance Services","2020-03-29T00:00:00.000","13"
"2020-03-24T00:00:00.000","13","March","Walk In","Plato Building","4","Document Recording","2020-03-29T00:00:00.000","13"
"2020-03-24T00:00:00.000","13","March","Walk In","Plato Building","2","Homestead","2020-03-29T00:00:00.000","13"
"2020-03-24T00:00:00.000","13","March","Walk In","Plato Building","1","Tax Payment","2020-03-29T00:00:00.000","13"
"2020-03-25T00:00:00.000","13","March","Walk In","Government Center East","124","Financial Assistance Services","2020-03-29T00:00:00.000","13"
"2020-03-25T00:00:00.000","13","March","Walk In","Government Center East","5","Financial Assistance Services","2020-03-29T00:00:00.000","13"
"2020-03-25T00:00:00.000","13","March","Walk In","Plato Building","1","Document Recording","2020-03-29T00:00:00.000","13"
"2020-03-26T00:00:00.000","13","March","Walk In","Government Center East","141","Financial Assistance Services","2020-03-29T00:00:00.000","13"
"2020-03-26T00:00:00.000","13","March","Walk In","Government Center East","7","Financial Assistance Services","2020-03-29T00:00:00.000","13"
"2020-03-26T00:00:00.000","13","March","Drop Box","Plato Building","3","Homestead","2020-03-29T00:00:00.000","13"
"2020-03-26T00:00:00.000","13","March","Drop Box","Plato Building","3","Recorder","2020-03-29T00:00:00.000","13"
"2020-03-26T00:00:00.000","13","March","Drop Box","Plato Building","6","Tax Payment","2020-03-29T00:00:00.000","13"
"2020-03-27T00:00:00.000","13","March","Walk In","Government Center East","110","Financial Assistance Services","2020-03-29T00:00:00.000","13"
"2020-03-27T00:00:00.000","13","March","Walk In","Government Center East","5","Financial Assistance Services","2020-03-29T00:00:00.000","13"
"2020-03-27T00:00:00.000","13","March","Walk In","Plato Building","1","Document Recording","2020-03-29T00:00:00.000","13"
"2020-03-27T00:00:00.000","13","March","Walk In","Plato Building","2","Homestead","2020-03-29T00:00:00.000","13"
"2020-03-27T00:00:00.000","13","March","Drop Box","Plato Building","2","Homestead","2020-03-29T00:00:00.000","13"
"2020-03-27T00:00:00.000","13","March","Drop Box","Plato Building","3","Recorder","2020-03-29T00:00:00.000","13"
"2020-03-27T00:00:00.000","13","March","Drop Box","Plato Building","9","Tax Payment","2020-03-29T00:00:00.000","13"
"2020-03-27T00:00:00.000","13","March","Walk In","Plato Building","7","Tax Payment","2020-03-29T00:00:00.000","13"
"2020-03-27T00:00:00.000","13","March","Drop Box","Saint Paul City Hall – Ramsey County Courthouse","3","Courts","2020-03-29T00:00:00.000","13"
"2020-03-30T00:00:00.000","14","March","Walk In","Government Center East","138","Financial Assistance Services","2020-04-05T00:00:00.000","14"
"2020-03-30T00:00:00.000","14","March","Walk In","Government Center East","2","Financial Assistance Services","2020-04-05T00:00:00.000","14"
"2020-03-30T00:00:00.000","14","March","Drop Box","Government Center East","1","Workforce Solutions","2020-04-05T00:00:00.000","14"
"2020-03-30T00:00:00.000","14","March","Walk In","Plato Building","1","Homestead","2020-04-05T00:00:00.000","14"
"2020-03-30T00:00:00.000","14","March","Drop Box","Plato Building","3","Homestead","2020-04-05T00:00:00.000","14"
