"service_provider","provider_description","clients_served","contact_phone","contact_fax","contact_person_1","contact_email_1","contact_person_2","contact_email_2","website","provider_location","provider_location_address","provider_location_city","provider_location_state","provider_location_zip"
"Esperanza Del Barrio Ministry – The Salvation Army",,,"(423) 266-0305",,,,,,,"POINT (-85.29581037299965 35.04371504700049)","800 McCallie Ave","Chattanooga","TN","37403"
"Oak Ridge National Laboratory ",,,"(865) 574-4160",,,,,,,"POINT (-84.25681842099965 36.00976255100045)","2008 Oak Ridge","TN",,"37831"
"Title V/Senior Community Service Employment Program (SCSEP) ",,"Typically serves people with disabilities, disadvantages and low income adults age 55 and older. ","(423) 629-2501, ext. 3130","(423) 242-0594","Cindi Crutchfield","cindi.crutchfield@goodwillchatt.org",,,"http://www.goodwillchatt.org",,,,,
"New Horizons Computer Learning Center ",,"General public including, but not limited to: Individuals, companies, dislocated workers, vocational rehabilitation and Veterans Administration programs such as Veteran’s Vocational Rehabilitation and the G.I. Bill.","(423) 892-3085",,,"dsandoval@nh-chatt.com",,,"http://www.newhorizons.com/chattanooga","POINT (-85.21741311899967 35.010653439000464)","5600 Brainerd Rd","Chattanooga","TN","37411"
"University of Tennessee Center for Industrial Services ",,"Area manufacturers ","(423) 634-0850","(423) 634-0222","Harding Aslinger","harding.aslinger@tennessee.edu",,,"http://www.cis.utk.edu","POINT (-85.29669038899965 35.04406444800048)","744 McCallie Ave","Chattanooga","TN","37403"
"Chattanooga Endeavors",,"Ex-offenders in the Hamilton County area who are unemployed or underemployed. ","(423) 266-1888","(423) 266-2196","Tim Dempsey","tdempsey@chattanoogaendeavors.com",,,"http://www.chattanoogaendeavors.com","POINT (-85.30594720099964 35.046523858000455)","310 East 8th St","Chattanooga","TN","37403"
"Siskin Hospital, Vocational Services Department ",,"Individuals with disabilities and employers in achieving successful return to work. ","(423) 634-1648","(423) 634-1394","Tod Cain ","todcain@siskinrehab.org",,,"http://www.siskinrehab.org","POINT (-85.29589607199966 35.04632275700044)","One Siskin Plaza","Chattanooga","TN","37403"
"Chattanooga Iron Workers Local 704 Joint Apprenticeship and Training Committee",,"Adults of all ages above 18","(423) 698-4198",,"James Lockhar","jlockhart4@comcast.net",,,"http://www.iw704.com","POINT (-85.26563872299965 35.07429531700046)","2701 Bell Arbor Avenue","Chattanooga","TN","37406"
"UA Local 43 Plumbers & Steamfitters Joint Apprentice and Training Committee ",,"People seeking plumbing, steamfitter & HVAC apprenticeships ","(423) 622-4395","(423) 697-4926","Larry A. Morrison ","lu43jatc@local43.net",,,"http://www.ualocal43.org","POINT (-85.25809877199964 35.075716609000494)","3013 Riverside Dr","Chattanooga","TN","37406"
"Tri-State Carpenters & Millwrights Joint Apprentice and Training Committee ",,"People seeking carpentry or millwright apprenticeships ","(423) 892-5282","(423) 892-0088","Mickey Kilgore","jamiki@aol.com",,"tristate@tcrctraining.com","http://www.tcrctraining.com","POINT (-85.18916968899964 35.032154025000466)","6136 Airways Blvd","Chattanooga","TN","37421"
