"fiscal_year","service","department","program","expense_category","recommended_amount","approved_amount","fund","fund_type","description","expense_type","amended"
"2021","Public Safety","Fire","Fire Station # 3 Tiftonia","Services","5320","5320","General Fund","Tax Supported Fund","Water","Utilities","5320"
"2021","Public Safety","Fire","Fire Marshall Staff","Fringe Benefits","18816","18816","General Fund","Tax Supported Fund","On-site Medical Program","Other Fringe Benefits","18816"
"2021","Public Safety","Police","Police Special Operations","Services","1600","1600","General Fund","Tax Supported Fund","Dues","Other Services","1600"
"2021","Economic and Community Development","Economic & Community Development","Code Enforcement Office","Salaries","60000","60000","General Fund","Tax Supported Fund","Temporary Staffing","Salaries & Wages","60000"
"2021","Public Works","Public Works","Park Mgmt - City-Wide Park Maintenance","Fringe Benefits","13440","13440","General Fund","Tax Supported Fund","On-site Medical Program","Other Fringe Benefits","13440"
"2021","Youth and Family Development","Youth & Family","Office of Early Learning","Fringe Benefits","1344","1344","General Fund","Tax Supported Fund","On-site Medical Program","Other Fringe Benefits","1344"
"2021","Public Safety","Fire","Fire Administration","Materials & Supplies","350","350","General Fund","Tax Supported Fund","Food & Ice","Other Materials & Supplies","350"
"2021","General Government","Finance & Admin","Office of Performance Management","Materials & Supplies","5000","5000","General Fund","Tax Supported Fund","Other Materials & Supplies","Other Materials & Supplies","5000"
"2021","Public Works","Public Works","Shared Maint - TN Riverpark Downtown","Services","500","500","General Fund","Tax Supported Fund","Fire Prevention Measures","Repair & Maintenance Services","500"
"2021","Public Works","Public Works","Shared Maint - TN Riverpark Downtown","Materials & Supplies","3000","3000","General Fund","Tax Supported Fund","Hardware, Nails, Small Tools","Other Materials & Supplies","3000"
"2021","General Government","City Council","City Council","Services","1200","1200","General Fund","Tax Supported Fund","Parking","Other Services","1200"
"2021","Public Works","Public Works","Building Maintenance","Services","9180","9180","General Fund","Tax Supported Fund","Natural Gas","Utilities","9180"
"2021","Public Safety","Police","Police Special Operations","Other Financing Uses","124800","124800","General Fund","Tax Supported Fund","Transfer to Debt Service","Transfers To Other Funds","124800"
"2021","General Government","Executive Branch","Executive Office Admin","Travel Expense","3500","3500","General Fund","Tax Supported Fund","Transportation","Transportation","3500"
"2021","Public Safety","Police","Chief of Police","Materials & Supplies","200","200","General Fund","Tax Supported Fund","Audio Visual Supplies","Office Supplies","200"
"2021","General Government","Purchasing","Purchasing","Services","900","900","General Fund","Tax Supported Fund","Dues","Other Services","900"
"2021","Public Works","Public Works","Building Maintenance","Materials & Supplies","8000","8000","General Fund","Tax Supported Fund","Plumbing Supplies","Construction Supplies","8000"
"2021","General Government","Finance & Admin","Office of City Treasurer","Services","1200","1200","General Fund","Tax Supported Fund","Link2Gov Internet Fee","Other Services","1200"
"2021","General Government","General Government","Approp - Capital Improvements","Other Financing Uses","150000","150000","General Fund","Tax Supported Fund","Transfer to Fire Capital","Transfers To Capital Projects Funds","150000"
"2021","Public Works","Public Works","Shared Maint - TN Riverpark Security","Salaries","3450","3450","General Fund","Tax Supported Fund","Longevity","Other Supplements","3450"
"2021","General Government","City Attorney","City Attorney Operations","Fringe Benefits","2375","2375","General Fund","Tax Supported Fund","Long-Term Disability","Insurance","2375"
"2021","Public Works","Public Works","CWS Central Business District","Vehicle Operating Expense","500","500","General Fund","Tax Supported Fund","Vehicle Parts & Supplies","Vehicle Repairs & Maintenance","500"
"2021","Youth and Family Development","Youth & Family","Eastgate Center Programs","Salaries","84899","84899","General Fund","Tax Supported Fund","Regular Employees","Salaries & Wages","84899"
"2021","Economic and Community Development","Economic & Community Development","Board of Appeals & Variances","Services","500","500","General Fund","Tax Supported Fund","Printing","Special Services","500"
"2021","Public Safety","Fire","Fire Training Division","Salaries","4800","4800","General Fund","Tax Supported Fund","State Training Wages","Salaries & Wages","4800"
"2021","Public Works","Public Works","Park Mgmt - Admin","Materials & Supplies","440","440","General Fund","Tax Supported Fund","Clothing","Other Materials & Supplies","440"
"2021","Public Works","Public Works","City Engineer","Services","80000","80000","General Fund","Tax Supported Fund","IT Maintenance","Repair & Maintenance Services","80000"
"2021","Public Works","Public Works","City Engineer","Services","2000","2000","General Fund","Tax Supported Fund","Wireless Data Communication","Unallocated Costs","2000"
"2021","Public Safety","Police","Records Management & Services","Materials & Supplies","94","94","General Fund","Tax Supported Fund","Forms & Printed Material","Office Supplies","94"
"2021","Public Works","Public Works","Recycle Pick-up","Materials & Supplies","1500","1500","General Fund","Tax Supported Fund","Building Maintenance Supplies","Other Materials & Supplies","1500"
"2021","Youth and Family Development","Youth & Family","Aquatics Programs","Travel Expense","400","400","General Fund","Tax Supported Fund","Hotels","Meals & Lodging","400"
"2021","Economic and Community Development","Economic & Community Development","ECD - Economic Development","Services","1000","1000","General Fund","Tax Supported Fund","Advertising","Special Services","1000"
"2021","Youth and Family Development","Youth & Family","Recreation Public Information","Materials & Supplies","5000","5000","General Fund","Tax Supported Fund","Food & Ice","Other Materials & Supplies","5000"
"2021","Public Safety","Police","Police Facilities & Security","Fringe Benefits","41933.53","41933.52676","General Fund","Tax Supported Fund","General Pension","Pension","41933.52676"
"2021","Public Works","Public Works","Public Works Admin","Fringe Benefits","8119","8119","General Fund","Tax Supported Fund","Medicare","Payroll Taxes","8119"
"2021","General Government","Human Resources","Employee Training","Materials & Supplies","150","150","General Fund","Tax Supported Fund","Office Supplies & Stationery","Office Supplies","150"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Carver","Services","980","980","General Fund","Tax Supported Fund","Exterminating Service","Trades","980"
"2021","Public Works","Public Works","Mail Room","Fringe Benefits","6980.03","6980.031179","General Fund","Tax Supported Fund","General Pension","Pension","6980.031179"
"2021","General Government","Finance & Admin","Office of City Treasurer","Materials & Supplies","6500","6500","General Fund","Tax Supported Fund","Office Supplies & Stationery","Office Supplies","6500"
"2021","General Government","City Attorney","City Attorney Operations","Services","500","500","General Fund","Tax Supported Fund","Meeting Expense","Other Services","500"
"2021","Transportation","Transportation","Smart Cities Operations","Fringe Benefits","25536","25536","General Fund","Tax Supported Fund","On-site Medical Program","Other Fringe Benefits","25536"
"2021","Youth and Family Development","Youth & Family","Youth Development","Services","500","500","General Fund","Tax Supported Fund","Air Cards","Telecommunications","500"
"2021","Public Safety","Fire","Fire Administration","Services","450","450","General Fund","Tax Supported Fund","Local Registration Fees","Staff Training","450"
"2021","Public Safety","Police","Family Justice Center","Fringe Benefits","51704.32","-0.00442699","General Fund","Tax Supported Fund","Hospitalization","Insurance","-0.00442699"
"2021","General Government","City Attorney","City Attorney Operations","Fringe Benefits","-28000","-28000","General Fund","Tax Supported Fund","Budget - Attrition (Benefits)","Payroll Taxes","-28000"
"2021","General Government","Human Resources","Employees Insurance Office","Fringe Benefits","56568.87","56568.86953","General Fund","Tax Supported Fund","General Pension","Pension","56568.86953"
"2021","Youth and Family Development","Youth & Family","Recreation Admin","Vehicle Operating Expense","500","500","General Fund","Tax Supported Fund","Car Wash","Other Vehicle Costs","500"
"2021","Public Safety","Police","Police Bike Patrol","Vehicle Operating Expense","1500","1500","General Fund","Tax Supported Fund","Bicycle Repair & Maintenance","Vehicle Repairs & Maintenance","1500"
"2021","Public Works","Public Works","Park Mgmt - Playgrounds & Facilities","Services","500","500","General Fund","Tax Supported Fund","Fire Prevention Measures","Repair & Maintenance Services","500"
"2021","Public Safety","Police","Police Training Recruiting","Materials & Supplies","200","200","General Fund","Tax Supported Fund","Books","Office Supplies","200"
"2021","General Government","Finance & Admin","Capital Planning","Other Expenses","578","578","General Fund","Tax Supported Fund","Technology Cost","Fees & Licenses","578"
"2021","General Government","City Council","City Council","Services","1050","1050","General Fund","Tax Supported Fund","Employment Agencies","Other Services","1050"
"2021","Public Safety","Police","Records Management & Services","Materials & Supplies","2500","2500","General Fund","Tax Supported Fund","Clothing","Other Materials & Supplies","2500"
"2021","Public Works","Public Works","CWS Street Cleaning Crews","Salaries","3600","3600","General Fund","Tax Supported Fund","Cellphone Allowance","Allowances","3600"
"2021","Public Safety","Police","Records Management & Services","Travel Expense","300","300","General Fund","Tax Supported Fund","Meals","Meals & Lodging","300"
"2021","Public Works","Public Works","CWS Street Cleaning Crews","Materials & Supplies","1000","1000","General Fund","Tax Supported Fund","Building Maintenance Supplies","Other Materials & Supplies","1000"
"2021","Public Works","Public Works","Building Maintenance","Materials & Supplies","14000","14000","General Fund","Tax Supported Fund","Water Chemicals","Chemicals","14000"
"2021","Public Works","Public Works","Container Management","Vehicle Operating Expense","6300","6300","General Fund","Tax Supported Fund","Gasoline","Fuel","6300"
"2021","Public Works","Public Works","Shared Maint - TN Riverpark Security","Salaries","720","720","General Fund","Tax Supported Fund","Cellphone Allowance","Allowances","720"
"2021","Public Safety","Police","Police Patrol Delta","Fringe Benefits","1047843.91","1047843.909","General Fund","Tax Supported Fund","Fire & Police Pension","Pension","1047843.909"
"2021","General Government","Executive Branch","Multicultural Affairs","Materials & Supplies","7500","7500","General Fund","Tax Supported Fund","Event Planning, Services and Catering","Other Materials & Supplies","7500"
"2021","Public Works","Public Works","Shared Maint - TN Riverpark Security","Fringe Benefits","263","263","General Fund","Tax Supported Fund","Life Insurance Benefit","Insurance","263"
"2021","Public Safety","Police","Police Patrol George","Salaries","300","300","General Fund","Tax Supported Fund","On Call Pay","Other Supplements","300"
"2021","Youth and Family Development","Youth & Family","Fitness Center","Materials & Supplies","35","35","General Fund","Tax Supported Fund","Periodicals, Publications","Office Supplies","35"
"2021","Public Safety","Police","Investigative Services Command","Services","100","100","General Fund","Tax Supported Fund","Local Transportation","Other Services","100"
"2021","General Government","Finance & Admin","Finance Office","Services","11345","11345","General Fund","Tax Supported Fund","Maintenance Services","Repair & Maintenance Services","11345"
"2021","Public Safety","Fire","Fire Deputy Chief Admin","Salaries","800","800","General Fund","Tax Supported Fund","State Training Wages","Salaries & Wages","800"
"2021","Youth and Family Development","Youth & Family","Office of Community Resilience - Family Justice Center","Fringe Benefits",,"879","General Fund","Tax Supported Fund","Long-Term Disability","Insurance","879"
"2021","Youth and Family Development","Youth & Family","Recreation Admin","Travel Expense","5000","5000","General Fund","Tax Supported Fund","Transportation","Transportation","5000"
"2021","Public Works","Public Works","CWS Street Cleaning Crews","Services","4088","4088","General Fund","Tax Supported Fund","Water","Utilities","4088"
"2021","Public Safety","Fire","Fire Logistics & Technology","Materials & Supplies","650","650","General Fund","Tax Supported Fund","Safety Shoes","Other Materials & Supplies","650"
"2021","Public Safety","Police","Police Budget & Finance","Services","1600","1600","General Fund","Tax Supported Fund","Equipment Rental","Rental Services","1600"
"2021","Youth and Family Development","Youth & Family","Recreation Admin","Fringe Benefits","8064","8064","General Fund","Tax Supported Fund","On-site Medical Program","Other Fringe Benefits","8064"
"2021","Public Safety","Police","Police Patrol Bravo","Salaries","130000","130000","General Fund","Tax Supported Fund","Overtime","Overtime","130000"
"2021","Public Safety","Police","Police Budget & Finance","Materials & Supplies","3500","3500","General Fund","Tax Supported Fund","Printer Toner Cartridges","Office Supplies","3500"
"2021","Public Works","Public Works","CWS Admin","Materials & Supplies","1500","1500","General Fund","Tax Supported Fund","Building Maintenance Supplies","Other Materials & Supplies","1500"
"2021","Public Works","Public Works","Trash Flash Pick-up","Services","1224","1224","General Fund","Tax Supported Fund","Wireless Data Communication","Unallocated Costs","1224"
"2021","General Government","Finance & Admin","Finance Office","Materials & Supplies","300","300","General Fund","Tax Supported Fund","Kitchen & Dining Room Supplies","Other Materials & Supplies","300"
"2021","Public Works","Public Works","Mail Room","Other Expenses","100","100","General Fund","Tax Supported Fund","Fees, Licenses, & Permits","Fees & Licenses","100"
"2021","Public Safety","Police","Records Management & Services","Fringe Benefits","40877.76","40877.7644","General Fund","Tax Supported Fund","Other Post-employment Benefits (OPEB)","Pension","40877.7644"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Avondale","Other Expenses","1156","1156","General Fund","Tax Supported Fund","Technology Cost","Fees & Licenses","1156"
"2021","Public Safety","Fire","Fire Logistics & Technology","Materials & Supplies","3000","3000","General Fund","Tax Supported Fund","Filters, Misc","Repair & Maintenance Supplies","3000"
"2021","Public Safety","Police","Special Investigations","Materials & Supplies","300","300","General Fund","Tax Supported Fund","Office Supplies & Stationery","Office Supplies","300"
"2021","General Government","Executive Branch","Multicultural Affairs","Services","43000","43000","General Fund","Tax Supported Fund","Contracted Operations","Other Services","43000"
"2021","Public Works","Public Works","Shared Maint - Carousel Operations","Materials & Supplies","1200","1200","General Fund","Tax Supported Fund","Hardware, Nails, Small Tools","Other Materials & Supplies","1200"
"2021","Public Safety","Police","Chief of Police","Salaries","638155","638155","General Fund","Tax Supported Fund","Regular Employees","Salaries & Wages","638155"
"2021","Public Works","Public Works","CWS Admin","Services","1000","1000","General Fund","Tax Supported Fund","HVAC","Repair & Maintenance Services","1000"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - East Chattanooga","Materials & Supplies","6000","6000","General Fund","Tax Supported Fund","Recreational Supplies","Other Materials & Supplies","6000"
"2021","Public Works","Public Works","Park Mgmt - City-Wide Park Maintenance","Other Expenses","4046","4046","General Fund","Tax Supported Fund","Technology Cost","Fees & Licenses","4046"
"2021","Public Works","Public Works","Brush Pick-up","Services","5000","5000","General Fund","Tax Supported Fund","Electricity","Utilities","5000"
"2021","Transportation","Transportation","Transportation Administration","Services","9800","9800","General Fund","Tax Supported Fund","Parking","Other Services","9800"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - North Chattanooga","Fringe Benefits","6837.2","6837.2025","General Fund","Tax Supported Fund","Other Post-employment Benefits (OPEB)","Pension","6837.2025"
"2021","Public Safety","Police","Special Investigations","Salaries","14000","14000","General Fund","Tax Supported Fund","Uniform Allowance","Allowances","14000"
"2021","General Government","City Council","City Council","Materials & Supplies","2500","2500","General Fund","Tax Supported Fund","Office Supplies & Stationery","Office Supplies","2500"
"2021","General Government","Information Technology","Information Technology","Services","800","800","General Fund","Tax Supported Fund","Water","Utilities","800"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Carver","Services","3569","3569","General Fund","Tax Supported Fund","Water","Utilities","3569"
"2021","Public Safety","Fire","Fire Station # 15","Services","1900","1900","General Fund","Tax Supported Fund","Sewer","Utilities","1900"
"2021","Youth and Family Development","Youth & Family","Youth Development","Other Expenses","578","578","General Fund","Tax Supported Fund","Technology Cost","Fees & Licenses","578"
"2021","Agencies","Agencies","Approp - Bethlehem Center","Other Expenses","63700","63700","General Fund","Tax Supported Fund","Appropriations","Appropriations","63700"
"2021","Public Works","Public Works","CWS Mowing Tractors/Leaf Collection","Fringe Benefits","55577.82","55577.81818","General Fund","Tax Supported Fund","General Pension","Pension","55577.81818"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Glenwood","Fringe Benefits","278","278","General Fund","Tax Supported Fund","Long-Term Disability","Insurance","278"
"2021","Economic and Community Development","Economic & Community Development","Outdoor Chattanooga","Materials & Supplies","900","900","General Fund","Tax Supported Fund","Clothing","Other Materials & Supplies","900"
"2021","Public Works","Public Works","Shared Maint - TN Riverpark Downtown","Materials & Supplies","4000","4000","General Fund","Tax Supported Fund","Seeds, Trees, Plants, Hort Supplies","Other Materials & Supplies","4000"
"2021","General Government","Internal Audit","Internal Audit","Salaries","4425","4425","General Fund","Tax Supported Fund","Longevity","Other Supplements","4425"
"2021","Public Works","Public Works","Shared Maint - TN Riverpark Security","Materials & Supplies","155","155","General Fund","Tax Supported Fund","Clothing","Other Materials & Supplies","155"
"2021","Public Safety","Police","Police Patrol George","Fringe Benefits","2666","2666","General Fund","Tax Supported Fund","Life Insurance Benefit","Insurance","2666"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Brainerd","Services","2500","2500","General Fund","Tax Supported Fund","Water","Utilities","2500"
"2021","General Government","Purchasing","Purchasing","Services","75","75","General Fund","Tax Supported Fund","Shredding and Recycling Services","Other Services","75"
"2021","Youth and Family Development","Youth & Family","North River Center Programs","Fringe Benefits","573","573","General Fund","Tax Supported Fund","Medicare","Payroll Taxes","573"
"2021","Public Safety","Fire","Fire Station # 22","Services","5000","5000","General Fund","Tax Supported Fund","Electricity","Utilities","5000"
"2021","General Government","Human Resources","Human Resources Admin","Materials & Supplies","2500","2500","General Fund","Tax Supported Fund","Office Supplies & Stationery","Office Supplies","2500"
"2021","Economic and Community Development","Economic & Community Development","Land Development Office","Fringe Benefits","384514.05","384514.0544","General Fund","Tax Supported Fund","General Pension","Pension","384514.0544"
"2021","Public Works","Public Works","Public Works Admin","Fringe Benefits","51037.8","51037.7961","General Fund","Tax Supported Fund","Other Post-employment Benefits (OPEB)","Pension","51037.7961"
"2021","Public Safety","Police","Records Management & Services","Fringe Benefits","5349","5349","General Fund","Tax Supported Fund","Medicare","Payroll Taxes","5349"
"2021","General Government","Human Resources","Human Resources Admin","Services","2400","2400","General Fund","Tax Supported Fund","Advertising","Special Services","2400"
"2021","Public Works","Public Works","Park Mgmt - Rivermont Park","Services","800","800","General Fund","Tax Supported Fund","Equipment Rental","Rental Services","800"
"2021","Youth and Family Development","Youth & Family","Youth Dev - CAPS","Fringe Benefits","1344","1344","General Fund","Tax Supported Fund","On-site Medical Program","Other Fringe Benefits","1344"
"2021","Public Works","Public Works","Brush Pick-up","Fringe Benefits","1153","1153","General Fund","Tax Supported Fund","Long-Term Disability","Insurance","1153"
"2021","Public Works","Public Works","CWS Admin","Services","800","800","General Fund","Tax Supported Fund","Air Cards","Telecommunications","800"
"2021","Public Works","Public Works","CWS Central Business District","Materials & Supplies","2500","2500","General Fund","Tax Supported Fund","Clothing","Other Materials & Supplies","2500"
"2021","Public Safety","Police","Special Victims Unit at Family Justice Center","Fringe Benefits","2553","2553","General Fund","Tax Supported Fund","FICA (OASDI)","Payroll Taxes","2553"
"2021","General Government","Finance & Admin","City Court Clerk's Office","Salaries","720","720","General Fund","Tax Supported Fund","Cellphone Allowance","Allowances","720"
"2021","General Government","Finance & Admin","City Court Clerk's Office","Services","20800","20800","General Fund","Tax Supported Fund","Employment Agencies","Other Services","20800"
"2021","Public Works","Public Works","City Engineer","Services","150","150","General Fund","Tax Supported Fund","Meeting Expense","Other Services","150"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - First Centenary","Fringe Benefits","5794.11","5794.110379","General Fund","Tax Supported Fund","Hospitalization","Insurance","5794.110379"
"2021","Public Works","Public Works","Public Works Utilities","Services","3500","3500","General Fund","Tax Supported Fund","Fire Prevention Measures","Repair & Maintenance Services","3500"
"2021","Public Works","Public Works","Park Mgmt - Playgrounds & Facilities","Materials & Supplies","600","600","General Fund","Tax Supported Fund","Flags Banners and Signage","Other Materials & Supplies","600"
"2021","Youth and Family Development","Youth & Family","Therapeutic Programs","Materials & Supplies","700","700","General Fund","Tax Supported Fund","Clothing","Other Materials & Supplies","700"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - John A. Patten","Fringe Benefits","41472.51","41472.50631","General Fund","Tax Supported Fund","Hospitalization","Insurance","41472.50631"
"2021","Public Works","Public Works","Municipal Forestry","Vehicle Operating Expense","145009","145009","General Fund","Tax Supported Fund","Fleet Leased Vehicle","Vehicle Lease & Rental","145009"
"2021","General Government","Executive Branch","Executive Office Admin","Insurance, Claims, Damages","200","200","General Fund","Tax Supported Fund","Insurance Administrative Cost","Other Insurance","200"
"2021","General Government","Internal Audit","Internal Audit","Other Expenses","1445","1445","General Fund","Tax Supported Fund","Technology Cost","Fees & Licenses","1445"
"2021","Transportation","Transportation","Transportation Administration","Other Expenses","600","600","General Fund","Tax Supported Fund","Fees, Licenses, & Permits","Fees & Licenses","600"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - East Lake","Services","5600","5600","General Fund","Tax Supported Fund","Electricity","Utilities","5600"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Shepherd","Fringe Benefits","5376","5376","General Fund","Tax Supported Fund","On-site Medical Program","Other Fringe Benefits","5376"
"2021","General Government","Human Resources","Employees Insurance Office","Fringe Benefits","5376","5376","General Fund","Tax Supported Fund","On-site Medical Program","Other Fringe Benefits","5376"
"2021","Public Works","Public Works","CWS Mowing Tractors/Leaf Collection","Vehicle Operating Expense","150000","150000","General Fund","Tax Supported Fund","Vehicle Parts & Supplies","Vehicle Repairs & Maintenance","150000"
"2021","General Government","City Council","City Council","Materials & Supplies","300","300","General Fund","Tax Supported Fund","Kitchen & Dining Room Supplies","Other Materials & Supplies","300"
"2021","General Government","Judges","City Judges Division 1","Fringe Benefits","495","495","General Fund","Tax Supported Fund","Long-Term Disability","Insurance","495"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Hixson","Services","1200","1200","General Fund","Tax Supported Fund","Waste Disposal","Other Services","1200"
"2021","Public Safety","Police","Police Patrol Fox","Fringe Benefits","994538.1","994538.097","General Fund","Tax Supported Fund","Fire & Police Pension","Pension","994538.097"
"2021","Economic and Community Development","Economic & Community Development","ECD - Home Repair Program","Materials & Supplies","15000","15000","General Fund","Tax Supported Fund","Other Materials & Supplies","Other Materials & Supplies","15000"
"2021","Agencies","Agencies","Approp - AIM Center, Inc","Other Expenses","63700","63700","General Fund","Tax Supported Fund","Appropriations","Appropriations","63700"
"2021","Economic and Community Development","Economic & Community Development","Code Enforcement Office","Services","1500","1500","General Fund","Tax Supported Fund","License Testing","Special Services","1500"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Brainerd","Materials & Supplies","6000","6000","General Fund","Tax Supported Fund","Recreational Supplies","Other Materials & Supplies","6000"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Brainerd","Fringe Benefits","325","325","General Fund","Tax Supported Fund","Long-Term Disability","Insurance","325"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Hixson","Fringe Benefits","41200.53","41200.52539","General Fund","Tax Supported Fund","Hospitalization","Insurance","41200.52539"
"2021","Public Works","Public Works","City Engineer","Vehicle Operating Expense","11836","11836","General Fund","Tax Supported Fund","Fleet Leased Vehicle","Vehicle Lease & Rental","11836"
"2021","Economic and Community Development","Economic & Community Development","Board of Appeals & Variances","Services","6000","6000","General Fund","Tax Supported Fund","Meeting Expense","Other Services","6000"
"2021","General Government","Purchasing","Purchasing","Other Expenses","50","50","General Fund","Tax Supported Fund","Fees, Licenses, & Permits","Fees & Licenses","50"
"2021","Public Works","Public Works","Public Works Admin","Services","1000","1000","General Fund","Tax Supported Fund","Meeting Expense","Other Services","1000"
"2021","Public Works","Public Works","Garbage Pick-up","Salaries","893882","893882","General Fund","Tax Supported Fund","Regular Employees","Salaries & Wages","893882"
"2021","Public Safety","Police","Police Patrol Delta","Services","3000","3000","General Fund","Tax Supported Fund","Water","Utilities","3000"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Tyner","Services","800","800","General Fund","Tax Supported Fund","Waste Disposal","Other Services","800"
"2021","General Government","Finance & Admin","Finance Office","Services","5000","5000","General Fund","Tax Supported Fund","On-the-Job Injury Claims","Medical Services","5000"
"2021","Public Safety","Police","Internal Affairs","Fringe Benefits","10227","10227","General Fund","Tax Supported Fund","Medicare","Payroll Taxes","10227"
"2021","General Government","Finance & Admin","Finance Office","Travel Expense","500","500","General Fund","Tax Supported Fund","Auto Rental","Transportation","500"
"2021","Transportation","Transportation","Smart Cities Operations","Services","140000","140000","General Fund","Tax Supported Fund","Electricity Plant Charges Acct # 30-0039.000 Line 1","Utilities","140000"
"2021","General Government","311 - Call Center","311 Call Center","Salaries","3300","3300","General Fund","Tax Supported Fund","Longevity","Other Supplements","3300"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Brainerd","Services","1430","1430","General Fund","Tax Supported Fund","Exterminating Service","Trades","1430"
"2021","Youth and Family Development","Youth & Family","Recreation Support Services","Services","500","500","General Fund","Tax Supported Fund","Exterminating Service","Trades","500"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - South Chattanooga","Fringe Benefits","11994.55","11994.553","General Fund","Tax Supported Fund","Other Post-employment Benefits (OPEB)","Pension","11994.553"
"2021","General Government","Judges","City Judges Division 2","Services","2307","2307","General Fund","Tax Supported Fund","Parking","Other Services","2307"
"2021","Youth and Family Development","Youth & Family","Therapeutic Programs","Salaries","92691","92691","General Fund","Tax Supported Fund","Regular Employees","Salaries & Wages","92691"
"2021","Public Safety","Fire","Fire Station # 3 Tiftonia","Services","395","395","General Fund","Tax Supported Fund","Maintenance Services","Repair & Maintenance Services","395"
"2021","Public Works","Public Works","Recycle Pick-up","Fringe Benefits","23729.96","23729.9581","General Fund","Tax Supported Fund","Other Post-employment Benefits (OPEB)","Pension","23729.9581"
"2021","Youth and Family Development","Youth & Family","Rec Ctr - Tyner","Services","3500","3500","General Fund","Tax Supported Fund","Water","Utilities","3500"
"2021","Public Works","Public Works","GIS","Salaries","500","500","General Fund","Tax Supported Fund","Incentive Awards","Incentives","500"
"2021","Public Works","Public Works","CWS Street Cleaning Crews","Vehicle Operating Expense","23700","23700","General Fund","Tax Supported Fund","Diesel Fuel","Fuel","23700"
"2021","Public Works","Public Works","Shared Maint - TN Riverpark Security","Vehicle Operating Expense","50","50","General Fund","Tax Supported Fund","Car Wash","Other Vehicle Costs","50"
