"fiscal_year","service","department","project","project_id","fund_type","fund","thru_fy_actuals","fy_approved"
"2018","Transportation","Transportation","South Chick Greenway - Youngstown Connector","FY18-053","Local","Pay-As-You-Go",,"466508"
"2018","Public Works","Public Works","Greenway Farm Conference Center Replacement","FY18-039","Local","Pay-As-You-Go",,"50000"
"2018","Public Works - Enterprise Funds","Solid Waste","New Solid Waste and Recycle Facility","FY18-044","User Fees","Pay-As-You-Go",,"1750000"
"2018","Public Works","Public Works","Walnut Street Pedestrian Bridge","FY16-043","Local","Pay-As-You-Go",,"4300000"
"2018","Public Works","Public Works","Litter Receptacle Replacement","FY18-041","Local","Pay-As-You-Go",,"100000"
"2018","General Government","General Government","City Network Rebuild","FY17-26","Local","Pay-As-You-Go",,"50000"
"2018","Transportation","Transportation","Goodwin Road Extension","FY16-049","External","Federal",,"520000"
"2018","Public Works - Enterprise Funds","Water Quality","Patten Parkway Detention Facility","FY17-49","User Fees","Pay-As-You-Go",,"3000000"
"2018","Public Safety","Fire","Apparatus Replacement Plan","FY16-025","Local","Tax-Supported Debt",,"1200000"
"2018","Gen Services","Public Works","City Facilities Assessment","FY18-038","Local","Pay-As-You-Go",,"200000"
"2018","Transportation","Transportation","Hwy 58 Shared Use Path","FY17-187","External","Federal",,"979815"
"2018","General Government","General Government","Library Main Branch HVAC","FY18-017","Local","Tax-Supported Debt",,"900000"
"2018","Gen Services","Public Works","City Buildings & YFD Centers Major Maintenance","FY18-037","Local","Tax-Supported Debt",,"1595094"
"2018","Public Works - Enterprise Funds","Interceptor Sewer System","MBWWTP Renewable Energy Project","FY18-024","User Fees","Pay-As-You-Go",,"750000"
"2018","Public Works - Enterprise Funds","Interceptor Sewer System","MBWWTP Laboratory Equipment Purchase","FY18-023","User Fees","Pay-As-You-Go",,"100000"
"2018","General Government","General Government","Tivoli Foundation Annual Capital Appropriation","FY16-016","Local","Pay-As-You-Go",,"250000"
"2018","Youth & Family","Youth & Family Development","Avondale YFD Center Site Improvements","FY17-71","Local","Pay-As-You-Go",,"225000"
"2018","Economic & Community Development","Economic & Community Development","Miller Park District","FY16-001","External","Community Foundation of Greater Chattanooga",,"15000"
"2018","Transportation","Transportation","CDOT Fleet","FY18-048","Local","Pay-As-You-Go",,"115000"
"2018","Public Works - Enterprise Funds","Water Quality","Central Avenue Ext Separation Project","FY18-058","User Fees","Pay-As-You-Go",,"1700000"
"2018","Transportation","Transportation","Patten Parkway","FY18-049","External","Benwood Foundation",,"1000000"
"2018","General Government","General Government","CARTA Capital Match","FY16-004","Local","Pay-As-You-Go",,"352112"
"2018","Transportation","Transportation","CDBG Sidewalks","FY16-047","Local","Pay-As-You-Go",,"100000"
"2018","Transportation","Transportation","Street Resurfacing & Improvements (Paving)","FY16-061","External","Federal",,"800000"
"2018","Public Works - Enterprise Funds","Interceptor Sewer System","Pump Station Safety Upgrade","FY18-028","User Fees","Pay-As-You-Go",,"1250000"
"2018","Transportation","Transportation","3rd/4th Street Corridor","FY18-045","External","Federal",,"471360"
"2018","Economic & Community Development","Economic & Community Development","Alton Park Riverwalk Connector","FY17-205","Local","Pay-As-You-Go",,"200000"
"2018","General Government","General Government","Fallen Five Memorial","FY18-013","Local","Pay-As-You-Go",,"250000"
"2018","Public Works - Enterprise Funds","Interceptor Sewer System","MBWWTP EQ Blower Replacement-Phase 2","FY18-022","User Fees","Pay-As-You-Go",,"16100000"
"2018","Economic & Community Development","Economic & Community Development","Public Art","FY16-002","Local","Pay-As-You-Go",,"50000"
"2018","Public Works - Enterprise Funds","Water Quality","Cummings Hwy and I-24","FY18-059","User Fees","Pay-As-You-Go",,"450000"
"2018","Transportation","Transportation","Bridge Repair & Replacement","FY18-047","External","Federal",,"60000"
"2018","Economic & Community Development","Economic & Community Development","Lincoln Park Improvements","FY18-003","Local","Pay-As-You-Go",,"200000"
"2018","Public Works - Enterprise Funds","Interceptor Sewer System","Tennessee River 13 Rehabilitation","FY18-032","State Revolving Loan Fund","User Fee Supported Debt",,"7000000"
"2018","General Government","General Government","HR Occupational Safety and Health Mgmt System","FY18-015","Local","Pay-As-You-Go",,"25000"
"2018","General Government","General Government","Erlanger Children's Hospital","FY18-012","Local","Pay-As-You-Go",,"250000"
"2018","Economic & Community Development","Economic & Community Development","Lupton City Cleanup","FY18-004","Local","Pay-As-You-Go",,"1500000"
"2018","Public Safety","Fire","Fire Records Management System Upgrade","FY18-008","Local","Pay-As-You-Go",,"325000"
"2018","Public Works - Enterprise Funds","Interceptor Sewer System","Friars Branch Interceptor Improvements - Phase 1","FY18-021","State Revolving Loan Fund","User Fee Supported Debt",,"5000000"
"2018","Transportation","Transportation","South Chick Greenway - Youngstown Connector","FY18-053","External","Federal",,"773493"
"2018","Public Works - Enterprise Funds","Interceptor Sewer System","Plant Maintenance Equipment Purchase","FY18-027","User Fees","Pay-As-You-Go",,"100000"
"2018","Public Works","Public Works","Walnut Street Pedestrian Bridge","FY16-043","External","Federal",,"5600000"
"2018","General Government","General Government","Chattanooga Zoo: Africa Expansion","FY18-009","Local","Pay-As-You-Go",,"250000"
"2018","Public Works","Public Works","Holmberg Bridge Panel Replacement","FY18-040","Local","Pay-As-You-Go",,"400000"
"2018","General Government","General Government","Citywide Security Cameras","FY18-010","Local","Pay-As-You-Go",,"500000"
"2018","Public Works - Enterprise Funds","Water Quality","East Lake WQ Restoration","FY17-27","User Fees","User Fee Supported Debt",,"169000"
"2018","Economic & Community Development","Economic & Community Development","Miller Park District","FY16-001","External","Benwood Foundation",,"500000"
"2018","Public Works - Enterprise Funds","Interceptor Sewer System","South Chickamauga Creek 4 Rehabilitation","FY18-030","State Revolving Loan Fund","User Fee Supported Debt",,"11000000"
"2018","Transportation","Transportation","3rd/4th Street Corridor","FY18-045","Local","Pay-As-You-Go",,"56262"
"2018","Youth & Family","Youth & Family Development","YFD Renovation Planning","FY18-062","Local","Pay-As-You-Go",,"200000"
"2018","Public Works - Enterprise Funds","Interceptor Sewer System","Program Management For Consent Decree Implementation","FY17-96","User Fees","Pay-As-You-Go",,"2000000"
"2018","Transportation","Transportation","Street Resurfacing & Improvements (Paving)","FY16-061","Local","Pay-As-You-Go",,"3100000"
"2018","Transportation","Transportation","Riverwalk Phase 4","FY18-050","Local","Pay-As-You-Go",,"153500"
"2018","Economic & Community Development","Economic & Community Development","Skate Park Planning","FY18-005","Local","Pay-As-You-Go",,"25000"
"2018","Transportation","Transportation","Transit Signal Priority","FY17-19","Local","Pay-As-You-Go",,"250000"
"2018","Public Safety","Fire","Capital Maintenance and Repair Projects","FY18-007","Local","Pay-As-You-Go",,"180700"
"2018","Transportation","Transportation","Central Avenue Extension","FY16-048","External","Federal",,"233231"
"2018","Public Works - Enterprise Funds","Interceptor Sewer System","Solids Process Optimization Implementation Ph2","FY17-94","User Fees","Pay-As-You-Go",,"2000000"
"2018","Transportation","Transportation","Bridge Repair & Replacement","FY18-047","Local","Pay-As-You-Go",,"215000"
"2018","Economic & Community Development","Economic & Community Development","Miller Park District","FY16-001","External","Lyndhurst Foundation",,"500000"
"2018","Public Safety","Police","Police Precinct Safety Improvements","FY18-035","Local","Pay-As-You-Go",,"38000"
"2018","General Government","General Government","Ed Johnson Memorial","FY18-011","Local","Pay-As-You-Go",,"100000"
"2018","Transportation","Transportation","Transit Signal Priority","FY17-19","External","Federal",,"1000000"
"2018","Public Works - Enterprise Funds","Water Quality","East Lake WQ Restoration","FY17-27","External","Lyndhurst Foundation",,"100000"
"2018","Transportation","Transportation","Sidewalks","FY16-055","Local","Tax-Supported Debt",,"1000000"
"2018","General Government","General Government","Data Center Relocation","FY16-020","Local","Pay-As-You-Go",,"450000"
"2018","Public Works","Public Works","Public Works Vehicle / Equipment Replacement Plan","FY18-043","Local","Pay-As-You-Go",,"560000"
"2018","Transportation","Transportation","Roadway Slope Failure","FY18-052","Local","Pay-As-You-Go",,"300000"
"2018","Public Works - Enterprise Funds","Interceptor Sewer System","Central Avenue Interceptor Sewer","FY18-018","User Fees","Pay-As-You-Go",,"750000"
"2018","Public Works - Enterprise Funds","Interceptor Sewer System","MBWWTP Water Use and Reuse Implementation","FY18-025","User Fees","Pay-As-You-Go",,"1100000"
"2018","Transportation","Transportation","Traffic Congestion Reduction Cameras","FY18-054","Local","Pay-As-You-Go",,"375000"
"2018","Public Works","Public Works","Parks, Playgrounds, Fields Maintenance","FY18-042","Local","Pay-As-You-Go",,"300000"
"2018","Gen Services","Public Works","Building Energy Efficiency Upgrades","FY18-036","Local","Tax-Supported Debt",,"600000"
"2018","Public Safety","Police","Conductive Electronic Weapons (CEWs)","FY17-21","Local","Pay-As-You-Go",,"173187"
"2018","Transportation","Transportation","Traffic Congestion Reduction Cameras","FY18-054","External","Federal",,"1500000"
"2018","Public Safety","Police","In-Car Laptops","FY16-030","Local","Pay-As-You-Go",,"300000"
"2018","Transportation","Transportation","Riverwalk Phase 4","FY18-050","External","Hamilton County",,"153500"
"2018","General Government","General Government","Library Electrical Upgrade","FY18-016","Local","Tax-Supported Debt",,"200000"
