"area_designation_code","collision_date","event_code","crash_type_code","collision_manner","block_number","mile_marker_number","road_name","road_suffix","city","intersection_road_name","intersection_road_suffix","alcohol_involved","drug_involved","hit_and_run","intersection_type","light_conditions","weather_code","injured_number","noninjured_number","fatalities_number","motorists_number","nonmotorist_number","units_number","junction_relation","road_relation","route_type","workers_present","work_zone_code","latitude","longitude","location_wkt"
,"2017-04-05T13:00:00.000",,"Property Damage Under",,"7700","0","IGOU GAP RD",,"Chattanooga","GRAY RD",,,,"false","Traffic Circle",,,"0","0","0","2","0","2",,,,,"None","35.02273","-85.14625","POINT (35.02273 -85.14625)"
,"2017-04-01T18:04:00.000",,"Property Damage Under",,"2115","0","GUNBARREL RD",,"Chattanooga",,,,,"false",,,,"0","0","0","2","0","2",,,,,"None","35.03417","-85.15586","POINT (35.03417 -85.15586)"
,"2017-03-18T14:45:00.000",,"Property Damage Under",,,"0","TREMONT ST",,"Chattanooga","TAMPA ST",,,,"false","Y-Intersection",,,"0","0","0","1","0","2",,,,,"None","35.0629","-85.30368","POINT (35.0629 -85.30368)"
,"2017-03-09T13:03:00.000",,"Property Damage Under",,"4000","0","N SYLVAN AVE",,"Chattanooga","EAST AVE",,,,"false","Not at Intersection",,,"0","0","0","7","0","2",,,,,"None","35.03583","-85.23111","POINT (35.03583 -85.23111)"
,"2017-03-04T11:30:00.000",,"Property Damage Under",,"4000","0","MANOR RD",,"Chattanooga",,,,,"false",,,,"0","0","0","1","0","2",,,,,"None","35.01886","-85.2384","POINT (35.01886 -85.2384)"
,"2017-03-03T00:00:00.000",,"Property Damage Under",,,"0","E 27TH ST",,"Chattanooga","2ND AVE",,,,"false","Not at Intersection",,,"0","0","0","1","0","2",,,,,"None","35.01262","-85.28418","POINT (35.01262 -85.28418)"
,"2017-02-23T12:15:00.000",,"Property Damage Under",,"600","0","WALNUT ST",,"Chattanooga",,,,,"false",,,,"0","0","0","1","0","2",,,,,"None","35.04905","-85.30744","POINT (35.04905 -85.30744)"
,"2017-02-22T22:09:00.000",,"Property Damage Under",,"3410","0","AMNICOLA HWY",,"Chattanooga","WISDOM ST",,,,"false","Not at Intersection",,,"0","0","0","2","0","2",,,,,"None","35.08156","-85.26403","POINT (35.08156 -85.26403)"
,"2017-02-17T12:30:00.000",,"Property Damage Under",,"2200","0","DODDS AVE",,"Chattanooga","WESTSIDE DR",,,,"false","Not at Intersection",,,"0","0","0","2","0","2",,,,,"None","35.01582","-85.27352","POINT (35.01582 -85.27352)"
,"2017-02-14T14:12:00.000",,"Property Damage Under",,"18400","183.35","I 24",,"Chattanooga",,,,,"false","Not at Intersection",,,"0","0","0","3","0","2",,,,,"None","35.01221","-85.2473","POINT (35.01221 -85.2473)"
,"2017-02-12T13:03:00.000",,"Property Damage Under",,"4500","0","ROSSVILLE BLVD",,"Chattanooga","E 45TH ST",,,,"false","T-Intersection",,,"0","0","0","2","0","2",,,,,"None","34.9916","-85.29023","POINT (34.9916 -85.29023)"
,"2017-01-31T12:22:00.000",,"Property Damage Under",,"500","0","SIGNAL MOUNTAIN RD",,"Chattanooga",,,,,"false",,,,"0","0","0","1","0","2",,,,,"None","35.09297","-85.33183","POINT (35.09297 -85.33183)"
,"2017-01-23T13:38:00.000",,"Property Damage Under",,"501","0","SIGNAL MOUNTAIN RD",,"Chattanooga",,,,,"false","Not at Intersection",,,"0","0","0","2","0","2",,,,,"None","35.09323","-85.33189","POINT (35.09323 -85.33189)"
,"2017-01-22T19:48:00.000",,"Property Damage Under",,,"179.7","I 24",,"Chattanooga",,,,,"false","Not at Intersection",,,"0","0","0","1","0","1",,,,,"None","35.02477","-85.30146","POINT (35.02477 -85.30146)"
,"2017-01-15T15:00:00.000",,"Property Damage Under",,"700","0","W 47TH ST",,"Chattanooga","CAIN AVE",,,,"false","Not at Intersection",,,"0","0","0","1","0","2",,,,,"None","35.00115","-85.32132","POINT (35.00115 -85.32132)"
,"2016-12-18T08:30:00.000",,"Property Damage Under",,,"0","BLOSSOM CIR",,"Chattanooga","TYNER RD",,,,"false","Not at Intersection",,,"0","0","0","2","0","2",,,,,"None","35.06088","-85.15081","POINT (35.06088 -85.15081)"
,"2016-12-09T22:00:00.000",,"Property Damage Under",,,"0","15TH AVE",,"Chattanooga","WESTSIDE DR",,,,"false","Not at Intersection",,,"0","0","0","1","0","1",,,,,"None","35.01308","-85.27187","POINT (35.01308 -85.27187)"
,"2016-11-15T18:51:00.000",,"Property Damage Under",,"4100","0","JERSEY PIKE",,"Chattanooga","HIGHWAY 153NB",,,,"false","Not at Intersection",,,"0","0","0","1","0","1",,,,,"None","35.06538","-85.19472","POINT (35.06538 -85.19472)"
,"2016-11-14T01:38:00.000",,"Property Damage Under",,"5604","0","HIXSON PIKE",,"Chattanooga",,,,,"false",,,,"0","0","0","2","0","2",,,,,"None","35.14569","-85.22286","POINT (35.14569 -85.22286)"
,"2016-11-01T23:39:00.000",,"Property Damage Under",,"1870","0","GREENWOOD RD",,"Chattanooga",,,,,"false",,,,"0","0","0","2","0","2",,,,,"None","35.05776","-85.24203","POINT (35.05776 -85.24203)"
,"2016-10-28T14:45:00.000",,"Property Damage Under",,"300","0","VINE ST",,"Chattanooga","DOUGLAS ST",,,,"false","Four-Way",,,"0","0","0","2","0","2",,,,,"None","35.04801","-85.30049","POINT (35.04801 -85.30049)"
,"2016-10-25T17:23:00.000",,"Property Damage Under",,"5437","0","HIGHWAY 153",,"Chattanooga",,,,,"false",,,,"0","0","0","2","0","2",,,,,"None","35.14057","-85.24847","POINT (35.14057 -85.24847)"
,"2016-10-22T15:57:00.000",,"Property Damage Under",,"5400","0","NORTHPOINT BLVD",,"Chattanooga",,,,,"false",,,,"0","0","0","4","0","2",,,,,"None","35.13911","-85.24565","POINT (35.13911 -85.24565)"
,"2016-10-03T16:45:00.000",,"Property Damage Under",,"5900","0","HIGHWAY 58",,"Chattanooga",,,,,"false",,,,"0","0","0","2","0","2",,,,,"None","35.1152","-85.12803","POINT (35.1152 -85.12803)"
,"2016-09-28T13:31:00.000",,"Property Damage Under",,"2440","0","NORTHBRIER CIR",,"Chattanooga",,,,,"false",,,,"0","0","0","2","0","2",,,,,"None","35.06075","-85.23171","POINT (35.06075 -85.23171)"
,"2016-09-25T00:00:00.000",,"Property Damage Under",,"5764","0","HIGHWAY 153",,"Chattanooga",,,,,"false",,,,"0","0","0","1","0","2",,,,,"None","35.15258","-85.24722","POINT (35.15258 -85.24722)"
,"2016-09-22T13:25:00.000",,"Property Damage Under",,"4901","0","BONNY OAKS DR",,"Chattanooga",,,,,"false",,,,"0","0","0","2","0","2",,,,,"None","35.07364","-85.19034","POINT (35.07364 -85.19034)"
,"2016-09-20T00:00:00.000",,"Property Damage Under",,"1507","0","GREENWAY DR",,"Chattanooga",,,,,"false",,,,"0","0","0","1","0","2",,,,,"None","35.02535","-85.17755","POINT (35.02535 -85.17755)"
