"project_id","project_name","vision","project_description","budget","under_contract_not_spent","amount_spent","project_stage","website","project_category","budget_indicator","budget_indicator_narrative","schedule_indicator","schedule_indicator_narrative","design_completion_date","construction_completion_date","project_start_optional_field","project_end_optional_field","design_firm","construction_firm","funding_source_s","project_image","zone"
"C2113","ENCORE GREENWAY GATEWAY","Community","The goal of the Encore Greenway Gateway project is to improve the connectivity (safety and simplicity) to the Big Creek Greenway from the intersection of Encore Parkway and North Point Parkway.  Project will provide connectivity of the Big Creek Greenway to the west side of GA 400 and introduce a gateway feature to bring attention to the greenway.  Project status meeting was held on January 10, 2022.  AECOM is working on the construction plans and Design team is communicating with Recreation/Parks/Cultural Services and NFCID regarding the selection of railing, benches, garbage cans, bike racks, etc.  A revised completion date of design will be examined once the City obtains access to the property and the design teams finishes all of the necessary soil borings.  Design of the project is currently on-hold.","628096","472526","155568.93","Design",,"Greenways","Green","Project is on budget.","Green","Project is on schedule.","TBD","2023 (Oct.)",,,"AECOM","TBD","T-SPLOST","https://alpharetta.data.socrata.com/api/views/yuke-ij4s/files/e8f39d64-d7e6-4b45-8d30-ef93ae42fff8","citywide"
"C2104","WEBB BRIDGE ROAD (NORTH POINT PARKWAY TO GREENWAY)","Environment","This project will include the design of a new bridge over Big Creek to replace the existing vehicular and pedestrian bridges and of a 10' wide multi-use trail with a 6' wide planting strip along Webb Bridge Road from east of North Point Parkway to the Big Creek Greenway culvert under Webb Bridge Road.  Street trees and pedestrian lighting will be provided along the shoulders.  The design will seek to preserve the existing streetscape along the frontage of East Gate Subdivision.  The new bridge will provide two 10.5' travel lanes, header curb, 2' separation (stamped concrete or concrete pavers) and a 10' multi-use trail.  Bike accommodations will be provided on the roadway from east of North Point Parkway to west of the proposed new bridge over Big Creek.  At that point, bicyclists will be merged onto the multi-use trails.  Refined concept plans and decision matrix were submitted on February 15, 2021.  The design team was given direction to move forward with the ""Alternate 3"" concept based on this information.  Design team is proceeding with Alternate 3 which calls for the new bridge to be constructed parallel to the existing bridge.  This alternate minimizes environmental impacts and property needs from the Alpharetta High School property but does have greater impacts on City-owned property east of Big Creek and ties back to the existing Webb Bridge alignment further to the east.  Preliminary plans were scheduled to be submitted to the City on July 28, 2021.  Due to additional QA/QC items discovered during staffing transitions on this project and the Greenway to Webb Bridge Way project, the design team requested delaying the submittal of preliminary plans to August 13, 2021.  The extra two weeks will be made up during development and finalization of the right of way plans and will not impact the overall schedule.  Right of way plans were submitted on October 4, 2021.  Current Activity includes Design team working on final plans to include 10.5' lanes and 2' curb and gutter where there are no bike lanes.  Submittal of Final Plans are anticipated for April 25, 2022.","692508","310365","382143","Construction",,"Roadways","Green","Project is on budget.","Green","Project is on schedule.","2022 (Feb.)","2024 (Sept.)",,,"Pond & Company","Excellere Construction LLC","T-SPLOST","https://alpharetta.data.socrata.com/api/views/fxhk-sunr/files/59b19427-f885-4f2f-aadb-af8a1afabc7a","citywide"
"C2054","GA 400 BRIDGES","Environment","This project will add aesthetic elements to the bridges over GA 400 along Tradewinds Parkway, Kimball Bridge Road and Webb Bridge Road following the design of Encore Parkway.","4886000","4148571","737429","Bidding",,"Roadways","Green","Project is on budget.","Green","Project is on schedule.","N/A","2025 (Dec.)",,,"TBD","TBD","T-SPLOST","https://alpharetta.data.socrata.com/api/views/s36c-a522/files/eebd2a81-a3a6-4056-bea5-eb7679ac3d38","citywide"
"C1935","WINDWARD PARKWAY WESTBOUND WIDENING - NORTH POINT PARKWAY TO GEORGIA 400","Environment","This is one of two projects which evolved from the conceptual design work comprising the ""Windward Parkway Business District/Union Hill Road Capacity Improvements - TSPLOST Project"".  The project limits are from North Point Parkway to the northbound Georgia 400 on-ramp.  Improvements will include: (1) The installation of a third travel lane from North Point Parkway to the northbound Georgia 400 on-ramp.  All travel lanes will be 11' wide. (2) The installation of a 4' bike lane. (3) The installation of a 6' wide sidewalk. (4) The lengthening of the existing dual left-turn lanes from westbound Windward Parkway to southbound North Point Parkway.  The typical section will seek to match that of the ""Windward Parkway Triple Left-Turn Lane at Georgia 400 Interchange"" project.  On Monday, May 6, 2019 design of the project was awarded to Tetra Tech, Inc. in the amount of $210,500.00.  Bids were received on Thursday, May 14, 2020.  The project was awarded to Sol Construction, LLC by City Council on Monday, June 15, 2020.  The Notice to Proceed was issued August 8, 2020.  Project was substantially completed on August 13, 2021 and punchlist issued on August 30, 2021.  For any additional information, please contact Pete Sewczwicz, Public Works Director, at 678-297-6219 or psewczwicz@alpharetta.ga.us or Andrew Echols, Assistant Construction Manager, at 678-297-6238 or aechols@alpharetta.ga.us.","1302037","108975.39","1182285.75","Completed","http://alpharetta.maps.arcgis.com/apps/MapJournal/index.html?appid=c2930590bb57457b908c8d9ec82caba0&section=38","Roadways","Green","Project is on budget.","Green","Project is on schedule.","2020 (Feb.)","2021 (Aug.)",,,"Tetra Tech, Inc.","Sol Construction LLC","T-SPLOST","https://alpharetta.data.socrata.com/api/views/59n8-d8mp/files/8e92cae9-97a2-497c-8b6d-7f0b840560f8","citywide"
"C1934","WINDWARD PARKWAY EASTBOUND WIDENING - WESTSIDE PARKWAY TO NORTH POINT PARKWAY","Environment","This is one of two projects which evolved from the conceptual design work comprising the ""Windward Parkway Business District/Union Hill Road Capacity Improvements - TSPLOST Project"".  The project limits are from Westside Parkway to North Point Parkway.  Improvements will include: (1) The installation of a third travel lane from Westside Parkway to the southbound Georgia 400 on-ramp.  All travel lanes will be 11' wide. (2) The installation of a 4' bike lane. (3) The installation of a 6' wide sidewalk.  The typical section will seek to match that of the ""Windward Parkway Triple Left-Turn Lane at Georgia 400 Interchange"" project.  On Monday, May 6, 2019 design of the project was awarded to Tetra Tech, Inc. in the amount of $302,830.00.  Design is complete.  Bids were received on Thursday, May 14, 2020.  Project was awarded to Sol Construction, LLC by City Council on Monday, June 15, 2020.  The Notice to Proceed was issued August 8, 2020 and the project duration is anticipated to be 365 days.  Current activity includes Atlanta Gas Light relocating their facilities on the corner of Westside Pkwy and Windward Pkwy.  Recent milestone is the completion of asphalt paving from Westside Pkwy to GA 400 excluding the area where Atlanta Gas Light underground vaults and AT&T conduit are in conflict.  Permanent striping is complete.  Next milestones include utility relocations on the corner of Westside Pkwy and Windward Pkwy and the remaining curb and gutter, sidewalk and asphalt paving to be completed in this area.  Project completion has now been extended until April 29, 2022 due to multiple utility conflicts.  AT&T is currently working to complete utility relocations.  For any additional information, please contact Pete Sewczwicz, Public Works Director, at 678-297-6219 or psewczwicz@alpharetta.ga.us or Andrew Echols, Assistant Construction Manager, at 678-297-6238 or aechols@alpharetta.ga.us.","1639117","363186.24","1275416.61","Construction","http://alpharetta.maps.arcgis.com/apps/MapJournal/index.html?appid=c2930590bb57457b908c8d9ec82caba0&section=37","Roadways","Green","Project is on budget.","Yellow","Project is behind schedule.","2020 (Feb.)","2021 (Dec.)",,,"Tetra Tech, Inc.","Sol Construction LLC","T-SPLOST","https://alpharetta.data.socrata.com/api/views/t89e-k9y3/files/6803cacc-e76a-4fa5-9ad0-3a6af19a2040","citywide"
"C1933","WEBB BRIDGE ROAD BIKE/PED/OPERATIONAL IMPROVEMENTS","Environment","This is one of two projects which evolved from the conceptual design work and community meetings comprising the ""Academy Street/Webb Bridge Road: Bike/Ped/Operational Improvements - TSPLOST Project"".  The project limits are from the Big Creek Greenway crossing to Webb Bridge Way.  Improvements include: (1) The installation of 8' wide sidewalks along both sides of Webb Bridge Road. (2) The installation of 4' bike lanes in both directions of travel along Webb Bridge Road. (3) A 3' wide ""beauty"" strip will be provided on each side of Webb Bridge Road between the sidewalk and curb line.  5'x5' tree wells/grates will be incorporated into this area and adjacent sidewalk. (4) The evaluation of a single-lane roundabout with slip lanes at the intersection with Southlake Drive / Park Bridge Park way. (5) The installation of a single-lane roundabout at the intersection with Webb Bridge Way. (6) The installation of pedestrian lighting along both sides of Webb Bridge Road and roadway lighting at the roundabouts.  On Monday, May 6, 2019 design of the project was awarded to Pond & Company in the amount of $499,717.50.  On Monday, November 11, 2019, Change Order #1 was approved by City Council, which increased the total design cost by $155,942.96 to $648,660.46.  Change Order #1 key tasks include expanding the project limits further east along Webb Bridge Road and Webb Bridge Way.  (SEGMENT A - GREENWAY to WESTWINDS)  Design team submitted a bid package to the City on March 20, 2021.  Bid documents were completed and project advertised for bids on March 25, 2021.  A total of three bids were received on April 22, 2021.  The low bid amount is $874,800.00.  A pre-award meeting was held on April 30, 2021 with the apparent low bidder, Excellere Construction LLC.  Bid was awarded by City Council on May 17, 2021.  Current Activity - Curb installation, sidewalk installation, elevated trail construction and grading.  (SEGMENT B - ROUNDABOUT to WEBB BRIDGE PARK)  Design team resubmitted 60% plans on May 4, 2021.  Preliminary comments were provided to the design team on May 17, 2021.  City Council approved Change Order #2 to the design scope which widens the planting strip from 3ft to 6ft and the sidewalk from 8ft to 10ft.  Design team submitted initial right of way plans for review on July 21, 2021 and comments were provided to the design team on July 26, 2021.  Due to staffing transition at Pond & Company, the project schedule has been revised.  The design team's overall schedule was extended approx. one week and completion of right of way plans was extended approx. one month which is anticipated to cause a one month delay on completing right of way acquisition and being able to begin construction procurement phase.  Current Activity - Pond is reviewing final cost estimates vs. 90% cost estimates.  Property appraiser is preparing offer packages for ROW and easement acquisition.  (SEGMENT C - WESTWIND to ROUNDABOUT)  Design team revised plans to reflect wider sidewalk and landscape strip and resubmitted 60% plans on May 4, 2021.  City Council approved Change Order #2 to the design scope which widens the planting strip from 3ft to 6ft and the sidewalk from 8ft to 10ft.  Preliminary comments were provided to the design team on May 17, 2021.  Design team submitted their initial right of way plans for review on July 21, 2021.  Comments were provided to the design team on July 26, 2021.  Due to staffing transition at Pond & Company, the project schedule has been revised.  The design team's overall schedule was extended approx. one week and completion of right of way plans was extended approx. one month which is anticipated to cause a one month delay on completing right of way acquisition and being able to begin construction procurement phase.  Revised right of way plans were submitted by the design team on September 24, 2021.  Current Activity - Pond is reviewing final cost estimates vs. 90% cost estimates.  Property appraiser is preparing offer packages for ROW and easement acquisition.  For any additional information, please contact Pete Sewczwicz, Public Works Director, at 678-297-6219 or psewczwicz@alpharetta.ga.us or Geoff Sarra, Senior Engineer, at 678-297-6239 or gsarra@alpharetta.ga.us.","875796","60933","814855.29","Design","http://alpharetta.maps.arcgis.com/apps/MapJournal/index.html?appid=c2930590bb57457b908c8d9ec82caba0&section=28","Roadways","Green","Project is on budget.","Green","Project is on schedule.","2021 (April)","TBD",,,"Pond & Company","TBD","T-SPLOST","https://alpharetta.data.socrata.com/api/views/y7vk-hf4t/files/5cdd1b13-0cef-4ba3-9a02-908f703abfcd","citywide"
"C1932","ACADEMY STREET BIKE/PED/OPERATIONAL IMPROVEMENTS","Environment","This is one of two projects which evolved from the conceptual design work and community meetings comprising the ""Academy Street/Webb Bridge Road: Bike/Ped/Operational Improvements - TSPLOST Project"".  The project limits are from Loxford Lane to Fire Station 81.  Improvements will include: (1) The installation of a 6' wide sidewalk with a 2' grass strip along the north side of Academy Street to fill the gap between Alpharetta Presbyterian Church.  The existing sidewalk along the south side will be maintained though limited portions may require reconstruction. (2) The installation of a 3' striped shoulder to accommodate bicycles in both directions of travel from Loxford Lane to Wedgewood Drive. (3) The installation of left turn lanes between Loxford Lane and Wedgewood Drive where possible and the installation of landscaped medians between Loxford Lane and Wedgewood Drive where possible.  The existing right-turn lanes at Dancliff Lane and Jamestown Trail will remain.  On Monday, May 6, 2019 design of the project was awarded to Pond & Company in the amount of $203,175.00.  On Monday, November 11, 2019, Change Order #1 was approved by City Council, which increased the total design cost by $47,400.00 to $250,575.00.  Change Order #1 added the inclusion of pedestrian lighting to the project and modified the typical section to provide a more uniform appearance and minimize impacts to property owners.  Design is complete.  Next project phase is acquisition of right of way and easements (pending Admin's approval to proceed) and would take 9 to 12 months to complete.  Due to COVID and possible evaluation and prioritization of current TSPLOST projects, this work has not been scheduled.  For additional information, please contact Pete Sewczwicz, Public Works Director, at 678-297-6219 or psewczwicz@alpharetta.ga.us or Geoff Sarra, Senior Engineer, at 678-297-6239 or gsarra@alpharetta.ga.us.","289575","14085","275490","Design","http://alpharetta.maps.arcgis.com/apps/MapJournal/index.html?appid=c2930590bb57457b908c8d9ec82caba0&section=3","Roadways","Green","Project is on budget.","Yellow","Project is behind schedule.","2020 (Aug.)","TBD",,,"Pond & Company","TBD","T-SPLOST","https://alpharetta.data.socrata.com/api/views/79py-u8wj/files/b892e4d1-4e11-4a24-b77a-5704d0e71e4b","citywide"
"C1925","SIDEWALK IMPROVEMENTS (PHASE 7 - MORRISON PARKWAY)","Community","This project involves the installation of sidewalk on the south side of Morrison Pkwy from Hembree Road to Haynes Bridge Road.  On Monday, November 11, 2019 construction of this project was awarded to A1 Contracting LLC in the amount of $1,005,000.00.  Notice to Proceed with construction was issued for December 9, 2019.  Sidewalk has been installed from Lakeview Pkwy to Haynes Bridge Road and contractor has also sodded the beauty strip.  Demolition and reconstruction of Honda's truck entrance driveway has been completed.  Permanent striping has been completed.  Project is behind schedule.  Current Activity - Original contractor was terminated.  The City is working with Surety to get new contractor, Excellere, to complete the project which includes handrail installation as well as completing punchlist items.  New target date for completion of project is end of May 2022.  For additional information, please contact Andrew Echols at 678-297-6238 or aechols@alpharetta.ga.us.","1570140","812214","728013.64","Construction","http://alpharetta.maps.arcgis.com/apps/MapJournal/index.html?appid=c2930590bb57457b908c8d9ec82caba0&section=24","Sidewalks","Green","Project is on budget.","Red","Project is behind schedule.","2018 (Aug.)","2020 (July)",,,"Public Works Department","A1 Contracting LLC","Bond","https://alpharetta.data.socrata.com/api/views/uykn-948i/files/c75095bf-4e49-471f-a8f2-759daa5d0799","citywide"
"C1829","SIDEWALK IMPROVEMENTS (PHASE 8 - PROVIDENCE AREA)","Community","This project involves the installation of sidewalk on the west side of Providence Road from approximately 665' south of Bates Road to approximately 440' north of Mayfield Road, the installation of sidewalk on the west side of Providence Road from the City Limits to approximately 546' north of Bates Road, and the installation of sidewalk on the west side of Charlotte Drive from approximately 190’ south of Old Place Drive to approximately 430’ north of Lillian Drive.  On Monday, December 10, 2018 construction of this project was awarded to A1 Contracting LLC in the amount of $926,423.00.  Construction of these segments is anticipated to be complete in 240 days from the Notice to Proceed issued on March 4, 2019.  Charlotte Drive: Construction has started for approximately 1910 linear feet of sidewalk, a retaining wall with handrail and and a storm sewer system.  The project was substantially complete on July 1, 2019.  Providence Road-North Section:  Construction on approximately 2400 linear feet of sidewalk along the west side of Providence Road from the City Limits to existing sidewalk north of Bates Road has been completed.  Retaining wall construction is complete.  Driveway aprons and handicap ramps have been installed.  Rain significantly delayed project progress.  This section was completed on June 17, 2020.  The City awarded Excellere Construction as the contractor for the final section of the sidewalk project from Mayfield Road to Bates Road.  This project is complete.  For additional information, please contact Andrew Echols at 678-297-6238 or aechols@alpharetta.ga.us.","1023621","20290","918662.46","Completed","http://alpharetta.maps.arcgis.com/apps/MapJournal/index.html?appid=c2930590bb57457b908c8d9ec82caba0&section=24","Sidewalks","Green","Project is on budget.","Red","Project is behind schedule.","2018 (Dec.)","2020 (Feb.)",,,"Public Works Department","A1 Contracting LLC","Bond","https://alpharetta.data.socrata.com/api/views/mw5k-fwvi/files/6d8b07ff-8346-4d9c-9e1f-0cf3176a5f33","citywide"
"C1828","SIDEWALK IMPROVEMENTS (PHASE 6 - WARSAW AREA)","Community","This project represents Phase 6 of the sidewalk improvement project aimed at improving pedestrian mobility and providing recreational opportunities. Implementation of these improvements furthers the city’s goal of providing sidewalks on at least one side of every public street that is not located within a neighborhood or subdivision. Sidewalk segments include the following: (1) Mansell Court - Construction of approximately 250 linear feet of sidewalk along the south side of Mansell Court from Warsaw Road to the cul-de-sac; (2) Old Roswell Road - Construction of approximately 1,075 linear feet of sidewalk along the north side of Old Roswell Road from Warsaw Road east to existing sidewalk; and (3) Warsaw Road. - Construction of approximately 1,120 linear feet of sidewalk along the east side of Warsaw Road from Old Roswell Road north to existing sidewalk.  On March 5, 2018, City Council awarded the construction of these sidewalk improvements to Vertical Earth Inc. in the amount of $289,402 and an additional $20,000 for utility relocations (AT&T, Comcast, Georgia Power). Project is complete.  Funding is provided through the 2016 Alpharetta Parks and Transportation Bond. For additional information regarding this project, please contact Geoff Sarra, Senior Engineer, at 678-297-6239 or gsarra@alpharetta.ga.us.","260120","0","260119.82","Completed","http://alpharetta.maps.arcgis.com/apps/MapJournal/index.html?appid=c2930590bb57457b908c8d9ec82caba0&section=24","Sidewalks","Green","Project is on budget.","Green","Project is on schedule.","2018 (Jan.)","2018 (June)",,,"Public Works Department","Vertical Earth Inc.","Bond","https://alpharetta.data.socrata.com/api/views/hkim-3nu3/files/04ef0398-c694-4714-b228-8231037536c2?filename=Image%2520-%2520Sidewalk%2520Improvements%2520Warsaw%2520Area.PNG","citywide"
