"fiscal_year","budget_chapter","office_dept_div_unit_program","major_object_of_expenditure","state_category","state_category_name","expenditure_account","recmnd_full_time_equiv_pos","recmnd_amount","adopted_full_time_equiv_pos","adopted_amount","approved_full_time_equiv_pos","approved_amount"
"2017","01-K - 12 Instruction ","Elementary Schools","Other Salaries & Wages","1","Administration","Long Term Leave","0","367293","0","367293","0","30000"
"2017","01-K - 12 Instruction ","Individuals with Disabilities Education - Grant","Contractual Services","1","Administration","External Audit","0","7979","0","7979","0","7979"
"2017","01-K - 12 Instruction ","Advancement Via Individual Determination (AVID)","Contractual Services","2","Mid-level Administration","Contractual Services","0","21510","0","21510","0","21510"
"2017","01-K - 12 Instruction ","Edison High School of Technology","Position Salaries & Wages","2","Mid-level Administration","Position Salaries & Wages","6","516381","6","516381","6","511368"
"2017","01-K - 12 Instruction ","Elementary Schools","Contractual Services","2","Mid-level Administration","Consultants","0","10908","0","10908","0","10908"
"2017","01-K - 12 Instruction ","Elementary Schools","Other Expenses","2","Mid-level Administration","Local Travel Mileage","0","20916","0","19662","0","19662"
"2017","01-K - 12 Instruction ","Elementary Schools","Other Salaries & Wages","2","Mid-level Administration","Long Term Leave","0","435176","0","435176","0","435176"
"2017","01-K - 12 Instruction ","Elementary Schools","Other Salaries & Wages","2","Mid-level Administration","Non-training Stipends","0","7140","0","7140","0","7140"
"2017","01-K - 12 Instruction ","Elementary Schools","Other Salaries & Wages","2","Mid-level Administration","Part-time-Peer Assist & Review","0","55381","0","55381","0","55381"
"2017","01-K - 12 Instruction ","Elementary Schools","Other Salaries & Wages","2","Mid-level Administration","Part-time School Clerical Supp","0","226339","0","226339","0","246339"
"2017","01-K - 12 Instruction ","Elementary Schools","Other Salaries & Wages","2","Mid-level Administration","Part-time Princip/Asst Princip","0","257628","0","257628","0","237628"
"2017","01-K - 12 Instruction ","Elementary Schools","Other Salaries & Wages","2","Mid-level Administration","Support Services Substitutes","0","130172","0","130172","0","130172"
"2017","01-K - 12 Instruction ","Elementary Schools","Position Salaries & Wages","2","Mid-level Administration","Position Salaries & Wages","523","48952234","526","49272181","523","48430022"
"2017","01-K - 12 Instruction ","Extended Day/Year Programs","Contractual Services","2","Mid-level Administration","Contractual Services","0","10000","0","10000","0","10000"
"2017","01-K - 12 Instruction ","Extended Day/Year Programs","Other Salaries & Wages","2","Mid-level Administration","Professional Part-time","0","61200","0","61200","0","61200"
"2017","01-K - 12 Instruction ","High Schools","Other Expenses","2","Mid-level Administration","Graduation Expenses","0","42010","0","42010","0","30760"
"2017","01-K - 12 Instruction ","High Schools","Other Expenses","2","Mid-level Administration","Local Travel Mileage","0","18064","0","16980","0","16980"
