"school_year","school_number","school_name","principal","location_1","phone","fax","hours","associate_superintendent","cluster","school_website","receiving_schools","feeder_schools"
"2014","51","Laytonsville ES","Mrs. Donna M. Sagona","21401 Laytonsville Road
Gaithersburg, MD 20882
(39.20726766100006, -77.14135376199994)","(301) 840-7145","(301) 840-7147","9:05 - 3:30","Dr. Myra J. Smith","Damascus, Gaithersburg","http://www.montgomeryschoolsmd.org/schools/laytonsvillees/","Baker, Gaithersburg MS",
"2014","100","Clopper Mill ES","Dr. Ocheze Joseph","18501 Cinnamon Drive
Germantown, MD 20874
(39.15774160500007, -77.26336742799998)","(301) 353-8065","(301) 353-8068","9:15 - 3:30","Dr. LaVerne G. Kimball","Northwest","http://www.montgomeryschoolsmd.org/schools/cloppermilles/","Clemente",
"2014","101","Clarksburg ES","Mrs. Kwang J. Lee","13530 Redgrave Place
Clarksburg, MD 20871
(39.236916791000056, -77.28218299099996)","(301) 353-8060","(301) 353-0878","9:00 - 3:25","Dr. LaVerne G. Kimball","Clarksburg","http://www.montgomeryschoolsmd.org/schools/clarksburges/","Rocky Hill",
"2014","102","Germantown ES","Ms. Amy D. Bryant","19110 Liberty Mill Road
Germantown, MD 20874
(39.16894022900004, -77.27572560299996)","(301) 353-8050","(301) 601-0393","9:15 - 3:30","Dr. LaVerne G. Kimball","Northwest","http://www.montgomeryschoolsmd.org/schools/germantownes/","Clemente",
"2014","104","Seneca Valley HS","Mr. Marc J. Cohen","19401 Crystal Rock Drive
Germantown, MD 20874
(39.17542872800004, -77.26568922899997)","(301) 353-8000","(301) 353-8004","7:25 - 2:10","Dr. Christopher S. Garran","Seneca Valley","http://www.montgomeryschoolsmd.org/schools/senecavalleyhs/",,"Clemente, King"
"2014","105","Ridgeview MS","Mrs. Monifa B. McKnight","16600 Raven Rock Drive
Gaithersburg, MD 20878
(39.127493257000026, -77.24784801299995)","(240) 406-1300","(301) 840-4679","7:55 - 2:40","Dr. Darryl L. Williams","Quince Orchard","http://www.montgomeryschoolsmd.org/schools/ridgeviewms/","Quince Orchard","Diamond, Fields Road, Marshall, Jones Lane"
"2014","106","Fox Chapel ES","Ms. Diana L. Zabetakis","19315 Archdale Road
Germantown, MD 20876
(39.17228273400008, -77.24302359599994)","(301) 353-8055","(301) 353-0873","8:50 - 3:05","Dr. LaVerne G. Kimball","Clarksburg","http://www.montgomeryschoolsmd.org/schools/foxchapeles/","Neelsville",
"2014","107","Dr. Martin Luther King, Jr.  MS","Ms. Dana E. Davison","13737 Wisteria Drive
Germantown, MD 20874
(39.179717123000046, -77.28551312299999)","(301) 353-8080","(301) 601-0399","7:55 - 2:40","Dr. Darryl L. Williams","Seneca Valley","http://www.montgomeryschoolsmd.org/schools/mlkms/","Seneca Valley","Lake Seneca, Dr. Sally K. Ride, Waters Landing"
"2014","108","Lake Seneca ES","Ms. Teri D. Johnson","13600 Wanegarden Drive
Germantown, MD 20874
(39.18569952200005, -77.28296610299998)","(301) 353-0929","(301) 353-0932","8:50 - 3:05","Dr. LaVerne G. Kimball","Seneca Valley","http://www.montgomeryschoolsmd.org/schools/lakesenecaes/","King",
"2014","109","Waters Landing ES","Mrs. Tina W. Shrewsbury","13100 Waters Landing Drive
Germantown, MD 20874
(39.18954292300003, -77.26798257699994)","(301) 353-0915","(301) 601-0392","9:15 - 3:30","Dr. LaVerne G. Kimball","Seneca Valley","http://www.montgomeryschoolsmd.org/schools/waterslandinges/","King",
