"fiscal_year","budget_chapter","office_dept_div_unit_program","major_object_of_expenditure","state_category","state_category_name","expenditure_account","recmnd_full_time_equiv_pos","recmnd_amount","adopted_full_time_equiv_pos","adopted_amount","approved_full_time_equiv","approved_amount","comment"
"2020","01-Schools","Elementary Schools","Other Salaries & Wages","1","Administration","Long Term Leave","0","30603","0","30603","0","30603",
"2020","01-Schools","Grant - Individuals w/Disabilities Education Act","Contractual Services","1","Administration","External Audit","0","7979","0","7979","0","7979",
"2020","01-Schools","Alternative Programs","Contractual Services","2","Mid-level Administration","Consultants","0","500","0","500","0","500",
"2020","01-Schools","Alternative Programs","Contractual Services","2","Mid-level Administration","Equipment Maintenance","0","5020","0","5020","0","5020",
"2020","01-Schools","Alternative Programs","Other Expenses","2","Mid-level Administration","Local Travel Mileage","0","5386","0","5386","0","5386",
"2020","01-Schools","Alternative Programs","Other Salaries & Wages","2","Mid-level Administration","Support Services Part-time","0","13844","0","13844","0","13844",
"2020","01-Schools","Alternative Programs","Position Salaries & Wages","2","Mid-level Administration","Position Salaries & Wages","11","856416","11","856416","11","862570",
"2020","01-Schools","Alternative Programs","Supplies & Materials","2","Mid-level Administration","Office Supplies","0","5000","0","5000","0","5000",
"2020","01-Schools","Edison High School of Technology","Position Salaries & Wages","2","Mid-level Administration","Position Salaries & Wages","6","540937","6","540937","6","544175",
"2020","01-Schools","Elementary Schools","Contractual Services","2","Mid-level Administration","Consultants","0","10908","0","10908","0","10908",
"2020","01-Schools","Elementary Schools","Other Expenses","2","Mid-level Administration","Local Travel Mileage","0","20662","0","20662","0","20662",
"2020","01-Schools","Elementary Schools","Other Salaries & Wages","2","Mid-level Administration","Long Term Leave","0","584727","0","584727","0","584727",
"2020","01-Schools","Elementary Schools","Other Salaries & Wages","2","Mid-level Administration","Part-time Princip/Asst Princip","0","151895","0","151895","0","151895",
"2020","01-Schools","Elementary Schools","Other Salaries & Wages","2","Mid-level Administration","Support Services Substitutes","0","83593","0","83593","0","83593",
"2020","01-Schools","Elementary Schools","Other Salaries & Wages","2","Mid-level Administration","Innovative Schools SSE","0","0","0","0","0","40710",
"2020","01-Schools","Elementary Schools","Other Salaries & Wages","2","Mid-level Administration","Non-training Stipends","0","10070","0","10070","0","10070",
"2020","01-Schools","Elementary Schools","Other Salaries & Wages","2","Mid-level Administration","Part-time School Clerical Supp","0","703926","0","703926","0","703926",
"2020","01-Schools","Elementary Schools","Other Salaries & Wages","2","Mid-level Administration","Part-time-Peer Assist & Review","0","10155","0","10155","0","10155",
"2020","01-Schools","Elementary Schools","Position Salaries & Wages","2","Mid-level Administration","Position Salaries & Wages","535","50590178","541","51282686","541","51630165",
"2020","01-Schools","High School Intervention","Other Salaries & Wages","2","Mid-level Administration","Support Services Part-time","0","52522","0","52522","0","52522",
"2020","01-Schools","High Schools","Other Expenses","2","Mid-level Administration","Graduation Expenses","0","45760","0","45760","0","45760",
"2020","01-Schools","High Schools","Other Expenses","2","Mid-level Administration","Local Travel Mileage","0","15480","0","15480","0","15480",
"2020","01-Schools","High Schools","Other Expenses","2","Mid-level Administration","Commencement Facilities","0","209700","0","209700","0","209700",
"2020","01-Schools","High Schools","Other Salaries & Wages","2","Mid-level Administration","Security Overtime","0","71296","0","71296","0","71296",
"2020","01-Schools","High Schools","Other Salaries & Wages","2","Mid-level Administration","Non-training Stipends","0","3030","0","3030","0","3030",
"2020","01-Schools","High Schools","Other Salaries & Wages","2","Mid-level Administration","Part-time Athletic Trainers","0","39680","0","39680","0","39680",
"2020","01-Schools","High Schools","Other Salaries & Wages","2","Mid-level Administration","Part-time Princip/Asst Princip","0","62696","0","62696","0","62696",
"2020","01-Schools","High Schools","Other Salaries & Wages","2","Mid-level Administration","Part-time School Clerical Supp","0","91491","0","91491","0","91491",
"2020","01-Schools","High Schools","Other Salaries & Wages","2","Mid-level Administration","Support Services Substitutes","0","111134","0","111134","0","111134",
"2020","01-Schools","High Schools","Position Salaries & Wages","2","Mid-level Administration","Position Salaries & Wages","515","39284471","515","39284471","515","39547890",
"2020","01-Schools","MS Extended Day Programs","Contractual Services","2","Mid-level Administration","Contractual Services","0","73800","0","73800","0","73800",
"2020","01-Schools","MS Extended Day Programs","Other Salaries & Wages","2","Mid-level Administration","Professional Part-time","0","47129","0","47129","0","47129",
