"business_name","address","address2","city","state","zip","fiscal_year","geo_reference"
"1ST NOOR INVESTMENTS","17449 JEFFERSON DAVIS HWY",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.315704 38.573913)"
"1ST NOOR, INC. / DUMFRIES BP","17400 JEFFERSON DAVIS HIGHWAY",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.315151 38.57457)"
"7-ELEVEN #10785B","18075 FRALEY BLVD",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.330828 38.560409)"
"7-Eleven 34910A","17360 Dumfries Road",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.315873 38.576179)"
"A & M CONCRETE CORPORATION","42685 DULLAS TRADE CT",,"STERLING","VA","20166","2021-01-01T00:00:00.000","POINT (-77.525892 38.951195)"
"A & R OIL INC T/A TRIANGLE SHELL","17484-A JEFFERSON DAVIS HIGHWAY",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.317354 38.57255)"
"A PLUS AUTO REFINISHING","17287 JEFFERSON DAVIS HWY",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.312536 38.577191)"
"A&M MECHANIC AND TIRE SERVICES","17691 FRALEY BLVD",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.321475 38.568781)"
"A.S.A.P. RELIABLE TIRES & ROAD SVC","17272 DUMFRIES ROAD",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.318736 38.578019)"
"A.S.K. CORP DBA MEINEKE CAR CENTER","17422 JEFFERSON DAVIS HIGHWAY",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.315949 38.5738)"
"AARON'S INC.","18069 TRIANGLE SHOPPING PLAZA",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.331962 38.56023)"
"ACTION IN COMMUNITY THROUGH SERVICE OF PW","3900 ACTS LANE",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.329194 38.56304)"
"ADLER GYNECOLOGY & MINIMALLY","17739 MAIN STREET","SUITE 110","DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.326152 38.567678)"
"ADVANTAGE AUTO SALE INC.","17321 JEFFERSON DAVIS HIGHWAY","SUITE 313","DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.312683 38.576875)"
"AG LANDSCAPING LLC","18244 LINTON COURT",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.335561 38.556498)"
"ALBERTINE COUTURE HAIR SALON LLC","17457 JEFFERSON DAVIS HWY",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.31628 38.573385)"
"ALEX-ALTERNATIVE EXPERTS, LLC","3600 POINTE CENTER COURT","SUITE 160","DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.319714 38.568712)"
"ALPHABEST EDUCATION, INC.","3990 CAMERON STREET",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.330548 38.567927)"
"AMBIANCE NAILS & SPA","17473 JEFFERSON DAVIS HWY",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.316529 38.573162)"
"AMBROSIA CATERING","17678 POSSUM POINT ROAD",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.316815 38.568352)"
"AMERITRANS EXPRESS, LLC","18021B DUMFRIES SHOPPING PLAZA",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.328471 38.561103)"
"ANA RODRIGUEZ CLEANING","2829 BANKS COURT",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.325742 38.560259)"
"ANGEL INC D/B/A CONNIE'S MARKET","3901 GRAHAM PARK ROAD",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000",
"ANITA'S FROZEN COTTON CANDY","1973 FORT MONROE COURT",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.321689 38.561097)"
"ATHENA CONSTRUCTION GROUP, INC.","17877 OLD TRIANGLE ROAD",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000",
"AUTHENTIC HOME HEALTHCARE AND NURSING SOLUTIONS","17985 DUMFRIES SHOPPING PLAZA",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.32739 38.563038)"
"AUTHENTIC HOME HEALTHCARE AND NURSING SOLUTIONS","17985 DUMFRIES SHOPPING PLAZA",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.32739 38.563038)"
"AUTO & MARINE UPHOLSTERY","17299 JEFFERSON DAVIS HIGHWAY",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.312575 38.577096)"
"AUTO WORLD USA INC.","17906 FRALEY BLVD",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.327257 38.563607)"
"AUTOMOTIVE & COMMERCIAL CENTER","17445 JEFFERSON DAVIS HIGHWAY",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.315534 38.574067)"
"AUTOMOTIVE SPECIALIST'S","17293 JEFFERSON DAVIS HWY",,"DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.31259 38.577061)"
"AVIATION SECURITY MANAGEMENT, LLC","17885 FRALEY BLVD","SUITE 201","DUMFRIES","VA","22026","2021-01-01T00:00:00.000","POINT (-77.325933 38.564789)"
