"applicationtype","permitno","worktype","usecode","addeddate","issueddate","finaleddate","status","description","stno","predir","stname","suffix","postdir","city","state","zip","descoflocation","allegheny","bge","comcast","pepco","bus_shelter","verizon","wgl","wssc","location"
"PUBLIC RIGHT OF WAY","377709","CONSTRUCT","DRIVEWAY","2020-10-09T10:10:42.000","2020-11-30T12:11:53.000","2020-12-14T08:12:01.000","Finaled","Residential Driveway Install new driveway apron per&nbsp;MC-301.05 County Design Standards along Parkwood Dr.&nbsp; All work in the ROW shall be performed as directed by DPS ROW inspector and in accordance with the Public Right-of-Way Accessibility Guidelines (PROWAG).&nbsp; Restoration of the right of way shall be made ""in-kind"" of any damages done to the existing improvements in the public right-of-way including haul route caused by construction.&nbsp;&nbsp; All lane and sidewalk closures and traffic controls shall comply with the MCDOT approved Traffic Control Plans, Work Zone Temporary Traffic Control (WZTTC) standards and directions of the inspector.  * Apron wing needs to be located a minimum of 6"" from the speed hump. *","4423",,"BROOKFIELD","DR",,"KENSINGTON","MD","20895",,,,,,,,,,"4423 BROOKFIELD DR
KENSINGTON, MD 20895
(39.027223, -77.087553)"
"PUBLIC RIGHT OF WAY","214853","CONSTRUCT","DRIVEWAY","2001-12-11T12:12:30.000",,,"Open",,"9709",,"TRAVILLE GATEWAY","DR",,"ROCKVILLE","MD","20850",,,,,,,,,,"9709 TRAVILLE GATEWAY DR
ROCKVILLE, MD 20850
(39.091532, -77.204064)"
"PUBLIC RIGHT OF WAY","221095","RESTORE AND / OR REPAIR","Storm Drain","2003-04-09T01:04:36.000","2003-06-16T07:06:00.000","2004-12-01T01:12:19.000","Completed","Complete repair (restoration of right of way) shall be made of any and all damages done to the existing improvements in the public right of way caused by construction operations on this site.","12005",,"PIEDMONT","RD",,"CLARKSBURG","MD","20871",,,,,,,,,,"12005 PIEDMONT RD
CLARKSBURG, MD 20871
(39.248251, -77.248439)"
"PUBLIC RIGHT OF WAY","263419","INSTALL","PUBLIC UTILITY","2009-10-19T12:10:41.000","2009-10-27T11:10:00.000","2017-07-17T01:07:43.000","Finaled","On HUNTOVER DR(HOUSE #11304) HEAVY UP EX.200 AMP  OH SERVICE TO 400 AMP  URD SERVICE FOR A SINGLE FAMILY RESIDENCE, service in accordance with PEPCO PLAN NO. 3319999. All above & below grade facilities shall be placed in Public Utility Easements or adjacent to the right-of-way line unless approved otherwise by the MCDPS Right-of-Way (ROW) Inspector. Work shall comply with the current Montgomery County Specifications for Utility Construction Permit. All lane closures/traffic controls shall comply with the MCDOT approved Traffic Control Plans, Work Zone Temporary Traffic Control Standards and directions of the DPS ROW Inspector.  Complete repair (restoration of right of way) shall be made of any and all damages done to the existing improvements in the public right of way caused by construction operations on this site. PRE-CONSTRUCTION MEETING REQUIREDCONTACT MCDPS INSPECTOR MALVIN NICHOLSON AT 301-370-3685 BEFORE AND AFTER INSTALLATION.",,,,,,,,,"HUNTOVER DRIVE",,,,"3319999",,,,,
"PUBLIC RIGHT OF WAY","264075","INSTALL","PUBLIC UTILITY","2009-12-11T11:12:59.000","2009-12-18T01:12:41.000","2017-07-17T12:07:28.000","Finaled","On GLENWOOD RD (HOUSE #5517)REPLACE OVERHEAD WIRE, dig and backfill trench, build conduit, install cable and associated equipment to provide 400 amp underground service in accordance with PEPCO PLAN NO. 3322817. All above & below grade facilities shall be placed in Public Utility Easements or adjacent to the right-of-way line unless approved otherwise by the MCDPS Right-of-Way (ROW) Inspector. Work shall comply with the current Montgomery County Specifications for Utility Construction Permit. All lane closures/traffic controls shall comply with the MCDOT approved Traffic Control Plans, Work Zone Temporary Traffic Control Standards and directions of the DPS ROW Inspector.  Complete repair (restoration of right of way) shall be made of any and all damages done to the existing improvements in the public right of way caused by construction operations on this site. PRE-CONSTRUCTION MEETING REQUIREDCONTACT MCDPS INSPECTOR RALPH WOLFE AT 301-370-3692 BEFORE AND AFTER INSTALLATION.",,,,,,,,,"GLENWOOD ROAD, BETHESDA, MARYLAND",,,,"3322817",,,,,
"PUBLIC RIGHT OF WAY","377193","CONSTRUCT","DRIVEWAY","2020-09-14T10:09:48.000",,,"Open","Residential Driveway Install a new driveway apron per MC-301.01 County Design Standards.&nbsp; All work in the ROW shall be performed as directed by DPS ROW inspector and in accordance with the Public Right-of-Way Accessibility Guidelines (PROWAG).&nbsp; Restoration of the right of way shall be made ""in-kind"" of any damages done to the existing improvements in the public right-of-way including haul route caused by construction.&nbsp;&nbsp; All lane and sidewalk closures and traffic controls shall comply with the MCDOT approved Traffic Control Plans, Work Zone Temporary Traffic Control (WZTTC) standards and directions of the inspector. *** The apron wings must remain within the ROW frontage of this lot and not cross over into the neighbor's ROW frontage. ***&nbsp;","11905",,"IVANHOE","ST",,"SILVER SPRING","MD","20902",,,,,,,,,,"11905 IVANHOE ST
SILVER SPRING, MD 20902
(39.051176, -77.057035)"
"PUBLIC RIGHT OF WAY","378605","INSTALL","PUBLIC UTILITY","2020-12-14T02:12:54.000","2020-12-16T12:12:56.000","2022-02-09T10:02:59.000","Finaled","work in Public space, &nbsp;install cable and associated equipment in accordance with PEPCO PLAN NO. 16867046. Work shall comply with Montgomery County Specifications for Utility Construction Permit, the direction of the DPS Inspector and in accordance with the Public Right-of-Way Accessibility Guidelines (PROWAG).&nbsp; A mill and overlay shall be required should the patch not meet the specifications as set forth by the current County Specifications for Utility Construction Permit and as directed by the DPS ROW inspector.&nbsp; All lane closures/traffic controls shall comply with the MCDOT approved Traffic Control Plans, Work Zone Temporary Traffic Control Standards and directions of the DPS ROW Inspector.&nbsp; Must check MCDOT Paving Project Schedule and have preconstruction meeting with DPS ROW inspector prior to beginning of construction work.","4621",,"ASPEN HILL","RD",,"ROCKVILLE","MD","20853","4621 ASPEN RD ROCKVILLE MD",,,,"16867046",,,,,"4621 ASPEN HILL RD
ROCKVILLE, MD 20853
(39.076034, -77.093025)"
"PUBLIC RIGHT OF WAY","264145","INSTALL","PUBLIC UTILITY","2009-12-23T09:12:13.000","2010-01-06T10:01:01.000","2017-07-17T12:07:32.000","Finaled","On GREEN TREE RD(Cross Of RIDGE PLACE)INSTALL POLE ,POLE EQUIPMENT,AND 3 PHASE PRIMARY TO PROPOSED CUSTOMER BUILT FACILITIES TO A 500 KVA TRANSFORMER service in accordance with PEPCO PLAN NO. 3323824. All above & below grade facilities shall be placed in Public Utility Easements or adjacent to the right-of-way line unless approved otherwise by the MCDPS Right-of-Way (ROW) Inspector. Work shall comply with the current Montgomery County Specifications for Utility Construction Permit. All lane closures/traffic controls shall comply with the MCDOT approved Traffic Control Plans, Work Zone Temporary Traffic Control Standards and directions of the DPS ROW Inspector.  Complete repair (restoration of right of way) shall be made of any and all damages done to the existing improvements in the public right of way caused by construction operations on this site. PRE-CONSTRUCTION MEETING REQUIREDCONTACT MCDPS INSPECTOR RALPH WOLFE AT 301-370-3692 BEFORE AND AFTER INSTALLATION.",,,,,,,,,"GREEN TREE ROAD",,,,"3323824",,,,,
"PUBLIC RIGHT OF WAY","284137","INSTALL","PUBLIC UTILITY","2012-11-21T11:11:51.000","2012-11-30T08:11:25.000","2019-06-03T11:06:05.000","Finaled","Replace sewer laterals and install cleanouts in accordance with WSSC plans and specifications. Work shall comply with Montgomery County Specifications for Utility Construction Permit the direction of the DPS Inspector and ADA &amp; ABA Accessibility Guidelines.&nbsp; A mill and overlay shall be required should the patch not meet the specifications as set forth by the current County Specifications for Utility Construction Permit and as directed by the DPS ROW inspector.<SPAN style=""mso-spa",,,,,,,,,"LANGDRUM LN, MORGAN DR AND DE RUSSEY PKWY",,,,,,,,"LL/LR5239E11",
"PUBLIC RIGHT OF WAY","264691","INSTALL","PUBLIC UTILITY","2010-02-22T12:02:08.000","2010-03-08T10:03:09.000","2017-07-17T12:07:23.000","Finaled","On WILMETT RD (HOUSE #6011)INSTALL RISER AND CABLE to provide 400 amp underground service in accordance with PEPCO PLAN NO.3327369. All above & below grade facilities shall be placed in Public Utility Easements or adjacent to the right-of-way line unless approved otherwise by the MCDPS Right-of-Way (ROW) Inspector. Work shall comply with the current Montgomery County Specifications for Utility Construction Permit. All lane closures/traffic controls shall comply with the MCDOT approved Traffic Control Plans, Work Zone Temporary Traffic Control Standards and directions of the DPS ROW Inspector.  Complete repair (restoration of right of way) shall be made of any and all damages done to the existing improvements in the public right of way caused by construction operations on this site. PRE-CONSTRUCTION MEETING REQUIREDCONTACT MCDPS INSPECTOR RALPH WOLFE AT 301-370-3692 BEFORE AND AFTER INSTALLATION.",,,,,,,,,"WILMETT ROAD",,,,"264691",,,,,
"PUBLIC RIGHT OF WAY","206210","CONSTRUCT","DRIVEWAY","2000-07-27T12:07:28.000","2000-09-15T11:09:00.000","2002-09-30T09:09:25.000","Completed","Construct the following type driveway in accordance with Montgomery County Standards and Specifications and the direction of the DPS Inspector.  All future maintenance of this apron will be the responsibility of the property owner.  Driveway apron(s) to be constructed with a 13 x 17 minimum size pipe with end  sections.   Regrade shoulder and ditch and stabilize as directed by the field inspector.  Apron fronts on Hawkins Creamery Road.

	MCDOT Standard: MC  301.03","25130",,"VISTA RIDGE","RD",,"LAYTONSVILLE","MD","20882",,,,,,,,,,"25130 VISTA RIDGE RD
LAYTONSVILLE, MD 20882
(39.271114, -77.198412)"
"PUBLIC RIGHT OF WAY","264879","INSTALL","PUBLIC UTILITY","2010-03-12T12:03:33.000","2010-03-22T01:03:00.000","2017-07-17T02:07:54.000","Finaled","On WISCASSET RD (NEXT TO DAHLONEGA RD)INSTALL 2-70 WHPS OVERHEAD STREETLIGHT (CIP#507055) and associated equipment to provide 400 amp underground service in accordance with PEPCO PLAN NO.3326516. All above & below grade facilities shall be placed in Public Utility Easements or adjacent to the right-of-way line unless approved otherwise by the MCDPS Right-of-Way (ROW) Inspector. Work shall comply with the current Montgomery County Specifications for Utility Construction Permit. All lane closures/traffic controls shall comply with the MCDOT approved Traffic Control Plans, Work Zone Temporary Traffic Control Standards and directions of the DPS ROW Inspector.  Complete repair (restoration of right of way) shall be made of any and all damages done to the existing improvements in the public right of way caused by construction operations on this site. PRE-CONSTRUCTION MEETING REQUIREDCONTACT MCDPS INSPECTOR RALPH WOLFE AT 301-370-3692 BEFORE AND AFTER INSTALLATION.",,,,,,,,,"WISCASSET RD",,,,"3326516",,,,,
"PUBLIC RIGHT OF WAY","264925","INSTALL","PUBLIC UTILITY","2010-03-17T11:03:59.000","2010-03-25T09:03:55.000","2017-07-17T01:07:36.000","Finaled","On CARNEGIE DR (& CARNEGIE TERR)%33 ON MAIN IN RDWAY IN OLD BAR HOLES PER S/M 766, service in accordance with WASHINGTON GAS PLAN NO.108914. Construct utility pavement patch in kind as directed by the inspector in the field. All above & below grade facilities shall be placed in Public Utility Easements or adjacent to the right-of-way line unless approved otherwise by the MCDPS Right-of-Way (ROW) Inspector. Work shall comply with the current Montgomery County Specifications for Utility Construction Permit. All lane closures/traffic controls shall comply with the MCDOT approved Traffic Control Plans, Work Zone Temporary Traffic Control Standards and directions of the DPS ROW Inspector. Complete repair (restoration of right of way) shall be made of any and all damages done to the existing improvements in the public right of way caused by construction operations on this site. PRE-CONSTRUCTION MEETING REQUIREDCONTACT MCDPS INSPECTOR MALVIN NICHOLSON AT 301-370-3685 BEFORE AND AFTER INSTALLATION.",,,,,,,,,"CARNEGIE DRIVE & CARNEGIE TERR",,,,,,,"108914",,
