"vacancynumber","department","jobtitle","numberofopenings","startdate","enddate","employmentcategory","recruitmenttype","professionalarea"
"IRC55282","Department of Correction and Rehabilitation","Correctional Dietary Supervisor, Grade N22","1","2022-08-11T00:00:00.000",,"FULLTIME","Open Until Filled","Public Safety"
"IRC53142","Department of Police","Public Safety Emergency Communications Specialist - Grade 15","7","2022-01-31T00:00:00.000",,"FULLTIME","Closing Date","Public Safety"
"IRC54600","Department of Police","Police Officer","1","2022-06-13T00:00:00.000",,"FULLTIME","Open Until Filled","Public Safety"
"IRC54096","Department of Correction and Rehabilitation","Senior Information Technology Specialist, Grade 28","1","2022-04-25T00:00:00.000",,"FULLTIME","Open Until Filled","Information Technology"
"IRC53605","Department of Housing and Community Affairs","MLS Manager II, Division Chief of Community Development, Grade M2","1","2022-02-28T00:00:00.000",,"FULLTIME","Open Until Filled","Managerial Executive"
"IRC54213","Department of Health and Human Services","Nurse Manager (Public Health Services, Maternal Child Services), Grade 25","1","2022-05-11T00:00:00.000",,"FULLTIME","Closing Date","Health and Social Services"
"IRC53046","Department of Health and Human Services","Community Services Aide II (Behavioral Health and Crisis Services, 24 Hour Crisis Center, Peer Recovery Specialist), Grade 16","4","2022-02-07T00:00:00.000",,"FULLTIME","Closing Date","Health and Social Services"
"IRC46175","Department of Health and Human Services","Therapist I/II (Behavioral Health Services, Bilingual Spanish Proficiency Required), Grade 23/24","10","2020-10-14T00:00:00.000",,"EITHER","Closing Date","Health and Social Services"
"IRC49782","Department of Permitting Services","Senior Permitting Services Specialist (Building and Construction), Grade 26","2","2021-07-28T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC55014","Department of Technology and Enterprise Business Solutions","Lead ServiceNow Developer, Grade 34","1","2022-07-15T00:00:00.000",,"FULLTIME","Open Until Filled","Information Technology"
"IRC53046","Department of Health and Human Services","Community Services Aide II (Behavioral Health and Crisis Services, 24 Hour Crisis Center, Peer Recovery Specialist), Grade 16","4","2022-02-07T00:00:00.000",,"FULLTIME","Closing Date","Health and Social Services"
"IRC53821","Department of Transportation, Division of Transportation Engineering, Transportation Design Section","Engineer I/II/III, Grade 19/22/25","2","2022-03-22T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC49343","Department of Housing and Community Affairs","Housing Code Inspector III, Grade 23","8","2021-06-23T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC53399","Department of Correction and Rehabilitation","Correctional Dietary Officer, Grade 17","1","2022-02-14T00:00:00.000",,"FULLTIME","Open Until Filled","Public Safety"
"IRC54209","Department of Technology & Business Enterprise Systems/OBP Radio Communications Services","Communications Technician I/II, Grade 18/20","1","2022-05-12T00:00:00.000",,"FULLTIME","Open Until Filled","Trades and Labor"
"IRC53812","Department of Finance","Accountant/Auditor, Lead/Senior (Financial Analysis, Audit & Compliance Analyst), Grade N25","1","2022-03-17T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC46913","Department of Health and Human Services","Therapist II (Behavioral Health and Crisis Services, 24 Hour Crisis Center), Grade 24","5","2020-12-10T00:00:00.000",,"EITHER","Open Until Filled","Health and Social Services"
"IRC53812","Department of Finance","Accountant/Auditor, Lead/Senior (Financial Analysis, Audit & Compliance Analyst), Grade N25","1","2022-03-17T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54213","Department of Health and Human Services","Nurse Manager (Public Health Services, Maternal Child Services), Grade 25","1","2022-05-11T00:00:00.000",,"FULLTIME","Closing Date","Health and Social Services"
"IRC55061","Department of Correction and Rehabilitation","Nurse Practitioner, Grade 26","1","2022-07-21T00:00:00.000",,"FULLTIME","Open Until Filled","Health and Social Services"
"IRC54017","Office of Management and Budget","Fiscal and Policy Analyst III, Grade N28","8","2022-04-14T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54360","Department of Correction and Rehabilitation","Manager II (Division Chief, Medical and Behavioral Health Services), Grade M2","1","2022-05-25T00:00:00.000",,"FULLTIME","Open Until Filled","Managerial Executive"
"IRC54017","Office of Management and Budget","Fiscal and Policy Analyst III, Grade N28","8","2022-04-14T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54541","Department of Finance","Fiscal and Policy Analyst III (Debt Management), Grade N28","1","2022-06-15T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54541","Department of Finance","Fiscal and Policy Analyst III (Debt Management), Grade N28","1","2022-06-15T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC53384","Department of General Services","Mechanic Technician I/Apprentice, Grade 16/12","8","2022-02-07T00:00:00.000",,"FULLTIME","Open Until Filled","Trades and Labor"
"IRC53004","Department of Health and Human Services","Community Health Nurse II (Public Health Services, School Health Services), Grade 24","1","2022-01-12T00:00:00.000",,"EITHER","Open Until Filled","Health and Social Services"
"IRC54241","ABS 85 Liquor and Wine Delivery Operations","Truckdriver/Warehouse Worker; (Delivery Driver); Grade 15","4","2022-06-01T00:00:00.000",,"FULLTIME","Open Until Filled","Trades and Labor"
"IRC54680","Department of Health and Human Services","Supervisory Therapist (Behavioral Health and Crisis Services, Access to Behavioral Health Services), Grade 26","1","2022-06-15T00:00:00.000",,"FULLTIME","Closing Date","Health and Social Services"
"IRC53813","Board of Elections","Program Manager I, (Operations Division Chief), Grade 23","1","2022-03-28T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC53762","Department of Finance","Accountant/Auditor Supervisor (General Accounting Supervisor), Grade N26","2","2022-03-11T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC52362","Department of Health and Human Services","Social Worker III (Adult Protective Services), Grade 24","2","2021-12-08T00:00:00.000",,"FULLTIME","Open Until Filled","Health and Social Services"
"IRC53423","Office of Labor Relations","Deputy Chief Labor Relations Officer; MII","1","2022-02-14T00:00:00.000",,"FULLTIME","Open Until Filled","Managerial Executive"
"IRC46175","Department of Health and Human Services","Therapist I/II (Behavioral Health Services, Bilingual Spanish Proficiency Required), Grade 23/24","10","2020-10-14T00:00:00.000",,"EITHER","Closing Date","Health and Social Services"
"IRC53960","Department of Technology & Enterprise Business Solutions/Office of Change Management","Change Management Specialist, Grade 27","2","2022-04-08T00:00:00.000",,"FULLTIME","Open Until Filled","Information Technology"
"IRC45993","Department of Health and Human Services","Social Worker I/II (Child Welfare Services) Grade 21/23","10","2020-10-01T00:00:00.000",,"EITHER","Open Until Filled","Health and Social Services"
"IRC54825","Alcohol Beverage Services","Warehouse Worker (Temporary); Grade 9","1","2022-06-27T00:00:00.000",,"PARTTIME","Open Until Filled","Temporary/Seasonal/Substitute"
"IRC45993","Department of Health and Human Services","Social Worker I/II (Child Welfare Services) Grade 21/23","10","2020-10-01T00:00:00.000",,"EITHER","Open Until Filled","Health and Social Services"
"IRC54522","Department of Transportation/Traffic Engineering Design & Operation/Transportation Management Section","Engineer Technician I/II, Grade 17/18","2","2022-06-09T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC53897","Department of Transportation, Division of Transportation Engineering, Transportation Planning and Design Section","Senior Planning Specialist, Grade 25","1","2022-04-01T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54017","Office of Management and Budget","Fiscal and Policy Analyst III, Grade N28","8","2022-04-14T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC51002","Department of Transportation, Transportation Planning and Design Section","Capital Projects Manager, Grade 28","2","2021-10-01T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54400","Department of Transportation/Traffic Engineering & Operations/Transportation Management Section","Traffic Management Technician I, Grade 15","4","2022-05-27T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC48582","Department of Housing and Community Affairs","Manager II (Chief of Housing), Grade M2","1","2021-05-24T00:00:00.000",,"FULLTIME","Open Until Filled","Managerial Executive"
"IRC54441","Department of Permitting Services","Senior Permitting Services Specialist (Land Development/Water Resources and Right of Way), Grade 26","3","2022-06-01T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC52322","Department of Permitting Services","Permitting and Code Compliance Inspector - Commercial, Grade 23","2","2021-12-06T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54387","Department of Transportation, Division of Traffic Engineering and Operations","Engineer III/II/I (Fiber - Telecom), Grade 25/22/19","1","2022-06-08T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC49344","Department of Health and Human Services","Social Worker III (Child Welfare Services), Grade 24","10","2021-06-23T00:00:00.000",,"EITHER","Open Until Filled","Health and Social Services"
"IRC53897","Department of Transportation, Division of Transportation Engineering, Transportation Planning and Design Section","Senior Planning Specialist, Grade 25","1","2022-04-01T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC49522","Department of Fire & Rescue Service/Training Academy","Public Safety Instructor, Grade 20","1","2021-07-21T00:00:00.000",,"FULLTIME","Open Continuous","Public Safety"
"IRC54380","Department of Transportation, Division of Traffic Engineering & Operations","Engineer III/II/I (ATMS), Grade 25/22/19","1","2022-06-08T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54388","Department of Permitting Services","Information Technology Specialist III (Generalist), Grade N26","1","2022-06-02T00:00:00.000",,"FULLTIME","Open Until Filled","Information Technology"
"IRC49343","Department of Housing and Community Affairs","Housing Code Inspector III, Grade 23","8","2021-06-23T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
"IRC54388","Department of Permitting Services","Information Technology Specialist III (Generalist), Grade N26","1","2022-06-02T00:00:00.000",,"FULLTIME","Open Until Filled","Information Technology"
"IRC54221","Department of Permitting Services","Information Technology Specialist III (GIS Analyst and Cloud Application Administrator), Grade N26","1","2022-05-17T00:00:00.000",,"FULLTIME","Open Until Filled","Information Technology"
"IRC54684","Department of Correction and Rehabilitation","Correctional Health Nurse II, Grade 24","3","2022-06-16T00:00:00.000",,"FULLTIME","Open Until Filled","Health and Social Services"
"IRC54221","Department of Permitting Services","Information Technology Specialist III (GIS Analyst and Cloud Application Administrator), Grade N26","1","2022-05-17T00:00:00.000",,"FULLTIME","Open Until Filled","Information Technology"
"IRC54885","Office of Emergency Management and Homeland Security","MLS Manager I (Director, Office of Emergency Management & Homeland Security), M1","1","2022-07-05T00:00:00.000",,"FULLTIME","Open Until Filled","Managerial Executive"
"IRC50646","Department of Permitting Services","Senior Permitting Services Specialist (Fire Protection), Grade 26","1","2021-09-07T00:00:00.000",,"FULLTIME","Open Until Filled","General Professional"
