"zta_no","title","zta_file","ordinance_no","ordinance_file","analyst","sponsor_s","co_sponsor_s_","introduction_date","public_hearing_date","public_hearing_time","committee","worksession_date","worksession_date_2","worksession_date_3","worksession_date_4","worksession_date_5","worksession_date_6","worksession_date_7","worksession_date_8","action","adopted_date","disapproved_date","effective_date","amended_sections","comments"
"05-01","Special exception standards for non-resident professional offices in the R-90 zone",,"15-48","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/15-48.pdf","Ralph D. Wilson","Denis",,"01/18/2005","03/08/2005","1:30 PM","PHED","03/22/2005",,,,,,,,"Adopted","04/12/2005",,"05/02/2005",,
"05-02","New Transit-Oriented Mixed-Use Zone (TOMX)","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2005/05-02.pdf","15-56","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/15-56.pdf","Marlene Michaelson","District Council at the request of the Planning Board",,"01/25/2005","03/01/2005","7:30 PM","PHED","02/15/2005","03/15/2005","09/06/0005",,,,,,"Adopted","01/17/2006",,"02/06/2006",,
"05-03","Sign Review Board - Membershp and Authority","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2005/05-03.pdf","15-52","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/15-52.pdf","Michael Faden","Praisner",,"02/01/2005","03/08/2005","7:30 PM","PHED","03/14/2005",,,,,,,,"Adopted","09/27/2005",,"10/17/2005",,
"05-04","Moderately Priced Dwelling Units (MPDU)","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2005/05-04.pdf","15-49","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/15-49.pdf","Michael Faden","Silverman",,"03/22/2005","04/26/2005","11:00 AM","PHED","05/04/2005",,,,,,,,"Adopted","05/18/2005",,"04/01/2005",,"with SRA 05-01"
"05-05","Streetscape Requirements in I-1 zone","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/05-05.pdf",,,"Ralph D. Wilson","District Council at the request of the Planning Board",,"04/05/2005","05/10/2005","1:30 PM","PHED","06/13/2005","09/07/2005",,,,,,,"Expired",,,,,
"05-06","Building Materials and Supplies - R&D Zone","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2005/05-06.pdf","15-58","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2005/15-58.pdf","Ralph D. Wilson","District Council at the request of the Planning Board",,"04/05/2005","05/10/2005","1:30 PM","PHED","06/13/2005","09/07/2005",,,,,,,"Adopted","01/17/2006",,"02/06/2006",,
"05-07","Parking Facilities - Country Inn Zone",,"15-51","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/15-51.pdf","Ralph D. Wilson","Floreen, Leventhal & and Knapp",,"04/12/2005","06/14/2005","1:30 PM","PHED","06/20/2005",,,,,,,,"Adopted","06/28/2005",,"07/18/2005",,
"05-08","Minimum lot area and transfer of density in CBD zones (woodmont)","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2005/05-08.pdf","15-60","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/15-60.pdf","Ralph D. Wilson","District Council at the request of the Planning Board",,"05/26/2005","07/12/2005","7:30 PM","PHED","09/26/2005","10/24/2005",,,,,,,"Adopted","01/31/2006",,"02/20/2006",,
"05-09","Wholesale Trade Uses - I-3 zone","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2005/05-09.pdf","15-57","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/15-57.pdf","Ralph D. Wilson","District Council",,"06/14/2005","07/18/2005","1:30 PM","PHED","09/07/2005",,,,,,,,"Adopted","01/17/2006",,"02/06/2006",,
"05-10","Telecommunication Facility - Amendments","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2005/05-10.pdf","15-54","https://www.montgomerycountymd.gov/council/Resources/Files/zta/2005/15-54.pdf","Ralph D. Wilson","Praisner & Knapp",,"07/12/2005","09/20/2005","1:30 PM","MFP","10/17/2005","11/21/2005",,,,,,,"Adopted","12/06/2005",,"12/26/2005",,
