Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation,Council Districts,Councils,Communities,Zip Codes,Municipalities
08/01/2022,16:05:00,MCP,"6th District, Gaithersburg / Montgomery Village",PEDESTRIAN FAIL TO OBEY UPRAISED HAND SIGNAL,CENTERWAY / CLUB HOUSE,39.1719216666667,-77.2023316666667,No,No,No,No,No,No,No,No,No,No,XX,29 - Unknown,,NONE,NONE,N/A,Warning,21-203(c),Transportation Article,False,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1719216666667, -77.2023316666667)",2,2,38,28,1
07/19/2022,14:22:00,MCP,"4th District, Wheaton",PEDESTRIAN ENTERING ROADWAY AGAINST RED TRAFFIC SIGNAL,VEIRS MILL RD @ REEDIE DR,39.0375516666667,-77.0532683333333,No,No,No,No,No,No,No,No,No,No,XX,29 - Unknown,,NONE,NONE,N/A,Warning,21-202(l),Transportation Article,False,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0375516666667, -77.0532683333333)",4,4,16,17,1
07/05/2022,14:44:00,MCP,"6th District, Gaithersburg / Montgomery Village",PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,MVA/CENTERWAY,39.1720885,-77.2037868333333,No,No,No,No,No,No,No,No,No,No,XX,29 - Unknown,,NONE,NONE,N/A,Warning,21-503(c),Transportation Article,False,WHITE,F,MONTGOMERY VILLAGE,MD,MD,B - Unmarked Patrol,"(39.1720885, -77.2037868333333)",2,2,38,28,1
06/29/2022,09:45:00,MCP,"6th District, Gaithersburg / Montgomery Village",PEDESTRIAN UNSAFELY CROSSING IN PATH OF VEH.,8412 GEORGIA AVE,38.9939226666667,-77.0268483333333,No,No,No,No,No,No,No,No,No,No,XX,29 - Unknown,,NONE,NONE,N/A,Citation,21-502(b),Transportation Article,False,BLACK,F,NONE,XX,XX,A - Marked Patrol,"(38.9939226666667, -77.0268483333333)",5,5,7,3065,1
06/29/2022,09:45:00,MCP,"6th District, Gaithersburg / Montgomery Village",PEDESTRIAN FAILURE TO YIELD RIGHT-OF-WAY TO VEH. WHEN UNSAFELY CROSSING ROADWAY,8412 GEORGIA AVE,38.9939226666667,-77.0268483333333,No,No,No,No,No,No,No,No,No,No,XX,29 - Unknown,,NONE,NONE,N/A,Citation,21-503(b),Transportation Article,False,BLACK,F,NONE,XX,XX,A - Marked Patrol,"(38.9939226666667, -77.0268483333333)",5,5,7,3065,1
06/29/2022,09:45:00,MCP,"6th District, Gaithersburg / Montgomery Village",PEDESTRIAN FAILURE WHEN NOT IN CROSSWALK TO YIELD RIGHT-OF-WAY TO APPROACHING VEH.,8412 GEORGIA AVE,38.9939226666667,-77.0268483333333,No,No,No,No,No,No,No,No,No,No,XX,29 - Unknown,,NONE,NONE,N/A,Citation,21-503(a),Transportation Article,False,BLACK,F,NONE,XX,XX,A - Marked Patrol,"(38.9939226666667, -77.0268483333333)",5,5,7,3065,1
06/29/2022,15:46:00,MCP,"6th District, Gaithersburg / Montgomery Village",PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,SHADY GROVE RD/COMPRINT,39.119001,-77.181959,No,No,No,No,No,No,No,No,No,No,XX,29 - Unknown,,NONE,NONE,N/A,Warning,21-503(c),Transportation Article,False,WHITE,F,ROCKVILLE,MD,ID,B - Unmarked Patrol,"(39.119001, -77.181959)",3,3,25,71,12
06/22/2022,19:56:00,MCP,"4th District, Wheaton",PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,RANDOLPH RD @ GRIDLEY RD,39.0533105,-77.0877285,No,No,No,No,No,No,No,No,No,No,XX,29 - Unknown,,NONE,NONE,N/A,Warning,21-503(c),Transportation Article,False,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0533105, -77.0877285)",4,4,56,6,1
06/07/2022,17:10:00,MCP,"5th District, Germantown",PEDESTRIAN FAILURE WHEN NOT IN CROSSWALK TO YIELD RIGHT-OF-WAY TO APPROACHING VEH.,N355/ WHEATFIELD DR,39.1822883333333,-77.2424,No,No,No,No,No,No,No,No,No,No,XX,29 - Unknown,,NONE,NONE,N/A,Warning,21-503(a),Transportation Article,False,BLACK,F,TAKOMA PARK,MD,MD,A - Marked Patrol,"(39.1822883333333, -77.2424)",2,2,39,36,1
06/01/2022,17:05:00,MCP,"6th District, Gaithersburg / Montgomery Village","PEDESTRIAN FAIL TO OBEY ""UPRAISED HAND"" SIGNAL",SHADY GROVE RD / GAITHER RD,39.118175,-77.183065,No,No,No,No,No,No,No,No,No,No,XX,29 - Unknown,,NONE,NONE,N/A,Warning,21-203(c),Transportation Article,False,WHITE,F,GREENBELT,MD,MD,A - Marked Patrol,"(39.118175, -77.183065)",3,3,25,71,1
