"company","address","address_2","city","state","zip"
"""D"" PLATINUM CONTRACTING SERVICES, LLC","3024 SHEPPERTON TER",,"SILVER SPRING","MD","20904-6709"
"(C) MANAGEMENT, INC.","1801 RESEARCH BOULEVARD","SUITE 400","ROCKVILLE","MD","20850"
"(K)RPG, LLC","9711 WASHINGTONIAN BLVD","#420","GAITHERSBURG","MA","20878"
"07 DESIGN, LLC","119 SNOWY OWL DR",,"SILVER SPRING","MD","20901"
"1 CUT ABOVE, L.L.C.","613 OLNEY-SANDY SPRING RD",,"SANDY SPRING","MD","20860"
"1 SOURCE CONSULTING, INC.","20440 CENTURY BLVD STE 125",,"GERMANTOWN","MD","20874"
"10001 NEW HAMPSHIRE AVENUE, INC.","1701 ELTON ROAD",,"SILVER SPRING","MD","20903"
"10010 STATION, LLC","9101 RIVER RD",,"POTOMAC","MD","20854"
"101 GENEVA, LLC","12020 GEORGIA AVENUE","UNIT H","SILVER SPRING","MD","20902"
"101 PARK AVENUE PARTNERS, INC.","200 SUMMIT LAKE DR","FLOOR 2","VALHALLA","NY","10595"
"10102 RIVER INC.","10102 RIVER RD.","#A","POTOMAC","MD","20854"
"1021 EAST UNIVERSITY, L.L.C.","7220 BRADLEY BOULEVARD",,"BETHESDA","MD","20817"
"103 FRANKLIN AVENUE LLC","2605 BRIGGS ROAD",,"SILVER SPRING","MD","20906"
"10550 CONNECTICUT AVENUE, LLC","10550 CONNECTICUT AVE",,"KENSINGTON","MD","20895-2426"
"10720 COLUMBIA PIKE, LLC","10770 COLUMBIA PIKE, SUITE 125",,"SILVER SPRING","MD","20901"
"11160 VIERS MILL 20902 INC.","#TK01K","701 RUSSELL AVE.","GAITHERSBURG","MD","20877"
"11200 ROCKVILLE PIKE, LLC","4520 EAST WEST HWY","SUITE 200","BETHESDA","MD","20814"
"11250 NAIL PERFECTION INC.","11250 GEORGIA AVE",,"SILVER SPRING","MD","20902"
"11250 VEIRS MILL ROAD, LLC","11250 VEIRS MILL RD",,"WHEATON","MD","20902-2525"
"114 EVANS STREET L.L.C.","214 W MONTGOMERY AVE.",,"ROCKVILLE","MD","20850"
"12 KNOTS LLC","3919 KINCAID TERRACE",,"KENSINGTON","MD","20895"
"12051 TECH ROAD, LLC","12051 TECH ROAD",,"SILVER SPRING","MD","20904"
"121 FACILITIES SERVICES, LLC","17041 OLD BALTIMORE RD",,"OLNEY","MD","20832-2411"
"121 FOOD & SERVICE, INC.","4011 NORBECK RD",,"ROCKVILLE","MD","20853-1889"
"121 USA, LLC","7315 WISCONSIN AVE","SUITE 400 W","BETHESDA","MD","20814"
"1215, LLC","1215 EAST GUDE DRIVE",,"ROCKVILLE","MD","20850"
"12IN12 DESIGN GROUP LLC","11310 HALTHORPE TERRACE",,"GERMANTOWN","MD","20876"
"12ONE, LLC","22115 FAIR GARDEN LANE",,"CLARKSBURG","MD","20871"
"13400 JEFFERSON DAVIS LLC","2359 RESEARCH COURT",,"WOODBRIDGE","VA","22192-4632"
"1380 PICCARD DRIVE HOLDCO LLC","STE 600","1660 L ST NW","WASHINGTON","DC","20036"
"14020 DARNESTOWN L.L.C.","14020 DARNESTOWN RD",,"DARNESTOWN","MD","20878"
"14816 WOOTTON MANOR LLC","#200","416 MAIN ST","GAITHERSBURG","MD","20878-6529"
"1488-B, INC.","1488-B ROCKVILLE PIKE",,"ROCKVILLE","MD","20852"
"157 ENTERTAINMENT, LLC","23 BRALAN CT.",,"GAITHERSBURG","MD","20877"
"159 ART STUDIO LLC","159 MILLGREEN AVE., #100",,"GAITHERSBURG","MD","20878"
"16210 S FREDERICK, LLC","2359 RESEARCH CT",,"WOODBRIDGE","VA","22192"
"1750 ROCKVILLE PIKE, LLC","11770 US HIGHWAY 1","SUITE 202","NORTH PALM BEACH","FL","33408"
"1788 HOLDINGS, L.L.C.","4421 EAST-WEST HIGHWAY",,"BETHESDA","MD","20814"
"180 HALPINE ROAD, LLC","11401 PATRIOT LANE",,"POTOMAC","MD","20854"
"1800 ROCKVILLE RESIDENTIAL, L.L.C.","SUITE 400","2711 CENTERVILLE ROAD","WILMINGTON","DE","19808"
"18201 BROOKE ROAD, LLC","1916 NARROWS LN",,"SILVER SPRING","MD","20906-1139"
"18240 OLNEY VILLAGE DR 20832 INC","39-40 30TH STREET",,"LONG ISLAND CITY","NY","11101"
"1905 MAY LIN LLC","4227 ROUND HILL RD",,"SILVER SPRING","MD","20906"
"1907 VMR L.L.C.","343 HICKMAN ST",,"REHOBOTH","DE","19971"
"1910 ROCKVILLE, LLC","2359 RESEARCH COURT",,"WOODBRIDGE","VA","22192"
"19301 WATKINS MILL ROAD, LLC","173 BRIDGE PLAZA NORTH",,"FORT LEE","NJ","07024-7575"
"19304 MONTGOMERY, LLC","2359 RESEARCH CT",,"WOODBRIDGE","VA","22192"
"19725A, INC.","19725-A GERMANTOWN ROAD",,"GERMANTOWN","MD","20874"
"1AU GLOBAL MEDIA, LLC","17816 WHIMSEY CT",,"OLNEY","MD","20832-2826"
"1CALL4HELP, LLC","4 SUPREME CT",,"GAITHERSBURG","MD","20878-2817"
"1ST AMENDMENT SPORTS, LLC","4014 SPRUELL DR",,"KENSINGTON","MD","20895"
"1ST CHOICE COLLISION, LLC","5531 NICHOLSON LN",,"ROCKVILLE","MD","20852-3181"
"1ST CHOICE, LLC","8121 GEORGIA AVE STE 700",,"SILVER SPRING","MD","20910"
"1ST INVESTORS REALTY, INC.","12444 ANSIN CIRCLE",,"POTOMAC","MD","20854"
"1ST PORTFOLIO LENDING CORPORATION","12700 FAIR LAKES CIRCLE","SUITE 400","FAIRFAX","VA","22033"
"1ST THINKING, INC.","6001 SOUTHPORT DRIVE",,"BETHESDA","MD","20814-1847"
"1ST. SECURITY MORTGAGE, INC. D/B/A FEDER","6901 ROCKLEDGE DR STE 710",,"BETHESDA","MD","20817"
"2 OCEANS ENTERPRISES LLC","19200-E CHENNAULT WAY",,"GAITHERSBURG","MD","20879"
"2 RESEARCH PLACE, LLC","2 RESEARCH PLACE","STE 100","ROCKVILLE","MD","20850"
"20 SUMMIT AVE, LLC","20 S SUMMIT AVE",,"GAITHERSBURG","MD","20877-2036"
"20-20 SERVICES LLC","8 ORCHARD WAY S",,"ROCKVILLE","MD","20854-6130"
"20/20 GENESYSTEMS, INC.","SUITE 100","9430 KEY WEST AVENUE","ROCKVILLE","MD","20850"
"20/20 VISION, LLC","17211 SNOW GOOSE COURT",,"GERMANTOWN","MD","20874"
"2000 OFFICE PARTNERS, LLC","2000 TOWER OAKS BLVD    8TH FL",,"ROCKVILLE","MD","20852-4284"
"2000 TOWER OAKS BOULEVARD, LLC","FLOOR 9","2000 TOWER OAKS BOULEVARD","ROCKVILLE","MD","20852-4282"
"2015 EAST WEST HIGHWAY OPERATIONS LLC","101 EAST STATE STREET",,"KENNETT SQUARE","PA","19348"
"202 PARTNERS LLC","12007 GALENA ROAD",,"ROCKVILLE","MD","20852"
"2020 COMPANY, LLC","3130 FAIRVIEW PARK DR","STE 800","FALLS CHURCH","VA","22042"
"2020 CREATIVE SOLUTIONS, LLC","1804 CARTERS GROVE DRIVE",,"SILVER SPRING","MD","20904"
"2020 INVESTMENT GROUP, INC.","3001 MEDWAY ST",,"SILVER SPRING","MD","20902"
"2040 DIGITAL LLC","11619 HITCHING POST LANE",,"NORTH BETHESDA","MD","20852-4403"
"210 NORTH ADAMS LLC.","9 ENID COURT",,"POTOMAC","MD","20854"
"21000 FREDERICK ROAD MILESTONE SHELL, LL","PETROLEUM MARKETING GROUP INC","2359 RESEARCH COURT","WOOODBRIDGE","MD","22192"
"2101 FAIRLAND ROAD OPERATIONS LLC","101 EAST STATE STREET",,"KENNETT SQUARE","PA","19348"
"214 W. MONTGOMERY L.L.C.","214 W. MONTGOMERY AVE.",,"ROCKVILLE","MD","20850"
"220 TO GO, INC.","5465 RANDOLPH ROAD",,"ROCKVILLE","MD","20852"
"2201 UNIVERSITY LLC","20514 TEHRANI LANE",,"HAGERSTOWN","MD","21742"
"23418 RIDGE ROAD, LLC","2700 LOCH RAVEN RD",,"BALTIMORE","MD","21218-4729"
"24/7 LOCKSMITH SERVICES LLC","5270 FISHERS LANE, APT 104",,"ROCKVILLE","MD","20852"
"2401 BLUERIDGE, LLC","2401 BLUERIDGE AVE",,"WHEATON","MD","20902"
"2405 PRICE, LLC","3101 MOORE LN",,"KENSINGTON","MD","20895-2200"
"24136 DOREEN DRIVE, LLC","5743 DETRICK ROAD",,"MT. AIRY","MD","21771"
"2426 LINDEN LANE, L.L.C.","7101 WISCONSIN AVE., #1203",,"BETHESDA","MD","20814"
"26 HOLLY LEAF, LLC","1 RESEARCH COURT,SUITE 101",,"ROCKVILLE","MD","20850"
"26TH LETTER LLC","637 CHESTNUT HILL MEWS",,"GAITHERSBURG","MD","20878"
"270 VENDING INC","19922 SUGAR NOTCH CIRCLE",,"GAITHERSBURG","MD","20886"
"2700 BARKER STREET LLC","400 RELLA BLVD","STE 200","MONTEBELLO","NY","10901"
"2C INCORPORATED","7 TANAGER CT",,"POTOMAC","MD","20854-6314"
"2FRIENDS LLC","4611 SANGAMORE ROAD, SUITE N",,"BETHESDA","MD","20816"
"2ND LOGIC, LLC","10405 OVERGATE PLACE",,"POTOMAC","MD","20854"
"2SAND.COM, LLC","5237 RIVER RD #238",,"BETHESDA","MD","20816"
"3 BROWN BOYS GRANOLA LLC","20332 PLEASANT RIDGE DRIVE","20332 PLEASANT RIDGE DRIVE","GAITHERSBURG","MD","20886"
"3 PENNY FILMS, LLC","5602 OVERLEA RD",,"BETHESDA","MD","20816-1921"
"3 SQUARED ENTERPRISES, INC.","451 HUNGERFORD DR","STE. 735","ROCKVILLE","MD","20850"
"3 STEF CORPORATION","5151 RIVER RD",,"BETHESDA","MD","20816-1517"
"3 TERRITORY SOLUTIONS, LLC","720 GATESTONE ST.",,"GAITHERSBURG","MD","20878"
"30 POINT STRATEGIES, LLC","7315 WISCONSIN AV","STE 606E","BETHESDA","MD","20814"
"307 PARKVIEW LLC","PO BOX 61030",,"POTOMAC","MD","20859-1030"
"311 DAWSON AVENUE, INC.","9000 COLLESVILLE ROAD",,"SILVER SPRING","MD","20910"
"3124 ENTERPRISES, INC.","8402 CONNECTICUT AVE",,"CHEVY CHASE","MD","20815-5826"
"32168, INC.","4933 BETHESDA AVE.",,"BETHESDA","MD","20814"
"3227 BEL PRE ROAD OPERATIONS LLC","101 E STATE ST",,"KENNETT SQUARE","PA","19348-3109"
"3301 DAMASCUS ROAD, LLC","16121 BATSON ROAD",,"SPENCERVILLE","MD","20868"
"333 MAIN STREET, LLC","333 MAIN STREET",,"GAITHERSBURG","MD","20878"
"3346 HICKORY AVENUE, LLC","8328 FENWAY ROAD",,"BETHESDA","MD","20817"
"355 BARBERSHOP & SPA, LLC","815 HUNGERFORD DR",,"ROCKVILLE","MD","20850-1727"
"357 PLUMBING, LLC","12261 ELM FOREST CT","UNITE E","CLARKSBURG","MD","20871"
"360DEGREEVIEW, LLC","8508 BRADMOOR DRIVE",,"BETHESDA","MD","20817-3810"
"3801 SANDY SPRING ROAD L.L.L.P.","3801 SANDY SPRING RD",,"BURTONSVILLE","MD","20866-1154"
"3905 BLACKTHORN STREET, LLC","8750 BROOKVILLE RD",,"SILVER SPRING","MD","20910-1850"
"3CCL, LLC","595 HUNGERFORD DR",,"ROCKVILLE","MD","20855"
"3CLOGIC, INC.","9201 CORPORATE BLVD   STE 470",,"ROCKVILLE","MD","20850"
"3D CONSULTING SERVICES, INC.","8406 SAINT REGIS WAY",,"MONTGOMERY VILLAGE","MD","20886"
"3D ORAL & MAXILLOFACIAL IMAGING CENTER,","11125 ROCKVILLE PIKE",,"NORTH BETHESDA","MD","20852-3142"
"3D SCAPES, LLC","19611 HOOVER FARM DRIVE",,"LAYTONSVILE","MD","20882"
"3D STRUCTURAL ENGINEERS, INC.","4903 AUBURN AVE",,"BETHESDA","MD","20814-2601"
"3E COMPANY ENVIRONMENTAL ECOLOGICAL AND","545 WASHINGTON BLVD",,"JERSEY CITY","NJ","07310"
