"company","fund","cost_center","program","business_unit","ledger_account","spend_category_as_worktag","accounting_date","ledger_budget_debit_minus"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-09-06T00:00:00.000","-18.84"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-10-18T00:00:00.000","-682.66"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-11-01T00:00:00.000","-682.66"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-09-06T00:00:00.000","18.84"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-10-18T00:00:00.000","682.66"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-11-01T00:00:00.000","682.66"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-09-06T00:00:00.000","-0.14"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-10-18T00:00:00.000","-2.37"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-11-01T00:00:00.000","-3.31"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-09-06T00:00:00.000","0.14"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-10-18T00:00:00.000","2.37"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-11-01T00:00:00.000","3.31"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-09-06T00:00:00.000","-1.42"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-10-18T00:00:00.000","-51.60"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-11-01T00:00:00.000","-50.82"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-09-06T00:00:00.000","1.42"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-10-18T00:00:00.000","51.60"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-11-01T00:00:00.000","50.82"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-09-06T00:00:00.000","-2.43"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-10-18T00:00:00.000","-88.54"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-11-01T00:00:00.000","-88.54"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-09-06T00:00:00.000","2.43"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-10-18T00:00:00.000","88.54"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-11-01T00:00:00.000","88.54"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-09-06T00:00:00.000","-0.03"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-10-18T00:00:00.000","-1.00"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-11-01T00:00:00.000","-1.00"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-09-06T00:00:00.000","0.03"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-10-18T00:00:00.000","1.00"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-11-01T00:00:00.000","1.00"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-09-06T00:00:00.000","-3.40"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-10-18T00:00:00.000","-96.26"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-11-01T00:00:00.000","-96.26"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-09-06T00:00:00.000","3.40"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-10-18T00:00:00.000","96.26"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration","CV19 COVID-19","51862P0 Jobbing and Contract Work","Salaries & Benefits",,"2020-11-01T00:00:00.000","96.26"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery","CV19 COVID-19","52520P0 Disaster Response","Supplies","Gasoline [31.000600]","2020-04-06T00:00:00.000","38.22"
