"company","fund","cost_center","grant","program_hierarchy_level_2","program_hierarchy_level_3","program_hierarchy_level_4","program_hierarchy_level_5","program","project","business_unit","ledger_account","spend_category_as_worktag","supplier_as_worktag","accounting_date","fiscal_year","ledger_budget_debit_minus"
"Finance and Performance Management","001-00 Current Expense Fund","FPM General Administration",,"Pierce County Programs","CARES Act Programs","Economic Stabilization and Recovery Programs",,"COVID-19 Response Kits, including Personal Protective Devices",,"51420P0 Financial Services","503130:Supplies - Medical","Medical Supplies [31.000100]","Sam Hedaya Corp","2020-05-11T00:00:00.000","FY2020","136648.00"
"Finance and Performance Management","001-00 Current Expense Fund","Budget Administration",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,,,,,"2020-11-27T00:00:00.000",,"1815863.00"
"Finance and Performance Management","001-00 Current Expense Fund","FPM General Administration",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"51420P0 Financial Services","503130:Supplies - Medical","Medical Supplies [31.000100]","Sam Hedaya Corp","2020-05-14T00:00:00.000","FY2020","182932.00"
"Pierce County","001-00 Current Expense Fund","MCE Administration",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Food and Nutrition","P-111175 Emergency Food Network COVID-19","5600000 Social Services Activities - Other","504100:Other Professional Services","Other Professional Services [41.000900]","Emergency Food Network of Tacoma and Pierce County","2020-05-20T00:00:00.000","FY2020","250000.00"
"Finance and Performance Management","001-00 Current Expense Fund","FPM General Administration",,"Pierce County Programs","CARES Act Programs","Economic Stabilization and Recovery Programs",,"COVID-19 Response Kits, including Personal Protective Devices",,"51420P0 Financial Services","503130:Supplies - Medical","Medical Supplies [31.000100]","Sam Hedaya Corp","2020-05-21T00:00:00.000","FY2020","382614.40"
"Finance and Performance Management","001-00 Current Expense Fund","FPM General Administration",,"Pierce County Programs","CARES Act Programs","Economic Stabilization and Recovery Programs",,"COVID-19 Response Kits, including Personal Protective Devices",,"51420P0 Financial Services","503130:Supplies - Medical","Medical Supplies [31.000100]","Sam Hedaya Corp","2020-05-26T00:00:00.000","FY2020","114608.00"
"Pierce County","001-00 Current Expense Fund","MCE Administration",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Food and Nutrition","P-111175 Emergency Food Network COVID-19","56200P0 Public Health Services","504100:Other Professional Services","Other Professional Services [41.000900]","Emergency Food Network of Tacoma and Pierce County","2020-05-20T00:00:00.000","FY2020","500000.00"
"Finance and Performance Management","001-00 Current Expense Fund","FPM General Administration",,"Pierce County Programs","CARES Act Programs","Economic Stabilization and Recovery Programs",,"COVID-19 Response Kits, including Personal Protective Devices",,"51420P0 Financial Services","503130:Supplies - Medical","Medical Supplies [31.000100]","Sam Hedaya Corp","2020-05-14T00:00:00.000","FY2020","731728.00"
"Finance and Performance Management","001-00 Current Expense Fund","FPM General Administration",,"Pierce County Programs","CARES Act Programs","Economic Stabilization and Recovery Programs",,"COVID-19 Response Kits, including Personal Protective Devices",,"51420P0 Financial Services","503130:Supplies - Medical","Medical Supplies [31.000100]","Sam Hedaya Corp","2020-06-02T00:00:00.000","FY2020","163977.60"
"Finance and Performance Management","001-00 Current Expense Fund","FPM General Administration",,"Pierce County Programs","CARES Act Programs","Economic Stabilization and Recovery Programs",,"COVID-19 Response Kits, including Personal Protective Devices",,"51420P0 Financial Services","503130:Supplies - Medical","Medical Supplies [31.000100]","Sam Hedaya Corp","2020-06-01T00:00:00.000","FY2020","229216.00"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]","Social Glass Inc","2020-06-02T00:00:00.000","FY2020","1176401.53"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"51862P0 Jobbing and Contract Work","503100:Supplies - Other","General Supplies [31.004100]",,"2020-06-01T00:00:00.000","FY2020","1849.30"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","502180:Benefits - State Family Medical Leave",,,"2021-01-01T00:00:00.000","FY2021","-0.42"
"Finance and Performance Management","001-00 Current Expense Fund","FPM General Administration",,"Pierce County Programs","CARES Act Programs","Economic Stabilization and Recovery Programs",,"COVID-19 Response Kits, including Personal Protective Devices",,"51420P0 Financial Services","503130:Supplies - Medical","Medical Supplies [31.000100]","Sam Hedaya Corp","2020-05-19T00:00:00.000","FY2020","182932.00"
"Finance and Performance Management","001-00 Current Expense Fund","FPM General Administration",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"51420P0 Financial Services","503130:Supplies - Medical","Medical Supplies [31.000100]","Sam Hedaya Corp","2020-05-19T00:00:00.000","FY2020","-182932.00"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]","SLMP LLC","2020-06-05T00:00:00.000","FY2020","1250000.00"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]","Sevenshopper Inc","2020-06-03T00:00:00.000","FY2020","53160.48"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","502030:Benefits - Fica",,,"2020-12-31T00:00:00.000","FY2020","17.86"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]","Sevenshopper Inc","2020-06-03T00:00:00.000","FY2020","46019.52"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]","Sevenshopper Inc","2020-06-03T00:00:00.000","FY2020","15236.35"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]","Sevenshopper Inc","2020-06-03T00:00:00.000","FY2020","6942.60"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","504510:Equipment Rental","Equipment Rental [45.000200]",,"2020-06-07T00:00:00.000","FY2020","603.93"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","504510:Equipment Rental","Equipment Rental [45.000200]",,"2020-06-07T00:00:00.000","FY2020","-296.97"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","504510:Equipment Rental","Equipment Rental [45.000200]",,"2020-06-07T00:00:00.000","FY2020","285.75"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","504510:Equipment Rental","Equipment Rental [45.000200]",,"2020-06-07T00:00:00.000","FY2020","10.00"
"Finance and Performance Management","001-00 Current Expense Fund","FPM General Administration",,"Pierce County Programs","CARES Act Programs","Economic Stabilization and Recovery Programs",,"COVID-19 Response Kits, including Personal Protective Devices",,"51420P0 Financial Services","503130:Supplies - Medical","Medical Supplies [31.000100]","Sam Hedaya Corp","2020-06-08T00:00:00.000","FY2020","229216.00"
"Finance and Performance Management","001-00 Current Expense Fund","FPM General Administration",,"Pierce County Programs","CARES Act Programs","Economic Stabilization and Recovery Programs",,"COVID-19 Response Kits, including Personal Protective Devices",,"51420P0 Financial Services","503130:Supplies - Medical","Medical Supplies [31.000100]","Sam Hedaya Corp","2020-06-08T00:00:00.000","FY2020","608304.00"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]","Pure Orange Holdings Inc","2020-06-03T00:00:00.000","FY2020","114784.32"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]","Pure Orange Holdings Inc","2020-06-03T00:00:00.000","FY2020","79937.98"
