"the_geom","objectid","propertyid","name","parktype","parkclass","address","postalcity","zipcode","owner","manager","parkhours","acresimproved","acresunimproved","parkweblink","altweblink","ispublicaccessible","maplabel","gisacres","restroom","adacomply","parking","paved_trail","unpaved_trail","trailhead","community_center","picnic","playground","dog_park","baseball","basketball","multipurpose","golf","beach","fishing","boat_launch","skate","tennis","bmx","climbing","equestrian","disc_golf","ice_rink","qtr_midget_track","parksize","description","visibleinapp","camping"
"POINT (-122.622560933879 47.252684693359)","305","2768","Fox Island Nature Center","Wildlife Habitat","Resource Conservancy","716 9th Ave","Fox Island","98333","Fox Island Comunity and Recreation Association","Fox Island Comunity and Recreation Association","Dawn to Dusk","0","0","http://www.foxislandwa.net/nature_center.htm",,"1","Fox Island Nature Center","5.02962705",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.406479239766 47.203981268225)","59","118","Cloverdale Park","Park","Local","1635 E 59TH ST","Tacoma","98404","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","2.21","0","http://www.metroparkstacoma.org/cloverdale-park",,"1","Cloverdale Park","2.21323528",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.355665879353 47.238410486651)","95","178","Fife Swim Center","Rec Center","Special Use","5410 20th Street E","Fife","98424","City of Fife","City of Fife","M-F, 6AM-9PMSat, 10AM-3PM","1.36","0","http://cityoffife.org/?p=city_departments&a=parks_and_recreation&b=fife_swim_center",,"1","Fife Swim Center","2.0778925",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.680069765095 47.088154902274)","330","3115","Hoffman Hill Neighborhood Park","Park","Local","3475 Hoffman Hill Blvd","DuPont","98327","City of DuPont","City of DuPont","Dawn to Dusk","1","0","http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html",,"1","Hoffman Hill Neighborhood Park","0.94967112",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.535917043359 47.257664957313)","226","357","War Memorial Park","Park","Regional","South Macarthur St and 6th Av","Tacoma","98406","State of Washington","State of Washington DOT","Dawn to Dusk","8.2","0","http://www.wsdot.wa.gov/tnbhistory/Connections/connections5.htm",,"1","War Memorial Park","0.50490198",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.573912666118 47.303561526176)","323","1852","Cushman Trailhead Park","Trail","Linear Park","2626 Hollycroft Street","Gig Harbor","98335","City of Gig Harbor","City of Gig Harbor","Dawn to Dusk (unless otherwise posted)","0.47","0","http://www.cityofgigharbor.net/page.php?id=699#Cushman Trail",,"1","Cushman Trailhead Park","6.46326618",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.396214603018 47.205244574679)","212","335","Swan Creek Park- Metro","Park","Undeveloped Sites","2730 Pioneer Way E","Tacoma","98404","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","0","213.3999","http://www.metroparkstacoma.org/swan-creek-park",,"1","Swan Creek Park- Metro","248.75997314",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.561446086891 47.171894212535)","35","92","Fort Steilacoom Park","Park","Other","8714 Elwood Dr SW","Lakewood","98498","State of Washington","City of Lakewood","7:30am - 9:00pm or sunset, whichever comes first","261.27","274.73","http://www.cityoflakewood.us/government/departments/parks-and-recreation/lakewood-parks",,"1","Fort Steilacoom Park","600.39167994",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.231527302677 47.108613241493)","294","2675","Wetland in Village Green","Wildlife Habitat","Local","Williams Ct NW","Orting","98360","City of Orting","City of Orting","Dawn to Dusk (unless otherwise posted)","0","0",,,"1","Wetland in Village Green","40.18624388",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.514807490968 47.204749145239)","309","2779","Creekside Park","Park","Undeveloped Sites","5700 BLK 57TH AV W","University Place","98467","City of University Place","City of University Place","Currently undeveloped","0","14.98",,,"1","Creekside Park","15.39807723",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.571713550878 47.294276492386)","251","1597","Madrona Links Golf Course","Golf","Special Use","3604 22ND AV NW","Gig Harbor","98335","Peninsula Metropolitan Park District","Peninsula Metropolitan Park District",,"91","0","https://madronalinks.com/",,"1","Madrona Links Golf Course","91.41441329","yes",,"yes",,,,,,,,,,,"yes",,,,,,,,,,,,"91",,"No",
"POINT (-122.260314353892 47.165866606825)","181","295","Rainier Woods Park","Park","Local","2610 Cherokee Blvd","Puyallup","98374","City of Puyallup","City of Puyallup","8 am to Dusk","7.35","0","http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/rainer-woods-park/",,"1","Rainier Woods Park","7.78496599",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.451850683179 47.186112047422)","201","322","South End Neighborhood Center","Community Center","Local","7802 South L Street","Tacoma","98408","City of Tacoma","Metro Parks Tacoma","Hours vary - see www.metroparkstacoma.org","2.75","0",,"http://www.metroparkstacoma.org/page.php?id=630","1","South End Neighborhood Center","2.73068555",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.187802180984 47.190443010233)","14","67","Ken Simmons Park","Park","Resource Conservancy","18200 74th St E","Bonney Lake","98391","City of Bonney Lake","City of Bonney Lake","Dawn to Dusk","0","2","http://www.ci.bonney-lake.wa.us/section_community/parks_recreation/city_parks.shtml#kensimmons",,"1","Ken Simmons Park","1.52345119",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.534826489908 47.18700671502)","205","326","South Puget Sound Unit","Wildlife Habitat","Special Use","7801 Phillips Rd","Lakewood","98498","State of Washington","State of Washington","Closed during hours of darkness","0","86.28","http://wdfw.wa.gov/lands/wildlife_areas/south_puget_sound/South%20Puget%20Sound/",,"1","South Puget Sound Unit","86.04644393",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
