"the_geom","objectid","name","address","city","zip","district","dist_no","type","phone","website","prs_id","grade","x_coord","y_coord"
"POINT (-122.427690591072 47.114704208454)","243","Spanaway Middle School","15701 B ST E","TACOMA","98445","BETHEL","403","MID","(253) 800-5400","https://www.bethelsd.org/sms",,"7-9","1160504.3723","655484.1027"
"POINT (-122.323961445378 47.127782445296)","66","Dessie F. Evans Elementary School","7911 144TH ST E","PUYALLUP","98375","PUYALLUP","003","ELEM","(253) 864-5500","https://eva.puyallup.k12.wa.us/",,"K-6","1186434.03919999","659638.65009999"
"POINT (-122.491291214451 47.200290522142)","124","Gray Middle School","6229 S TYLER ST","TACOMA","98409","TACOMA","010","MID","(253) 571-5200","https://gray.tacomaschools.org/",,"6-8","1145461.83490001","687083.41599999"
"POINT (-122.494946678634 47.238545241152)","105","Foss High School","2112 S TYLER ST","TACOMA","98405","TACOMA","010","HIGH","(253) 571-7300","https://foss.tacomaschools.org/",,"9-12","1144906.2869","701054.87270001"
"POINT (-122.207857585907 47.10094614706)","202","Orting Primary School","316 WASHINGTON AVE N","ORTING","98360","ORTING","344","ELEM","(360) 893-2248","https://www.ortingschools.org/Domain/8",,"K-6","1215115.62019999","649206.1012"
"POINT (-122.44308999955 47.24479479988)","296","Willie Stewart Academy","1818 TACOMA AVE S","TACOMA","98402","TACOMA","010","HIGH","(253) 571-3270","https://wsa.tacomaschools.org/",,"9-12","1157840.09999999","703012.11849999"
"POINT (-122.288688336599 47.193423739044)","254","Stewart Elementary School","426 4TH AVE NE","PUYALLUP","98372","PUYALLUP","003","ELEM","(253) 841-8743","https://ste.puyallup.k12.wa.us/",,"K-6","1195754.8415","683372.82520001"
"POINT (-122.366543907089 47.139088140102)","39","Central Avenue Elementary School","4608 128TH ST E","TACOMA","98446","FRANKLIN PIERCE","402","ELEM","(253) 298-3200","https://centralavenue.fpschools.org/",,"K-6","1175934.8219","664008.9365"
"POINT (-122.580695976795 47.289789450908)","165","Lighthouse Christian School","3008 36TH ST NW","GIG HARBOR","98335","NOT APPLICABLE",,"PRIVATE","(253) 858-5962","http://lcschool.org/",,"K-6","1124105.47229999","720289.66760001"
"POINT (-122.312281022068 47.197396247496)","148","Karshner Elementary School","1328 8TH AVE NW","PUYALLUP","98371","PUYALLUP","003","ELEM","(253) 841-8736","https://kar.puyallup.k12.wa.us/",,"K-6","1189924.0931","684955.2348"
"POINT (-122.451354930894 47.154539391408)","143","James Sales Elementary School","1301 113TH ST S","TACOMA","98444","FRANKLIN PIERCE","402","ELEM","(253) 298-4200","https://jamessales.fpschools.org/",,"K-8","1154973.5608","670153.4989"
"POINT (-122.491742539608 47.273474341441)","175","Mason Middle School","3901 N 28TH ST","TACOMA","98407","TACOMA","010","MID","(253) 571-7000","https://mason.tacomaschools.org/",,"6-8","1146023.6419","713770.8529"
"POINT (-122.390531284627 47.199646613408)","286","Waller Road Elementary School","6312 WALLER RD E","TACOMA","98443","PUYALLUP","003","ELEM","(253) 841-8745","https://wal.puyallup.k12.wa.us/",,"K-6","1170496.14470001","686232.34810001"
"POINT (-122.439568498752 47.252502214916)","265","Tacoma School of the Arts - Broadway","1117 BROADWAY","TACOMA","98402","TACOMA","010","HIGH","(253) 571-7900","https://sota.tacomaschools.org/",,"9-12","1158783.62720001","705800.9631"
"POINT (-122.459334054809 47.269653764446)","4","Annie Wright School","827 N TACOMA AVE","TACOMA","98403","NOT APPLICABLE",,"PRIVATE","(253) 272-2216","https://www.aw.org/page",,"K-12","1154031.8389","712176.26350001"
"POINT (-122.501474728917 47.122199345986)","208","Pierce College at McChord","852 LINCOLN BLVD SW","MCCHORD","98439","NOT APPLICABLE",,"COLLEGE","(253) 964-6606","https://www.pierce.ctc.edu/maps",,"Higher Education","1142208.51440001","658674.4051"
"POINT (-122.208658390045 47.10310853777)","200","Orting High School","320 WASHINGTON AVE N","ORTING","98360","ORTING","344","HIGH","(360) 893-2246","https://www.ortingschools.org/Domain/11",,"9-12","1214933.3135","649998.9092"
"POINT (-122.455534048902 47.143683897458)","288","Washington High School","12420 AINSWORTH AVE S","TACOMA","98444","FRANKLIN PIERCE","402","HIGH","(253) 298-4700","http://washington.fpschools.org/",,"9-12","1153835.9744","666221.14910001"
"POINT (-122.175113196409 47.130972906533)","70","Donald Eismann Elementary School","13802 CANYON VIEW BLVD E","BONNEY LAKE","98391","SUMNER","320","ELEM","(253) 891-4500","https://www.sumnersd.org/dee",,"K-6","1223501.14920001","659980.27519999"
"POINT (-122.235669969131 47.193985118009)","258","Sumner Middle School","1508 WILLOW ST","SUMNER","98390","SUMNER","320","MID","(253) 891-5000","https://www.sumnersd.org/sms",,"6-8","1208937.3723","683283.0721"
"POINT (-122.162847757424 47.156538104526)","187","Mountain View Middle School","10921 199TH AVE CT E","BONNEY LAKE","98391","SUMNER","320","MID","(253) 891-5200","https://www.sumnersd.org/mms",,"7-9","1226749.973","669237.96340001"
"POINT (-122.405498278206 47.18102667394)","130","Harvard Elementary School","1709 85TH ST E","TACOMA","98445","FRANKLIN PIERCE","402","ELEM","(253) 298-4100","http://harvard.fpschools.org/",,"K-6","1166612.5416","679532.5184"
"POINT (-122.55367285259 47.124546708872)","273","Tillicum Elementary School","8514 MAPLE ST SW","LAKEWOOD","98498","CLOVER PARK","400","ELEM","(253) 583-5370","https://tillicum.cloverpark.k12.wa.us/",,"K-6","1129240.517","659864.2552"
"POINT (-122.352178065444 47.237713324921)","98","Fife High School","5616 20TH ST E","FIFE","98424","FIFE","417","HIGH","(253) 517-1100","https://fhs.fifeschools.com/",,"9-12","1180353.6565","699886.7252"
"POINT (-122.432132498278 47.170512821207)","94","Faith Lutheran Elementary School","101 S 96TH ST","TACOMA","98444","NOT APPLICABLE",,"PRIVATE","(253) 537-2696","https://www.faith-wels.org/",,"K-12","1159897.30580001","675860.0318"
"POINT (-122.535492422147 47.254343695903)","114","Geiger Montessori School","7401 S 8TH ST","TACOMA","98465","TACOMA","010","ELEM","(253) 571-6800","https://geiger.tacomaschools.org/",,"K-5","1134986.323","707072.6126"
"POINT (-122.575679261086 47.09523017922)","256","Stone Education Center","6242 COLORADO AVE","JBLM","98433","NOT APPLICABLE",,"COLLEGE","(253) 967-7174","https://home.army.mil/lewis-mcchord/index.php/my-Joint-Base-Lewis-Mcchord/all-services/continuing-ed",,"Higher Education","1123482.8536","649318.89040001"
"POINT (-122.494850883423 47.196843274002)","170","Manitou Park Elementary","4330 S 66TH ST","TACOMA","98409","TACOMA","010","ELEM","(253) 571-5300","https://mp.tacomaschools.org/",,"K-5","1144545.4375","685848.8414"
"POINT (-122.060549139393 47.149965573216)","185","Mountain Meadow Elementary School","11812 MUNDY LOSS RD E","BUCKLEY","98321","WHITE RIVER","416","ELEM","(360) 829-3356","http://mm.whiteriver.wednet.edu/",,"K-6","1252147.9497","666321.2348"
"POINT (-122.46649541555 47.187872556642)","12","Bates Technical College - South Campus","2201 S 78TH ST","TACOMA","98409","NOT APPLICABLE",,"TECHNICAL","(253) 680-7400","https://batestech.edu/",,"Higher Education","1151510.8788","682400.9323"
"POINT (-122.577262604693 47.179407306573)","253","Steilacoom High School","54 SENTINEL DR","STEILACOOM","98388","STEILACOOM","001","HIGH","(253) 983-2300","https://www.steilacoom.k12.wa.us/Domain/8",,"9-12","1123897.0765","680020.34810001"
"POINT (-122.282311311404 47.2052747864)","285","Walker High School","5715 MILWAUKEE AVE E","PUYALLUP","98372","PUYALLUP","003","HIGH","(253) 841-8781","https://whs.puyallup.k12.wa.us/",,"9-12","1197437.5414","687658.3345"
"POINT (-122.405649074884 47.194551061019)","195","Northwest School of Innovative Learning","1819 E 72ND ST","TACOMA","98404","NOT APPLICABLE",,"PRIVATE","(253) 272-8980","https://www.northwestlearning.org/",,"K-6","1166694.2172","684464.7893"
"POINT (-122.506595274189 47.269557102719)","72","Downing Elementary School","2502 N ORCHARD ST","TACOMA","98406","TACOMA","010","ELEM","(253) 571-7100","https://downing.tacomaschools.org/",,"K-5","1142301.32439999","712435.963"
"POINT (-122.586049669038 47.328658910896)","247","St Nicholas Catholic School","3555 EDWARDS DR","GIG HARBOR","98335","NOT APPLICABLE",,"PRIVATE","(253) 858-7632","https://www.stnicholascs.org/",,"K-6","1123152.2098","734497.46600001"
"POINT (-122.474734357719 47.19107840104)","5","Arlington Elementary School","7202 S PINE ST","TACOMA","98409","TACOMA","010","ELEM","(253) 571-3200","https://arlington.tacomaschools.org/",,"K-5","1149492.2288","683621.022"
"POINT (-122.587396927875 47.120028199038)","13","Beachwood Elementary School","8890 CONCORD AVE","JBLM LEWIS N","98433","CLOVER PARK","400","ELEM","(253) 583-5260","https://beachwood.cloverpark.k12.wa.us/",,"K-6","1120804.6517","658437.1649"
"POINT (-122.622145867681 47.294532757791)","6","Artondale Elementary School","6219 40TH ST NW","GIG HARBOR","98335","PENINSULA","401","ELEM","(253) 530-1100","https://aes.psd401.net/",,"K-6","1113868.95100001","722293.17910001"
"POINT (-122.283977800654 47.236583318263)","77","Edgemont Junior High School","2300 110TH AVE E","EDGEWOOD","98372","PUYALLUP","003","JRHIGH","(253) 841-8727","https://ejh.puyallup.k12.wa.us/",,"7-9","1197281.6737","699084.2034"
"POINT (-122.42745602648 47.096266651498)","30","Camas Prairie Elementary School","320 176TH ST E","SPANAWAY","98387","BETHEL","403","ELEM","(253) 800-7400","https://www.bethelsd.org/cpes",,"K-6","1160398.449","648760.0702"
