"date","gender","race_ethnicity_locale","military_statuses_locale","total_employees","total_veteran_employees","pc_total_labor_force","pc_veteran_labor_force","veteran_percentage_of_labor_force","pc_government_veteran_percentage"
"2015-12-31T00:00:00.000","Total Pierce County Government",,,"2847","79","385474","41520","10.8","2.8"
"2016-12-31T00:00:00.000","Total Pierce County Government",,,"2877","94","395166","43038","10.9","3.3"
"2017-12-31T00:00:00.000","Total Pierce County Government",,,"2896","99","403887","43055","10.7","3.4"
"2018-12-31T00:00:00.000","Total Pierce County Government",,,"2954","112","419133","41917","10","3.8"
"2019-12-31T00:00:00.000","Total Pierce County Government",,,"3625","370","427201","45984","8.4","10.2"
"2020-12-31T00:00:00.000","Total Pierce County Government",,,"3738","590",,,,"15.8"
"2021-12-31T00:00:00.000","Total Pierce County Government",,,"3546","403",,,,"11.36"
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Elect Not to Self-identify",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female",,,,,,,,
"2015-12-31T00:00:00.000","Female",,,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Elect Not to Self-identify",,,,,,,
"2015-12-31T00:00:00.000","Female","Elect Not to Self-identify",,,,,,,
"2015-12-31T00:00:00.000","Male",,,,,,,,
"2015-12-31T00:00:00.000","Female",,,,,,,,
"2015-12-31T00:00:00.000","Male",,,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Hispanic or Latino",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","African American/Black",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Elect Not to Self-identify",,,,,,,
"2015-12-31T00:00:00.000","Female","Elect Not to Self-identify",,,,,,,
"2015-12-31T00:00:00.000","Female","African American/Black",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Elect Not to Self-identify",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Asian",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2020-12-31T00:00:00.000","Male",,,,,,,,
"2015-12-31T00:00:00.000","Female","Two or More Races",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Hispanic or Latino",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Male","Caucasian (White)",,,,,,,
"2015-12-31T00:00:00.000","Female","African American/Black",,,,,,,
