"the_geom","objectid","taxparcelnumber","taxparceltype","taxparcellevel","taxparcelunit","taxparcelunittype","effectivedate","retireddate","taxparcelmultipartcount","subtypecd","taxparcelcomment","editdate","delivery_address","city_state","zipcode","site_address","business_name","land_acres","land_value","improvement_value","taxable_value","use_code","tax_area_code","landuse_description","tax_senior_exemption","legal_description","exemption_code","rtsqq","x_coordinate","y_coordinate","longitude","latitude","maplegend","shape_area","shape_length"
"MULTIPOLYGON (((-122.494434396727 46.982401933534, -122.494418510141 46.981488472558, -122.499696105143 46.981420471237, -122.499717649521 46.982337719205, -122.494434396727 46.982401933534)))","13758","0217013010","Base Parcel","0",,,,,"1","0",,"1995-04-19T00:00:00.000Z","PO BOX 811","ROY, WA","98580-0811","XXX 48TH AVE S",,"9.71","176700","0","176700","9100","606","VACANT LAND UNDEVELOPED",,"Section 01 Township 17 Range 02 Quarter 34 : S 1/2 OF S 1/2 OF SE OF SW EXC RD EASE OF RECORD",,,"1142009.7717","607497.8553","-122.49707","46.98191","Base Parcel","440102.419006348","3304.1295167723"
"MULTIPOLYGON (((-122.642704687221 47.305873446783, -122.64269971882 47.305415541342, -122.643908323488 47.305420086692, -122.643913571227 47.305877862865, -122.642704687221 47.305873446783)))","8075","0121143031","Base Parcel","0",,,,,"1","0",,"2020-02-20T14:14:06.000Z","5310 78TH AVE NW","GIG HARBOR, WA","98335-6208","5310 78TH AVE NW",,"1.1399","326500","169700","496200","1101","472","SINGLE FAMILY DWELLING",,"Section 14 Township 21 Range 01 Quarter 31 : S 1/2 OF E 1/2 OF N 1/2 OF SE OF NE OF SW EXC CARRS INLET WOLLOCHET CO RD SEG F 7946",,,"1108729.9807","726487.4673","-122.64331","47.30565","Base Parcel","50078.5301513672","933.790086978161"
"MULTIPOLYGON (((-122.614570002708 47.375268077659, -122.614570224528 47.375185832063, -122.614691300626 47.375185723515, -122.614690892059 47.375226846389, -122.614691078993 47.375267969111, -122.614570002708 47.375268077659)))","12156","0122244094","Base Parcel","0",,,,,"1","0",,"1996-11-15T00:00:00.000Z","UNKNOWN PARTY ADDRESS","UNKNOWN CITY, WA",,"XXX 57TH AVE NW",,"0","0","0","0","0000","472","UNKNOWN",,"Section 24 Township 22 Range 01 Quarter 44 : UNDIV INT IN TRACT DESC & ASSESSED WITH  4-044  P7235PL 08/22/96PL","EXR",,"1116522.1985","751666.0808","-122.61463","47.37523","Base Parcel","898.887329101563","120.000259960015"
"MULTIPOLYGON (((-122.628943817255 47.351051905682, -122.628942196589 47.350601137418, -122.630272975879 47.350618465068, -122.630273402661 47.35106786112, -122.628943817255 47.351051905682)))","13635","0122367002","Base Parcel","0",,,,,"1","0",,"1996-02-13T00:00:00.000Z","10111 69TH AVE NW","GIG HARBOR, WA","98332-8501","10111 69TH AVE NW",,"1.23","321900","685800","1007700","1101","472","SINGLE FAMILY DWELLING",,"Section 36 Township 22 Range 01 Quarter 32 : L 2 OF SH PLAT 79-481 FORMERLY SHORT PLAT 78-489   EASE OF RECORD OUT OF 3-003 SEG L-1579 SF ES (DCJEAEMS3-8-82 & DCSGES8-28-84)",,,"1112572.3477","742871.923","-122.62961","47.35083","Base Parcel","54131.885559082","987.931398409604"
"MULTIPOLYGON (((-122.498604195699 47.142316907699, -122.498252941634 47.142197640963, -122.498132556371 47.142156764428, -122.498162908017 47.141808077556, -122.49909579806 47.141819394059, -122.499086238646 47.142233600619, -122.499085286407 47.142274855003, -122.498617384678 47.142267547563, -122.498604195699 47.142316907699)))","17312","0219123058","Base Parcel","0",,,,,,"0",,"2019-10-30T11:59:45.000Z","22525 141ST AVE SE","KENT, WA","98042-3811","12701 47TH ST SW","WESTWOOD PARK APTS","0.8899","747300","500500","1247800","1305","760","MULTI FAM APTS 5 UNITS OR MORE",,"Section 12 Township 19 Range 02 Quarter 34 : COM SW COR OF SW OF SE OF SW TH E ALG S LI OF SD SUBD 30 FT TO PT ON E LI F T CARLYLE CO RD TH ALG SD E LI N 180.94 FT TO POB TH E 234.58 FT TO PT ON W LI OF PARCEL A OF PROP CYD TO AMERICAN FED S & L ASSOC 4/",,,"1143099.2174","665889.313","-122.49863","47.14204","Base Parcel","37870.9437255859","791.602234787812"
"MULTIPOLYGON (((-122.624257740367 47.297932894272, -122.624258218981 47.297334015785, -122.625058645245 47.297333979177, -122.625048678695 47.297929026193, -122.624257740367 47.297932894272)))","9302","0121242019","Base Parcel","0",,,,,"1","0",,"1995-10-24T00:00:00.000Z","PO BOX 336","GIG HARBOR, WA","98335-0336","4509 65TH AVE NW",,"0.9199","172500","0","172500","9100","472","VACANT LAND UNDEVELOPED",,"Section 24 Township 21 Range 01 Quarter 21 : COM AT NW COR OF NE OF NW TH ALG N LI OF SD SUBD S 88 DEG 08 MIN 06 SEC E 626.49 FT TH PAR/W WLY LI OF SD SUBD S 01 DEG 29 MIN 13 SEC W 1320 FT M/L TO S LI OF SD SUBD & POB TH W ALG S LI 200 FT TH N 01 DEG 29",,,"1113276.8811","723439.9347","-122.62466","47.29763","Base Parcel","42989.4301147461","830.377374272393"
"MULTIPOLYGON (((-122.702761028785 47.388089349822, -122.702749821847 47.387880009374, -122.702870907777 47.387878168623, -122.705483619488 47.38783841805, -122.70548191448 47.388268833323, -122.702893930845 47.388308207573, -122.702772843944 47.388310048347, -122.702761028785 47.388089349822)))","11168","0122201011","Base Parcel","0",,,,,"1","0",,"2012-11-28T15:41:26.000Z","11902 SORREL RUN NW","GIG HARBOR, WA","98332","XXX 144TH ST NW",,"2.46","125900","0","125900","9100","471","VACANT LAND UNDEVELOPED",,"Section 20 Township 22 Range 01 Quarter 12 : S 157 FT OF N 380 FT OF NW OF NE LY WLY OF FOLL DESC LI BEG AT A PT 682 FT E OF NW COR OF NE TH S 06 DEG 46 MIN 15 SEC W 145.03 FT TH S 00 DEG 47 MIN 52 SEC E 1176 FT M/L TO S LI OF NW OF NE & TERM PT OF DESC",,,"1094487.496","756957.3536","-122.70412","47.38807","Base Parcel","105834.331481934","1662.59923826906"
"MULTIPOLYGON (((-122.620222650941 47.301831956347, -122.619959722534 47.301834054049, -122.619537501634 47.301837402756, -122.619513725733 47.301837610372, -122.619513640814 47.301780277956, -122.619513552059 47.301710307727, -122.619512343552 47.300917605078, -122.620261081216 47.300910140173, -122.620267185992 47.301677165039, -122.620268771211 47.301751421473, -122.620269502044 47.301831582708, -122.620222650941 47.301831956347)))","8017","0121138016","Base Parcel","0",,,,,"1","0",,"1996-02-26T00:00:00.000Z","6020 49TH ST NW","GIG HARBOR, WA","98335-7301","6020 49TH ST NW",,"1.4099","358100","358200","716300","1101","472","SINGLE FAMILY DWELLING",,"Section 13 Township 21 Range 01 Quarter 43 : L 3 OF S P 77-556 OUT OF 4-022 SEG K-1522 MN MN JW",,,"1114495.8396","724772.8888","-122.61989","47.30137","Base Parcel","62650.5458374023","1045.00609098829"
"MULTIPOLYGON (((-122.634517982273 47.284752419222, -122.634236926534 47.284755210567, -122.633323568928 47.284764277471, -122.633328196998 47.284238454174, -122.633388608857 47.284237857676, -122.634645675098 47.284225394936, -122.634645277164 47.284254287635, -122.634639565083 47.284668960386, -122.634638434599 47.28475122249, -122.634517982273 47.284752419222)))","9876","0121265051","Base Parcel","0",,,,,"1","0",,"1995-12-21T00:00:00.000Z","2916 71ST AVE NW","GIG HARBOR, WA","98335-8425","2916 71ST AVE NW",,"1.4399","353000","540000","893000","1101","472","SINGLE FAMILY DWELLING",,"Section 26 Township 21 Range 01 Quarter 11 : L 1 OF S P 86-12-11-0243 TOG/W EASE & RESTRICTIONS OF REC OUT OF 1-087 SEG X-1259 PP ES",,,"1110833.3478","718712.4232","-122.63398","47.28449","Base Parcel","62645.887512207","1037.00728155422"
"MULTIPOLYGON (((-122.504651488274 47.156796368229, -122.504641812129 47.156529711456, -122.505178000267 47.156525240777, -122.505183121888 47.156794464396, -122.504651488274 47.156796368229)))","16092","0219024805","Base Parcel","0",,,,,"1","0",,"1995-12-06T00:00:00.000Z","7521 BRIDGEPORT WAY #A","LAKEWOOD, WA","98499","11018 BRIDGEPORT WY SW","SPEED ZONE","0.2984","368600","64700","433300","6410","760","AUTO REPAIR SERVICES",,"Section 02 Township 19 Range 02 Quarter 44 : E 130 FT OF S 100 FT OF FOLL DESC BEG AT THE SE COR OF SEC 2 TH N ON E LI OF SEC 253.6 FT M/L TO N LI OF 111TH ST SW TH W ALG N LI 40 FT TO W LI OF BRIDGEPORT WAY & POB TH CONT W ON SD LI 200 FT TH N PAR TO SD",,,"1141672.0416","671261.3036","-122.50491","47.15666","Base Parcel","12983.1174316406","461.162641104354"
"MULTIPOLYGON (((-122.671635971966 47.403377911152, -122.671623939801 47.4025431554, -122.671622754295 47.402460907638, -122.671743895502 47.402461794039, -122.672887725961 47.402470156372, -122.674157124978 47.402479422555, -122.674161246592 47.403406283479, -122.671635971966 47.403377911152)))","10752","0122152059","Base Parcel","0",,,,,"1","0",,"1996-02-05T00:00:00.000Z","10009 159TH ST NW","GIG HARBOR, WA","98329-7104","10009 159TH ST NW",,"5","362100","327800","398600","1101","471","SINGLE FAMILY DWELLING","SB","Section 15 Township 22 Range 01 Quarter 22 : N 330 FT OF NW OF NW OF NW EASE OF RECORD COMB 2-055 & 2-056 SEG Y-0148 NF ES",,,"1102368.9001","762159.9541","-122.6729","47.40293","Base Parcel","210669.067321777","1925.73297762781"
"MULTIPOLYGON (((-122.550466121527 47.237520852875, -122.550466787365 47.237316199215, -122.551250515755 47.237319228644, -122.551248221037 47.237527990014, -122.550466121527 47.237520852875)))","19421","0220095028","Base Parcel","0",,,,,"1","0",,"1995-05-28T00:00:00.000Z","2416 GRANDVIEW DR W","TACOMA, WA","98466-2819","2416 GRANDVIEW DR W",,"0.33","314300","386400","700700","1101","752","SINGLE FAMILY DWELLING",,"Section 09 Township 20 Range 02 Quarter 14 : L 1 OF AMENDED SH PL 85-09-16-0214 FORMERLY SH PLAT 85-08-23-0322 TOG/W EASE OF REC OUT OF 1-007 SEG W-0483 MS ES (DC2366PP6-4-86)",,,"1131011.004","701001.138","-122.55086","47.23742","Base Parcel","14663.9702148438","539.786458847434"
"MULTIPOLYGON (((-122.681871334551 47.385355168292, -122.683171918032 47.385365696244, -122.683173348264 47.385406695626, -122.683260904491 47.387918814596, -122.681979562304 47.388314827374, -122.681871334551 47.385355168292)))","11321","0122211083","Base Parcel","0",,,,,"1","0",,"1996-02-06T00:00:00.000Z","PO BOX 640","WAUNA, WA","98395-0640","10812 SR 302 NW",,"7.58","451400","366400","817800","1101","471","SINGLE FAMILY DWELLING",,"Section 21 Township 22 Range 01 Quarter 12 : COMBINED FOR TAX PURPOSES ONLY POR E 1/2 OF W 1/2 OF NW OF NE LY S OF HWY 302 EASE OF REC COMB OF 1-068 & 1-052 SEG C0288PL 8/13/91BO",,,"1099814.5082","756322.4596","-122.68256","47.38674","Base Parcel","323255.60949707","2682.39875732712"
"MULTIPOLYGON (((-122.652112115943 47.297273095929, -122.651186216711 47.297271677153, -122.650520331901 47.297270652366, -122.650525057189 47.29636273343, -122.650529715028 47.29546779849, -122.650532093677 47.295010736661, -122.65213146049 47.294999751889, -122.652365090204 47.294998145211, -122.652397331313 47.29499792363, -122.652393827882 47.295468555839, -122.65238039224 47.297273505677, -122.652112115943 47.297273095929)))","8953","0121232042","Base Parcel","0",,,,,"1","0",,"1995-10-24T00:00:00.000Z","4111 87TH AVE NW","GIG HARBOR, WA","98335-6110","4107 85TH AVE NW",,"8.82","684600","66500","751100","1101","472","SINGLE FAMILY DWELLING",,"Section 23 Township 21 Range 01 Quarter 23 : W 1/2 OF SW OF NW EXC W 198 FT THEREOF ALSO EXC S 487 FT THEREOF TOG/W EASE SEG G 6525 SP",,,"1106613.6175","723075.3861","-122.65146","47.29614","Base Parcel","382309.002868652","2578.76486475222"
"MULTIPOLYGON (((-122.648380182996 47.284725744972, -122.648401766687 47.284027142008, -122.648436296582 47.282909603895, -122.648438931395 47.282312136475, -122.648604539565 47.282356692044, -122.648872222215 47.282428157866, -122.648872975713 47.282901827878, -122.648860677496 47.28333432673, -122.649281836792 47.283336121967, -122.649248092964 47.284473567348, -122.649679081621 47.284473559206, -122.649670584156 47.284733387235, -122.648821052242 47.284728357674, -122.648380182996 47.284725744972)))","9795","0121262131","Base Parcel","0",,,"2013-01-22T00:00:00.000Z",,"1","0",,"2013-04-22T15:24:25.000Z","488 DUNGENESS DR","FOX ISLAND, WA","98333","8215 WARREN DR NW",,"3.61","672400","536000","1208400","1101","472","SINGLE FAMILY DWELLING",,"Section 26  Township 21  Range 01  Quarter 22  PARCEL A OF ROS FOR BLA 2013-01-22-5002 DESC AS COM AT NE COR OF TR A OF SHAWNEE HILLS TH S 88 DEG 40 MIN 08 SEC E 597.41 FT TH S 02 DEG 06 MIN 28 SEC W 607.55 FT TO POB TH CONT S 02 DEG 06 MIN 28 SEC W 894.",,,"1107143.5445","718552.5272","-122.64883","47.28378","Base Parcel","156566.126647949","2368.17677930595"
"MULTIPOLYGON (((-122.691699627017 47.287479349712, -122.691701245281 47.287422289741, -122.69170045683 47.287133480956, -122.694278814984 47.287096903689, -122.694275353443 47.287191647188, -122.694265448246 47.287463207814, -122.691699627017 47.287479349712)))","8563","0121213055","Base Parcel","0",,,,,"1","0",,"1996-09-18T00:00:00.000Z","610 WHEELER ST APT 302","SEATTLE, WA","98109-2233","3310 115TH AVE NW",,"2","55100","25100","80200","1800","472","OTHER RESIDENTIAL",,"Section 21 Township 21 Range 01 Quarter 33 : PARCEL `A` COM 350 FT E OF SW COR OF GOVT LOT 7 TH N ON W LI OF SD GOVT LOT 7, 263.74 FT TO POB TH CONT N ON SD W LI 131.87 FT TH S 89 DEG 14 MIN 51 SEC E TO INTER W LI OF HORSEHEAD BAY DR NW TH SLY ON SD W LI",,,"1096219.9696","720134.3744","-122.693","47.28729","Base Parcel","82869.9038696289","1536.6770586578"
"MULTIPOLYGON (((-122.550505366599 47.230523652227, -122.550506382047 47.23024937211, -122.550922221288 47.230252340818, -122.551016840867 47.230253022108, -122.551015399094 47.230531443212, -122.550505366599 47.230523652227)))","19335","0220094024","Base Parcel","0",,,,,"1","0",,"1995-05-27T00:00:00.000Z","3206 GRANDVIEW DR W","UNIVERSITY PLACE, WA","98466-2629","3206 GRANDVIEW DR W",,"0.2869","299100","371500","670600","1101","752","SINGLE FAMILY DWELLING",,"Section 09 Township 20 Range 02 Quarter 44 : COM AT SE COR OF SE OF NW OF SE OF SE OF SEC TH N ON E LI SD SUBD 155 FT TO POB TH W PAR WITH S LI SD SUBD 155 FT TH N 100 FT TH E 155 FT TH S 100 FT TO POB EXC ST",,,"1130968.5606","698436.6376","-122.55076","47.23039","Base Parcel","12778.5632324219","455.169871007459"
"MULTIPOLYGON (((-122.647795304436 47.380822005408, -122.647795177771 47.380685176122, -122.647692330109 47.38068550202, -122.647692413015 47.380549381365, -122.647692442787 47.380495615891, -122.647813527374 47.380496323603, -122.647934594606 47.380497041384, -122.648605647231 47.380501079967, -122.648604013678 47.380798902919, -122.648603952316 47.380798903232, -122.648470311639 47.380799327414, -122.648470129267 47.380819906109, -122.648469935128 47.380841842303, -122.648334386144 47.380859623216, -122.647983543284 47.380842830305, -122.647934395531 47.38083739308, -122.647795304436 47.380822005408)))","11919","0122233048","Base Parcel","0",,,,,"1","0",,"2020-03-16T16:06:06.000Z","13504 82ND AVE NW","GIG HARBOR, WA","98329-8642","13504 82ND AVE NW",,"0.5961","249600","508500","758100","1101","471","SINGLE FAMILY DWELLING",,"Section 23  Township 22  Range 01  Quarter 32 : PARCEL B ROS FOR BLA 2016-08-02-5003 DESC AS FOLL BEG NE COR OF NW OF SW TH S 1 DEG 42 MIN 54 SEC W 280.8 FT TO POB TH CONT 65.4 FT TH N 89 DEG 36 MIN 18 SEC W 225 FT TH N 1 DEG 42 MIN 54 SEC E 107.98 TH S",,,"1108270.1027","753872.9813","-122.64817","47.38066","Base Parcel","26596.1928710938","696.771598938818"
"MULTIPOLYGON (((-122.568585665305 47.150780792019, -122.568749705171 47.150765429235, -122.569068129077 47.150971112763, -122.568819127755 47.15103899904, -122.568584675379 47.151102826598, -122.568585665305 47.150780792019)))","16592","0219081006","Base Parcel","0",,,,,"1","0",,"1995-11-07T00:00:00.000Z","11628 HOLDEN RD SW","LAKEWOOD, WA","98498-2735","11628 HOLDEN RD SW",,"0.2154","203700","89700","293400","1155","760","MH TITLE ELIM",,"Section 08 Township 19 Range 02 Quarter 14 : BEG 1950.68 FT S OF NE COR OF SEC AT INTER WITH N BDRY OF CO RD TH NWLY ALG SD N BDRY 200 FT TH NELY TO A PT ON E LI OF SEC 200 FT N OF BEG TH S TO BEG EXC RDS ALSO EXC POR CYD TO CY OF LAKEWOOD FOR ADD`L R/W",,,"1125739.1242","669581.4907","-122.56876","47.15093","Base Parcel","8812.42651367188","397.2921387702"
