"company","fund","cost_center","program_hierarchy_level_2","program_hierarchy_level_3","program_hierarchy_level_4","program_hierarchy_level_5","program","project","location","business_unit","new_ledger_account","spend_category_as_worktag","supplier_as_worktag","ad_hoc_payee","expense_item_as_worktag","journal_source","accounting_date","fiscal_year","paid_date","status","ledger_budget_debit_minus","ledger_account_name"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","502030:Benefits - Fica",,"Administration",,,"Payroll Actuals Accrual","2021-01-10T00:00:00.000","FY2021",,,"7.84","Benefits - Fica"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","502030:Benefits - Fica",,"Administration",,,"Payroll Actuals Accrual","2021-01-10T00:00:00.000","FY2021",,,"1.83","Benefits - Fica"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","502030:Benefits - Fica",,"Administration",,,"Payroll Actuals Accrual","2021-01-10T00:00:00.000","FY2021",,,"11.63","Benefits - Fica"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","502010:Benefits - Workers Compensation",,"Administration",,,"Payroll Actuals Accrual","2021-01-10T00:00:00.000","FY2021",,,"0.59","Benefits - Workers Compensation"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","502030:Benefits - Fica",,"Administration",,,"Payroll Actuals Accrual","2021-01-10T00:00:00.000","FY2021",,,"2.72","Benefits - Fica"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","502010:Benefits - Workers Compensation",,"Administration",,,"Payroll Actuals Accrual","2021-01-10T00:00:00.000","FY2021",,,"0.88","Benefits - Workers Compensation"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","502190:Benefits - PEBB",,"Administration",,,"Payroll Actuals Accrual","2021-01-10T00:00:00.000","FY2021",,,"47.14","Benefits - PEBB"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","502040:Benefits - Retirement",,"Administration",,,"Payroll Actuals Accrual","2021-01-10T00:00:00.000","FY2021",,,"17.05","Benefits - Retirement"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","502180:Benefits - State Family Medical Leave",,"Administration",,,"Payroll Actuals Accrual","2021-01-10T00:00:00.000","FY2021",,,"0.19","Benefits - State Family Medical Leave"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","502040:Benefits - Retirement",,"Administration",,,"Payroll Actuals Accrual","2021-01-10T00:00:00.000","FY2021",,,"25.28","Benefits - Retirement"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","502190:Benefits - PEBB",,"Administration",,,"Payroll Actuals Accrual","2021-01-10T00:00:00.000","FY2021",,,"69.88","Benefits - PEBB"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","502180:Benefits - State Family Medical Leave",,"Administration",,,"Payroll Actuals Accrual","2021-01-10T00:00:00.000","FY2021",,,"0.29","Benefits - State Family Medical Leave"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","501100:Salaries & Wages",,"Administration",,,"Payroll Actuals Accrual","2021-01-10T00:00:00.000","FY2021",,,"104.13","Salaries & Wages"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","501100:Salaries & Wages",,"Administration",,,"Payroll Actuals Accrual","2021-01-10T00:00:00.000","FY2021",,,"156.2","Salaries & Wages"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","502010:Benefits - Workers Compensation",,"Administration",,,"Payroll Actuals Accrual","2021-01-10T00:00:00.000","FY2021",,,"0.22","Benefits - Workers Compensation"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","502010:Benefits - Workers Compensation",,"Administration",,,"Payroll Actuals Accrual","2021-01-10T00:00:00.000","FY2021",,,"0.33","Benefits - Workers Compensation"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","502010:Benefits - Workers Compensation",,"Administration",,,"Payroll Forward Accruals","2021-01-01T00:00:00.000","FY2021",,,"-0.28","Benefits - Workers Compensation"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","502180:Benefits - State Family Medical Leave",,"Administration",,,"Payroll Forward Accruals","2021-01-01T00:00:00.000","FY2021",,,"-0.15","Benefits - State Family Medical Leave"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","501100:Salaries & Wages",,"Administration",,,"Payroll Forward Accruals","2021-01-01T00:00:00.000","FY2021",,,"-41.65","Salaries & Wages"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","502010:Benefits - Workers Compensation",,"Administration",,,"Payroll Forward Accruals","2021-01-01T00:00:00.000","FY2021",,,"-0.18","Benefits - Workers Compensation"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","501100:Salaries & Wages",,"Administration",,,"Payroll Forward Accruals","2021-01-01T00:00:00.000","FY2021",,,"-62.48","Salaries & Wages"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","502030:Benefits - Fica",,"Administration",,,"Payroll Forward Accruals","2021-01-01T00:00:00.000","FY2021",,,"-1.46","Benefits - Fica"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","502010:Benefits - Workers Compensation",,"Administration",,,"Payroll Forward Accruals","2021-01-01T00:00:00.000","FY2021",,,"-0.73","Benefits - Workers Compensation"
"Human Services","167-00 Community Action Fund","Energy Assistance Svcs","Human Services Programs",,"Community Response & Resilience","Other Human Services Programs","Human Services Programs",,"Soundview Building","56510P0 Welfare","502030:Benefits - Fica",,"Administration",,,"Payroll Forward Accruals","2021-01-01T00:00:00.000","FY2021",,,"-2.27","Benefits - Fica"
