"the_geom","objectid","name","type","address","city","notes","open_schedule","close_schedule","active","status","zip","phone","picture"
"POINT (-122.256200530738 47.15469040922)","10","Skookum Archers","Ballot Deposit Site","11209 Shaw Rd E","Puyallup",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98374",,"https://www.piercecountywa.gov/DocumentCenter/View/64755/Skookum-Archers"
"POINT (-122.469842150663 47.228691670314)","24","Pierce County Election Center","Voting Center","2501 S 35th St","Tacoma",,"Open at 8:30 a.m. 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98409",,"https://www.piercecountywa.gov/DocumentCenter/View/21794/Pierce-County-Election-Center"
"POINT (-122.508142744493 47.270153305411)","30","Kandle Park Police Substation","Ballot Deposit Site","5140 N 26th St","Tacoma",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98407",,"https://www.piercecountywa.gov/DocumentCenter/View/21775/Kandle-Park-Drop-Box"
"POINT (-122.586475683438 47.319277744496)","43","Gig Harbor Fire Station 51","Ballot Deposit Site","6711 Kimball Dr","Gig Harbor",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98335",,"https://www.piercecountywa.gov/DocumentCenter/View/21774/Gig-Harbor-Fire-Station-Drop-Box"
"POINT (-122.294337460106 47.11603770349)","6","South Hill Library","Ballot Deposit Site","15420 Meridian E","Puyallup",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98375",,"https://www.piercecountywa.gov/DocumentCenter/View/21786/South-Hill-Library-Drop-Box"
"POINT (-122.308115599194 47.052788860648)","48","Graham Library","Ballot Deposit Site","9202 224th St E","Graham",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98338",,
"POINT (-122.515883294247 47.161165630783)","14","Lakewood City Hall","Ballot Deposit Site","6000 Main St SW","Lakewood",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98499",,"https://www.piercecountywa.gov/DocumentCenter/View/21777/Lakewood-City-Hall-Drop-Box"
"POINT (-122.436842146044 47.244851567782)","37","UW Tacoma","Ballot Deposit Site","1906 Pacific Ave","Tacoma","Beside bus stop","Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98402",,
"POINT (-122.360481502212 47.154965933543)","11","Summit Library","Ballot Deposit Site","5107 112th St E","Tacoma",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98446",,"https://www.piercecountywa.gov/DocumentCenter/View/63277/Summit"
"POINT (-122.620636718365 47.242416147547)","41","Fox Island Fire Station 53","Ballot Deposit Site","906 Kamus Dr","Fox Island",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98333",,"https://www.piercecountywa.gov/DocumentCenter/View/73003/Fox_Island"
"POINT (-122.486568073366 47.270969414567)","36","Wheelock Library","Ballot Deposit Site","3722 N 26th St","Tacoma",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98407",,
"POINT (-122.580267908983 47.299142899392)","42","Gig Harbor Library","Ballot Deposit Site","4424 Point Fosdick Dr NW","Gig Harbor",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98335",,
"POINT (-122.642526508217 47.091392855066)","5","DuPont Ross Plaza","Ballot Deposit Site","1500 Wilmington Dr","Dupont",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98327",,"https://www.piercecountywa.gov/DocumentCenter/View/21784/Ross-Plaza-Drop-Box"
"POINT (-122.554099802217 47.123505626964)","7","Tillicum Community Center","Ballot Deposit Site","14916 Washington Ave S","Lakewood",,"Open 24/7 18 days prior to Election Day","Closes at 8:00 p.m. on Election Day","1","Active","98489",,"https://www.piercecountywa.gov/DocumentCenter/View/63275/Tillicum"
