"the_geom","objectid","name","address","city","zip","district","dist_no","type","phone","website","prs_id","grade","shape_area","shape_length"
"MULTIPOLYGON (((-122.602526057047 47.332083351357, -122.602931763113 47.330329371942, -122.604501697514 47.330250152847, -122.604092324662 47.331995140594, -122.6039897452 47.332432383577, -122.603988410233 47.33243651366, -122.602462431954 47.332439809499, -122.602526057047 47.332083351357)))","68","Discovery Elementary School","4905 ROSEDALE ST NW","GIG HARBOR","98335","PENINSULA","401","ELEM","(253) 530-1200","https://des.psd401.net/",,"K-6","300504.99017334","2354.98461955777"
"MULTIPOLYGON (((-122.542337183963 47.181829201816, -122.542340445174 47.182014038801, -122.542341398185 47.182068069431, -122.539385522505 47.182119145777, -122.539391101229 47.181892394324, -122.539393950951 47.181776606877, -122.539395947201 47.181695449687, -122.53939621233 47.181684696856, -122.539399521446 47.181550159973, -122.539401198125 47.181482053809, -122.53940234053 47.181435591335, -122.539407666657 47.181219088885, -122.539413768328 47.180971121439, -122.539415726081 47.180891527937, -122.539418508523 47.180778455482, -122.539422970916 47.180597046669, -122.539423020501 47.180595023915, -122.539426689508 47.180445894409, -122.539427835895 47.18039932598, -122.539427908921 47.180396351662, -122.539433754339 47.180158749832, -122.539437640104 47.180000796945, -122.539439656668 47.179918831907, -122.539507461044 47.17989152272, -122.539607444905 47.179837857457, -122.539738670201 47.179785220912, -122.539739106076 47.179785046747, -122.539914320816 47.179796009933, -122.540536157183 47.179931057051, -122.540690251837 47.179924844211, -122.540746786988 47.179833018386, -122.540779117664 47.179779744631, -122.540740409011 47.179674304091, -122.540776834466 47.179686524137, -122.540845552061 47.179708574777, -122.540914826622 47.179729803725, -122.540984628603 47.17975020629, -122.541054945094 47.179769770905, -122.541125752416 47.179788499084, -122.541197028114 47.179806382173, -122.541268749062 47.179823415092, -122.541340896764 47.179839587472, -122.541413444778 47.179854902245, -122.541486375958 47.179869352859, -122.541559668651 47.179882930643, -122.541633293457 47.179895634744, -122.541707234952 47.179907461594, -122.541781464733 47.179918404838, -122.541855965965 47.179928466142, -122.541930711791 47.179937637479, -122.542005681673 47.179945918388, -122.54208085455 47.179953305126, -122.542085662391 47.179953719676, -122.54215294249 47.179959515109, -122.542159338986 47.179960028591, -122.542229838824 47.179965253431, -122.542233494735 47.179965502089, -122.542307339075 47.179970083917, -122.542309864678 47.180280401765, -122.542316893628 47.180678849993, -122.542317940663 47.180738248273, -122.542324966229 47.181136561833, -122.54233157594 47.181511248725, -122.542332594186 47.181568977497, -122.542334579091 47.181681509542, -122.542337183963 47.181829201816)))","63","Custer Elementary School","7801 STEILACOOM BLVD SW","LAKEWOOD","98498","CLOVER PARK","400","ELEM","(253) 583-5230","https://custer.cloverpark.k12.wa.us/",,"K-6","589357.08026123","3140.53144741863"
"MULTIPOLYGON (((-122.44741484221 47.262814706414, -122.447430086414 47.262881655249, -122.447430278424 47.26288250603, -122.447454951728 47.262990877057, -122.447479626802 47.26309924969, -122.447519428765 47.263095068002, -122.447534869675 47.263162880137, -122.447550306687 47.263230694802, -122.447565746527 47.263298508594, -122.447581186406 47.263366322382, -122.447596624644 47.263434134275, -122.44761206464 47.263501949152, -122.447627501817 47.263569762976, -122.44764294299 47.26363757481, -122.447645597049 47.263649232636, -122.447609051401 47.263667725287, -122.447502204217 47.263721793255, -122.447170385751 47.263889706151, -122.447140802123 47.263759757513, -122.447125366684 47.263691942787, -122.447109930205 47.26362413164, -122.447094493323 47.2635563194, -122.44707905813 47.263488508225, -122.447063621728 47.26342069597, -122.447048186613 47.263352884787, -122.4470327502 47.263285070058, -122.447017313925 47.263217258066, -122.447010380199 47.263186801407, -122.447001874891 47.263149446666, -122.446952537585 47.262932700732, -122.446937103442 47.262864897464, -122.446921667294 47.262797093403, -122.446906236763 47.262729287599, -122.446890801126 47.262661484347, -122.446997672551 47.262650259557, -122.447368531004 47.262611308139, -122.447383967121 47.262679108315, -122.447399407253 47.262746907048, -122.44741484221 47.262814706414)))","101","First Presbyterian Church School","20 TACOMA AVE S","TACOMA","98402","NOT APPLICABLE",,"PRIVATE","(253) 225-1721","http://www.fpcschool.org/",,"K-8","52679.0427246094","1115.01782396833"
"MULTIPOLYGON (((-122.429425461788 47.113207538233, -122.429135278549 47.113205041287, -122.429043460808 47.113204250234, -122.428944709239 47.113203399639, -122.428744882951 47.11320167939, -122.428674558811 47.113201074679, -122.428317198489 47.11319799655, -122.428234143135 47.113197281011, -122.427914288045 47.113194525081, -122.427766357469 47.113193249637, -122.427771217531 47.113366516262, -122.427745874706 47.113366687136, -122.427721468957 47.113366852514, -122.427512224579 47.113368266316, -122.427484205588 47.113368455731, -122.427450456693 47.113368684248, -122.427439179904 47.113988817899, -122.427388368898 47.113988401325, -122.426695403844 47.113982725389, -122.426520325642 47.11398129004, -122.426512438471 47.11417095499, -122.425627599704 47.114174342326, -122.425633142826 47.113998106814, -122.425634273058 47.113962190207, -122.425646497806 47.113573565983, -122.425653972996 47.113335898, -122.425664345131 47.11300617584, -122.425672939146 47.112732985763, -122.425681249413 47.112468813713, -122.425685030441 47.112348597909, -122.42628576456 47.112359396977, -122.426528709524 47.11236376339, -122.426919140481 47.112368844297, -122.427430875394 47.112375501815, -122.427981015215 47.112382656468, -122.428869105469 47.112394200348, -122.428927671674 47.112394961769, -122.428949485916 47.112427126296, -122.429016098507 47.1125253534, -122.429036720546 47.112603152728, -122.429067483939 47.112679375461, -122.42910814251 47.112753406418, -122.429159869241 47.112827192458, -122.429414741298 47.113190747633, -122.429425461788 47.113207538233)))","272","Thompson Elementary","303 159TH ST E","TACOMA","98445","BETHEL","403","ELEM","(253) 800-5800","https://www.bethelsd.org/tes",,"PRE-6","409623.537658691","3096.77217795222"
"MULTIPOLYGON (((-122.54237569256 47.184012186226, -122.542377474812 47.18411319441, -122.542385119522 47.184546515499, -122.542240752937 47.184547393376, -122.542230782427 47.18454745422, -122.541806880071 47.184550029151, -122.541588799574 47.184551353594, -122.541408844762 47.184552446613, -122.541052806652 47.18455460738, -122.540725492412 47.184556593524, -122.540410864305 47.18455850142, -122.540400952085 47.184558561078, -122.540077716478 47.184560520068, -122.53976024758 47.18456244311, -122.539435358493 47.184564410538, -122.539106165462 47.184566403557, -122.538777949729 47.184568389111, -122.538762857996 47.184568480405, -122.538630215391 47.184569282346, -122.538452672843 47.184570355951, -122.538429703211 47.184570494429, -122.538131732037 47.18457229539, -122.537804842274 47.184574269903, -122.537306486744 47.184577279058, -122.537262159001 47.184312315636, -122.53725408648 47.18426405951, -122.53724524948 47.184211170812, -122.537231862109 47.184131058706, -122.537226571121 47.183581502248, -122.537219415874 47.182838219829, -122.537218664103 47.182760041681, -122.539369604751 47.182766090151, -122.539374485988 47.182567706166, -122.539382337471 47.182248577476, -122.539385528557 47.182118891702, -122.542341398185 47.182068069431, -122.542355648418 47.182875899618, -122.542360304956 47.183139887473, -122.542362097867 47.183241537827, -122.54237569256 47.184012186226)))","137","Hudtloff Middle School","8102 PHILLIPS RD SW","LAKEWOOD","98498","CLOVER PARK","400","MID","(253) 583-5400","https://hudtloff.cloverpark.k12.wa.us/",,"6-8","1017967.3571167","4337.03883722857"
"MULTIPOLYGON (((-122.410046654964 47.159412609346, -122.410046448421 47.159422101999, -122.410043606133 47.159552923041, -122.409985371874 47.162233708507, -122.409399266513 47.162220729241, -122.408995751079 47.162211792707, -122.406815963694 47.162163491372, -122.406832473635 47.161705455379, -122.406849681139 47.161209813735, -122.40685124424 47.161164811218, -122.406853981863 47.160974331824, -122.406718422345 47.16097245906, -122.406741863351 47.160081531464, -122.406749543536 47.159841838771, -122.406762672407 47.159432118047, -122.406764013497 47.159390266518, -122.407465889719 47.159399758589, -122.407470909405 47.159373499201, -122.408838116788 47.159394265223, -122.408893324138 47.159395103776, -122.409118205921 47.159398518064, -122.410046654964 47.159412609346)))","104","Ford Middle School","1602 104TH ST E","TACOMA","98445","FRANKLIN PIERCE","402","MID","(253) 298-3600","http://ford.fpschools.org/",,"6-8","823262.672973633","3687.89023685455"
"MULTIPOLYGON (((-122.56276547493 47.213917069097, -122.563636753654 47.213866935181, -122.563673783728 47.21387844151, -122.565456179662 47.214434387772, -122.565443190186 47.214514185413, -122.565439494174 47.21459445733, -122.5653818072 47.215298737819, -122.565376413968 47.215362128625, -122.565363055513 47.215424890616, -122.565341782435 47.215486581594, -122.565312766683 47.215546732786, -122.565276225754 47.215604887498, -122.565232448136 47.215660603122, -122.565181764086 47.215713455505, -122.565124558157 47.215763040096, -122.565061263003 47.215808978359, -122.564992355834 47.215850919765, -122.564918355503 47.21588853937, -122.564839817903 47.215921543657, -122.564757342515 47.215949683863, -122.564671547693 47.215972741331, -122.564583091145 47.215990536748, -122.56370989117 47.216135192408, -122.563693351903 47.216138775182, -122.563563884477 47.216170992547, -122.563438680596 47.216210014472, -122.563318495443 47.216255570249, -122.563204051566 47.216307367262, -122.563096063018 47.216365090562, -122.56276547493 47.213917069097)))","260","Sunset Primary School","4523 97TH AVE W","UNIVERSITY PLACE","98466","UNIVERSITY PLACE","083","PRIM","(253) 566-5640","https://sp.upsd83.org/",,"K-2","442048.513122559","2670.87492819613"
"MULTIPOLYGON (((-122.294800220636 47.070571268057, -122.294909896072 47.068875671624, -122.295733231981 47.068885038534, -122.295757531408 47.06830928588, -122.294947212515 47.068298770124, -122.29499152114 47.067614471349, -122.298627734972 47.067644183822, -122.298420249834 47.071177195921, -122.295752687254 47.071156698483, -122.295593709775 47.071155474399, -122.295595505185 47.071128067658, -122.295631873427 47.070574572723, -122.294800220636 47.070571268057)))","122","Graham Elementary School","10026 204TH ST E","GRAHAM","98338","BETHEL","403","ELEM","(253) 800-8500","https://www.bethelsd.org/ges",,"K-6","1085226.71893311","4805.57295680694"
"MULTIPOLYGON (((-122.396338796946 47.056990423934, -122.396335394677 47.056082243631, -122.397638044939 47.056091412752, -122.397753178966 47.056092220553, -122.399575291547 47.056105019873, -122.400110384972 47.056108774132, -122.400111953416 47.057027700509, -122.397644164466 47.057003332435, -122.396338796946 47.056990423934)))","81","Elk Plain School of Choice K-8","22015 22ND AVE E","SPANAWAY","98387","BETHEL","403","OTHER","(253) 800-7900","https://www.bethelsd.org/epsoc",,"PRE-8","313420.74407959","2547.90926281921"
"MULTIPOLYGON (((-122.521429478655 47.254797253982, -122.521431493425 47.254248832011, -122.521433879825 47.253599609788, -122.521289440981 47.253601170661, -122.521286912179 47.253491517978, -122.521285335704 47.253423137328, -122.521283758025 47.253354756697, -122.521282181558 47.253286376043, -122.521280605105 47.253217995661, -122.521279027438 47.253149615025, -122.521277450982 47.253081234365, -122.521275874531 47.253012853704, -122.521274298084 47.252944473041, -122.521272720464 47.25287609322, -122.521271144025 47.252807712553, -122.521269567589 47.252739331885, -122.521267989558 47.252670951517, -122.521266413131 47.252602570845, -122.521264837069 47.252534189068, -122.521263260691 47.252465809489, -122.521261682666 47.25239742884, -122.521260106255 47.252329048161, -122.521258529848 47.25226066748, -122.521256953445 47.252192286797, -122.521255375838 47.252123906134, -122.521253799443 47.252055525447, -122.521252223052 47.251987144759, -122.521250645457 47.25191876409, -122.521734193477 47.251913871273, -122.521814717556 47.251913056096, -122.522298264266 47.251908160946, -122.522580096467 47.25190530638, -122.523063435703 47.251900410833, -122.52314395933 47.251899594465, -122.523627297214 47.251894695491, -122.523909129274 47.251891837691, -122.524392508923 47.251886935889, -122.524473032912 47.25188611859, -122.524956412861 47.251881214428, -122.525238244407 47.251878354224, -122.52568030325 47.251873865431, -122.52576082721 47.251873047511, -122.526202886398 47.251868557539, -122.526204518671 47.251936789745, -122.52620615131 47.252005020846, -122.52620778517 47.252073252198, -122.526209417859 47.252141484392, -122.52621105051 47.252209715488, -122.526212682772 47.252277946863, -122.526214315473 47.252346179052, -122.526215948136 47.252414410142, -122.526217580845 47.252482642327, -122.526219213527 47.252550873688, -122.526220847411 47.252619104752, -122.52622247973 47.252687336939, -122.526224112424 47.252755568294, -122.526225745112 47.252823799374, -122.526227377815 47.252892030726, -122.526229010151 47.252960262905, -122.526230644059 47.253028493959, -122.526232276774 47.253096725305, -122.526233909524 47.253164957472, -122.526235542238 47.253233188541, -122.526237174965 47.253301419883, -122.526238807284 47.253369650955, -122.526239784986 47.253410470051, -122.52579554279 47.253416070463, -122.525715021547 47.253417085784, -122.525273717085 47.253422646251, -122.524991893018 47.253426197392, -122.524830374541 47.253428231889, -122.524772637632 47.253428959854, -122.524772625272 47.253453797797, -122.524772578637 47.253563478275, -122.524772564876 47.253593641196, -122.524772158905 47.254532464724, -122.524317592194 47.254530062024, -122.524308754693 47.254530014902, -122.524258017425 47.254529747023, -122.524258010881 47.254543730075, -122.524257956616 47.25466631354, -122.524016345434 47.254670706742, -122.523492853682 47.254680222307, -122.523239162159 47.254684833159, -122.523178759106 47.2546859305, -122.523118355689 47.254687028912, -122.522655267099 47.254695443376, -122.522655225631 47.254784001006, -122.522639391767 47.254784172471, -122.522234879496 47.25478854715, -122.522194609106 47.254788982836, -122.522033529107 47.254790724317, -122.521812043327 47.254793119599, -122.521429478655 47.254797253982)))","139","Hunt Middle School","6501 S 10TH ST","TACOMA","98465","TACOMA","010","ELEM","(253) 571-2403","https://hunt.tacomaschools.org/",,"K-5","1073982.76239014","4558.20297129908"
