"service_request","date_request_opened","request_status","sla","service_group","agency_responsible","request_name","street_address","latitude","longitude","location","tni_area_description"
"22-00040707","2022-09-12T23:54:19.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040706","2022-09-12T22:50:46.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040705","2022-09-12T22:15:12.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040702","2022-09-12T21:04:14.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040701","2022-09-12T20:44:25.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040699","2022-09-12T20:25:51.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040694","2022-09-12T17:04:37.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040691","2022-09-12T16:54:22.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040664","2022-09-12T15:02:10.000","OPEN","OPEN","Multi Family","DPIE","ENF-Rental Issues  Apartment Unit","1207 ADDISON RD","38.87200982","-76.89549448","
,  
(38.87200982, -76.89549448)","County Address"
"22-00040661","2022-09-12T14:56:59.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040659","2022-09-12T14:53:47.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040652","2022-09-12T14:33:13.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040649","2022-09-12T14:30:02.000","CLOSED","CLOSED","Single Family (Code Enforcement)","DPIE","Rental License Inspection (Single Family)","3003 WALTERS LN","38.84840266","-76.89130375","
,  
(38.84840266, -76.89130375)","County Address"
"22-00040645","2022-09-12T14:21:51.000","CLOSED","CLOSED","Single Family (Code Enforcement)","DPIE","Rental License Inspection (Single Family)","3224 FOREST RUN DR","38.845723","-76.8883538","
,  
(38.845723, -76.8883538)","County Address"
"22-00040643","2022-09-12T14:19:23.000","OPEN","OPEN","Single Family (Code Enforcement)","DPIE","ENF-Residential Property Concerns","9108 HANCE PL","39.08980456","-76.84776412","
,  
(39.08980456, -76.84776412)","County Address"
"22-00040641","2022-09-12T14:17:38.000","CLOSED","CLOSED","Single Family (Code Enforcement)","DPIE","Rental License Inspection (Single Family)","7112 DONNELL PL","38.84228612","-76.88275725","
,  
(38.84228612, -76.88275725)","County Address"
"22-00040636","2022-09-12T14:11:05.000","CLOSED","CLOSED","Single Family (Code Enforcement)","DPIE","Rental License Inspection (Single Family)","7248 DONNELL PL","38.84120324","-76.88216177","
,  
(38.84120324, -76.88216177)","County Address"
"22-00040635","2022-09-12T14:10:48.000","OPEN","OPEN","Single Family (Code Enforcement)","DPIE","ENF-Residential Property Concerns","6321 LONGFELLOW ST","38.95472022","-76.90950016","
,  
(38.95472022, -76.90950016)","Bladensburg / East Riverdale"
"22-00040631","2022-09-12T14:00:20.000","CLOSED","CLOSED","Single Family (Code Enforcement)","DPIE","Rental License Inspection (Single Family)","6310 HIL MAR DR","38.84339529","-76.89777219","
,  
(38.84339529, -76.89777219)","Suitland / Coral Hills"
"22-00040629","2022-09-12T13:59:06.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040626","2022-09-12T13:42:25.000","OPEN","OPEN","Single Family (Code Enforcement)","DPIE","ENF-Residential Property Concerns","6422 ROSALIE LN","38.95908777","-76.89556917","
,  
(38.95908777, -76.89556917)","Woodlawn - Lanham"
"22-00040617","2022-09-12T13:01:41.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040601","2022-09-12T12:45:56.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040597","2022-09-12T12:36:13.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040593","2022-09-12T12:14:18.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040585","2022-09-12T11:53:15.000","OPEN","OPEN","Single Family (Code Enforcement)","DPIE","ENF-Residential Property Concerns","3008 PLAZA DR","38.84669158","-76.9148373","
,  
(38.84669158, -76.9148373)","Suitland / Coral Hills"
"22-00040581","2022-09-12T11:30:51.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040580","2022-09-12T11:25:47.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040579","2022-09-12T11:24:45.000","OPEN","OPEN","Single Family (Code Enforcement)","DPIE","ENF-Residential Property Concerns","13602 ENGLAND CT","39.07632401","-76.8466199","
,  
(39.07632401, -76.8466199)","County Address"
"22-00040572","2022-09-12T10:54:07.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040568","2022-09-12T10:34:05.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040564","2022-09-12T10:18:44.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040555","2022-09-12T09:46:06.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040548","2022-09-12T09:20:00.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040536","2022-09-12T08:29:33.000","CLOSED","CLOSED","Single Family (Code Enforcement)","DPIE","Rental License Inspection (Single Family)","7111 CROSS ST","38.84365833","-76.88224711","
,  
(38.84365833, -76.88224711)","County Address"
"22-00040531","2022-09-12T06:52:30.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040512","2022-09-12T00:01:35.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040511","2022-09-11T23:29:18.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040510","2022-09-11T23:26:28.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040509","2022-09-11T23:04:26.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040508","2022-09-11T22:37:53.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040506","2022-09-11T22:27:44.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040504","2022-09-11T19:53:06.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040503","2022-09-11T19:30:29.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040499","2022-09-11T18:04:21.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040497","2022-09-11T12:43:47.000","OPEN","OPEN","Single Family (Code Enforcement)","DPIE","ENF-Residential Property Concerns","7632 MUNCY RD","38.92220299","-76.87637166","
,  
(38.92220299, -76.87637166)","Kentland / Palmer Park"
"22-00040454","2022-09-10T20:16:18.000","OPEN","OPEN","Single Family (Code Enforcement)","DPIE","ENF-Residential Property Concerns","10219 DEAKINS HALL DR","39.02344301","-76.96243361","
,  
(39.02344301, -76.96243361)","County Address"
"22-00040391","2022-09-09T17:58:03.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040386","2022-09-09T17:10:24.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040385","2022-09-09T17:06:33.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040377","2022-09-09T16:03:58.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040372","2022-09-09T15:19:12.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040362","2022-09-09T14:28:44.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040361","2022-09-09T14:27:56.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040360","2022-09-09T14:24:52.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040348","2022-09-09T13:53:49.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040347","2022-09-09T13:52:27.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040346","2022-09-09T13:51:00.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040345","2022-09-09T13:49:17.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040343","2022-09-09T13:47:32.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040342","2022-09-09T13:43:54.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040341","2022-09-09T13:38:21.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040340","2022-09-09T13:35:35.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040339","2022-09-09T13:35:01.000","OPEN","OPEN","Single Family (Code Enforcement)","DPIE","ENF-Residential Property Concerns","4918 WHEELER RD",,,,"County Address"
"22-00040338","2022-09-09T13:32:18.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040332","2022-09-09T13:15:35.000","OPEN","OPEN","Single Family (Code Enforcement)","DPIE","ENF-Residential Property Concerns","6116 BAXTER DR","38.81344173","-76.90024702","
,  
(38.81344173, -76.90024702)","County Address"
"22-00040330","2022-09-09T13:07:06.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040318","2022-09-09T12:31:29.000","OPEN","OPEN","Single Family (Code Enforcement)","DPIE","ENF-Residential Property Concerns","4305 DONNA ST","38.83053328","-76.902034","
,  
(38.83053328, -76.902034)","County Address"
"22-00040316","2022-09-09T12:23:43.000","OPEN","OPEN","Single Family (Code Enforcement)","DPIE","ENF-Residential Property Concerns","10217 DEAKINS HALL DR","39.02366792","-76.9626268","
,  
(39.02366792, -76.9626268)","County Address"
"22-00040313","2022-09-09T12:14:55.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040312","2022-09-09T12:14:16.000","OPEN","OPEN","Single Family (Code Enforcement)","DPIE","ENF-Residential Property Concerns","10603 WACO DR","38.75693397","-76.83055016","
,  
(38.75693397, -76.83055016)","County Address"
"22-00040308","2022-09-09T11:37:47.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040305","2022-09-09T11:20:37.000","OPEN","OPEN","Single Family (Code Enforcement)","DPIE","ENF-Residential Property Concerns","5404 MEDFORD AVE","38.81647702","-76.90198616","
,  
(38.81647702, -76.90198616)","County Address"
"22-00040295","2022-09-09T10:51:48.000","OPEN","OPEN","Single Family (Code Enforcement)","DPIE","ENF-Residential Property Concerns","300 GOLDLEAF AVE","38.89480923","-76.89114813","
,  
(38.89480923, -76.89114813)","County Address"
"22-00040293","2022-09-09T10:34:42.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040292","2022-09-09T10:21:43.000","OPEN","OPEN","Single Family (Code Enforcement)","DPIE","ENF-Residential Property Concerns","6208 AUTH RD","38.81541922","-76.8993073","
,  
(38.81541922, -76.8993073)","County Address"
"22-00040290","2022-09-09T10:13:45.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040289","2022-09-09T10:13:07.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040283","2022-09-09T09:42:31.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040282","2022-09-09T09:39:52.000","OPEN","OPEN","Single Family (Code Enforcement)","DPIE","ENF-Residential Property Concerns","4303 DONNA ST","38.83070826","-76.90209502","
,  
(38.83070826, -76.90209502)","County Address"
"22-00040279","2022-09-09T09:09:44.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040276","2022-09-09T08:33:05.000","CLOSED","CLOSED","Single Family (Code Enforcement)","DPIE","Rental License Inspection (Single Family)","7427 DRUMLEA RD","38.88700057","-76.87738558","
,  
(38.88700057, -76.87738558)","County Address"
"22-00040272","2022-09-09T08:11:56.000","CLOSED","CLOSED","Single Family (Code Enforcement)","DPIE","Rental License Inspection (Single Family)","2301 BENTONIA CT","38.85883205","-76.90945984","
,  
(38.85883205, -76.90945984)","County Address"
"22-00040262","2022-09-09T07:32:12.000","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Road Resurfacing","6706 MCKELDIN DR","38.8230097","-76.89240209","
,  
(38.8230097, -76.89240209)","County Address"
"22-00040261","2022-09-09T07:28:46.000","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Road Resurfacing","6706 MCKELDIN DR","38.8230097","-76.89240209","
,  
(38.8230097, -76.89240209)","County Address"
"22-00040240","2022-09-09T00:39:09.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040237","2022-09-08T22:32:15.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040236","2022-09-08T21:54:04.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040235","2022-09-08T20:30:32.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040234","2022-09-08T20:29:33.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040232","2022-09-08T19:32:38.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040229","2022-09-08T18:49:45.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040225","2022-09-08T18:33:01.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040224","2022-09-08T18:27:08.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040222","2022-09-08T18:19:39.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040221","2022-09-08T18:10:26.000","OPEN","OPEN","Fire and Rescue Operations","Fire/Ems","Fire/EMS General Inquiries","907 LINWOOD ST","38.96855662","-76.9898521","
,  
(38.96855662, -76.9898521)","County Address"
"22-00040215","2022-09-08T16:51:20.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040214","2022-09-08T16:22:24.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040213","2022-09-08T16:20:43.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040212","2022-09-08T16:20:14.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040211","2022-09-08T16:03:16.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040208","2022-09-08T15:57:44.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040205","2022-09-08T15:55:14.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
"22-00040204","2022-09-08T15:51:15.000","OPEN","OPEN","Public Safety Communications","Homeland Security","PSC Audio Recording Request",,,,,"County Address"
