"payee_name","agency","zip_code","amount","payment_description"
"STANTEC CONSULTING","ENVIRONMENT","14614","21352.09","DESIGN"
"STANTEC CONSULTING","PUBLIC WORKS & TRANSPORTATION","14614","12802.39","NON-COUNTY INSPECTION COS"
"STANTEC CONSULTING","PUBLIC WORKS & TRANSPORTATION","14614","28638.76","NON-COUNTY INSPECTION COS"
"STANTEC CONSULTING","PUBLIC WORKS & TRANSPORTATION","14614","704.13","DESIGN"
"STANTEC CONSULTING","ENVIRONMENT","14614","17364.59","DESIGN"
"STANTEC CONSULTING","PUBLIC WORKS & TRANSPORTATION","14614","28885.29","NON-COUNTY INSPECTION COS"
"STANTEC CONSULTING","PUBLIC WORKS & TRANSPORTATION","14614","15533.53","NON-COUNTY INSPECTION COS"
"STANTEC CONSULTING","PUBLIC WORKS & TRANSPORTATION","14614","20026.29","NON-COUNTY INSPECTION COS"
"XEROX CORPORATION","CORRECTIONS","14644","211.82","OTHER EQUIPMENT RENTAL/LEASE"
"XEROX CORPORATION","CORRECTIONS","14644","211.82","OTHER EQUIPMENT RENTAL/LEASE"
"XEROX CORPORATION","CORRECTIONS","14644","172.01","OTHER EQUIPMENT RENTAL/LEASE"
"XEROX CORPORATION","INFORMATION TECHNOLOGY","14644","13345.10","OTHER OPERATING  EQUIPMENT NON-CAPITAL"
"XEROX CORPORATION","POLICE","14644","273.01","OTHER EQUIPMENT RENTAL/LEASE"
"XEROX CORPORATION","POLICE","14644","4746.73","OTHER EQUIPMENT RENTAL/LEASE"
"XEROX CORPORATION","POLICE","14644","273.01","OTHER EQUIPMENT RENTAL/LEASE"
"XEROX CORPORATION","POLICE","14644","397.43","OTHER EQUIPMENT RENTAL/LEASE"
"XEROX CORPORATION","POLICE","14644","261.44","OTHER EQUIPMENT RENTAL/LEASE"
"XEROX CORPORATION","POLICE","14644","396.28","OTHER EQUIPMENT RENTAL/LEASE"
"XEROX CORPORATION","POLICE","14644","397.43","OTHER EQUIPMENT RENTAL/LEASE"
"XEROX CORPORATION","POLICE","14644","472.17","OTHER EQUIPMENT RENTAL/LEASE"
"XEROX CORPORATION","HUMAN RESOURCES","14644","278.82","OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES"
"XEROX CORPORATION","ENVIRONMENT","14644","518.80","OTHER EQUIPMENT RENTAL/LEASE"
"XEROX CORPORATION","POLICE","14644","354.41","OTHER EQUIPMENT RENTAL/LEASE"
"XEROX CORPORATION","ENVIRONMENT","14644","518.80","OTHER EQUIPMENT RENTAL/LEASE"
