"performance_indicator","fiscal_year","actual","target","proximity","status"
"Percentage of key data products for Census Bureau programs released on time to support effective decision-making of policymakers, businesses, and the public","2008-09-30T00:00:00.000","1","1","1","Met"
"Percentage of key data products for Census Bureau programs released on time to support effective decision-making of policymakers, businesses, and the public","2009-09-30T00:00:00.000","1","1","1","Met"
"Percentage of key data products for Census Bureau programs released on time to support effective decision-making of policymakers, businesses, and the public","2010-09-30T00:00:00.000","1","1","1","Met"
"Percentage of key data products for Census Bureau programs released on time to support effective decision-making of policymakers, businesses, and the public","2011-09-30T00:00:00.000","1","1","1","Met"
"Percentage of key data products for Census Bureau programs released on time to support effective decision-making of policymakers, businesses, and the public","2012-09-30T00:00:00.000","1","1","1","Met"
"Percentage of key data products for Census Bureau programs released on time to support effective decision-making of policymakers, businesses, and the public","2013-09-30T00:00:00.000","1","1","1","Met"
"Percentage of key data products for Census Bureau programs released on time to support effective decision-making of policymakers, businesses, and the public","2014-09-30T00:00:00.000","1","1","1","Met"
"Percentage of key data products for Census Bureau programs released on time to support effective decision-making of policymakers, businesses, and the public","2015-09-30T00:00:00.000","1","1","1","Met"
"Percentage of key data products for Census Bureau programs released on time to support effective decision-making of policymakers, businesses, and the public","2016-09-30T00:00:00.000","1","1","1","Met"
"Percentage of key data products for Census Bureau programs released on time to support effective decision-making of policymakers, businesses, and the public","2017-09-30T00:00:00.000","1","1","1","Met"
"Percentage of key data products for Census Bureau programs released on time to support effective decision-making of policymakers, businesses, and the public","2018-09-30T00:00:00.000","1","0.85","1.18","Exceeded"
"Percentage of key data products for Census Bureau programs released on time to support effective decision-making of policymakers, businesses, and the public","2019-09-30T00:00:00.000","1","0.85","1.18","Exceeded"
"Percentage of key data products for Census Bureau programs released on time to support effective decision-making of policymakers, businesses, and the public","2020-09-30T00:00:00.000","0.85","0.85","1","Met"
"Percentage of key data products for Census Bureau programs released on time to support effective decision-making of policymakers, businesses, and the public","2021-09-30T00:00:00.000","1","0.85","1.18","Exceeded"
"Percentage of key data products for Census Bureau programs released on time to support effective decision-making of policymakers, businesses, and the public","2022-09-30T00:00:00.000",,"0.85",,
"Percentage of key data products for Census Bureau programs released on time to support effective decision-making of policymakers, businesses, and the public","2023-09-30T00:00:00.000",,"0.85",,
