"indicator","fiscal_year","actual","target","proximity","status"
"Percent of licenses requiring interagency referral referred within nine days","2006-09-30T00:00:00.000","0.98",,,
"Percent of licenses requiring interagency referral referred within nine days","2007-09-30T00:00:00.000","0.98",,,
"Percent of licenses requiring interagency referral referred within nine days","2008-09-30T00:00:00.000","0.98","0.95","1.03","Exceeded"
"Percent of licenses requiring interagency referral referred within nine days","2009-09-30T00:00:00.000","0.99","0.95","1.04","Exceeded"
"Percent of licenses requiring interagency referral referred within nine days","2010-09-30T00:00:00.000","0.9","0.95","0.95","Met"
"Percent of licenses requiring interagency referral referred within nine days","2011-09-30T00:00:00.000","0.88","0.98","0.9","Not Met"
"Percent of licenses requiring interagency referral referred within nine days","2012-09-30T00:00:00.000","0.97","0.98","0.99","Met"
"Percent of licenses requiring interagency referral referred within nine days","2013-09-30T00:00:00.000","0.98","0.98","1","Met"
"Percent of licenses requiring interagency referral referred within nine days","2014-09-30T00:00:00.000","0.98","0.98","1","Met"
"Percent of licenses requiring interagency referral referred within nine days","2015-09-30T00:00:00.000","0.91","0.98","0.93","Met"
"Percent of licenses requiring interagency referral referred within nine days","2016-09-30T00:00:00.000","0.92","0.98","0.94","Met"
"Percent of licenses requiring interagency referral referred within nine days","2017-09-30T00:00:00.000","0.94","0.98","0.96","Met"
"Percent of licenses requiring interagency referral referred within nine days","2018-09-30T00:00:00.000","0.93","0.98","0.95","Met"
"Percent of licenses requiring interagency referral referred within nine days","2019-09-30T00:00:00.000","0.91","0.98","0.93","Met"
"Percent of licenses requiring interagency referral referred within nine days","2020-09-30T00:00:00.000","0.92","0.98","0.94","Met"
"Percent of licenses requiring interagency referral referred within nine days","2021-09-30T00:00:00.000","0.92","0.98","0.94","Met"
"Percent of licenses requiring interagency referral referred within nine days","2022-09-30T00:00:00.000",,"0.98",,
"Percent of licenses requiring interagency referral referred within nine days","2023-09-30T00:00:00.000",,"0.98",,
