"performance_indicator","fiscal_year","actual","target","proximity","status"
"Annual number of OAR R&D products transitioned to a new stage(s)","2014-09-30T00:00:00.000","66",,,
"Annual number of OAR R&D products transitioned to a new stage(s)","2015-09-30T00:00:00.000","72","65","1.11","Exceeded"
"Annual number of OAR R&D products transitioned to a new stage(s)","2016-09-30T00:00:00.000","65","65","1","Met"
"Annual number of OAR R&D products transitioned to a new stage(s)","2017-09-30T00:00:00.000","65","65","1","Met"
"Annual number of OAR R&D products transitioned to a new stage(s)","2018-09-30T00:00:00.000","66","65","1.02","Exceeded"
"Annual number of OAR R&D products transitioned to a new stage(s)","2019-09-30T00:00:00.000","65","65","1","Met"
"Annual number of OAR R&D products transitioned to a new stage(s)","2020-09-30T00:00:00.000","104","125","0.83","Not Met"
"Annual number of OAR R&D products transitioned to a new stage(s)","2021-09-30T00:00:00.000","85","80","1.06","Exceeded"
"Annual number of OAR R&D products transitioned to a new stage(s)","2022-09-30T00:00:00.000",,"85",,
"Annual number of OAR R&D products transitioned to a new stage(s)","2023-09-30T00:00:00.000",,"85",,
