"performance_indicator","fiscal_year","actual","target","proximity","status"
"Number of environmental reviews that exceed regulatory or statutory deadlines","2013-09-30T00:00:00.000",,,,
"Number of environmental reviews that exceed regulatory or statutory deadlines","2014-09-30T00:00:00.000",,,,
"Number of environmental reviews that exceed regulatory or statutory deadlines","2015-09-30T00:00:00.000",,,,
"Number of environmental reviews that exceed regulatory or statutory deadlines","2016-09-30T00:00:00.000",,,,
"Number of environmental reviews that exceed regulatory or statutory deadlines","2017-09-30T00:00:00.000",,,,
"Number of environmental reviews that exceed regulatory or statutory deadlines","2018-09-30T00:00:00.000",,,,
"Number of environmental reviews that exceed regulatory or statutory deadlines","2019-09-30T00:00:00.000","74","50","0.68","Not Met"
"Number of environmental reviews that exceed regulatory or statutory deadlines","2020-09-30T00:00:00.000","36","60","1.67","Exceeded"
"Number of environmental reviews that exceed regulatory or statutory deadlines","2021-09-30T00:00:00.000","28","55","1.96","Exceeded"
"Number of environmental reviews that exceed regulatory or statutory deadlines","2022-09-30T00:00:00.000",,"50",,
"Number of environmental reviews that exceed regulatory or statutory deadlines","2023-09-30T00:00:00.000",,"40",,
