"performance_indicator","fiscal_year","actual","target","status"
"Reliability: Percent of GDP estimates that are statistically reliable","2004-09-30T00:00:00.000","0.88",,
"Reliability: Percent of GDP estimates that are statistically reliable","2005-09-30T00:00:00.000","0.96",,
"Reliability: Percent of GDP estimates that are statistically reliable","2006-09-30T00:00:00.000","0.96",,
"Reliability: Percent of GDP estimates that are statistically reliable","2007-09-30T00:00:00.000","0.93",,
"Reliability: Percent of GDP estimates that are statistically reliable","2008-09-30T00:00:00.000","0.94","0.85","Exceeded"
"Reliability: Percent of GDP estimates that are statistically reliable","2009-09-30T00:00:00.000","0.94","0.85","Exceeded"
"Reliability: Percent of GDP estimates that are statistically reliable","2010-09-30T00:00:00.000","0.88","0.85","Exceeded"
"Reliability: Percent of GDP estimates that are statistically reliable","2011-09-30T00:00:00.000","0.87","0.85","Exceeded"
"Reliability: Percent of GDP estimates that are statistically reliable","2012-09-30T00:00:00.000","0.87","0.85","Exceeded"
"Reliability: Percent of GDP estimates that are statistically reliable","2013-09-30T00:00:00.000","0.84","0.83","Exceeded"
"Reliability: Percent of GDP estimates that are statistically reliable","2014-09-30T00:00:00.000","0.86","0.83","Exceeded"
"Reliability: Percent of GDP estimates that are statistically reliable","2015-09-30T00:00:00.000","0.87","0.83","Exceeded"
"Reliability: Percent of GDP estimates that are statistically reliable","2016-09-30T00:00:00.000","0.89","0.83","Exceeded"
"Reliability: Percent of GDP estimates that are statistically reliable","2017-09-30T00:00:00.000","0.88","0.85","Exceeded"
"Reliability: Percent of GDP estimates that are statistically reliable","2018-09-30T00:00:00.000","0.92","0.85","Exceeded"
"Reliability: Percent of GDP estimates that are statistically reliable","2019-09-30T00:00:00.000","0.94","0.85","Exceeded"
"Reliability: Percent of GDP estimates that are statistically reliable","2020-09-30T00:00:00.000","0.94","0.85","Exceeded"
"Reliability: Percent of GDP estimates that are statistically reliable","2021-09-30T00:00:00.000","0.92","0.86","Exceeded"
"Reliability: Percent of GDP estimates that are statistically reliable","2022-09-30T00:00:00.000",,"0.86",
"Reliability: Percent of GDP estimates that are statistically reliable","2023-09-30T00:00:00.000",,"0.85",
