"indicator","fiscal_year","actual","target","proximity","status"
"Score for maintaining compliance and alignment with OMB initiatives","2013-09-30T00:00:00.000","1","1","1","Met"
"Score for maintaining compliance and alignment with OMB initiatives","2014-09-30T00:00:00.000","1","1","1","Met"
"Score for maintaining compliance and alignment with OMB initiatives","2015-09-30T00:00:00.000","1","1","1","Met"
"Score for maintaining compliance and alignment with OMB initiatives","2016-09-30T00:00:00.000","1","1","1","Met"
"Score for maintaining compliance and alignment with OMB initiatives","2017-09-30T00:00:00.000","1","1","1","Met"
"Score for maintaining compliance and alignment with OMB initiatives","2018-09-30T00:00:00.000","1","1","1","Met"
"Score for maintaining compliance and alignment with OMB initiatives","2019-09-30T00:00:00.000","1","1","1","Met"
"Score for maintaining compliance and alignment with OMB initiatives","2020-09-30T00:00:00.000","1","1","1","Met"
"Score for maintaining compliance and alignment with OMB initiatives","2021-09-30T00:00:00.000","1","1","1","Met"
"Score for maintaining compliance and alignment with OMB initiatives","2022-09-30T00:00:00.000",,"1",,
"Score for maintaining compliance and alignment with OMB initiatives","2023-09-30T00:00:00.000",,"1",,
