"performance_indicator","fiscal_year","actual","target","status"
"2020 Decennial Census planned operational efficiencies and program milestones met","2014-09-30T00:00:00.000","1","1","Met"
"2020 Decennial Census planned operational efficiencies and program milestones met","2015-09-30T00:00:00.000","1","1","Met"
"2020 Decennial Census planned operational efficiencies and program milestones met","2016-09-30T00:00:00.000","1","1","Met"
"2020 Decennial Census planned operational efficiencies and program milestones met","2017-09-30T00:00:00.000","1","1","Met"
"2020 Decennial Census planned operational efficiencies and program milestones met","2018-09-30T00:00:00.000","1","1","Met"
"2020 Decennial Census planned operational efficiencies and program milestones met","2019-09-30T00:00:00.000","1","1","Met"
"2020 Decennial Census planned operational efficiencies and program milestones met","2020-09-30T00:00:00.000","0.5","1","Not Met"
"2021 Decennial Census planned operational efficiencies and program milestones met","2021-09-30T00:00:00.000","0.4","1","Not Met"
"2022 Decennial Census planned operational efficiencies and program milestones met","2022-09-30T00:00:00.000",,"0.85",
"2023 Decennial Census planned operational efficiencies and program milestones met","2023-09-30T00:00:00.000",,"0.85",
