"timestamp","how_long_have_you_lived_in_somerville","do_you_rent_or_own_your_place_of_residence","if_you_own_what_type_of_home_do_you_own","if_a_condo_how_many_units_are_in_your_building","are_you_interested_in_reducing_your_energy_use","have_you_had_an_energy_audit_done_in_your_home","please_select_any_measures_you_have_taken_to_reduce_your_energy_usage","would_you_be_interested_in_a_program_offered_through_the_city_where_somerville_residents_can_receive_information_on_solar_for_their_homes_and_reduced_pricing_for_solar","if_you_own_a_business_or_commercial_building_are_you_interested_in_a_commercial_solar_program_offered_through_the_city_of_somerville","are_you_interested_in_installing_solar_pv_on_your_house","if_you_ve_been_thinking_about_installing_solar_panels_what_has_held_you_back","if_you_were_to_install_solar_pv_on_your_home_or_business_is_your_preference_to","would_you_like_to_volunteer_on_a_residential_solar_outreach_effort_to_get_your_friends_and_neighbors_to_install_solar_on_their_homes","if_solar_was_not_a_good_fit_for_your_home_the_city_of_somerville_could_potentially_offer_a_community_solar_project_where_people_can_opt_in_to_purchase_solar_shares_of_a_solar_project_located_inside_or_near_somerville_in_essence_retaining_the_same_ben","there_are_various_ways_in_funding_a_community_solar_project_would_you_be_interested_in_purchasing_shares_of_a_community_solar_project_where_you_could_receive_the_same_benefits_of_owning_a_system_of_your_own_knowing_you_could_receive_the_energy_output_f","please_indicate_if_you_would_like_further_information_on_the_following_in_regards_to_solar_panels_select_any_and_all_that_you_may_have","do_you_own_an_electric_vehicle","if_no_have_you_considered_purchasing_one","would_your_preference_be_to_charge_an_electric_vehicle_in_your_driveway_or_charge_it_in_a_public_lot"
"2015-01-24T16:02:49.000","2-5 years","Rent",,,"Yes","No","Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Not interested at all",,"Renters should have no say in what an owner does with their property. Even if I wanted solar PV on my house (which is a great idea), it's the owners decision. Not mine. ","I own property in another part of the state. I've not installed solar PV due to ROI concerns.","If the ROI was good, I would perhaps lease.","No","Not interested","No",,"No","Yes","Driveway"
"2015-01-26T15:25:36.000","20+ years","Own","Multi-family (1-4 units)",,"Yes","No","Had your home insulated, Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows","Yes, very interested",,"Maybe, I need to learn more","Cost","Need more info ","No","Not interested","No","Permitting, Planning & Zoning, Financing Options","No","Yes","Driveway"
"2015-01-08T12:16:34.000","5-10 years","Own","Multi-family (1-4 units)","3","Yes","No","Had your home insulated, Installed a high efficiency heating system, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Shut off lights when not in use","Not interested at all",,"No",,,"No","Not interested","No",,"No","Yes","Driveway"
"2015-01-23T12:04:20.000","10-15 years","Own","Multi-family (1-4 units)",,"Yes","Yes","Had your home insulated, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested","No","Yes","Cost","Interested to learn the options","Maybe, let's talk","Not interested","Yes",,"No","Yes","Driveway"
"2015-01-08T16:50:25.000","< 1 year","Own","Condo","2","Yes","Yes","Installed LED or CFL lighting, Installed energy efficient blinds and or curtains, Installed programmable thermostats, Shut off lights when not in use","Yes, very interested",,"Yes, but I don't think it's cost effective","Cost","Purchase the system outright","No","Not interested","Yes",,"No","Yes","Driveway"
"2015-01-21T13:59:43.000","20+ years","Rent","Single family",,"Yes","No","Shut off lights when not in use","Yes, somewhat interested","No","Yes, but I don't think my roof is suitable","Rent, not own","Rent, not own","No","Not interested","No","Financing Options","No","No","Public Lot"
"2015-01-10T10:36:18.000","< 1 year","Rent",,,"Yes","No","Installed LED or CFL lighting, Shut off lights when not in use","Yes, somewhat interested","No","No","renting","Purchase the system outright","Maybe, let's talk","Not interested","No",,"No","Yes","Public Lot"
"2015-01-23T14:12:08.000","15-20 years","Own","Multi-family (1-4 units)",,"Yes","No","Installed a high efficiency heating system, Installed a high efficiency hot water system, Installed LED or CFL lighting, Installed energy star rated windows, Shut off lights when not in use, have circuit breakers on all appliances, do not use dryer anymore, dry on line and then use air dry cycle for a few minutes to fluff laundry that is already dry","Yes, somewhat interested",,"Maybe, I need to learn more","see above","I would prefer the city to own the system, and feed the grid allowing me a preferred rate for electricity","No","Not interested","No",,"No","Yes","Public Lot"
"2015-01-08T15:22:35.000","10-15 years","Own","Single family",,"Yes","No","Had your home insulated, Installed LED or CFL lighting, Installed energy star rated windows, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"Maybe, I need to learn more","Technology","didn't even know there were choices","No","Not interested","No",,"No","No",
"2015-02-08T18:46:23.000","5-10 years","Own","Condo","6","Yes","No","Installed LED or CFL lighting, Installed programmable thermostats, Shut off lights when not in use","Yes, somewhat interested",,"No","Cost",,,"Not interested","No",,"No","No",
