"fiscal_year","budget_unit","program","department","division","description","state_program","account","actual_amount","fund","project_id"
"2020","LANDFILL CELL#9  PHASE 2","NON-PROGRAM - CAPITAL","PUBLIC WORKS","NONE","LANDFILL CELL#9  PHASE 2","NOT REPORTED","CONST.CONTR-NOT BLDG","0.02","DMASWA-GENERAL",
"2020","ERP SYSTEM REPLACEMENT","GEN GOVERNMENT - CAP","FINANCE DEPARTMENT","NONE","ERP SYSTEM REPLACEMENT","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","158500","GENERAL",
"2020","ASBURY RD SIGNALIZATION","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","ASBURY RD SIGNALIZATION","CAPITAL-GOV FUNDS","MISCELLANEOUS EQUIPMENT","5000","STREET CONSTRUCTION",
"2020","HIGH PRESSURE JETVAC","BUSINESS TYPE - CAPITAL","PUBLIC WORKS","STORM WATER","HIGH PRESSURE SEWER JET","CAPITAL-ENTERPRISE","HEAVY EQUIP-REPLACEMENT","69438","STORM WATER CONSTRUCTION",
"2020","HEEB STREET","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","HEEB STREET","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","20000","SANITARY SEWER CONSTRUCTI",
"2020","FLOOD CONTROL MAINT FACIL","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","FLOOD CONTROL MAINT FACIL","CAPITAL-GOV FUNDS","SIGNAGE","394","SALES TAX INCREMENT",
"2020","EXTERIOR DECORATIVE CONCR","GEN GOVERNMENT - CAP","CONF CENTER OPERATION","GRAND RIVER CENTER","EXTERIOR DECORATIVE CONCR","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","25952","STREET CONSTRUCTION",
"2020","16TH ST DET BASIN TRAIL","CULTURE AND REC - CAP","ENGINEERING","OTHER","16TH ST DET BASIN TRAIL","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","60000","DRA DISTRIBUTION",
"2020","TOWN CLOCK IMPROVEMENTS","CULTURE AND REC - CAP","PARK DIVISION","NONE","TOWN CLOCK LIGHTING","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","28000","GENERAL CONSTRUCTION",
"2020","VALENTINE PARK IMPROVE","CULTURE AND REC - CAP","PARK DIVISION","NONE","VALENTINE PARK IMPROVE","CAPITAL-GOV FUNDS","BUILDING DEMOLITION","24934","GENERAL",
"2020","FUTURE IND ACQUISITIONS","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","FUTURE IND ACQUISITIONS","CAPITAL-GOV FUNDS","LAND ACQUISITION","196200","GENERAL CONSTRUCTION",
"2020","HTF - WASHINGTON NEIGHBOR","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","HTF - WASHINGTON NEIGHBOR","CAPITAL-GOV FUNDS","LOANS","652060","HOUSING TRUST FUND",
"2019","EXCURSION BOAT DOCKS","PUBLIC WORKS-CAPITAL","ENGINEERING","OTHER","EXCURSION BOAT DOCKS","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","75000","GENERAL",
"2020","JACKSON PARK RESTROOMS","CULTURE AND REC - CAP","PARK DIVISION","NONE","JACKSON PARK RESTROOMS","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","240000","GENERAL CONSTRUCTION",
"2020","CHI","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","CHI","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","150000","GENERAL CONSTRUCTION",
"2020","ICE HARBOR ABUTMENT REP","BUSINESS TYPE - CAPITAL","PUBLIC WORKS","STORM WATER","ICE HARBOR ABUTMENT REP","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","190000","STORM WATER CONSTRUCTION",
"2020","EPP ENVIRONMENTAL","CULTURE AND REC - CAP","PARK DIVISION","NONE","EPP ENVIRONMENTAL","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","662513.04","GENERAL",
"2020","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","PERIPHERALS, COMPUTER","950","DMASWA-GENERAL",
"2020","TRAFFIC SIG VIDEO DET CON","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","TRAFFIC SIG VIDEO DET CON","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","50000","STREET CONSTRUCTION",
"2020","MFC ADDITION REMODEL","CULTURE AND REC - CAP","MULTICULTURAL FAMILY CTR","NONE","MFC ADDITION REMODEL","CAPITAL-GOV FUNDS","BOND PAYING AGENT FEE","1406","GENERAL CONSTRUCTION",
"2020","CURB RAMP PROGRAM","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","STREETS","CURB RAMP PROGRAM","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","30600","STREET CONSTRUCTION",
"2020","MILLWORK DIST PARKING IMP","PUBLIC WORKS-CAPITAL","PARKING DIVISION","NONE","MILLWORK DIST PARKING IMP","CAPITAL-GOV FUNDS","MISCELLANEOUS SERVICES","287.79","GENERAL CONSTRUCTION",
"2020","WORKSTATION/CHAIR REPLACE","GEN GOVERNMENT - CAP","INFORMATION SERVICES","OPERATING","WORKSTATION/CHAIR REPLACE","CAPITAL-GOV FUNDS","DESKS/CHAIRS","5797","DRA DISTRIBUTION",
"2020","LANDFILL CELL#9  PHASE 2","NON-PROGRAM - CAPITAL","PUBLIC WORKS","NONE","LANDFILL CELL#9  PHASE 2","NOT REPORTED","STONE","0.02","DMASWA-GENERAL",
"2020","HTF - WASHINGTON NEIGHBOR","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","HTF - WASHINGTON NEIGHBOR","CAPITAL-GOV FUNDS","PAY TO OTHER AGENCY","97618","HOUSING TRUST FUND",
"2020","WRRC CAMERAS","BUSINESS TYPE - CAPITAL","WATER & RESOURCE RECOVERY","SANITARY SEWER","WRRC CAMERAS","CAPITAL-ENTERPRISE","CAMERA RELATED EQUIPMENT","45900","SANITARY SEWER CONSTRUCTI",
"2017","THEATER-TUCKPOINT EXTERIO","CULTURE AND REC - CAP","CIVIC CENTER DIVISION","NONE","THEATER-TUCKPOINT EXTERIO","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","205116","SALES TAX CONSTRUCTION",
"2020","CONCRETE SECTION REPAIR","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","STREETS","CONCRETE SECTION REPAIR","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","5000","STREET CONSTRUCTION",
"2020","CITY WIDE MULTIFUNC RPL","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","CITY WIDE MULTIFUNC RPL","CAPITAL-ENTERPRISE","COPIER MACHINE","945","WATER CONSTRUCTION",
"2022","LOW INCOME SM BIZ GRANT","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","OTHER","LOW INCOME SM BIZ GRANT","CAPITAL-GOV FUNDS","LOANS","2750","COMMUNITY DEVELOPMENT",
"2020","HEEB STREET","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","HEEB STREET","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","50000","STREET CONSTRUCTION",
"2020","LANDFILL CELL#9  PHASE 2","NON-PROGRAM - CAPITAL","PUBLIC WORKS","NONE","LANDFILL CELL#9  PHASE 2","NOT REPORTED","CONSULTING ENGINEERS","-0.43","DMASWA-GENERAL",
"2021","GRNDVW/UNVRSTY ROUNDABOUT","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","GRNDVW/UNVSTY ROUNDABOUT","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","4011","STREET CONSTRUCTION",
"2020","AMY CT STORM SWR IMPROVEM","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","AMY CT STORM SWR IMPROVEM","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","90000","STORM WATER CONSTRUCTION",
"2020","MFC ADDITION REMODEL","CULTURE AND REC - CAP","MULTICULTURAL FAMILY CTR","NONE","MFC ADDITION REMODEL","CAPITAL-GOV FUNDS","MISCELLANEOUS SERVICES","4122","GENERAL CONSTRUCTION",
"2020","AUGMENTED DATE SUPPORT SV","GEN GOVERNMENT - CAP","PUBLIC INFORMATION OFFICE","NONE","AUGMENTED DATE SUPPORT SV","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","38513.41","SALES TAX CONSTRUCTION",
"2020","TRAFFIC SIG VIDEO DET CON","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","TRAFFIC SIG VIDEO DET CON","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","4000","STREET CONSTRUCTION",
"2020","DAVENPORT RD EXT/PMP STAT","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","DAVENPORT RD EXT/PMP STAT","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","1465","WATER CONSTRUCTION",
"2020","HOMEOWNERSHIP GRANTS-TARG","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","HOMEOWNERSHIP GRANTS-TARG","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","180086","GENERAL CONSTRUCTION",
"2020","VALENTINE PARK IMPROVE","CULTURE AND REC - CAP","PARK DIVISION","NONE","VALENTINE PARK IMPROVE","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","19890","GENERAL",
"2020","RESIDENTIAL REHAB PROGRAM","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","RESIDENTIAL REHAB PROGRAM","CAPITAL-GOV FUNDS","LOANS","81315","COMMUNITY DEVELOPMENT",
"2020","CITY HALL BOILER","GEN GOVERNMENT - CAP","BUILDING SAFETY","MAINTENANCE","CITY HALL BOILER","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","67260","SALES TAX CONSTRUCTION",
"2020","DWNTWN ST LIGHT REPLACMNT","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","DWNTWN ST LIGHT REPLACMNT","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","25956","GENERAL CONSTRUCTION",
"2020","RENOVATE PARK WATER SYSTE","CULTURE AND REC - CAP","PARK DIVISION","NONE","RENOVATE PARK WATER SYSTE","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","9485.79","SALES TAX CONSTRUCTION",
