"fiscal_year","fiscal_period","service","department","program","expense_category","fund","vendor_name","vendor_id","vendor_zip","payment_number","payment_issue_date","invoice_number","invoice_line_number","invoice_date","amount","description","purchase_order_number"
"2015","11","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","TAXI SERVICE-SHUTTLE SERVICES","1026",,"428371","2015-05-29T00:00:00.000",,"0",,"46.5",,"0"
"2014","5","HEALTH HOMES GRANT","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","TRAVEL-CONFERENCES","GENERAL","GAS STATIONS/TOWING","1031",,"407288","2013-11-07T00:00:00.000",,"0",,"47.68",,"0"
"2013","12","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","ELECTRICAL SUPPLIES","WATER UTILITY OPERATION","BEST BUY","9410","75373-1247","401865","2013-06-28T00:00:00.000",,"0",,"26.99",,"0"
"2013","1","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET130718","2012-07-10T00:00:00.000",,"0","2012-07-10T00:00:00.000","88601.37",,"0"
"2014","8","WATER DISTR. SYSTEM","WATER","BUSINESS TYPE - OPERATING","SAFETY RELATED SUPPLIES","WATER UTILITY OPERATION","DICK'S SPORTING GOODS INC","2004","15108","410968","2014-02-14T00:00:00.000",,"0",,"455.67",,"0"
"2015","1","GENERAL HOUSING INSP.","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","EDUCATION & TRAINING","GENERAL","AMERICAN AIRLINES GROUP INC","5289","76155","417389","2014-07-31T00:00:00.000",,"0",,"243",,"0"
"2014","9","HEALTH HOMES GRANT","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","TRAVEL-CONFERENCES","GENERAL","GAS STATIONS/TOWING","1031",,"412593","2014-03-31T00:00:00.000",,"0",,"47.39",,"0"
"2014","4","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET141012","2013-10-08T00:00:00.000",,"0","2013-10-08T00:00:00.000","144923.82",,"0"
"2013","11","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET130546","2013-05-28T00:00:00.000",,"0","2013-05-28T00:00:00.000","100433.95",,"0"
"2014","4","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","ELECTRICAL SUPPLIES","WATER UTILITY OPERATION","MILLER ELECTRIC SUPPLY INC","2801","52404-3913","406102","2013-10-14T00:00:00.000",,"0",,"79.47",,"0"
"2015","4","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HYVEE #1162","5220","50266-8290","420841","2014-10-31T00:00:00.000",,"0",,"-3.5",,"0"
"2013","5","WEEKLY DISABILITY","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET131109","2012-11-06T00:00:00.000",,"0","2012-11-06T00:00:00.000","269.56",,"0"
"2013","12","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","HYVEE #1162","5220","50266-8290","401865","2013-06-28T00:00:00.000",,"0",,"37.43",,"0"
"2015","1","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","UNITED AIRLINES","2583","60018","417389","2014-07-31T00:00:00.000",,"0",,"545",,"0"
"2013","6","HEALTH HOMES GRANT","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","EDUCATIONAL MATERIALS","GENERAL","TEST & MEASUREMENT INC","4931","93003-7732","393340","2012-12-07T00:00:00.000",,"0",,"70.03",,"0"
"2013","4","DEVELOPMENT SERVICES","PLANNING SERVICES","COM AND ECON DEV - OPER","OFFICE SUPPLIES","GENERAL","O'TOOLE OFFICE SUPPLY COMPANY","3033","52001-4724","391071","2012-10-10T00:00:00.000",,"0",,"161.78",,"0"
"2013","1","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","STOP LOSS RCV. SEPCIFIC","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET130718","2012-07-10T00:00:00.000",,"0","2012-07-10T00:00:00.000","-10957.55",,"0"
"2014","4","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","HYVEE #1162","5220","50266-8290","406102","2013-10-14T00:00:00.000",,"0",,"14.98",,"0"
"2013","1","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET130702","2012-07-03T00:00:00.000",,"0","2012-07-03T00:00:00.000","57347.23",,"0"
"2019","2","LEAD PAINT ABATEMENT 2011","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","DUST WIPE TESTING","LEAD PAINT GRANT","ENVIRONMENTAL HAZARD SERVICES LLC","8764","23237-2261","468976","2018-08-15T00:00:00.000",,"1","2018-07-31T00:00:00.000","210.6",,"19001430"
"2014","5","WATER ADMINSTRATION","WATER","BUSINESS TYPE - OPERATING","TRAVEL-CONFERENCES","WATER UTILITY OPERATION","DOUBLETREE CEDAR RAPIDS CONVENTION","10826","52401","407288","2013-11-07T00:00:00.000",,"0",,"279.4",,"0"
"2014","9","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","DUBUQUE AREA CHAMBER OF COMMERCE","1666","52001-6970","412593","2014-03-31T00:00:00.000",,"0",,"35",,"0"
"2015","4","REHAB. PROGRAM","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","OFFICE SUPPLIES","COMMUNITY DEVELOPMENT","STAPLES ADVANTAGE","3543","60696-3689","420841","2014-10-31T00:00:00.000",,"0",,"100.12",,"0"
"2020","7","PARK AREAS & MAINTENANCE","PARK DIVISION","CULTURE AND REC - OPER","REPAIR PARTS/SUPPLIES","GENERAL","MENARDS LUMBER CO","2757","54703","V484026","2020-01-08T00:00:00.000",,"0",,"14.99",,"0"
"2016","4","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","HYVEE #1160","2228","50266-8290","434100","2015-10-30T00:00:00.000",,"0",,"55.23",,"0"
"2013","6","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET131208","2012-12-04T00:00:00.000",,"0","2012-12-04T00:00:00.000","143111.47",,"0"
"2013","3","WEEKLY DISABILITY","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET130933","2012-09-18T00:00:00.000",,"0","2012-09-18T00:00:00.000","235.87",,"0"
"2014","5","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","PLUMBING MATERIALS","WATER UTILITY OPERATION","STEVES ACE HARDWARE","3575","52002-1053","407288","2013-11-07T00:00:00.000",,"0",,"12.98",,"0"
"2016","2","CIRCLES","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","PROMOTION","GENERAL","HYVEE #1162","5220","50266-8290","431866","2015-08-31T00:00:00.000",,"0",,"93.99",,"0"
"2014","6","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","DUBUQUE AREA CHAMBER OF COMMERCE","1666","52001-6970","408378","2013-12-11T00:00:00.000",,"0",,"69",,"0"
