Date of event,Organization,Site Name,Start Time,End Time,Language,Free,Workshop,Contact,Location
03/09/2019,Los Angeles Public Library,R.L. Stevenson Branch,10:00AM,12:30PM,Spanish Only,Free,Citizenship Class: Saturday from 03/09-05/25,(213)814-5248,"803 Spence St
Los Angeles, CA 90023
(34.02755, -118.197954)"
04/01/2019,Los Angeles Public Library,Benjamin Franklin Brach,5:30PM,7:30PM,English & Spanish,Free,Citizenship Class: Monday & Tuesday from 04/01-06/04,(888)839-8682,"2200 E 1st St
Los Angeles, CA 90033
(34.0444, -118.212268)"
04/01/2019,Los Angeles Public Library,Echo Park Branch,6:00PM,7:30PM,Spanish Only,Free,Citizenship Class: Monday &Thursday from 04/01-06/13,(818)937-2869,"1410 W Temple St
Los Angeles, CA 90026
(34.067388, -118.257173)"
04/02/2019,Los Angeles Public Library,Panorama City Branch,5:30PM,7:30PM,English & Spanish,Free,Citizenship Class: Tuesday & Thursday from 04/02-06/06,(888)839-8682,"14345 Roscoe Blvd
Panorama City, CA 91402
(34.221598, -118.446208)"
04/02/2019,Los Angeles Public Library,Central Library,5:00PM,7:00PM,English & Spanish,Free,Citizenship Class/Interview Tutoring Session: Tuesday & Thursday from 04/02-06/06,(888)839-8682,"630 W 5th St
Los Angeles, CA 90071
(34.050931, -118.254965)"
04/06/2019,Los Angeles Public Library,Mid-Valley Regional Branch,2:00PM,5:30PM,English & Spanish,Free,Citizenship Class: Saturday from 04/06-07/06,(818)616-6019,"16244 Nordhoff St
North Hills, CA 91343
(34.235657, -118.48666)"
04/06/2019,Los Angeles Public Library,Wilshire Branch,10:00AM,1:30PM,English & Spanish,Free,Citizenship Class: Saturday from 04/06-06/29,(818)839-8682,"149 North Saint Andrews Place
Los Angeles, CA 90004
(34.073819, -118.311366)"
04/08/2019,Los Angeles Public Library,Pio Pico Koreatown Branch,1:00PM,3:00PM,English & Spanish,Free,Citizenship Class: Monday & Wednesday from 04/08-06/26,(888)349-9695,"694 S Oxford Ave
Los Angeles, CA 90005
(34.060041, -118.307829)"
04/08/2019,Los Angeles Public Library,Watts Branch,5:30PM,7:30PM,English & Spanish,Free,Citizenship Class: Monday from 04/08-06/17,(888)839-8682,"10205 Compton Ave
Los Angeles, CA 90002
(33.943967, -118.246226)"
04/09/2019,Los Angeles Public Library,El Sereno Branch,2:00PM,4:00PM,English & Spanish,Free,Citizenship Class: Tuesday & Thursday from 04/09-06/13,(818)839-8682,"5226 Huntington Dr S
Los Angeles, CA 90032
(34.089494, -118.16855)"
04/09/2019,Los Angeles Public Library,West L.A. Regional Branch,10:00AM,12:30PM,English & Farsi,Free,Citizenship Class: Tuesday from  04/09-06/25,(818)616-3091,"11350 Santa Monica Blvd
Los Angeles, CA
(34.046002, -118.450234)"
04/12/2019,Los Angeles Public Library,Woodland Hills Branch,9:30AM,12:30PM,English & Farsi,Free,Citizenship Class: Friday from 04/12-06/28,(818)616-3091,"22200 Ventura Blvd
Woodland Hills, CA 91364"
04/12/2019,Los Angeles Public Library,Chinatown Branch,10:30AM,12:30PM,English & Chinese,Free,Citizenship Class: Wednesday & Friday from  04/12-06/28,(213)241-0220,"639 N Hill St
Los Angeles, CA 90012
(34.060176, -118.240947)"
04/13/2019,Los Angeles Public Library,Mar Vista Branch,10:00AM,1:30PM,English & Spanish,Free,Citizenship Class: Saturday from 04/13-06/22,(888)839-8682,"12006 Venice Boulevard
Los Angeles, CA 90066
(34.006032, -118.429088)"
04/13/2019,Los Angeles Public Library,Junipero Serra Branch,10:00AM,1:30PM,English & Spanish,Free,Citizenship Class: Saturday from 04/13-07/13,(323)234-1685,"4607 S Main St
Los Angeles, CA 90037
(34.001719, -118.273971)"
04/15/2019,Los Angeles Public Library,Harbor City/ Gateway Branch,5:30PM,7:30PM,English & Spanish,Free,Citizenship Class: Monday & Wednesday from 04/15-06/26,(888)839-8682,"24000 S Western Ave
Harbor City, CA 90710
(33.806862, -118.307519)"
04/20/2019,Los Angeles Public Library,Cahuenga Branch,2:00PM,5:00PM,English & Spanish,Free,Citizenship Class: Saturday from 04/20-06/29,(888)839-8682,"4591 Santa Monica Blvd
Los Angeles, CA 90029
(34.090869, -118.28893)"
04/20/2019,Los Angeles Public Library,Pico Union Branch,10:00AM,1:30PM,English & Spanish,Free,Citizenship Class: Saturday from 04/20-06/29,(888)839-8682,"1030 S Alvarado St
Los Angeles, CA 90006
(34.050903, -118.280371)"
04/27/2019,Los Angeles Public Library,Vernon Branch,10:00AM,1:30PM,English & Spanish,Free,Citizenship Class:Saturday from 04/27- 07/06,(888)839-8682,"4504 S Central Ave
Los Angeles, CA 90011
(34.002689, -118.256482)"
04/27/2019,Los Angeles Public Library,Pacoima Branch,10:00AM,1:30PM,English & Spanish,Free,Citizenship Class: Saturday from 04/27-07/06,(888)839-8682,"13605 Van Nuys Boulevard
Pacoima, CA 91331
(34.261029, -118.429034)"
