Date of event,Organization,Site Name,Location,Start Time,End Time,Language,Free,Workshop,Contact,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
04/01/2019,Los Angeles Public Library,Benjamin Franklin Brach,"2200 E 1st St
Los Angeles, CA 90033
(34.0444, -118.212268)",5:30PM,7:30PM,English & Spanish,Free,Citizenship Class: Monday & Tuesday from 04/01-06/04,(888)839-8682,23450,9,522,350,,38
04/09/2019,Los Angeles Public Library,El Sereno Branch,"5226 Huntington Dr S
Los Angeles, CA 90032
(34.089494, -118.16855)",2:00PM,4:00PM,English & Spanish,Free,Citizenship Class: Tuesday & Thursday from 04/09-06/13,(818)839-8682,23449,9,502,609,,91
04/06/2019,Los Angeles Public Library,Mid-Valley Regional Branch,"16244 Nordhoff St
North Hills, CA 91343
(34.235657, -118.48666)",2:00PM,5:30PM,English & Spanish,Free,Citizenship Class: Saturday from 04/06-07/06,(818)616-6019,18914,2,118,256,,88
04/08/2019,Los Angeles Public Library,Pio Pico Koreatown Branch,"694 S Oxford Ave
Los Angeles, CA 90005
(34.060041, -118.307829)",1:00PM,3:00PM,English & Spanish,Free,Citizenship Class: Monday & Wednesday from 04/08-06/26,(888)349-9695,22726,12,609,638,,89
04/06/2019,Los Angeles Public Library,Wilshire Branch,"149 North Saint Andrews Place
Los Angeles, CA 90004
(34.073819, -118.311366)",10:00AM,1:30PM,English & Spanish,Free,Citizenship Class: Saturday from 04/06-06/29,(818)839-8682,22721,7,587,848,,86
04/20/2019,Los Angeles Public Library,Cahuenga Branch,"4591 Santa Monica Blvd
Los Angeles, CA 90029
(34.090869, -118.28893)",2:00PM,5:00PM,English & Spanish,Free,Citizenship Class: Saturday from 04/20-06/29,(888)839-8682,23447,8,435,631,16,58
05/04/2019,Los Angeles Public Library,Exposition Park Regional Branch,"3900 S Western Ave
Los Angeles, CA 90062
(34.014404, -118.308909)",2:30PM,5:00PM,Spanish Only,Free,Citizenship Class: Saturday  from 05/04-07/20,(213)814-5248,24027,14,731,1016,7,32
04/12/2019,Los Angeles Public Library,Woodland Hills Branch,"22200 Ventura Blvd
Woodland Hills, CA 91364",9:30AM,12:30PM,English & Farsi,Free,Citizenship Class: Friday from 04/12-06/28,(818)616-3091,,,,,,
04/13/2019,Los Angeles Public Library,Mar Vista Branch,"12006 Venice Boulevard
Los Angeles, CA 90066
(34.006032, -118.429088)",10:00AM,1:30PM,English & Spanish,Free,Citizenship Class: Saturday from 04/13-06/22,(888)839-8682,24031,10,899,700,10,27
04/20/2019,Los Angeles Public Library,Pico Union Branch,"1030 S Alvarado St
Los Angeles, CA 90006
(34.050903, -118.280371)",10:00AM,1:30PM,English & Spanish,Free,Citizenship Class: Saturday from 04/20-06/29,(888)839-8682,22723,11,572,908,,8
04/12/2019,Los Angeles Public Library,Chinatown Branch,"639 N Hill St
Los Angeles, CA 90012
(34.060176, -118.240947)",10:30AM,12:30PM,English & Chinese,Free,Citizenship Class: Wednesday & Friday from  04/12-06/28,(213)241-0220,22728,11,539,449,,28
04/27/2019,Los Angeles Public Library,Vernon Branch,"4504 S Central Ave
Los Angeles, CA 90011
(34.002689, -118.256482)",10:00AM,1:30PM,English & Spanish,Free,Citizenship Class:Saturday from 04/27- 07/06,(888)839-8682,22727,13,717,563,7,
04/02/2019,Los Angeles Public Library,Panorama City Branch,"14345 Roscoe Blvd
Panorama City, CA 91402
(34.221598, -118.446208)",5:30PM,7:30PM,English & Spanish,Free,Citizenship Class: Tuesday & Thursday from 04/02-06/06,(888)839-8682,19730,3,145,418,,59
04/15/2019,Los Angeles Public Library,Harbor City/ Gateway Branch,"24000 S Western Ave
Harbor City, CA 90710
(33.806862, -118.307519)",5:30PM,7:30PM,English & Spanish,Free,Citizenship Class: Monday & Wednesday from 04/15-06/26,(888)839-8682,26327,15,948,1112,,29
04/02/2019,Los Angeles Public Library,Central Library,"630 W 5th St
Los Angeles, CA 90071
(34.050931, -118.254965)",5:00PM,7:00PM,English & Spanish,Free,Citizenship Class/Interview Tutoring Session: Tuesday & Thursday from 04/02-06/06,(888)839-8682,24035,9,545,733,,76
04/08/2019,Los Angeles Public Library,Watts Branch,"10205 Compton Ave
Los Angeles, CA 90002
(33.943967, -118.246226)",5:30PM,7:30PM,English & Spanish,Free,Citizenship Class: Monday from 04/08-06/17,(888)839-8682,22351,15,820,691,7,40
05/25/2019,Los Angeles Public Library,Sun Valley Branch,"7935 Vineland Ave
Sun Valley, CA 91352
(34.214925, -118.370331)",9:30AM,1:00PM,English & Spanish,Free,Citizenship Class: Saturday from 05/25-08/24,(818)616-6019,19335,3,165,1249,,21
04/27/2019,Los Angeles Public Library,Pacoima Branch,"13605 Van Nuys Boulevard
Pacoima, CA 91331
(34.261029, -118.429034)",10:00AM,1:30PM,English & Spanish,Free,Citizenship Class: Saturday from 04/27-07/06,(888)839-8682,18907,1,28,408,,11
04/13/2019,Los Angeles Public Library,Junipero Serra Branch,"4607 S Main St
Los Angeles, CA 90037
(34.001719, -118.273971)",10:00AM,1:30PM,English & Spanish,Free,Citizenship Class: Saturday from 04/13-07/13,(323)234-1685,22727,13,737,1342,7,
04/09/2019,Los Angeles Public Library,West L.A. Regional Branch,"11350 Santa Monica Blvd
Los Angeles, CA
(34.046002, -118.450234)",10:00AM,12:30PM,English & Farsi,Free,Citizenship Class: Tuesday from  04/09-06/25,(818)616-3091,23443,10,861,1380,9,50
04/01/2019,Los Angeles Public Library,Echo Park Branch,"1410 W Temple St
Los Angeles, CA 90026
(34.067388, -118.257173)",6:00PM,7:30PM,Spanish Only,Free,Citizenship Class: Monday &Thursday from 04/01-06/13,(818)937-2869,23444,11,548,397,54,31
03/09/2019,Los Angeles Public Library,R.L. Stevenson Branch,"803 Spence St
Los Angeles, CA 90023
(34.02755, -118.197954)",10:00AM,12:30PM,Spanish Only,Free,Citizenship Class: Saturday from 03/09-05/25,(213)814-5248,23441,9,525,352,,38
06/27/2019,UCLA Dream Resource Center & CHIRLA,Southeast-Rio Vista Family YMCA,"4801 East 58th St
Maywood, CA 90270
(33.987415, -118.178804)",6:00PM,8:00PM,English & Spanish,Free,Know Your Rights Workshop,"Email: dreamresourcecenter@gmail.com or Call (213) 480-4155, Ext. 256",25065,,1598,122,,
08/10/2019,Clergy and Laity United for Economic Justice (CLUE),Centro de Vida Victoriosa,"715 Brady Ave
Los Angeles, CA 90022
(34.018258, -118.137478)",10:00AM,1:00PM,Spanish,Free,Know Your Rights Workshop; TPS and DACA information will also be provided.,To RSVP please contact Juan Carlos (323)536-0916,23440,,1558,89,,
07/27/2019,Los Angeles Public Library,Vernon Branch Library,"4504 S Central Ave
Los Angeles, CA 90011
(34.002689, -118.256482)",10:00AM,1:30PM,English,Free,"Citizenship class, Saturday, 7/27-9/28",(888) 839-8682,22727,13,717,563,7,
