"id","title","description","constructionflag","department","type","google_event_id","primarycontact","start","end","rrule","geography","geography_description","created","updated"
"1",,"W. Kirkwood Ave from N. Adams St to N. Elm St
Lane restriction only
Parks and Recreation has scheduled a retaining wall repair at Rose Hill Cemetery
Work will cause a travel lane shift to ensure two-way traffic in this area","true",,,"oifqamnqgvnhpbdonbvu74qahg",,"2013-04-17T08:00:00.000","2013-04-17T12:00:00.000",,,"W. Kirkwood Ave","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"2",,"W 4th Street between Madison and Rogers Street","true","Public Works",,"dnjqg4aur8cnrrijj9b0gs92ao",,"2013-04-27T08:00:00.000","2013-04-27T10:00:00.000",,,"2:00PM to Midnight","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"3",,"See Attachment for details","true","Public Works",,"f2fkdjborqq15i6ki0fjeulvi4",,"2013-04-27T10:00:00.000","2013-04-27T12:00:00.000",,,"1 to 3 PM","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"4",,"April 24th, 2013 from 7 AM to 7 PM
Lane restriction, signage in place.  Snedegars Construction will be closing the western most lane of North Walnut Street, just north of 10th Street for the installation of a sanitary sewer. Signage and an arrow board wil","true",,"Lane Restriction","4ebrn94pq8teft56a3q0cp5fi4",,"2013-04-24T08:00:00.000","2013-04-24T10:00:00.000",,,"7AM to 7PM","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"5",,"West Tapp Road from Deborah Drive to Adams Street
January 1, 2013 to April 26, 2013
Intermittent lane closures; detour and signage in place.
Crider & Crider has a road project under construction. 
If you have any questions, please contact City Engineering","true",,"Lane Restriction","7p9ap8sbgq0ca06e5mmlm8qa2g",,"2013-04-22T00:00:00.000","2013-04-27T00:00:00.000",,,"W Tapp Rd from Deborah Dr to Adams St","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"6",,"Meadowbrook from Morningside to 3rd
April 23-24, 2013
Meadowbrook from Morningside to 3rd will be closed April 23rd and 24th for paving.  Please call 812-349-3448 with any concerns.","true","Street",,"ppvcin5j6cou23r5gq7apdm8do",,"2013-04-23T00:00:00.000","2013-04-25T00:00:00.000",,,"Meadowbrook from Morningside to 3rd","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"7",,"Southdowns from Jordan to Mitchell
April 22, 2013
Southdowns from Jordan to Mitchell will be closed April 22nd for paving.  Please call 812-349-3448 with any concerns.","true","Street",,"0afu1ihns5fvlsjc8d7jaadais",,"2013-04-22T00:00:00.000","2013-04-23T00:00:00.000",,,"Southdowns from Jordan Ave to Mitchell St","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"8",,"BPW Approved Noise Permit on 4-23-13
Take Back The Night Event
April 24, 2013 from 6:00 PM to 9:00 PM
Event held on Courthouse Square","true","Public Works","Noise Permit","fkph9tb1os1eisu327slii778c",,"2013-04-24T18:00:00.000","2013-04-24T21:00:00.000",,,"6:00 PM to 9:00 PM","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"9",,"BPW approved noise permit on 4-913
City of Bloomington Fire Department Disaster Drill
June 11-13, 2013 for 48 Hours 8:00 AM on 6/11/13 to 8:00 AM on 6/13/13
Following Locations:
200 E 4th St (former Post Office)
1200 N Jordan Ave (Phi Kappa Psi Fraternity","true","Public Works","Noise Permit","lsl9di2ni5edu8ifkotjltms60",,"2013-06-11T00:00:00.000","2013-06-14T00:00:00.000",,,"6/11/13 8:00 AM to 6/13/13 8:00 AM","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"10",,"April 22, 20103 to April 26, 2013
Intermittent lane closures; detour and signage in place.
Dave O'Mara Contractor has a road project under construction. 
If you have any questions, please contact City Engineering at 349-3417.","true",,"Lane Restriction","8ugdm12nijijlpb4hri5bs1s30",,"2013-04-22T08:00:00.000","2013-05-03T17:00:00.000",,,"Walnut St from 1st to 3rd Streets","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
"11",,"N Smith Rd from E Grandview Dr to E 10th St
April 30, 2013
Closed to thru traffic, signage in place
The City of Bloomington Street Department has scheduled a milling project, weather permitting
If you have any questions, please contact Street Department a","true","Street",,"nstruv67meu4q9dg7s3lcmjlsg",,"2013-04-30T00:00:00.000","2013-05-01T00:00:00.000",,,"N Smith Rd from E Grandview Dr to E 10th St","2015-09-03T09:03:52.000","2015-09-03T09:03:52.000"
