"as_of_date","fiscal_year","region","borrower_country","borrower_country_code","project_id","project_name","procurement_category","procurement_method","major_sector","wb_contract_number","contract_description","contract_signing_date","supplier","supplier_country","supplier_country_code","supplier_contract_amount_usd","borrower_contract_reference_number"
"2022-09-02T00:00:00.000","2023","Eastern and Southern Africa","Burundi","BI","P133610","BI-Jiji and Mulembwe Hydropower","Consultant Services","Individual Consultant Selection","Energy and Extractives","1709345","Expert en question environnementaliste membre du panel E & S du PHJIMU","2022-08-22T00:00:00.000","Individual Consultant","Canada","CA","90100.0","ID70"
"2022-09-02T00:00:00.000","2023","Western and Central Africa","Western and Central Africa",,"P162933","North Core/Dorsale Nord  Regional Power Interconnector Project","Consultant Services","Least Cost Selection","Energy and Extractives","1705426","Mise en place d&#8217;un Syst&#232;me d&#8217;Information G&#233;ographique (SIG)","2022-07-18T00:00:00.000","CPCS TRANSCOM LIMITED","Canada","CA","86612.0","CONTRAT N° 040/C/WAPP-NC/2022"
"2022-09-02T00:00:00.000","2022","Western and Central Africa","Mauritania","MR","P163563","Supporting Gas Project Negotiations and Enhancing Institutional Capacities","Consultant Services","Quality And Cost-Based Selection","Energy and Extractives","1700988","Recrutement d'un cabinet pour la r&#233;alisation d'une &#201;valuation Strat&#233;gique Sociale et Environnementale du secteur p&#233;trolier et gazier","2022-05-09T00:00:00.000","GRPT CIERA GROUP STRATEGIAWORLDWIDE_MEEN&MEEN","Canada","CA","397906.0","MR-MR-PADG-197705-CS-QCBS"
"2022-09-02T00:00:00.000","2022","OTHER","World",,"P171037","Quality Assurance Capacity Building for the Off-Grid Solar Sector","Consultant Services","Individual Consultant Selection","Energy and Extractives","1699482","Consultant will provide technical assistance to national governments and ECREEE on the development, adoption, and implementation of suitable QA frameworks.","2021-07-01T00:00:00.000","Individual Consultant","Canada","CA","57000.0","P171037-2-2"
"2022-09-02T00:00:00.000","2020","OTHER","World",,"P171037","Quality Assurance Capacity Building for the Off-Grid Solar Sector","Consultant Services","Individual Consultant Selection","Energy and Extractives","1699469","Global policy support for the implementation and adoption of standards for SHS kits and pico-solar products in Sub-Saharan Africa","2020-04-13T00:00:00.000","Individual Consultant","Canada","CA","77000.0","P171037-2"
"2022-09-02T00:00:00.000","2022","Eastern and Southern Africa","Southern Africa",,"P160427","Temane Regional Electricity Project","Consultant Services","Individual Consultant Selection","Energy and Extractives","1698340","GBV International Consultant","2021-10-12T00:00:00.000","Individual Consultant","Canada","CA","178110.0","45/TREP/2021"
"2022-09-02T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Belize","BZ","P149522","Belize Energy Resilience for Climate Adaptation (GEF/SCCF)","Civil Works","Direct Selection","Energy and Extractives","1698142","Construction of Belcogen Substation","2022-04-27T00:00:00.000","K-LINE INTERNATIONAL (CANADA) LIMITED","Canada","CA","1247342.0","BZ-BEL-241753-CW-DIR"
"2022-09-02T00:00:00.000","2022","EAST ASIA AND PACIFIC","Vanuatu","VU","P160658","Rural Electrification Project Stage II","Consultant Services","Direct Selection","Energy and Extractives","1695443","Procurement Specialist","2022-04-08T00:00:00.000","TATYANA NYCHYPEROVYCH","Canada","CA","120760.0","VU-DOE-283545-CS-CDS"
"2022-09-02T00:00:00.000","2022","Eastern and Southern Africa","Eastern and Southern Africa",,"P164354","Mozambique - Malawi Regional Interconnector Project","Consultant Services","Consultant Qualification  Selection","Energy and Extractives","1691047","Consulting Services for Involvement of Third-Party Observer in GRM Process during RAP Implementation","2021-12-23T00:00:00.000","GEOLOGICAL MANAGEMENT SERVICES AND CONSULTANCY (GMSC)","Canada","CA","423081.0","I13-MOMA/2021"
"2022-09-02T00:00:00.000","2022","SOUTH ASIA","Pakistan","PK","P163461","Khyber Pakhtunkhwa Hydropower and Renewable Energy Development","Consultant Services","Individual Consultant Selection","Energy and Extractives","1687687","IPOE Member Social Development, PMO KHRE, PEDO Peshawar","2022-01-15T00:00:00.000","Individual Consultant","Canada","CA","125000.0","PK-PEDO-113927-CS-INDV"
"2022-09-02T00:00:00.000","2022","MIDDLE EAST AND NORTH AFRICA","Djibouti","DJ","P158505","Djibouti: Sustainable Electrification Program","Consultant Services","Quality And Cost-Based Selection","Energy and Extractives","1683351","Mission 2: le D&#233;veloppement du solaire photovolta&#239;que r&#233;sidentiel et PME/PMI","2021-11-28T00:00:00.000","3 EING","Canada","CA","269653.0","DJ-EDJ-154767-CS-QCBS/21"
"2022-09-02T00:00:00.000","2021","LATIN AMERICA AND CARIBBEAN","St Maarten",,"P167339","Sint Maarten Emergency Recovery Project I","Consultant Services","Direct Selection","Energy and Extractives;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","1678203","Procurement Consultant","2020-12-31T00:00:00.000","JOHN BROOKS","Canada","CA","189000.0","SX-NRPB-201640-CS-CDS"
"2022-09-02T00:00:00.000","2020","LATIN AMERICA AND CARIBBEAN","St Maarten",,"P167339","Sint Maarten Emergency Recovery Project I","Consultant Services","Direct Selection","Energy and Extractives;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","1678202","Engineer","2020-03-20T00:00:00.000","NAZRUL KABIR","Canada","CA","220500.0","SX-NRPB-165435-CS-CDS"
"2022-09-02T00:00:00.000","2020","LATIN AMERICA AND CARIBBEAN","St Maarten",,"P167339","Sint Maarten Emergency Recovery Project I","Consultant Services","Individual Consultant Selection","Energy and Extractives;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","1678197","Engineer","2019-09-09T00:00:00.000","Individual Consultant","Canada","CA","90000.0","AN-IRC-NRPB-90346-CS-INDV"
"2022-09-02T00:00:00.000","2022","Western and Central Africa","Central African Republic","CF","P162245","Water and Electricity Upgrading Project","Consultant Services","Quality And Cost-Based Selection","Energy and Extractives;Water, Sanitation and Waste Management","1676997","Mission de r&#233;alisation des sch&#233;mas directeurs pour le d&#233;veloppement des services d&#8217;eau et d&#8217;&#233;lectricit&#233;, y compris les &#233;tudes APS, et APD, dans sept (7) villes secondaires en Centrafrique.","2021-07-12T00:00:00.000","CABINET CONCEPT","Canada","CA","593295.0","PASEEL/032/CS/SFQC/18"
"2022-09-02T00:00:00.000","2022","Western and Central Africa","Central African Republic","CF","P162245","Water and Electricity Upgrading Project","Consultant Services","Consultant Qualification  Selection","Energy and Extractives;Water, Sanitation and Waste Management","1676123","Mission de mise a jour de la strat&#233;gie du secteur d'Energie de la R&#233;publique Centrafricaine.","2021-09-28T00:00:00.000","BPL PROJECT EXPERTS SAS","Canada","CA","138402.0","PASEEL/047/CS/QC/19"
"2022-09-02T00:00:00.000","2022","Western and Central Africa","Ghana","GH","P163984","Ghana Energy Sector Transformation Initiative Project","Consultant Services","Quality And Cost-Based Selection","Energy and Extractives","1674584","CONSULTING SERVICES FOR ASSESSMENT OF STREETLIGHTING IN GHANA (GH-MOEn-189339-CS-QCBS)","2021-09-03T00:00:00.000","ECONOLER","Canada","CA","678219.0","GH-MOEN-189339-CS-QCBS"
"2022-09-02T00:00:00.000","2021","Eastern and Southern Africa","Rwanda","RW","P150634","Rwanda Electricity Sector Strengthening Project","Consultant Services","Consultant Qualification  Selection","Energy and Extractives","1672448","Consultancy Services to Undertake Institutional Reform and Performance Review for REG and EDCL Financial Sustainability","2020-09-23T00:00:00.000","CPCS TRANSCOM LIMITED","Canada","CA","299553.0","RW-EUCL-128319-CS-CQS"
"2022-09-02T00:00:00.000","2022","Eastern and Southern Africa","Eastern and Southern Africa",,"P146515","Kariba Dam Rehabilitation Project (RI)","Consultant Services","Direct Selection","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","1671140","Hydro Electrical and Mechanical expert","2021-09-14T00:00:00.000","UGO V. VELICOGNA","Canada","CA","247301.0","ZRA-KDRP-C-11-21"
"2022-09-02T00:00:00.000","2017","Eastern and Southern Africa","Burundi","BI","P133610","BI-Jiji and Mulembwe Hydropower","Consultant Services","Quality And Cost-Based Selection","Energy and Extractives","1665429","Firme charg&#233;e de la surveillance des travaux des am&#233;nagements hydro&#233;lectriques, de la ligne d&#8217;&#233;vacuation de l&#8217;&#233;nergie, des postes associ&#233;s et du r&#233;seau secondaire de distribution","2017-06-27T00:00:00.000","AECOM","Canada","CA","7764066.0","IC1A"
"2022-09-02T00:00:00.000","2022","Western and Central Africa","Togo","TG","P160377","Energy Sector Support and Investment Project","Consultant Services","Consultant Qualification  Selection","Energy and Extractives","1664841","Recrutement d'un consultant pour l&#8217;&#233;laboration d&#8217;un plan de restructuration/transformation de la CEET","2021-07-29T00:00:00.000","TETRA TECH","Canada","CA","374500.0","C24R"
