"data_update_date","project_id","project_name","wb_region","country","country_lending_group","country_fcs_status","country_fcs_lending_group","practice_group","global_practice","agreement_type","lending_instrument_type","approval_fy","final_closing_fy","project_length","project_status","project_volume","evaluation_type","outcome","quality_at_entry","quality_of_supervision","bank_performance","m_e_quality"
"2021-12-15T00:00:00.000","P000001","West Africa Pilot Community-based Natural Resources & Wildlife Management Project","AFW","Africa",,"Non-FCS","Other","Sustainable Development","Environment, Natural Resources & the Blue Economy","GEF","IPF","1996","2004","9","C","less than 10 million","Implementation Completion Report Review","UNSATISFACTORY","UNSATISFACTORY","UNSATISFACTORY","UNSATISFACTORY",
"2021-12-15T00:00:00.000","P000003","REIMP(CEN.ENV.INFO)","AFW","Africa",,"Non-FCS","Other","Sustainable Development","Environment, Natural Resources & the Blue Economy","GEF","IPF","1998","2003","6","C","less than 10 million","Implementation Completion Report Review","SATISFACTORY","HIGHLY SATISFACTORY","SATISFACTORY","SATISFACTORY",
"2021-12-15T00:00:00.000","P000017","3A-TG/BN Engineering TAL (FY92)","AFW","Africa",,"Non-FCS","Other","Infrastructure","Energy & Extractives","IDA","IPF","1992","2000","9","C","less than 10 million","Implementation Completion Report Review","UNSATISFACTORY","UNSATISFACTORY","SATISFACTORY","SATISFACTORY",
"2021-12-15T00:00:00.000","P000035","LOBITO/BENG.REHAB.","AFE","Angola","IDA","Non-FCS","IDA non-FCS","Sustainable Development","Urban, Resilience and Land","IDA","IPF","1992","2002","11","C",">=25 million & <50 million","Implementation Completion Report Review","SATISFACTORY","UNSATISFACTORY","SATISFACTORY","SATISFACTORY",
"2021-12-15T00:00:00.000","P000040","POWER SECTOR REHAB.","AFE","Angola","IDA","Non-FCS","IDA non-FCS","Infrastructure","Energy & Extractives","IDA","IPF","1992","2000","9","C",">=10 million & <25 million","Implementation Completion Report Review","UNSATISFACTORY","UNSATISFACTORY","UNSATISFACTORY","UNSATISFACTORY",
"2021-12-15T00:00:00.000","P000042","EDUCATION I","AFE","Angola","IDA","Non-FCS","IDA non-FCS","Human Development","Education","IDA","IPF","1992","2000","9","C",">=25 million & <50 million","Implementation Completion Report Review","SATISFACTORY","SATISFACTORY","SATISFACTORY","SATISFACTORY",
"2021-12-15T00:00:00.000","P000044","Financial Institutions modernization project","AFE","Angola","IDA","Non-FCS","IDA non-FCS","Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation","IDA","IPF","1993","2002","10","C",">=10 million & <25 million","Implementation Completion Report Review","SATISFACTORY","SATISFACTORY","SATISFACTORY","SATISFACTORY",
"2021-12-15T00:00:00.000","P000048","HEALTH","AFE","Angola","IDA","Non-FCS","IDA non-FCS","Human Development","Health, Nutrition & Population","IDA","IPF","1993","2000","8","C",">=10 million & <25 million","Implementation Completion Report Review","UNSATISFACTORY","UNSATISFACTORY","SATISFACTORY","UNSATISFACTORY",
"2021-12-15T00:00:00.000","P000050","TRANSPORT RECOVERY","AFE","Angola","IDA","Non-FCS","IDA non-FCS","Infrastructure","Transport","IDA","IPF","1993","2000","8","C",">=25 million & <50 million","Implementation Completion Report Review","SATISFACTORY","SATISFACTORY","SATISFACTORY","SATISFACTORY",
"2021-12-15T00:00:00.000","P000061","SOCIAL ACTION","AFE","Angola","IDA","Non-FCS","IDA non-FCS","Human Development","Social Protection & Jobs","IDA","IPF","1996","2001","6","C",">=10 million & <25 million","Implementation Completion Report Review","SATISFACTORY","SATISFACTORY","SATISFACTORY","SATISFACTORY",
"2021-12-15T00:00:00.000","P000099","COMMUNITY-BASED FOOD SECURITY","AFW","Benin","IDA","Non-FCS","IDA non-FCS","Sustainable Development","Urban, Resilience and Land","IDA","IPF","1994","2001","8","C","less than 10 million","Project Performance Assessment Report","SATISFACTORY","SATISFACTORY","SATISFACTORY","SATISFACTORY",
"2021-12-15T00:00:00.000","P000103","EDUCATION DEVELOPMENT PROJECT","AFW","Benin","IDA","Non-FCS","IDA non-FCS","Human Development","Education","IDA","IPF","1994","2002","9","C",">=10 million & <25 million","Implementation Completion Report Review","SATISFACTORY","SATISFACTORY","SATISFACTORY","SATISFACTORY",
