"as_of_date","fiscal_year","region","borrower_country","borrower_country_code","project_id","project_name","procurement_category","procurement_method","major_sector","wb_contract_number","contract_description","contract_signing_date","supplier","supplier_country","supplier_country_code","supplier_contract_amount_usd"
"2022-09-12T00:00:00.000","2018","Eastern and Southern Africa","Zimbabwe","ZW","P155751","Public Procurement Modernisation Technical Assistance","Consultant Services","Direct Selection","Public Administration","1557309","Public Procurement Modernisation Project External Audit for 2016","2017-10-27T00:00:00.000","AUDITOR GENERAL","Republic of Zimbabwe","ZW","9930.0"
"2022-09-12T00:00:00.000","2022","Eastern and Southern Africa","Zimbabwe","ZW","P125229","Health Sector Development Support Project","Goods","Request for Quotations","Health","1688582","Supply of Printer","2022-01-12T00:00:00.000","TEXTWRIGHT","Republic of Zimbabwe","ZW","1008.0"
"2022-09-12T00:00:00.000","2018","Eastern and Southern Africa","Zimbabwe","ZW","P152932","Public Financial Management Enhancement Project","Consultant Services","Individual Consultant Selection","Financial Sector","1569386","Support for the preparation of request and bidding documents for IFMIS expansion (BPC and DW/BI modules) Advisor 1","2017-12-27T00:00:00.000","Individual Consultant","World","1W","140700.0"
"2022-09-12T00:00:00.000","2019","Eastern and Southern Africa","Zimbabwe","ZW","P152932","Public Financial Management Enhancement Project","Consultant Services","Individual Consultant Selection","Financial Sector","1584874","Consultancy for the IPSAS Implementation Roadmap and legacy Issues Strategies","2019-04-12T00:00:00.000","Individual Consultant","World","1W","5200.0"
"2022-09-12T00:00:00.000","2021","Eastern and Southern Africa","Zimbabwe","ZW","P125229","Health Sector Development Support Project","Consultant Services","Consultant Qualification  Selection","Health","1657235","External audit of the financial statements","2021-05-21T00:00:00.000","BDO CHARTERED ACCOUNTANTS ZIMBABWE","Republic of Zimbabwe","ZW","108649.0"
"2022-09-12T00:00:00.000","2019","Eastern and Southern Africa","Zimbabwe","ZW","P124625","Hwange-Sanyati Biological Corridor Project","Goods","Request for Quotations","Agriculture, Fishing and Forestry;Public Administration","1576513","Supply of cyber trackers","2018-10-12T00:00:00.000","MARSHRIDGE ENTERPRISES (PVT)LTD T/A INDUSTRIAL SOLUTIONS","Republic of Zimbabwe","ZW","4984.0"
"2022-09-12T00:00:00.000","2018","Eastern and Southern Africa","Zimbabwe","ZW","P124625","Hwange-Sanyati Biological Corridor Project","Non-consulting Services","Request for Quotations","Agriculture, Fishing and Forestry;Public Administration","1559811","Transportation of gabion stones","2017-12-04T00:00:00.000","AMAZING FREIGHT","Republic of Zimbabwe","ZW","46800.0"
"2022-09-12T00:00:00.000","2018","Eastern and Southern Africa","Zimbabwe","ZW","P158475","Implementation support to the PICES survey in Zimbabwe","Goods","Request for Quotations","Public Administration","1551974","Supply of Fuel for PICES project","2017-11-28T00:00:00.000","TOTAL ZIMBABWE","Republic of Zimbabwe","ZW","24354.0"
"2022-09-12T00:00:00.000","2022","Eastern and Southern Africa","Zimbabwe","ZW","P125229","Health Sector Development Support Project","Goods","Request for Quotations","Health","1676246","Supply of 7inch and 10inch Tablets for Urban Voucher","2021-10-25T00:00:00.000","COMBINED TECHNOLOGY","Republic of Zimbabwe","ZW","28300.0"
"2022-09-12T00:00:00.000","2019","Eastern and Southern Africa","Zimbabwe","ZW","P125229","Health Sector Development Support Project","Consultant Services","Individual Consultant Selection","Health","1589937","Employment contract for Antony Sibanda","2018-10-15T00:00:00.000","Individual Consultant","Republic of Zimbabwe","ZW","36576.0"
"2022-09-12T00:00:00.000","2022","Eastern and Southern Africa","Zimbabwe","ZW","P125229","Health Sector Development Support Project","Consultant Services","Individual Consultant Selection","Health","1672368","Initial contract up to December 2021","2021-09-22T00:00:00.000","Individual Consultant","Republic of Zimbabwe","ZW","3822.0"
"2022-09-12T00:00:00.000","2021","Eastern and Southern Africa","Zimbabwe","ZW","P172176","SPF - Support to Zimbabwe Recovery and Resilience","Goods","Request for Quotations","Public Administration","1657745","Supply and Delivery of Tablet Pouches and Shatter Glasses","2021-05-31T00:00:00.000","ALG WORLD INVESTMENTS (PVT) LTD","Republic of Zimbabwe","ZW","728.0"
"2022-09-12T00:00:00.000","2022","Eastern and Southern Africa","Zimbabwe","ZW","P125229","Health Sector Development Support Project","Goods","Request for Quotations","Health","1689413","Supply of 200 Tablets, 200 Pouches, 200 Screen guards","2022-02-28T00:00:00.000","COMBINED TECHNOLOGY","Republic of Zimbabwe","ZW","43000.0"
"2022-09-12T00:00:00.000","2022","Eastern and Southern Africa","Zimbabwe","ZW","P125229","Health Sector Development Support Project","Goods","Request for Quotations","Health","1688571","supply of TV","2022-01-12T00:00:00.000","THE FUTURE STORE","Republic of Zimbabwe","ZW","2500.0"
"2022-09-12T00:00:00.000","2022","Eastern and Southern Africa","Zimbabwe","ZW","P172176","SPF - Support to Zimbabwe Recovery and Resilience","Goods","Request for Quotations","Public Administration","1697857","Supply, Delivery and Installation of a CCTV System","2022-05-27T00:00:00.000","RADIO SOLUTIONS","Republic of Zimbabwe","ZW","3012.0"
"2022-09-12T00:00:00.000","2018","Eastern and Southern Africa","Zimbabwe","ZW","P158475","Implementation support to the PICES survey in Zimbabwe","Consultant Services","Direct Selection","Public Administration","1561185","Audit fees for PICES project January 2017-June 2018","2018-06-08T00:00:00.000","AUDITORS GENERAL'S OFFICE","Republic of Zimbabwe","ZW","9990.0"
"2022-09-12T00:00:00.000","2022","Eastern and Southern Africa","Zimbabwe","ZW","P172176","SPF - Support to Zimbabwe Recovery and Resilience","Goods","Request for Quotations","Public Administration","1700190","Supply, Delivery and Installation of ICT for the MSD","2022-06-28T00:00:00.000","SECURE PRIME","Republic of Zimbabwe","ZW","47875.0"
"2022-09-12T00:00:00.000","2019","Eastern and Southern Africa","Zimbabwe","ZW","P152932","Public Financial Management Enhancement Project","Goods","Request for Quotations","Financial Sector","1569211","Procurement of refurbishment material for Chinhoyi Training Centre","2018-10-31T00:00:00.000","NETGRID SOLUTIONS","Republic of Zimbabwe","ZW","5771.0"
"2022-09-12T00:00:00.000","2020","Eastern and Southern Africa","Zimbabwe","ZW","P125229","Health Sector Development Support Project","Consultant Services","Direct Selection","Health","1609510","External Audit for 18 months to June 2020","2020-04-24T00:00:00.000","KPMG","Republic of Zimbabwe","ZW","35495.0"
"2022-09-12T00:00:00.000","2022","Eastern and Southern Africa","Zimbabwe","ZW","P125229","Health Sector Development Support Project","Consultant Services","Individual Consultant Selection","Health","1676249","Consultant to assist on the RBF Urban Voucher System upgrade as part of the scale-up process for Urban Voucher under Additional Financing V","2021-10-20T00:00:00.000","Individual Consultant","Republic of Zimbabwe","ZW","10500.0"
"2022-09-12T00:00:00.000","2022","Eastern and Southern Africa","Zimbabwe","ZW","P177168","Piloting social protection and WASH interventions to keep adolescent girls in school in Zimbabwe","Non-consulting Services","Request for Quotations","Education;Social Protection","1691349","vehicle hire","2022-03-10T00:00:00.000","MINI TRVAEL TOURS","Republic of Zimbabwe","ZW","10800.0"
"2022-09-12T00:00:00.000","2019","Eastern and Southern Africa","Zimbabwe","ZW","P125229","Health Sector Development Support Project","Non-consulting Services","Request for Quotations","Health","1589987","Contract to LACC to supply fliers and posters","2019-03-06T00:00:00.000","LACC ENTERPRISES (PVT) LTB","Republic of Zimbabwe","ZW","4934.0"
"2022-09-12T00:00:00.000","2021","Eastern and Southern Africa","Zimbabwe","ZW","P125229","Health Sector Development Support Project","Goods","Direct Selection","Health","1702190","Supply of Hospital Beds: &#8220;Eleganza 2&#8221;","2021-06-25T00:00:00.000","LINET","Czech Republic","CZ","28683.0"
"2022-09-12T00:00:00.000","2018","Eastern and Southern Africa","Zimbabwe","ZW","P155751","Public Procurement Modernisation Technical Assistance","Non-consulting Services","Direct Selection","Public Administration","1559796","Placement of an Advert in the Newspaper","2018-05-11T00:00:00.000","DIRECT IMPACT","Republic of Zimbabwe","ZW","3173.0"
"2022-09-12T00:00:00.000","2019","Eastern and Southern Africa","Zimbabwe","ZW","P152932","Public Financial Management Enhancement Project","Consultant Services","Individual Consultant Selection","Financial Sector","1569385","Rollout of PFMS to large statutory funds and capture expenditures against the retained earnings of MDAs","2018-10-26T00:00:00.000","Individual Consultant","World","1W","114480.0"
"2022-09-12T00:00:00.000","2021","Eastern and Southern Africa","Zimbabwe","ZW","P125229","Health Sector Development Support Project","Consultant Services","Least Cost Selection","Health","1658073","Internal Audit","2020-12-02T00:00:00.000","BAKERTILLY CHARTERED ACCOUNTANTS","Republic of Zimbabwe","ZW","14062.0"
