"country","original_principal_amount"
"India","18635080000.00"
"China","9018000000.00"
"Argentina","8296760000.00"
"Indonesia","7633576591.00"
"Turkiye","7399393000.00"
"Morocco","5660000000.00"
"Philippines","4950683205.00"
"Egypt, Arab Republic of","4480000000.00"
"Pakistan","4216000000.00"
"Jordan","4174300000.00"
"Colombia","3858600000.00"
"Brazil","3809104245.00"
"Angola","3375000000.00"
"Ukraine","3284891740.00"
"Ecuador","2917100000.00"
"Romania","2307940000.00"
"Peru","2177324000.00"
"Uzbekistan","1888100000.00"
"Tunisia","1878000000.00"
"Georgia","1440800000.00"
"Mexico","1361000000.00"
"South Africa","1323000000.00"
"Sri Lanka","1306000000.00"
"Iraq","1208000000.00"
"Costa Rica","1071740500.00"
"Cameroon","1019300000.00"
"Guatemala","950000000.00"
"Lebanon","934550000.00"
"Serbia","920100000.00"
"El Salvador","870000000.00"
"Croatia","837700000.00"
"Poland","795340000.00"
"Dominican Republic","793500000.00"
"Paraguay","775000000.00"
"Nigeria","745000000.00"
"Vietnam","671000000.00"
"Bolivia","617950000.00"
"Bosnia and Herzegovina","617098000.00"
"Belarus","571000000.00"
"Panama","550000000.00"
"Albania","534600000.00"
"Armenia","498300000.00"
"North Macedonia","493717000.00"
"Botswana","492661341.00"
"Kenya","480000000.00"
"Kazakhstan","467000000.00"
"Congo, Republic of","275000000.00"
"Montenegro","262480000.00"
"Eswatini","258350000.00"
"Azerbaijan","215000000.00"
"Mongolia","213800000.00"
"Moldova","166600000.00"
"Uruguay","149500000.00"
"Gabon","139500000.00"
"Jamaica","95000000.00"
"Iran, Islamic Republic of","90000000.00"
"Papua New Guinea","80000000.00"
"Seychelles","75000000.00"
"Fiji","75000000.00"
"Suriname","58000000.00"
"Chile","50126000.00"
"Belize","31200000.00"
"Turkmenistan","20000000.00"
"Trinidad and Tobago","20000000.00"
"Cabo Verde","8500000.00"
"Grenada","7800000.00"
"Antigua and Barbuda","2000000.00"
