"loan_number","country","borrower","currency_of_commitment","project_name","original_principal_amount","disbursed_amount","repaid_to_ibrd","closed_date_most_recent_"
"IBRD00170","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"RAILWAY","34000000.00","32800000.00","15056370.48","1951-03-31T00:00:00.000"
"IBRD00190","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"FARM IMPROVEMENT","10000000.00","7203813.27","2263000.00","1953-12-31T00:00:00.000"
"IBRD00230","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"BOKAROKONAR POWER","18500000.00","16720500.00","10851500.00","1956-02-29T00:00:00.000"
"IBRD00710","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"INDIAN IRON & STEEL","31500000.00","29202888.48","28502888.48","1960-12-31T00:00:00.000"
"IBRD00720","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"IRRIGATION","19500000.00","10500000.00","9655000.00","1958-06-30T00:00:00.000"
"IBRD01060","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"TROMBAY POWER","16200000.00","13843320.31","12479320.31","1966-09-30T00:00:00.000"
"IBRD01090","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"ICICI I (DFC)","10000000.00","9875448.52","9875448.52","1964-12-31T00:00:00.000"
"IBRD01460","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"TATA IRON & STEEL CO","75000000.00","75000000.00","68718000.00","1959-03-31T00:00:00.000"
"IBRD01590","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"INDIAN IRON & STEEL","20000000.00","19945276.86","18063276.86","1963-12-15T00:00:00.000"
"IBRD01610","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"AIR INDIA","5600000.00","5600000.00","5600000.00","1959-12-31T00:00:00.000"
"IBRD01640","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"TROMBAY POWER EXT PR","9800000.00","9657599.18","8847599.18","1966-09-30T00:00:00.000"
"IBRD01670","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"RAILWAY II A","24000000.00","24000000.00","24000000.00","1958-12-31T00:00:00.000"
