"as_of_date","fiscal_year","region","borrower_country","borrower_country_code","project_id","project_name","procurement_category","procurement_method","major_sector","wb_contract_number","contract_description","contract_signing_date","supplier","supplier_country","supplier_country_code","supplier_contract_amount_usd","borrower_contract_reference_number"
"2022-09-12T00:00:00.000","2018","EAST ASIA AND PACIFIC","Lao People's Democratic Republic","LA","P104806","Mekong Integrated Water Resources Management","Consultant Services","Individual Consultant Selection","Transportation;Water, Sanitation and Waste Management;Public Administration","1711113","C3.1.2-CS-004	Irrigation Engineer","2018-04-02T00:00:00.000","Individual Consultant","Lao People's Democratic Republic","LA","52754.0","C3.1.2-CS-004"
"2022-09-12T00:00:00.000","2018","EAST ASIA AND PACIFIC","Lao People's Democratic Republic","LA","P104806","Mekong Integrated Water Resources Management","Consultant Services","Individual Consultant Selection","Transportation;Water, Sanitation and Waste Management;Public Administration","1711038","C3.1.2-CS-005	Pump Engineer","2018-03-01T00:00:00.000","Individual Consultant","Lao People's Democratic Republic","LA","44191.0","C3.1.2-CS-005"
"2022-09-12T00:00:00.000","2018","EAST ASIA AND PACIFIC","Lao People's Democratic Republic","LA","P104806","Mekong Integrated Water Resources Management","Consultant Services","Individual Consultant Selection","Transportation;Water, Sanitation and Waste Management;Public Administration","1711025","C3.1.2-CS-002	Community Development Specialist","2018-04-02T00:00:00.000","Individual Consultant","Lao People's Democratic Republic","LA","56324.0","C3.1.2-CS-002"
"2022-09-12T00:00:00.000","2018","Western and Central Africa","Mali","ML","P160505","Mali - Rural Mobility and Connectivity Project","Consultant Services","Consultant Qualification  Selection","Transportation","1710822","&#201;tudes d&#8217;impact environnemental et social pour les travaux d&#8217;am&#233;nagement de 547 Km de pistes rurales dans les r&#233;gions de Koulikoro et Sikasso dans le cadre du PAAR.","2018-05-23T00:00:00.000","CIRA SAS","Republic of Mali","ML","104441.0","ML-PAAR-54737-CS-CQS"
"2022-09-12T00:00:00.000","2018","EUROPE AND CENTRAL ASIA","Tajikistan","TJ","P148291","Higher Education Project","Consultant Services","Individual Consultant Selection","Education","1710656","M&E in Khatlon Region","2018-02-28T00:00:00.000","Individual Consultant","Republic of Tajikistan","TJ","1350.0","MOES/HEP/IC/2018-02"
"2022-09-12T00:00:00.000","2018","EUROPE AND CENTRAL ASIA","Tajikistan","TJ","P148291","Higher Education Project","Consultant Services","Individual Consultant Selection","Education","1710628","Coordinator of Component 2","2018-03-30T00:00:00.000","Individual Consultant","Republic of Tajikistan","TJ","27500.0","MOES/HEP/IC/2016-01-1"
"2022-09-12T00:00:00.000","2018","LATIN AMERICA AND CARIBBEAN","Brazil","BR","P143492","BR DGM for Indigenous People and Traditional Communities","Goods","Direct Selection","Agriculture, Fishing and Forestry","1710596","Contrata&#231;&#227;o direta de caminh&#227;o de tra&#231;&#227;o 4 x 4 que atende as especifica&#231;&#245;es, no caso apenas um fornecedor foi identificado para tal fornecimento.","2018-03-28T00:00:00.000","EXTRA CAMINHOES LTDA","Federative Republic of Brazil","BR","32315.0","SUB 135- 7"
"2022-09-12T00:00:00.000","2018","LATIN AMERICA AND CARIBBEAN","Brazil","BR","P143492","BR DGM for Indigenous People and Traditional Communities","Goods","Request for Quotations","Agriculture, Fishing and Forestry","1710410","Aquisi&#231;&#227;o de equipamentos de informatica como computador, impressora e suprimentos","2018-06-20T00:00:00.000","MAGAZINE LUIZA S/A (MAGALU)","Federative Republic of Brazil","BR","536.0","SUB 26-6"
"2022-09-12T00:00:00.000","2018","LATIN AMERICA AND CARIBBEAN","Argentina","AR","P133288","Argentina Renewable Energy for Rural Areas Project","Consultant Services","Direct Selection","Energy and Extractives","1710400","Colaborar con la eleccion de los equipos fotovoltaicos de tercera generacion para que sean los que maximicen los objetivos del PERMER en terminos de prestaciones, calidad, precio y durabilidad.","2018-01-17T00:00:00.000","CHRISTOPHER CALSEN","Argentine Republic","AR","865.0","AR-SE-36871-CS-CDS"
"2022-09-12T00:00:00.000","2017","MIDDLE EAST AND NORTH AFRICA","Tunisia","TN","P132381","Third Export Development Project (EDP III)","Consultant Services","Individual Consultant Selection","Financial Sector;Transportation;Industry, Trade and Services","1710399","SELECTION ET L&#8217;EMPLOI D&#8217;UN CI / L&#8217;ASSISTANCE TECHNIQUE POUR LA MISE EN &#338;UVRE DE LA COMPOSANTE RELATIVE AU MINISTERE DU TRANSPORT - Mondher KHANFIR","2016-11-29T00:00:00.000","Individual Consultant","Republic of Tunisia","TN","31131.0","TN-UCSP-202308-CS-INDV"
"2022-09-12T00:00:00.000","2017","MIDDLE EAST AND NORTH AFRICA","Tunisia","TN","P132381","Third Export Development Project (EDP III)","Consultant Services","Individual Consultant Selection","Financial Sector;Transportation;Industry, Trade and Services","1710349","CHOIX D&#8217;UN CONSULTANT INDIVIDUEL POUR L&#8217;ELABORATION D&#8217;UN PLAN DE FORMATION - B&#233;chir LASSOUED (FMC)","2016-12-01T00:00:00.000","Individual Consultant","Republic of Tunisia","TN","4986.0","TN-UCSP-202309-CS-INDV"
"2022-09-12T00:00:00.000","2018","EAST ASIA AND PACIFIC","Lao People's Democratic Republic","LA","P104806","Mekong Integrated Water Resources Management","Consultant Services","Individual Consultant Selection","Transportation;Water, Sanitation and Waste Management;Public Administration","1710209","C3.1.2-CS-006-Agriculture Extension and M&E Specialist","2018-02-01T00:00:00.000","Individual Consultant","Lao People's Democratic Republic","LA","1286.0","C3.1.2-CS-006"
"2022-09-12T00:00:00.000","2018","EUROPE AND CENTRAL ASIA","Turkiye",,"P162004","Education Infrastructure for Resilience (EU Facility for SuTP)","Consultant Services","Consultant Qualification  Selection","Education;Public Administration","1710190","Design Review/Preparation and Construction Supervision for Hatay, Kahramanmara&#351; and Osmaniye Schools.","2017-10-02T00:00:00.000","ARTI MUHENDISLIK MIMARLIK MUSAVIRLIK LTD. STI.","Republic of Turkiye","TR","244575.0","FRIT-WB-DH-02"
"2022-09-12T00:00:00.000","2018","EAST ASIA AND PACIFIC","Lao People's Democratic Republic","LA","P104806","Mekong Integrated Water Resources Management","Consultant Services","Individual Consultant Selection","Transportation;Water, Sanitation and Waste Management;Public Administration","1710184","C3.2-CS-019	Regional Part-Time Fish Hatchery Operations and Management Expert","2017-10-02T00:00:00.000","Individual Consultant","Kingdom of Thailand","TH","45874.0","C3.2-CS-019"
"2022-09-12T00:00:00.000","2018","MIDDLE EAST AND NORTH AFRICA","Tunisia","TN","P132381","Third Export Development Project (EDP III)","Consultant Services","Direct Selection","Financial Sector;Transportation;Industry, Trade and Services","1709991","Mission d&#8217;assistance &#224; la mise en &#339;uvre d&#8217;une application de gestion des titres de commerce ext&#233;rieur - TUNISIE TRADENET (TTN)","2017-08-31T00:00:00.000","TUNISIE TRADENET","Republic of Tunisia","TN","26782.0","TN-UCSP-202310-CS-CDS"
"2022-09-12T00:00:00.000","2018","EAST ASIA AND PACIFIC","Lao People's Democratic Republic","LA","P104806","Mekong Integrated Water Resources Management","Consultant Services","Individual Consultant Selection","Transportation;Water, Sanitation and Waste Management;Public Administration","1709885","C3.2-CS-016	National Livelihood Consultant","2018-01-01T00:00:00.000","Individual Consultant","Lao People's Democratic Republic","LA","7040.0","C3.2-CS-016"
"2022-09-12T00:00:00.000","2018","EAST ASIA AND PACIFIC","Lao People's Democratic Republic","LA","P104806","Mekong Integrated Water Resources Management","Consultant Services","Individual Consultant Selection","Transportation;Water, Sanitation and Waste Management;Public Administration","1709880","C3.2-CS-004	National GIS","2018-01-01T00:00:00.000","Individual Consultant","Lao People's Democratic Republic","LA","7440.0","C3.2-CS-004"
"2022-09-12T00:00:00.000","2018","EAST ASIA AND PACIFIC","Lao People's Democratic Republic","LA","P104806","Mekong Integrated Water Resources Management","Consultant Services","Individual Consultant Selection","Transportation;Water, Sanitation and Waste Management;Public Administration","1709878","C3.2-CS-017	International Chief Technical Advisor","2017-12-01T00:00:00.000","Individual Consultant","United Kingdom of Great Britain and Nort","GB","125460.0","C3.2-CS-017"
