"as_of_date","fiscal_year","region","borrower_country","borrower_country_code","project_id","project_name","procurement_category","procurement_method","major_sector","wb_contract_number","contract_description","contract_signing_date","supplier","supplier_country","supplier_country_code","supplier_contract_amount_usd","borrower_contract_reference_number"
"2022-09-12T00:00:00.000","2023","SOUTH ASIA","Pakistan","PK","P166308","Balochistan Human Capital Investment Project","Consultant Services","Direct Selection","Health;Education","1710130","M/S The Building Consultant JV The Group of Engineers EDS&QA Firm Contract","2022-08-22T00:00:00.000","THE BUILDING CONSULTANTS","Islamic Republic of Pakistan","PK","74326.0","PK-HD-GOB-307494-CS-CDS"
"2022-09-12T00:00:00.000","2022","SOUTH ASIA","Pakistan","PK","P154255","PK-Balochistan Integrated Water Resources Management & Development Project","Goods","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","1709342","PURCHASE AND LAYING OF PVC PIPELINES FOR IRRIGATION SCHEMES
LOT 2 Mushkaf","2022-03-21T00:00:00.000","MOOSA JAN & CO","Islamic Republic of Pakistan","PK","32041.0","PK-PMU-BIWRMDP 251669 GO-RFB"
"2022-09-12T00:00:00.000","2022","SOUTH ASIA","Pakistan","PK","P154255","PK-Balochistan Integrated Water Resources Management & Development Project","Goods","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","1709339","PURCHASE AND LAYING OF PVC PIPELINES FOR IRRIGATION SCHEMES LOT 4
Shab e maidan","2022-03-21T00:00:00.000","MOOSA JAN & CO","Islamic Republic of Pakistan","PK","27421.0","PK-PMU-BIWRMDP-251669 GO-RFB"
"2022-09-12T00:00:00.000","2022","SOUTH ASIA","Pakistan","PK","P154255","PK-Balochistan Integrated Water Resources Management & Development Project","Goods","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","1709338","PURCHASE AND LAYING OF PVC PIPELINES FOR IRRIGATION SCHEMES LOT 3
Sehan","2022-03-18T00:00:00.000","AL-SUNNY CONSTRUCTION","Islamic Republic of Pakistan","PK","83778.0","PK-PMU-BIWRMDP-251669-GO-RFB"
"2022-09-12T00:00:00.000","2022","SOUTH ASIA","Pakistan","PK","P154255","PK-Balochistan Integrated Water Resources Management & Development Project","Goods","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","1709333","PURCHASE AND LAYING OF PVC PIPELINES FOR IRRIGATION SCHEMES LOT 1 Nori Gorge","2022-03-21T00:00:00.000","MOOSA JAN & CO","Islamic Republic of Pakistan","PK","258803.0","PK PMU-BIWRMDP-251669-GO-RFB"
"2022-09-12T00:00:00.000","2022","SOUTH ASIA","Pakistan","PK","P173021","Solid Waste Emergency and Efficiency Project","Civil Works","Request for Quotations","Water, Sanitation and Waste Management","1709225","EXTENSION OF SOLID WASTE MANAGEMENT BOARD OFFICE","2022-01-10T00:00:00.000","SALZEE ASSOCIATES","Islamic Republic of Pakistan","PK","72481.0","PK-PIU SSWMB-259664-CW-RFQ"
"2022-09-12T00:00:00.000","2022","SOUTH ASIA","Pakistan","PK","P173021","Solid Waste Emergency and Efficiency Project","Goods","Request for Quotations","Water, Sanitation and Waste Management","1709221","PROCUREMENT OF OFFICE FURNITURE AND FIXTURE FOR EXTENSION OF SOLID WASTE MANAGEMENT BOARD OFFICE","2022-01-10T00:00:00.000","SALZEE ASSOCIATES","Islamic Republic of Pakistan","PK","73739.0","PK-PIU SSWMB-259671-GO-RFQ"
"2022-09-12T00:00:00.000","2023","SOUTH ASIA","Pakistan","PK","P164785","Punjab Human Capital Investment Project","Consultant Services","Individual Consultant Selection","Health;Education;Social Protection","1708879","Short-term individual consultancy as a consultant training","2022-07-21T00:00:00.000","Individual Consultant","Islamic Republic of Pakistan","PK","6519.0","PK-PSHD-295006-CS-INDV"
"2022-09-12T00:00:00.000","2022","SOUTH ASIA","Pakistan","PK","P164785","Punjab Human Capital Investment Project","Goods","Request for Bids","Health;Education;Social Protection","1708872","Lot No. 16, Episiotomy Set","2022-06-15T00:00:00.000","MJ MARKETING & SERVICES","Islamic Republic of Pakistan","PK","11034.0","PK-PSHD-270266-GO-RFB-14"
"2022-09-12T00:00:00.000","2022","SOUTH ASIA","Pakistan","PK","P164785","Punjab Human Capital Investment Project","Goods","Request for Bids","Health;Education;Social Protection","1708868","Lot No. 15, E.C.G Machine","2022-06-30T00:00:00.000","HOSPICARE SYSTEMS","Islamic Republic of Pakistan","PK","18288.0","PK-PSHD-270266-GO-RFB-11"
