"fiscal_year","major_sector","supplier_contract_amount_usd"
"2017","Transportation","3311597679.0"
"2017","Energy and Extractives;Social Protection;Water, Sanitation and Waste Management","3130449457.0"
"2017","Energy and Extractives","2459972466.0"
"2017","Water, Sanitation and Waste Management","948185970.0"
"2017","Health","551569607.0"
"2017","Transportation;Water, Sanitation and Waste Management;Public Administration","511154153.0"
"2017","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","486644998.0"
"2017","Information and Communications Technologies;Transportation;Industry, Trade and Services","401208854.0"
"2017","Education;Industry, Trade and Services","400655682.0"
"2017","Transportation;Industry, Trade and Services","343433299.0"
"2017","Education","316995760.0"
"2017","Agriculture, Fishing and Forestry","299652465.0"
"2017","Information and Communications Technologies;Transportation","198065253.0"
"2017","Transportation;Public Administration","194948559.0"
"2017","Water, Sanitation and Waste Management;Public Administration","151707771.0"
"2017","Energy and Extractives;Social Protection","139212900.0"
"2017","Transportation;Water, Sanitation and Waste Management;Social Protection;Agriculture, Fishing and Forestry;Public Administration","139104874.0"
"2017","Social Protection","138474492.0"
"2017","Public Administration","130522948.0"
"2017","Transportation;Energy and Extractives","127226082.0"
"2017","Agriculture, Fishing and Forestry;Industry, Trade and Services","124492230.0"
"2017","Water, Sanitation and Waste Management;Social Protection;Public Administration","119862024.0"
"2017","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","112244439.0"
"2017","Health;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","96257674.0"
"2017","Information and Communications Technologies;Public Administration","95127549.0"
"2017","Industry, Trade and Services","89870710.0"
"2017","Education;Transportation;Water, Sanitation and Waste Management;Public Administration","87749844.0"
"2017","Education;Social Protection","76460957.0"
"2017","Education;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Social Protection","76417735.0"
"2017","Information and Communications Technologies","74832923.0"
"2017","Transportation;Water, Sanitation and Waste Management;Social Protection;Public Administration","74409552.0"
"2017","Education;Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","63369872.0"
"2017","Information and Communications Technologies;Water, Sanitation and Waste Management","62135089.0"
"2017","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","61206305.0"
"2017","Information and Communications Technologies;Transportation;Public Administration","56911375.0"
"2017","Health;Social Protection","54877201.0"
"2017","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","50159360.0"
"2017","Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","43963356.0"
"2017","Information and Communications Technologies;Education","41713481.0"
"2017","Energy and Extractives;Public Administration","37696812.0"
"2017","Health;Agriculture, Fishing and Forestry;Industry, Trade and Services","34615006.0"
"2017","Social Protection;Agriculture, Fishing and Forestry","34078295.0"
"2017","Transportation;Water, Sanitation and Waste Management","30014798.0"
"2017","Financial Sector;Education;Public Administration","29557334.0"
"2017","Agriculture, Fishing and Forestry;Public Administration","28042032.0"
"2017","Financial Sector;Education","27706329.0"
"2017","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","25992366.0"
"2017","Health;Transportation;Industry, Trade and Services","25184912.0"
"2017","Education;Energy and Extractives","24656478.0"
"2017","Financial Sector","24512065.0"
"2017","Education;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","24455462.0"
"2017","Education;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","24418231.0"
"2017","Health;Water, Sanitation and Waste Management","23159928.0"
"2017","Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","23003515.0"
"2017","Information and Communications Technologies;Transportation;Water, Sanitation and Waste Management","22281034.0"
"2017","Education;Health;Transportation;Water, Sanitation and Waste Management;Public Administration","21292566.0"
