"country","original_principal_amount","cancelled_amount","undisbursed_amount","disbursed_amount"
"India","75916583798.56","13578361699.34","12719015745.77","48989528666.72"
"Indonesia","66207300740.54","8887490411.63","5127164479.32","47816538848.68"
"Brazil","64264763768.39","6637578061.22","2612243627.39","54951791689.30"
"Mexico","61183978843.96","7694006012.22","1192711361.82","52099183047.60"
"China","57743147142.81","5998681046.49","5500748593.31","45960965956.70"
"Turkiye","47930772000.00","4917570005.37","5301774463.09","36371830109.90"
"Argentina","41390853000.00","4902737575.02","4132559122.13","32001521342.27"
"Colombia","31687908070.88","2183889907.46","998035024.99","28337943898.50"
"Philippines","27352694284.28","2701612136.93","2581071467.29","20886528323.28"
"Morocco","23109314000.00","1847575062.36","3137775130.55","17552781740.51"
"Egypt, Arab Republic of","22921484841.16","2746278171.99","2500966545.00","17640113121.20"
"Ukraine","16793498577.00","2096037555.74","1730207311.23","12868672659.67"
"Poland","16610600000.00","1205598967.36","355759429.39","14872623945.81"
"Peru","16096289000.00","2043175016.58","1771521779.37","12116289677.84"
"Korea, Republic of","15694963844.05","728538693.20","0.00","14918461306.79"
"Romania","15677050000.00","1035406997.17","1661949108.18","12717656034.08"
"Russian Federation","14511100000.00","4031446020.43","3902182.59","10475752289.31"
"Pakistan","13688650000.00","1362218861.12","3521852873.72","8647638407.74"
"Tunisia","11834330000.00","724511846.98","968425976.27","9922278499.50"
"Thailand","9550482961.79","1299255538.90","0.00","8151817580.48"
"Kazakhstan","9086012440.00","2044570079.62","950311201.93","7023091668.45"
"Jordan","8579600000.00","853635088.49","1329812270.94","6386152640.57"
"Ecuador","8075580000.00","1032455280.67","976864976.45","6064659742.89"
"Nigeria","7493200000.00","1144084221.68","698062296.27","5801053482.05"
"Serbia","7295279507.90","1009740733.85","603337256.67","5454624444.55"
"Algeria","6339830000.00","1605314650.05","0.00","4306515349.95"
"Hungary","5946880000.00","2381104062.75","0.01","3561137211.72"
"Croatia","5415789699.99","518288860.14","536671149.87","4204373435.24"
"South Africa","5375800000.00","681979146.66","465441920.00","4207690518.18"
"Iraq","5204520000.00","201243806.65","1070238043.15","3887404510.44"
"Angola","5157000000.00","200000000.00","2867440163.54","2244481548.86"
"Uruguay","4992960000.00","880687063.36","75195600.62","4128394847.66"
"Guatemala","4567610000.00","505039693.13","237169249.00","3945401057.87"
"Chile","4494107000.00","754040406.32","10100000.00","3848795725.45"
"Malaysia","4292672744.43","894720698.70","0.00","3255899301.30"
"Panama","4020590000.00","442486658.45","523346910.66","3054213857.32"
"Uzbekistan","3795530000.00","423550063.43","704698686.05","2667281250.52"
"Iran, Islamic Republic of","3553100000.00","503794624.07","1023675.60","3032839710.57"
"Azerbaijan","3479300000.00","532435102.08","163615315.09","2783249582.83"
"Vietnam","3457790000.00","697360426.32","452116145.95","2408313427.73"
"Dominican Republic","3383440000.00","239310135.01","654601646.93","2447528218.06"
"Bulgaria","3351565000.00","356017280.81","0.00","2972458203.49"
"Venezuela, Republica Bolivariana de","3328400000.00","740163399.39","0.00","2566346997.45"
"Lebanon","3250330000.00","1336819173.72","505463279.63","1737947546.65"
"Costa Rica","3207770500.00","253987931.83","376199998.75","2577458822.14"
"El Salvador","3192685000.00","305372819.06","819962458.62","2067309843.58"
"Cote d'Ivoire","3062000000.00","444825594.19","68873025.87","2527477379.08"
"Jamaica","3000100000.00","133118240.82","64035833.83","2791758912.91"
"Cameroon","2567100000.00","300403980.05","780026343.19","1414517750.59"
"Georgia","2391800000.00","36943124.12","922132580.25","1358531117.11"
"Paraguay","2387671000.16","145138088.04","460962851.84","1781059050.74"
