"country","original_principal_amount"
"Peru","2850000000.00"
"India","2820000000.00"
"China","1982000000.00"
"Indonesia","1700000000.00"
"Ukraine","1560000000.00"
"Iraq","1550000000.00"
"Egypt, Arab Republic of","1550000000.00"
"Poland","1504040000.00"
"Colombia","1400000000.00"
"Kazakhstan","1080000000.00"
"Morocco","1050000000.00"
"Argentina","1000000000.00"
"Philippines","950000000.00"
"Pakistan","820000000.00"
"Tunisia","770000000.00"
"Brazil","758000000.00"
"Mexico","500000000.00"
"Vietnam","494000000.00"
"Ecuador","460500000.00"
"Turkiye","424890000.00"
"Costa Rica","420000000.00"
"Gabon","339000000.00"
"Bulgaria","327465000.00"
"Georgia","289000000.00"
"Jordan","250000000.00"
"Dominican Republic","230000000.00"
"Azerbaijan","206700000.00"
"Armenia","196000000.00"
"Serbia","175000000.00"
"Bolivia","165950000.00"
"North Macedonia","118985000.00"
"Chile","100000000.00"
"Congo, Republic of","80000000.00"
"Panama","75000000.00"
"Belarus","60000000.00"
"Romania","52390000.00"
"Fiji","50000000.00"
"Albania","32000000.00"
"Jamaica","30000000.00"
"Croatia","21915000.00"
"Mauritius","14900000.00"
"Moldova","12580000.00"
"Seychelles","10000000.00"
"Grenada","5000000.00"
"Ghana","0"
"Eswatini","0.00"
