"as_of_date","fiscal_year","region","borrower_country","borrower_country_code","project_id","project_name","procurement_category","procurement_method","wb_contract_number","contract_description","contract_signing_date","supplier","supplier_country","supplier_contract_amount_usd"
"2022-09-12T00:00:00.000","2018","SOUTH ASIA","Afghanistan","AF","P112872","Second Customs Reform and Trade Facilitation Project","Consultant Services","Quality And Cost-Based Selection","1558258","The Evaluation Committee evaluated the bids technically and financially and recommends IOS Partners Inc. to be awarded the Contract.","2018-04-30T00:00:00.000","IOS PARTNERS, INC,","United States of America","1305055.0"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P112872","Second Customs Reform and Trade Facilitation Project","Consultant Services","Consultant Qualification  Selection","1546699","Procurement of Microwave PTP Internet Services","2016-11-16T00:00:00.000","ARIANA NETWORK SERVICES (ANS)","Islamic  Republic of Afghanistan","12300.0"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P112872","Second Customs Reform and Trade Facilitation Project","Consultant Services","Single Source Selection","1544007","Provision of Technical Assistance for ACD","2016-11-14T00:00:00.000","UNITED NATIONS CONFERENCE ON TRADE AND DEVELOPMENT (UNCTAD)","World","4192840.0"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P112872","Second Customs Reform and Trade Facilitation Project","Consultant Services","Individual Consultant Selection","1545154","Senior Public Procurement Advisor","2016-09-01T00:00:00.000","Individual Consultant","World","120000.0"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P113421","Afghanistan Pension Administration and Safety Net Project","Consultant Services","Individual Consultant Selection","1543033","Senior Financial Management Specialist","2016-07-20T00:00:00.000","Individual Consultant","World","32582.0"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P118028","AF: ARTF-2nd Judicial Reform Project","Consultant Services","Quality And Cost-Based Selection","1552868","Consultancy Services for Conducting Training Needs Assessment for Supreme Court & Attorney General' Offices","2016-10-15T00:00:00.000","ADAM SMITH INTERNATIONAL (ASI)","United Kingdom of Great Britain and Nort","383448.0"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P118028","AF: ARTF-2nd Judicial Reform Project","Consultant Services","Single Source Selection","1548764","Renovation of MOJ old building at MOJ complex Darul Aman","2016-12-04T00:00:00.000","MS. HARRIROD CONSTRACTION COMPANY","Islamic  Republic of Afghanistan","366943.0"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P118053","Afghanistan New Market Development","Consultant Services","Individual Consultant Selection","1543570","Financial Management Specialist FMS for Project Implementation Unit of ANMDP","2016-10-17T00:00:00.000","Individual Consultant","World","35219.0"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P118053","Afghanistan New Market Development","Consultant Services","Individual Consultant Selection","1543577","Procurement Specialist for Project Implementation Unit of ANMDP","2016-10-07T00:00:00.000","Individual Consultant","World","26464.0"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P118925","Afghanistan: Sustainable Development of Natural Resources Project II","Consultant Services","Consultant Qualification  Selection","1549847","The client has requested the consultant to provide certain consulting services as defined in this contract.","2016-09-15T00:00:00.000","HART NURSE LTD","United Kingdom of Great Britain and Nort","223826.0"
