"country","borrower_s_obligation"
"Indonesia","19281566906.66"
"India","19131619253.90"
"China","15928400054.83"
"Brazil","15872199167.91"
"Mexico","14965612644.38"
"Colombia","13856325088.65"
"Egypt, Arab Republic of","12108897439.05"
"Turkiye","10632106854.27"
"Philippines","10616056963.57"
"Argentina","8776258147.80"
"Ukraine","7735354955.41"
"Morocco","7553907781.84"
"Poland","6035739411.60"
"Romania","4598086661.93"
"Peru","4520128846.77"
"Tunisia","3843375306.64"
"Jordan","3795145328.47"
"Ecuador","3650579931.71"
"Kazakhstan","3335186888.64"
"Iraq","3282054390.18"
"South Africa","2482452156.37"
"Serbia","2285208487.55"
"Vietnam","2239171527.01"
"Angola","2236869261.83"
"Guatemala","2148736144.90"
"Pakistan","2143943589.33"
"Uzbekistan","2132329750.05"
"Costa Rica","1578658445.13"
"Uruguay","1432201508.48"
"Azerbaijan","1379481337.45"
"Panama","1378195792.99"
"Croatia","1323802588.55"
"Georgia","1219637674.73"
"Dominican Republic","1186062289.10"
"Jamaica","1049497146.92"
"Belarus","980682010.71"
"Paraguay","863222261.39"
"Albania","857112148.80"
"Armenia","854097381.53"
"El Salvador","767053141.37"
"Sri Lanka","739684739.17"
"Bolivia","705026416.95"
"Lebanon","702297031.17"
"Thailand","666400000.00"
"Bosnia and Herzegovina","647246284.23"
"Gabon","615542190.58"
"Kenya","566956976.02"
"North Macedonia","564221413.04"
"Botswana","515510906.27"
"Nigeria","486374451.93"
"Bulgaria","476046129.56"
"Zimbabwe","427707725.98"
"Cameroon","330314856.81"
"Montenegro","189801384.31"
"Fiji","171497804.68"
"Eswatini","168495780.88"
"Russian Federation","148544066.19"
"Chile","141863490.05"
"Mauritius","138169767.54"
"Congo, Republic of","137774835.54"
"Iran, Islamic Republic of","132081503.98"
"Barbados","122865890.55"
"Kosovo","109906761.49"
"Seychelles","109700319.91"
"Bahamas, The","100000000.00"
"Moldova","99157145.37"
"Cote d'Ivoire","97219931.31"
"Cabo Verde","37133977.13"
"Belize","36238960.67"
"Mongolia","34800000.00"
"Turkmenistan","15005481.19"
"Timor-Leste","14574921.39"
"Grenada","9461363.74"
"Suriname","5669647.42"
"Antigua and Barbuda","4035955.96"
"St. Lucia","2799999.99"
"Trinidad and Tobago","50000.00"
"Italy","0.03"
"Honduras","0.02"
"Norway","0.02"
"Korea, Republic of","0.02"
"New Zealand","0.01"
"Australia","0.01"
"Belgium","0.01"
"Myanmar","0.01"
"Uganda","0.01"
"Southern Africa","0.01"
"Algeria","0.01"
"Denmark","0.00"
"Netherlands","0.00"
"Guinea","0.00"
"Mauritania","0.00"
"Mozambique","0.00"
"Eastern and Southern Africa","0.00"
"Sierra Leone","0.00"
"Hungary","0.00"
"Congo, Democratic Republic of","0.00"
"Madagascar","0.00"
"Taiwan, China","0.00"
"Slovak Republic","0.00"
"Namibia","0.00"
"Togo","0.00"
"Burundi","0.00"
"Slovenia","0.00"
"Greece","0.00"
"Chad","0.00"
"Oman","0.00"
"Malawi","0.00"
"Estonia","0.00"
"Dominica","0.00"
"Lesotho","0.00"
"Ghana","0.00"
"Senegal","0.00"
"France","0.00"
"Caribbean","0.00"
"Lithuania","0.00"
"Sudan","0.00"
"Papua New Guinea","0.00"
"Ireland","0.00"
"Syrian Arab Republic","0.00"
"Western and Central Africa","0.00"
"Czech Republic","0.00"
"St. Kitts and Nevis","0.00"
"Luxembourg","0.00"
"Haiti","0.00"
"Bangladesh","0.00"
"Malta","-0.01"
"Finland","-0.01"
"Guyana","-0.01"
"Israel","-0.01"
"Japan","-0.01"
"Cyprus","-0.01"
"Ethiopia","-0.01"
"Latvia","-0.01"
"St. Vincent and the Grenadines","-0.01"
"Yugoslavia, former","-0.01"
"Liberia","-0.01"
"Venezuela, Republica Bolivariana de","-0.01"
"Zambia","-0.01"
"Spain","-0.02"
"Singapore","-0.02"
"Tanzania","-0.02"
"Portugal","-0.03"
"Austria","-0.03"
"Iceland","-0.04"
"Nicaragua","-0.04"
"Malaysia","-0.07"
