"work_program_group","work_program","unit","fiscal_year","bank_budget","all_funds","notes"
"Operational Units","Regional Programs","Africa","2009","321.0","391.0",
"Operational Units","Regional Programs","East Asia and Pacific","2009","155.9","199.6",
"Operational Units","Regional Programs","Europe and Central Asia","2009","190.2","202.2",
"Operational Units","Regional Programs","Latin America and Caribbean","2009","177.3","189.3",
"Operational Units","Regional Programs","Middle East and North Africa","2009","110.2","126.7",
"Operational Units","Regional Programs","South Asia","2009","145.8","162.1",
"Operational Units","Regional Programs","Bank/FAO Cooperative Program ","2009","13.1","13.1",
"Operational Units","Regional Programs","Strategic Reprioritization Fund","2009","8.4","8.4",
"Operational Units","Regional Programs","Regional Fund for Operationalizing Targets","2009",,,
"Operational Units","Regional Programs","Corporate Contingency Fund for Regions","2009",,,
"Operational Units","Regional Programs","Corporate Priorities Fund for Regions","2009",,,
"Operational Units","Network Programs","Quality Assurance Group","2009","5.5","5.5",
"Operational Units","Network Programs","Sustainable Development Network","2009","79.4","161.4",
"Operational Units","Network Programs","Financial and Private Sector Development","2009","37.8","61.7",
"Operational Units","Network Programs","Human Development","2009","30.9","46.7",
"Operational Units","Network Programs","Poverty Reduction and Economic Management","2009","31.1","39.7",
"Operational Units","Other Operational Programs","Operations Policy & Country Services","2009","35.0","36.2",
"Operational Units","Other Operational Programs","Development Economics    ","2009","51.7","59.7",
"Operational Units","Other Operational Programs","World Bank Institute","2009","56.6","68.1",
"Finance, Administration and Corporate","Finance Programs","Treasurer's","2009","76.7","76.7",
"Finance, Administration and Corporate","Finance Programs","Controller's, Strategy and Resource Management","2009","59.3","59.4",
"Finance, Administration and Corporate","Finance Programs","Controller's","2009",,,
"Finance, Administration and Corporate","Finance Programs","Concessional Finance and Global Partnerships ","2009","19.5","19.5",
"Finance, Administration and Corporate","Finance Programs","Corporate Finance and Credit Risk","2009","10.1","10.1",
"Finance, Administration and Corporate","Finance Programs","Finance CIO Office","2009",,,
"Finance, Administration and Corporate","Finance Programs","Chief Risk Office","2009",,,
"Finance, Administration and Corporate","Administration Programs","Human Resources","2009","79.5","90.5",
"Finance, Administration and Corporate","Administration Programs","Information Solutions Group ","2009","82.7","82.7",
"Finance, Administration and Corporate","Administration Programs","General Services and Facilities","2009","143.9","143.9",
"Finance, Administration and Corporate","Corporate Programs","Office of the President ","2009","6.4","6.4",
"Finance, Administration and Corporate","Corporate Programs","Managing Directors","2009","8.2","8.2",
"Finance, Administration and Corporate","Corporate Programs","IDA IFC Secretariat ","2009","1.1","1.1",
"Finance, Administration and Corporate","Corporate Programs","Office of Evaluation and Suspension","2009","1.3","1.3",
"Finance, Administration and Corporate","Corporate Programs","External Affairs","2009","35.9","38.3",
"Finance, Administration and Corporate","Corporate Programs","Internal Audit","2009","11.8","11.8",
"Finance, Administration and Corporate","Corporate Programs","Legal Services","2009","36.5","36.7",
"Finance, Administration and Corporate","Corporate Programs","Conflict Resolution System","2009","7.1","7.1",
"Finance, Administration and Corporate","Corporate Programs","Integrity Vice Presidency","2009","18.7","18.7",
"Finance, Administration and Corporate","Corporate Programs","Office of Ethics and Business Conduct","2009",,,
"Finance, Administration and Corporate","Corporate Programs","Administrative Tribunal","2009",,,
"Finance, Administration and Corporate","Corporate Programs","Sanctions Board","2009",,,
"Secretariats/Organizations hosted by the World Bank","Secretariats/Organizations hosted by the World Bank","Global Environment Facility Secretariat ","2009",,,"Grouping of line items according to FY14 Budget Document. "
"Secretariats/Organizations hosted by the World Bank","Secretariats/Organizations hosted by the World Bank","International Centre for the Settlement of Investment Disputes","2009","5.1","5.1","Grouping of line items according to FY14 Budget Document. "
"Centrally-managed Account & Other Programs","Centrally-managed Account & Other Programs","Centrally-managed Account & Other Programs","2009","293.9","293.9",
"IBRD/IDA Share of Budget for Boards, SEC & IEG","IBRD/IDA Share of Budget for Boards, SEC & IEG","Boards","2009","80.2","80.2",
"IBRD/IDA Share of Budget for Boards, SEC & IEG","IBRD/IDA Share of Budget for Boards, SEC & IEG","Corporate Secretariat ","2009","14.2","14.2",
"IBRD/IDA Share of Budget for Boards, SEC & IEG","IBRD/IDA Share of Budget for Boards, SEC & IEG","Independent Evaluation Group","2009","24.8","24.8",
"IBRD/IDA Share of Budget for Boards, SEC & IEG","IBRD/IDA Share of Budget for Boards, SEC & IEG","Less: Reimbursables for Boards","2009","-1.3","-1.3",
"Funded by External Funds - All Funds","Funded by External Funds - All Funds","Funded by External Funds - All Funds","2009","-286.5","-621.7","For Bank Budget and Reimbursables columns, this line only shows reimbursables."
"Expected Funding from Knowledge Council","Expected Funding from Knowledge Council","Expected Funding from Knowledge Council","2009",,,
"Operational Units","Regional Programs","Africa","2010","332.7","402.7",
"Operational Units","Regional Programs","East Asia and Pacific","2010","163.9","227.2",
"Operational Units","Regional Programs","Europe and Central Asia","2010","189.4","200.4",
"Operational Units","Regional Programs","Latin America and Caribbean","2010","178.5","190.5",
"Operational Units","Regional Programs","Middle East and North Africa","2010","113.3","136.1",
"Operational Units","Regional Programs","South Asia","2010","152.7","177.8",
"Operational Units","Regional Programs","Bank/FAO Cooperative Program ","2010","13.1","13.1",
"Operational Units","Regional Programs","Strategic Reprioritization Fund","2010","2.0","2.0",
"Operational Units","Regional Programs","Regional Fund for Operationalizing Targets","2010",,,
