"fiscal_year","project_name","procurement_category","procurement_method","contract_description","contract_signing_date","supplier","supplier_contract_amount_usd"
"2023","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Lote Nro. 8 GLICLAZIDA","2022-07-22T00:00:00.000","LAFEDAR S.A","1964106.0"
"2023","Social Safety Nets for Vulnerable Populations in the Province of Buenos Aires","Non-consulting Services","Request for Quotations","Lote N&#176; 1 libretas por un monto total de pesos cuarenta y dos mil
sesenta y nueve ($ 42.069,00).","2022-07-26T00:00:00.000","CASANO GRAFICA SA","310.0"
"2023","Argentina Second Rural Education Improvement Project - PROMER-II","Goods","Direct Selection","adquisici&#243;n de libros para escuelas","2022-07-20T00:00:00.000","KAPELUZ EDITORA","27936.0"
"2023","Argentina Second Rural Education Improvement Project - PROMER-II","Goods","Direct Selection","adquisici&#243;n de libros para escuelas","2022-07-20T00:00:00.000","TINTA FRESCA EDICIONES","69609.0"
"2023","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Lote Nro. 3 CARVEDILOL (segundo contrato)","2022-07-18T00:00:00.000","SAVANT PHARM","17032.0"
"2023","Improving Inclusion in Secondary and Higher Education","Consultant Services","Direct Selection","IMPLEMENTACI&#211;N DEL SISTEMA DE GESTI&#211;N ESCOLAR","2022-09-05T00:00:00.000","LAMANSYS SAS","1508934.0"
"2023","Social Safety Nets for Vulnerable Populations in the Province of Buenos Aires","Non-consulting Services","Request for Quotations","Lote N&#176; 3 boligrafos por un monto de pesos cuatro mil novecientos con cincuenta ($ 4.900,50","2022-07-21T00:00:00.000","SERRA SERGIO DANIEL","36.0"
"2023","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Lote Nro. 3 CARVEDILOL (primer contrato)","2022-08-01T00:00:00.000","KLONAL S.R.L.","16431.0"
"2023","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Lote Nro 6 ESPIRONOLACTONA (primer contrato)","2022-08-01T00:00:00.000","KLONAL S.R.L.","65623.0"
"2023","Argentina Second Rural Education Improvement Project - PROMER-II","Goods","Direct Selection","adquisici&#243;n de libros para escuelas","2022-07-20T00:00:00.000","EDICIONES SANTILLANA","122287.0"
"2023","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Lote Nro 6 ESPIRONOLACTONA (segundo contrato)","2022-07-22T00:00:00.000","LAFEDAR S.A","66458.0"
"2023","Argentina Second Rural Education Improvement Project - PROMER-II","Goods","Direct Selection","adquisici&#243;n de libros para escuelas","2022-07-20T00:00:00.000","EDITORIAL LONGSELLER SA","89788.0"
