"country","original_principal_amount"
"India","3469000000.00"
"Mexico","2753507207.00"
"Brazil","2538358000.00"
"Indonesia","2242650000.00"
"Argentina","2221000000.00"
"China","1740000000.00"
"Turkiye","1370000000.00"
"Poland","1114500000.00"
"Romania","1090900000.00"
"Vietnam","1067790000.00"
"Thailand","1000000000.00"
"Egypt, Arab Republic of","630000000.00"
"Tunisia","591600000.00"
"Peru","524500000.00"
"Serbia","505000000.00"
"Morocco","480300000.00"
"Philippines","319124000.00"
"Colombia","315000000.00"
"Pakistan","261400000.00"
"Croatia","241800000.00"
"Lebanon","240000000.00"
"Ukraine","200000000.00"
"Belarus","180000000.00"
"Panama","155000000.00"
"El Salvador","150000000.00"
"Dominican Republic","150000000.00"
"Latvia","142085000.00"
"Guatemala","132000000.00"
"Kazakhstan","127230000.00"
"Armenia","126000000.00"
"Russian Federation","125000000.00"
"Uzbekistan","110000000.00"
"Uruguay","100000000.00"
"Paraguay","100000000.00"
"Eswatini","46900000.00"
"Georgia","43500000.00"
"Azerbaijan","39400000.00"
"Albania","25000000.00"
"North Macedonia","24100000.00"
"Jamaica","15000000.00"
"Belize","15000000.00"
"Seychelles","9000000.00"
"Montenegro","5500000.00"
