"fiscal_year","borrower_country","wb_contract_number","supplier","supplier_contract_amount_usd"
"2019","Bolivia","1394","Individual Consultant","12336327.0"
"2020","Madagascar","706","Individual Consultant","7020478.0"
"2018","Cameroon","588","Individual Consultant","5452636.0"
"2019","Cameroon","391","Individual Consultant","4037696.0"
"2022","Colombia","369","Individual Consultant","6128933.0"
"2020","Bolivia","365","Individual Consultant","9808474.0"
"2021","Western and Central Africa","352","Individual Consultant","12849556.0"
"2019","Congo, Republic of","341","Individual Consultant","6698018.0"
"2021","Madagascar","334","Individual Consultant","7368708.0"
"2021","Bolivia","332","Individual Consultant","5888322.0"
"2020","Nicaragua","323","Individual Consultant","4407151.0"
"2021","Colombia","319","Individual Consultant","6795775.0"
"2019","Bangladesh","269","Individual Consultant","18296795.0"
"2020","Western and Central Africa","244","Individual Consultant","8761694.0"
"2018","Madagascar","239","Individual Consultant","3542479.0"
"2022","Madagascar","238","Individual Consultant","4691795.0"
"2019","Madagascar","236","Individual Consultant","3593764.0"
"2018","Bolivia","227","Individual Consultant","4198948.0"
"2022","Western and Central Africa","223","Individual Consultant","7173528.0"
"2021","Argentina","223","Individual Consultant","1583211.0"
"2018","Argentina","222","Individual Consultant","968091.0"
"2022","Bolivia","221","Individual Consultant","2235872.0"
"2021","Peru","217","Individual Consultant","5266953.0"
"2022","Lesotho","216","Individual Consultant","1489363.0"
"2021","Nicaragua","216","Individual Consultant","3773046.0"
"2022","Argentina","216","Individual Consultant","1605558.0"
"2018","Bangladesh","209","Individual Consultant","18281451.0"
"2021","Congo, Democratic Republic of","208","Individual Consultant","5534129.0"
"2017","Cameroon","207","Individual Consultant","1772445.0"
"2020","Cameroon","204","Individual Consultant","3949703.0"
"2021","Lao People's Democratic Republic","202","Individual Consultant","4092434.0"
"2019","Western and Central Africa","201","Individual Consultant","8622344.0"
"2020","Colombia","196","Individual Consultant","6796646.0"
"2021","Paraguay","195","Individual Consultant","185261.0"
"2022","Moldova","181","Individual Consultant","1440553.0"
"2019","Peru","169","Individual Consultant","4599001.0"
"2022","Mozambique","169","Individual Consultant","12522686.0"
"2020","Peru","169","Individual Consultant","4161857.0"
"2020","Burkina Faso","168","Individual Consultant","3455860.0"
"2017","Vietnam","162","Individual Consultant","6769692.0"
"2022","Bangladesh","162","Individual Consultant","12840541.0"
"2021","Eastern and Southern Africa","161","Individual Consultant","14142819.0"
"2022","Eastern and Southern Africa","158","Individual Consultant","7660712.0"
"2021","Brazil","157","Individual Consultant","50503560.0"
