"end_of_period","credit_number","region","country_code","country","borrower","credit_status","service_charge_rate","currency_of_commitment","project_id","project_name","original_principal_amount","cancelled_amount","undisbursed_amount","disbursed_amount","repaid_to_ida","due_to_ida","exchange_adjustment","borrower_s_obligation","sold_3rd_party","repaid_3rd_party","due_3rd_party","credits_held","first_repayment_date","last_repayment_date","agreement_signing_date","board_approval_date","effective_date_most_recent_","closed_date_most_recent_","last_disbursement_date"
"2022-07-31T00:00:00.000","IDA11670","EAST ASIA AND PACIFIC","CN","China","MINISTRY OF FINANCE","Repaying","0.75","XDR","P003410","UNIV. DEVELOPMENT","100000000.00","0.00","0.00","85514235.86","113272454.90","6525142.54","0.00","6525142.54","0.00","0.00","0.00","6525142.54","1991-12-01T00:00:00.000","2031-06-01T00:00:00.000","1981-11-04T00:00:00.000","1981-06-23T00:00:00.000","1982-02-04T00:00:00.000","1986-06-30T00:00:00.000",
"2022-07-31T00:00:00.000","IDA12610","EAST ASIA AND PACIFIC","CN","China","MINISTRY OF FINANCE","Repaying","0.75","XDR","P003411","N. CHINA PLAIN I","60000000.00","0.00","0.00","58675336.44","75624919.46","4334469.29","0.00","4334469.29","0.00","0.00","0.00","4334469.29","1992-10-01T00:00:00.000","2032-04-01T00:00:00.000","1982-06-23T00:00:00.000","1982-06-15T00:00:00.000","1982-10-07T00:00:00.000","1987-12-31T00:00:00.000","1988-10-06T00:00:00.000"
"2022-07-31T00:00:00.000","IDA12970","EAST ASIA AND PACIFIC","CN","China","MINISTRY OF FINANCE","Repaying","0.75","XDR","P003414","AG. EDUC. & RESEARCH","75400000.00","0.00","0.00","73253632.82","95183025.85","5445777.14","0.00","5445777.14","0.00","0.00","0.00","5445777.14","1993-04-01T00:00:00.000","2032-10-01T00:00:00.000","1982-11-16T00:00:00.000","1982-11-02T00:00:00.000","1983-02-02T00:00:00.000","1989-03-31T00:00:00.000","1989-09-01T00:00:00.000"
"2022-07-31T00:00:00.000","IDA13130","EAST ASIA AND PACIFIC","CN","China","MINISTRY OF FINANCE","Repaying","0.75","XDR","P003413","CHINA INVEST. BANK I","30000000.00","0.00","0.00","30943911.38","39285936.08","2248993.51","0.00","2248993.51","0.00","0.00","0.00","2248993.51","1993-06-15T00:00:00.000","2032-12-15T00:00:00.000","1982-12-28T00:00:00.000","1982-12-21T00:00:00.000","1983-04-05T00:00:00.000","1988-12-31T00:00:00.000","1989-06-19T00:00:00.000"
"2022-07-31T00:00:00.000","IDA13470","EAST ASIA AND PACIFIC","CN","China","MINISTRY OF FINANCE","Repaying","0.75","XDR","P003412","HEILONGJIANG GRAIN","45000000.00","8263.73","0.00","42531530.86","57966028.91","3316655.09","0.00","3316655.09","0.00","0.00","0.00","3316655.09","1993-07-15T00:00:00.000","2033-01-15T00:00:00.000","1983-05-20T00:00:00.000","1983-04-19T00:00:00.000","1983-08-03T00:00:00.000","1989-03-31T00:00:00.000","1989-11-02T00:00:00.000"
"2022-07-31T00:00:00.000","IDA14110","EAST ASIA AND PACIFIC","CN","China","MINISTRY OF FINANCE","Repaying","0.75","XDR","P003421","POLYTECHNIC/TV UNIV.","85000000.00","2096627.93","0.00","91893977.43","107560903.75","7781389.05","0.00","7781389.05","0.00","0.00","0.00","7781389.05","1994-03-01T00:00:00.000","2033-09-01T00:00:00.000","1983-10-17T00:00:00.000","1983-09-13T00:00:00.000","1984-01-30T00:00:00.000","1992-06-30T00:00:00.000","1992-10-29T00:00:00.000"
"2022-07-31T00:00:00.000","IDA14120","EAST ASIA AND PACIFIC","CN","China","MINISTRY OF FINANCE","Repaying","0.75","XDR","P003427","TECH.COOPERATION CRE","10000000.00","0.00","0.00","10854521.04","13023146.20","942147.37","0.00","942147.37","0.00","0.00","0.00","942147.37","1994-03-01T00:00:00.000","2033-09-01T00:00:00.000","1983-10-17T00:00:00.000","1983-09-13T00:00:00.000","1983-12-21T00:00:00.000","1988-12-31T00:00:00.000","1989-07-12T00:00:00.000"
"2022-07-31T00:00:00.000","IDAF0050","EAST ASIA AND PACIFIC","CN","China","MINISTRY OF FINANCE","Repaying","0.75","XDR","P003419","RUBBER DEVELOPMENT","60000000.00","0.00","0.00","64532472.92","79952715.40","4568292.83","0.00","4568292.83","0.00","0.00","0.00","4568292.83","1994-05-15T00:00:00.000","2033-11-15T00:00:00.000","1984-01-05T00:00:00.000","1983-11-29T00:00:00.000","1984-04-13T00:00:00.000","1990-12-31T00:00:00.000","1991-05-10T00:00:00.000"
"2022-07-31T00:00:00.000","IDA14170","EAST ASIA AND PACIFIC","CN","China","MINISTRY OF FINANCE","Repaying","0.75","XDR","P003419","RUBBER DEVELOPMENT","40000000.00","0.00","0.00","43577274.29","53208454.58","3040166.70","0.00","3040166.70","0.00","0.00","0.00","3040166.70","1994-05-15T00:00:00.000","2033-11-15T00:00:00.000","1984-01-05T00:00:00.000","1983-11-29T00:00:00.000","1984-04-13T00:00:00.000","1990-12-31T00:00:00.000","1991-04-18T00:00:00.000"
"2022-07-31T00:00:00.000","IDA14620","EAST ASIA AND PACIFIC","CN","China","MINISTRY OF FINANCE","Repaying","0.75","XDR","P003418","RURAL CREDIT I","50000000.00","0.00","0.00","55819101.51","65499308.01","4733295.80","0.00","4733295.80","0.00","0.00","0.00","4733295.80","1994-08-15T00:00:00.000","2034-02-15T00:00:00.000","1984-06-01T00:00:00.000","1984-04-24T00:00:00.000","1984-11-01T00:00:00.000","1989-06-30T00:00:00.000","1988-11-15T00:00:00.000"
"2022-07-31T00:00:00.000","IDA14720","EAST ASIA AND PACIFIC","CN","China","MINISTRY OF FINANCE","Repaying","0.75","XDR","P003424","RURAL HEALTH/MED.ED.","85000000.00","0.00","0.00","96664452.83","111459546.87","8042591.58","0.00","8042591.58","0.00","0.00","0.00","8042591.58","1994-08-01T00:00:00.000","2034-02-01T00:00:00.000","1984-06-01T00:00:00.000","1984-05-08T00:00:00.000","1984-08-29T00:00:00.000","1991-12-31T00:00:00.000","1992-04-24T00:00:00.000"
"2022-07-31T00:00:00.000","IDA14910","EAST ASIA AND PACIFIC","CN","China","MINISTRY OF FINANCE","Repaying","0.75","XDR","P003420","CHINA INVEST.BK.II","70000000.00","0.00","0.00","78225244.68","92652945.67","5292142.04","0.00","5292142.04","0.00","0.00","0.00","5292142.04","1994-06-15T00:00:00.000","2033-12-15T00:00:00.000","1984-06-25T00:00:00.000","1984-06-05T00:00:00.000","1984-10-09T00:00:00.000","1990-06-30T00:00:00.000","1990-12-07T00:00:00.000"
